,STATE,geometry
0,AK,POINT (-149.840106 61.1951520000001)
1,AK,POINT (-149.885887 61.2155650000001)
2,AK,POINT (-149.901702 61.218373)
3,AK,POINT (-149.891649 61.2195090000001)
4,AK,POINT (-149.886551 61.191513)
5,AK,POINT (-149.820987 61.2155040000001)
6,AK,POINT (-149.897902 61.186836)
7,AK,POINT (-149.893635 61.173664)
8,AK,POINT (-149.838089 61.1677670000001)
9,AK,POINT (-149.990444 61.1902590000001)
10,AK,POINT (-149.995863 61.195409)
11,AK,POINT (-149.993731 61.1867100000001)
12,AK,POINT (-149.875564 61.1447010000001)
13,AK,POINT (-149.875564 61.1447010000001)
14,AK,POINT (-149.861402 61.109202)
15,AK,POINT (-149.572286 61.3252570000001)
16,AK,POINT (-149.572286 61.3252570000001)
17,AK,POINT (-149.401619 61.5721340000001)
18,AK,POINT (-149.401619 61.5721340000001)
19,AK,POINT (-149.44135 61.5833940000001)
20,AK,POINT (-149.441476 61.5834630000001)
21,AK,POINT (-149.408484 61.576779)
22,AK,POINT (-149.876754 61.1974670000001)
23,AK,POINT (-149.326545 61.615418)
24,AK,POINT (-149.113455 61.601438)
25,AK,POINT (-151.496231 59.640879)
26,AK,POINT (-151.558586 59.6414090000001)
27,AK,POINT (-151.530224 59.647343)
28,AK,POINT (-150.965627 61.6699970000001)
29,AK,POINT (-151.238075 60.569035)
30,AK,POINT (-151.067065 60.4833120000001)
31,AK,POINT (-151.153777 60.491185)
32,AK,POINT (-151.072461 60.4892990000001)
33,AK,POINT (-151.23812 60.5589100000001)
34,AK,POINT (-151.238075 60.569035)
35,AK,POINT (-150.778991 60.537109)
36,AK,POINT (-149.439281 60.10299)
37,AK,POINT (-151.084352 60.4850080000001)
38,AK,POINT (-146.357763 61.129176)
39,AK,POINT (-146.258498 61.1256730000001)
40,AK,POINT (-147.855954 64.8235490000001)
41,AK,POINT (-147.706216 64.838463)
42,AK,POINT (-147.700283 64.846461)
43,FL,POINT (-80.398855 25.1391800000001)
44,FL,POINT (-80.398855 25.1391800000001)
45,FL,POINT (-80.4224369999999 25.113576)
46,FL,POINT (-80.4413299999999 25.092298)
47,FL,POINT (-81.0507929999999 24.7246020000001)
48,FL,POINT (-80.629635 24.9230390000001)
49,FL,POINT (-80.557314 24.971213)
50,FL,POINT (-80.622941 24.928769)
51,FL,POINT (-80.51553 25.011082)
52,FL,POINT (-81.04587 24.7262710000001)
53,FL,POINT (-81.0743909999999 24.7167390000001)
54,FL,POINT (-80.4449299999999 25.09081)
55,FL,POINT (-81.0971529999999 24.71043)
56,FL,POINT (-81.754183 24.552086)
57,FL,POINT (-81.769818 24.5670260000001)
58,FL,POINT (-81.759565 24.5717270000001)
59,FL,POINT (-81.740039 24.572777)
60,FL,POINT (-81.766128 24.562216)
61,FL,POINT (-81.7673599999999 24.5669300000001)
62,FL,POINT (-81.767936 24.5665300000001)
63,FL,POINT (-81.772892 24.5655990000001)
64,FL,POINT (-81.780344 24.554807)
65,FL,POINT (-81.791057 24.5561890000001)
66,FL,POINT (-81.799182 24.5623420000001)
67,FL,POINT (-81.796789 24.5484890000001)
68,FL,POINT (-81.7977979999999 24.5491010000001)
69,FL,POINT (-81.7986319999999 24.550331)
70,FL,POINT (-81.803396 24.5592740000001)
71,FL,POINT (-81.8025729999999 24.5534270000001)
72,FL,POINT (-81.803962 24.555187)
73,FL,POINT (-81.8046419999999 24.5560980000001)
74,FL,POINT (-81.8066229999999 24.5568290000001)
75,FL,POINT (-81.5661499999999 24.6455030000001)
76,FL,POINT (-81.473064 24.661139)
77,FL,POINT (-81.3605269999999 24.676318)
78,FL,POINT (-81.357342 24.6714160000001)
79,FL,POINT (-80.539192 24.9948580000001)
80,HI,POINT (-157.977604 21.3964280000001)
81,HI,POINT (-157.938516 21.382842)
82,HI,POINT (-157.953325 21.3897630000001)
83,HI,POINT (-157.928531 21.36416)
84,HI,POINT (-157.918529 21.3357360000001)
85,HI,POINT (-157.977604 21.3964280000001)
86,HI,POINT (-157.87039 21.3270860000001)
87,HI,POINT (-157.916355 21.3164160000001)
88,HI,POINT (-157.803399 21.4207020000001)
89,HI,POINT (-157.803189 21.4202490000001)
90,HI,POINT (-157.916355 21.3164160000001)
91,HI,POINT (-157.870201 21.3162980000001)
92,HI,POINT (-157.863283 21.3094990000001)
93,HI,POINT (-157.859359 21.310081)
94,HI,POINT (-157.86276 21.3088240000001)
95,HI,POINT (-157.859861 21.309716)
96,HI,POINT (-157.861395 21.3085580000001)
97,HI,POINT (-157.863502 21.307131)
98,HI,POINT (-157.860326 21.3065480000001)
99,HI,POINT (-157.863353 21.302803)
100,HI,POINT (-157.858597 21.302761)
101,HI,POINT (-158.033171 21.388406)
102,HI,POINT (-158.001241 21.4017260000001)
103,HI,POINT (-158.033632 21.3900120000001)
104,HI,POINT (-157.854742 21.301696)
105,HI,POINT (-155.970029 19.640879)
106,HI,POINT (-155.87976 19.445545)
107,HI,POINT (-155.956878 19.5904600000001)
108,HI,POINT (-155.926088 19.531774)
109,HI,POINT (-156.019832 19.6856300000001)
110,HI,POINT (-155.970029 19.640879)
111,HI,POINT (-155.970029 19.640879)
112,HI,POINT (-159.369756 21.9794820000001)
113,HI,POINT (-159.369756 21.9794820000001)
114,HI,POINT (-159.502088 22.201398)
115,HI,POINT (-158.017139 21.334528)
116,HI,POINT (-158.076768 21.339665)
117,HI,POINT (-158.124859 21.339955)
118,HI,POINT (-158.081093 21.334794)
119,HI,POINT (-157.933195 21.3784000000001)
120,HI,POINT (-158.021525 21.442299)
121,HI,POINT (-157.998865 21.471191)
122,HI,POINT (-158.001417 21.46732)
123,HI,POINT (-158.025659 21.500845)
124,HI,POINT (-158.027093 21.499089)
125,HI,POINT (-156.453094 20.885052)
126,HI,POINT (-156.311189 20.855107)
127,HI,POINT (-156.312479 20.8524560000001)
128,HI,POINT (-156.322939 20.9170080000001)
129,HI,POINT (-156.452575 20.886148)
130,HI,POINT (-156.453094 20.885052)
131,HI,POINT (-156.455188 20.8868140000001)
132,HI,POINT (-156.469552 20.8889750000001)
133,HI,POINT (-156.456378 20.753072)
134,HI,POINT (-156.456244 20.7514880000001)
135,HI,POINT (-156.447045 20.721056)
136,HI,POINT (-156.439831 20.695114)
137,HI,POINT (-156.44123 20.6925130000001)
138,HI,POINT (-156.440488 20.6894610000001)
139,HI,POINT (-156.440121 20.688787)
140,HI,POINT (-155.989298 20.75037)
141,HI,POINT (-156.675333 20.8681730000001)
142,HI,POINT (-156.654011 21.0007430000001)
143,HI,POINT (-156.666995 20.9858150000001)
144,HI,POINT (-156.678975 20.973108)
145,HI,POINT (-156.68829 20.9472480000001)
146,HI,POINT (-156.69375 20.9191080000001)
147,HI,POINT (-156.692849 20.924832)
148,HI,POINT (-156.69316 20.9150070000001)
149,HI,POINT (-155.095485 19.7084310000001)
150,HI,POINT (-155.095485 19.7084310000001)
151,HI,POINT (-155.062025 19.695437)
152,HI,POINT (-158.059147 21.6523790000001)
153,HI,POINT (-157.748911 21.4226640000001)
154,HI,POINT (-156.412156 20.9049640000001)
155,HI,POINT (-157.747972 21.420198)
156,HI,POINT (-157.753557 21.383473)
157,HI,POINT (-157.740646 21.3925400000001)
158,HI,POINT (-154.903816 19.475825)
159,HI,POINT (-155.830433 19.915786)
160,HI,POINT (-155.709395 19.8963220000001)
161,HI,POINT (-155.787748 19.942106)
162,HI,POINT (-155.988566 19.64484)
163,HI,POINT (-157.022758 21.0876050000001)
164,HI,POINT (-157.809367 21.307821)
165,HI,POINT (-157.707446 21.285916)
166,HI,POINT (-157.71073 21.2845340000001)
167,HI,POINT (-157.701815 21.2886970000001)
168,HI,POINT (-157.715093 21.2830660000001)
169,HI,POINT (-157.819945 21.299423)
170,HI,POINT (-157.798595 21.2809990000001)
171,HI,POINT (-157.80029 21.281302)
172,HI,POINT (-157.786206 21.2745830000001)
173,HI,POINT (-157.822247 21.2920300000001)
174,HI,POINT (-157.705355 21.276443)
175,HI,POINT (-157.814155 21.2809350000001)
176,HI,POINT (-157.843822 21.304138)
177,HI,POINT (-157.842036 21.2965530000001)
178,HI,POINT (-157.839579 21.291863)
179,HI,POINT (-157.84982 21.3029560000001)
180,HI,POINT (-157.84009 21.2920140000001)
181,HI,POINT (-157.826918 21.2801690000001)
182,HI,POINT (-157.841549 21.292714)
183,HI,POINT (-157.844798 21.2940820000001)
184,HI,POINT (-157.846078 21.2950440000001)
185,HI,POINT (-157.823232 21.2726070000001)
186,HI,POINT (-157.825133 21.2756690000001)
187,HI,POINT (-157.828297 21.2785260000001)
188,HI,POINT (-157.828452 21.2786580000001)
189,HI,POINT (-157.831531 21.2810260000001)
190,HI,POINT (-157.847462 21.295257)
191,HI,POINT (-157.844912 21.289969)
192,HI,POINT (-157.857434 21.29954)
193,HI,POINT (-157.858655 21.2943690000001)
194,HI,POINT (-157.860381 21.296163)
195,HI,POINT (-157.838653 21.2852120000001)
196,HI,POINT (-157.862092 21.29778)
197,TX,POINT (-103.894677 30.5880100000001)
198,TX,POINT (-102.909614 30.9012430000001)
199,TX,POINT (-103.661822 30.3585170000001)
200,TX,POINT (-104.020575 30.309377)
201,AK,POINT (-135.32797 57.048462)
202,AK,POINT (-131.718727 55.3675950000001)
203,AK,POINT (-131.681235 55.3518330000001)
204,AK,POINT (-134.581823 58.3604080000001)
205,AK,POINT (-134.39612 58.2950410000001)
206,AK,POINT (-134.404747 58.3001750000001)
207,AK,POINT (-134.409055 58.2996400000001)
208,AK,POINT (-134.593294 58.372146)
209,WA,POINT (-122.332844 47.5998480000001)
210,WA,POINT (-122.328632 47.599293)
211,WA,POINT (-122.331634 47.599052)
212,WA,POINT (-122.336876 47.6036330000001)
213,WA,POINT (-122.33432 47.598984)
214,WA,POINT (-122.293964 47.661238)
215,WA,POINT (-122.290508 47.685503)
216,WA,POINT (-122.32632 47.642011)
217,WA,POINT (-122.320965 47.5491620000001)
218,WA,POINT (-122.325605 47.551696)
219,WA,POINT (-122.326956 47.5525180000001)
220,WA,POINT (-122.320965 47.5491620000001)
221,WA,POINT (-122.339459 47.561025)
222,WA,POINT (-122.325741 47.561159)
223,WA,POINT (-122.363337 47.567145)
224,WA,POINT (-122.350577 47.5706680000001)
225,WA,POINT (-122.329054 47.582293)
226,WA,POINT (-122.386646 47.579232)
227,WA,POINT (-122.39197 47.5810950000001)
228,WA,POINT (-122.334269 47.5923980000001)
229,WA,POINT (-122.326364 47.5965180000001)
230,WA,POINT (-122.381399 47.6548760000001)
231,WA,POINT (-122.355262 47.6892780000001)
232,WA,POINT (-122.377625 47.6485030000001)
233,WA,POINT (-122.398573 47.639981)
234,WA,POINT (-122.398597 47.6390660000001)
235,WA,POINT (-122.372237 47.6273820000001)
236,WA,POINT (-122.326543 47.549541)
237,WA,POINT (-122.355407 47.6247480000001)
238,WA,POINT (-122.357055 47.624646)
239,WA,POINT (-122.355515 47.622376)
240,WA,POINT (-122.359704 47.6246330000001)
241,WA,POINT (-122.358195 47.622148)
242,WA,POINT (-122.356714 47.6210730000001)
243,WA,POINT (-122.358146 47.620101)
244,WA,POINT (-122.346298 47.616785)
245,WA,POINT (-122.350931 47.617152)
246,WA,POINT (-122.345153 47.61611)
247,WA,POINT (-122.350752 47.6158590000001)
248,WA,POINT (-122.347971 47.6154900000001)
249,WA,POINT (-122.341101 47.6159910000001)
250,WA,POINT (-122.341447 47.6139430000001)
251,WA,POINT (-122.693042 47.6563840000001)
252,WA,POINT (-122.517072 47.632411)
253,WA,POINT (-122.628805 47.6098010000001)
254,WA,POINT (-122.517086 47.6271310000001)
255,WA,POINT (-122.629253 47.6028180000001)
256,WA,POINT (-122.629284 47.6007530000001)
257,WA,POINT (-122.682351 47.6527290000001)
258,WA,POINT (-122.684884 47.661545)
259,WA,POINT (-122.684985 47.6613300000001)
260,WA,POINT (-122.693042 47.6563840000001)
261,WA,POINT (-122.692183 47.652231)
262,WA,POINT (-122.646708 47.73796)
263,WA,POINT (-122.639981 47.7425910000001)
264,WA,POINT (-122.632882 47.566224)
265,WA,POINT (-122.655231 47.746522)
266,WA,POINT (-122.289332 47.613703)
267,WA,POINT (-122.2866 47.6614980000001)
268,WA,POINT (-122.316751 47.6082910000001)
269,WA,POINT (-122.320793 47.6090790000001)
270,WA,POINT (-122.320715 47.6075730000001)
271,WA,POINT (-122.343748 47.61035)
272,WA,POINT (-122.342432 47.6098610000001)
273,WA,POINT (-122.343069 47.611297)
274,WA,POINT (-122.34178 47.610621)
275,WA,POINT (-122.238855 47.5891290000001)
276,WA,POINT (-122.284749 47.6027350000001)
277,WA,POINT (-122.334898 47.6137440000001)
278,WA,POINT (-122.32994 47.604403)
279,WA,POINT (-122.330569 47.605241)
280,ID,POINT (-114.232918 44.505409)
281,ID,POINT (-113.890635 45.174295)
282,ID,POINT (-113.893808 45.1755830000001)
283,ID,POINT (-114.370146 43.68776)
284,ID,POINT (-114.360235 43.6772510000001)
285,ID,POINT (-114.363157 43.6803110000001)
286,ID,POINT (-114.369474 43.684715)
287,ID,POINT (-114.583957 43.8038530000001)
288,ID,POINT (-114.361287 43.6771900000001)
289,ID,POINT (-114.367237 43.6796200000001)
290,ID,POINT (-114.365246 43.6777670000001)
291,ID,POINT (-114.490884 42.5638680000001)
292,ID,POINT (-114.472943 42.5565290000001)
293,ID,POINT (-114.766366 42.601122)
294,ID,POINT (-114.469924 42.5556960000001)
295,ID,POINT (-114.460349 42.565978)
296,ID,POINT (-114.460285 42.5726450000001)
297,ID,POINT (-114.460365 42.5736160000001)
298,ID,POINT (-114.462162 42.5777370000001)
299,ID,POINT (-114.456179 42.5631960000001)
300,ID,POINT (-114.464505 42.5870420000001)
301,ID,POINT (-114.464887 42.591894)
302,ID,POINT (-114.446404 42.6380300000001)
303,ID,POINT (-114.752246 42.5938980000001)
304,ID,POINT (-114.518398 42.705185)
305,ID,POINT (-114.517384 42.7240840000001)
306,ID,POINT (-114.518381 42.7254750000001)
307,ID,POINT (-114.309791 43.5128710000001)
308,ID,POINT (-114.583957 43.8038530000001)
309,ID,POINT (-114.712867 42.9423180000001)
310,ID,POINT (-114.712867 42.942353)
311,ID,POINT (-114.703631 42.782321)
312,ID,POINT (-113.794843 42.536773)
313,ID,POINT (-113.781678 42.5379330000001)
314,ID,POINT (-113.840321 42.532582)
315,ID,POINT (-113.676911 42.612082)
316,ID,POINT (-113.674839 42.61553)
317,ID,POINT (-116.253573 43.6100670000001)
318,ID,POINT (-116.316835 43.68348)
319,ID,POINT (-116.923329 44.0260690000001)
320,ID,POINT (-116.92391 44.0109850000001)
321,OR,POINT (-116.97496 44.0320810000001)
322,OR,POINT (-116.954357 44.0252800000001)
323,OR,POINT (-116.964523 44.0249880000001)
324,OR,POINT (-116.966064 44.0271500000001)
325,ID,POINT (-116.93407 44.0674930000001)
326,ID,POINT (-116.935131 44.074437)
327,ID,POINT (-116.968338 44.254153)
328,ID,POINT (-115.662037 43.1424450000001)
329,ID,POINT (-115.670092 43.133897)
330,ID,POINT (-115.69121 43.1304630000001)
331,ID,POINT (-115.863774 43.0489020000001)
332,ID,POINT (-116.206711 43.6104960000001)
333,ID,POINT (-116.212522 43.6247770000001)
334,ID,POINT (-116.20333 43.632776)
335,ID,POINT (-116.19725 43.6184450000001)
336,ID,POINT (-116.203042 43.61796)
337,ID,POINT (-116.196425 43.6166160000001)
338,ID,POINT (-116.202125 43.6172710000001)
339,ID,POINT (-116.20504 43.617711)
340,ID,POINT (-116.203734 43.6172540000001)
341,ID,POINT (-116.207225 43.617489)
342,ID,POINT (-116.204363 43.616021)
343,ID,POINT (-116.202404 43.61497)
344,ID,POINT (-116.197923 43.61402)
345,ID,POINT (-116.234887 43.6196330000001)
346,ID,POINT (-117.009175 46.3769790000001)
347,ID,POINT (-116.982566 46.3852190000001)
348,ID,POINT (-116.987671 46.3887690000001)
349,WA,POINT (-117.061709 46.400026)
350,ID,POINT (-117.021294 46.419495)
351,ID,POINT (-116.253045 46.4800500000001)
352,ID,POINT (-116.122929 45.9264840000001)
353,ID,POINT (-117.012993 46.4166310000001)
354,ID,POINT (-116.985656 46.7214870000001)
355,ID,POINT (-117.006904 46.7282070000001)
356,ID,POINT (-116.999614 46.731091)
357,ID,POINT (-117.014986 46.7296930000001)
358,WA,POINT (-117.151742 46.7262670000001)
359,WA,POINT (-117.162746 46.7364680000001)
360,WA,POINT (-117.171349 46.741629)
361,ID,POINT (-116.064247 45.328425)
362,ID,POINT (-116.104776 44.910443)
363,ID,POINT (-116.045309 44.519524)
364,ID,POINT (-116.499593 43.875462)
365,ID,POINT (-116.49996 43.8714580000001)
366,ID,POINT (-116.35578 43.6167620000001)
367,ID,POINT (-116.662507 43.662655)
368,ID,POINT (-116.680839 43.6682260000001)
369,ID,POINT (-116.667546 43.662701)
370,ID,POINT (-116.604076 43.606029)
371,ID,POINT (-116.553171 43.597315)
372,ID,POINT (-116.562 43.577116)
373,ID,POINT (-116.53245 43.587342)
374,ID,POINT (-116.506043 43.6050480000001)
375,ID,POINT (-116.568746 43.5820780000001)
376,ID,POINT (-116.573325 43.549405)
377,ID,POINT (-116.568984 43.550346)
378,ID,POINT (-116.435221 43.6192790000001)
379,ID,POINT (-116.391517 43.616068)
380,ID,POINT (-116.391522 43.614964)
381,ID,POINT (-116.352243 43.663008)
382,ID,POINT (-116.341381 43.691964)
383,ID,POINT (-116.345709 43.694713)
384,ID,POINT (-116.344062 43.6967480000001)
385,ID,POINT (-116.341994 43.661103)
386,ID,POINT (-116.358192 43.5889080000001)
387,ID,POINT (-116.934242 43.6176540000001)
388,ID,POINT (-116.350667 43.590362)
389,ID,POINT (-116.332582 43.6109200000001)
390,ID,POINT (-116.334411 43.605917)
391,ID,POINT (-116.689598 43.6642000000001)
392,ID,POINT (-116.938732 43.620682)
393,ID,POINT (-116.420738 43.4905120000001)
394,ID,POINT (-116.393548 43.4721030000001)
395,ID,POINT (-116.253085 43.651484)
