,STATE,geometry
0,AK,POINT (-147.7564047 64.8358183)
1,AK,POINT (-147.7133567 64.838565)
2,WA,POINT (-117.577696 47.4931251)
3,WA,POINT (-117.4157601 47.7396808)
4,WA,POINT (-122.6447998 45.7207304)
5,WA,POINT (-122.584499 45.6259164)
6,NV,POINT (-119.771996 38.9576762)
7,WA,POINT (-122.4941793 45.6191314)
8,UT,POINT (-113.5863207 37.0614041)
9,CA,POINT (-121.9077759 36.6055664)
10,CA,POINT (-116.5008349 33.9572864)
11,AZ,POINT (-112.1759896 33.6110904)
12,AZ,POINT (-112.2155752 33.6407906)
13,NV,POINT (-114.5776685 35.1615685)
14,CA,POINT (-119.1103707 35.3910096)
15,NV,POINT (-119.7737232 39.0907115)
16,CA,POINT (-119.1780985 34.172694)
17,CA,POINT (-117.2464962 32.7982697)
18,CA,POINT (-117.379662 33.9758125)
19,NV,POINT (-119.2215853 39.6097234)
20,WA,POINT (-120.2822835 47.4044329)
21,WA,POINT (-117.4108641 47.7117765)
22,WA,POINT (-122.5489667 45.7841058)
23,WA,POINT (-122.5190408 47.1720375)
24,WA,POINT (-122.4354006 47.188866)
25,CA,POINT (-118.3486023 34.1885494)
26,CA,POINT (-117.4551638 33.9160316)
27,OR,POINT (-122.8697872 45.533079)
28,OR,POINT (-123.0839837 44.0451498)
29,NV,POINT (-119.7782663 38.9626523)
30,OR,POINT (-123.196804 45.2222113)
31,NV,POINT (-119.794433 39.5343429)
32,NV,POINT (-119.7461664 39.5269474)
33,NV,POINT (-115.1804039 36.1365976)
34,NV,POINT (-119.7699449 39.3908071)
35,NV,POINT (-119.7045261 39.5657057)
36,CA,POINT (-122.0848568 38.2371584)
37,CA,POINT (-119.28863 36.3322368)
38,NV,POINT (-115.0301902 36.0377436)
39,NV,POINT (-115.7591221 40.8350855)
40,WA,POINT (-122.2491487 47.4575077)
41,WA,POINT (-123.1125949 48.0838219)
42,ID,POINT (-113.7806939 42.5370953)
43,AZ,POINT (-114.3379603 34.478891)
44,AZ,POINT (-114.5996683 35.1157419)
45,NV,POINT (-115.1733927 36.2402892)
46,UT,POINT (-112.0875038 40.6961154)
47,CA,POINT (-117.6991277 34.1123721)
48,ID,POINT (-112.4684705 42.9149247)
49,CA,POINT (-121.9035792 37.4057115)
50,CA,POINT (-122.2311176 37.7808565)
51,CA,POINT (-118.4605984 34.0500914)
52,OR,POINT (-122.8492931 45.3666269)
53,CA,POINT (-122.5742181 38.1087836)
54,CA,POINT (-121.3358232 38.0208703)
55,CA,POINT (-118.2648193 33.9877507)
56,MT,POINT (-114.0363767 46.8858811)
57,HI,POINT (-156.6945928 20.9213525)
58,AZ,POINT (-112.2939889 33.4938147)
59,CA,POINT (-121.6182295 39.1533653)
60,CA,POINT (-122.3892082 37.7606545)
61,CA,POINT (-121.4940481 38.532599)
62,CA,POINT (-121.4155797 38.4648476)
63,CA,POINT (-120.273635 37.121937)
64,CA,POINT (-118.4239084 34.0086881)
65,MT,POINT (-114.3335591 48.233977)
66,NV,POINT (-115.1774667 36.1592773)
67,ID,POINT (-116.3134126 43.6479269)
68,CA,POINT (-121.140395 37.4862446)
69,CA,POINT (-119.3137399 36.3286784)
70,HI,POINT (-157.9073529 21.3346156)
71,CA,POINT (-117.9881612 33.6929748)
72,CA,POINT (-117.3251458 33.1755474)
73,ID,POINT (-116.2420617 43.6186847)
74,ID,POINT (-116.3945461 43.6636973)
75,CA,POINT (-122.2219991 40.1494816)
76,CA,POINT (-122.2751965 37.7950333)
77,CA,POINT (-122.3254375 37.5666732)
