STATE,NAME,geometry
CA,walgreens,POINT (-117.088834 32.6279578)
CA,walgreens,POINT (-117.0684027 32.6132283)
CA,walgreens,POINT (-116.9655714 32.6297296)
AK,walgreens,POINT (-149.4071891 61.5774591)
AK,walgreens,POINT (-149.7397543 61.2094341)
AK,walgreens,POINT (-149.9211037 61.1378689)
HI,walgreens,POINT (-157.7442184 21.3959352)
HI,walgreens,POINT (-156.5016702 20.8870549)
HI,walgreens,POINT (-156.6808549 20.8845509)
HI,walgreens,POINT (-158.0179022 21.3801111)
HI,walgreens,POINT (-157.8678493 21.3346997)
HI,walgreens,POINT (-157.802177 21.4193276)
HI,walgreens,POINT (-157.842038 21.2934767)
HI,walgreens,POINT (-156.5047097 20.8873041)
HI,walgreens,POINT (-156.6755642 20.871089)
HI,walgreens,POINT (-156.4655808 20.8884031)
CA,walgreens,POINT (-122.2277831 40.1605547)
CA,walgreens,POINT (-122.347311 37.5767529)
CA,walgreens,POINT (-122.3932156 37.7289003)
CA,walgreens,POINT (-122.3868239 37.5969957)
CA,walgreens,POINT (-123.2039497 39.1511109)
CA,walgreens,POINT (-121.6231637 36.6820444)
CA,walgreens,POINT (-122.4005829 37.7913454)
CA,walgreens,POINT (-122.5035509 37.7794404)
CA,walgreens,POINT (-122.4188986 37.7891395)
CA,walgreens,POINT (-122.0766989 37.695946)
CA,walgreens,POINT (-122.2710535 37.8040409)
CA,walgreens,POINT (-122.4759585 37.7808)
CA,walgreens,POINT (-122.2760594 37.7789703)
CA,walgreens,POINT (-122.0889877 37.6530071)
CA,walgreens,POINT (-121.2863249 37.8272546)
CA,walgreens,POINT (-122.4337109 37.7508512)
CA,walgreens,POINT (-122.4088464 37.7889867)
CA,walgreens,POINT (-122.406072 37.7532771)
CA,walgreens,POINT (-122.4235636 37.7865733)
CA,walgreens,POINT (-122.4205002 37.791029)
CA,walgreens,POINT (-122.4204496 37.7826783)
CA,walgreens,POINT (-122.4194439 37.7656508)
