STATE,NAME,geometry
AK,"walmart, wal-mart",POINT (-149.5349371 61.3090534)
CA,"walmart, wal-mart",POINT (-117.099326 32.6747654)
CA,"walmart, wal-mart",POINT (-116.9682391 32.631153)
AK,"walmart, wal-mart",POINT (-147.6891805 64.8564372)
AK,"walmart, wal-mart",POINT (-149.8795236 61.1923919)
CA,"walmart, wal-mart",POINT (-117.0942724 32.6518923)
CA,"walmart, wal-mart",POINT (-117.0830488 32.6067512)
AK,"walmart, wal-mart",POINT (-134.5138686 58.3583615)
AK,"walmart, wal-mart",POINT (-149.8699363 61.1401661)
AK,"walmart, wal-mart",POINT (-151.2250599 60.5642893)
CA,"walmart, wal-mart",POINT (-117.0355179 32.5815247)
AK,"walmart, wal-mart",POINT (-131.7204087 55.375613)
AK,"walmart, wal-mart",POINT (-149.3650972 61.568932)
AK,"walmart, wal-mart",POINT (-152.3655635 57.8118921)
HI,"walmart, wal-mart",POINT (-155.9909081 19.6462098)
HI,"walmart, wal-mart",POINT (-156.4549732 20.8784017)
HI,"walmart, wal-mart",POINT (-155.0619253 19.700143)
HI,"walmart, wal-mart",POINT (-158.0345533 21.3914208)
HI,"walmart, wal-mart",POINT (-157.9744739 21.3971473)
HI,"walmart, wal-mart",POINT (-157.8429708 21.2947569)
HI,"walmart, wal-mart",POINT (-159.3648615 21.9824147)
CA,"walmart, wal-mart",POINT (-121.9856555 37.5202248)
CA,"walmart, wal-mart",POINT (-121.7616644 37.9634644)
CA,"walmart, wal-mart",POINT (-121.3032382 38.1129918)
CA,"walmart, wal-mart",POINT (-122.7900879 38.5287018)
CA,"walmart, wal-mart",POINT (-121.6538633 39.1447809)
CA,"walmart, wal-mart",POINT (-121.2918361 38.5961271)
CA,"walmart, wal-mart",POINT (-121.4335665 38.4994657)
CA,"walmart, wal-mart",POINT (-121.9211738 37.4314605)
CA,"walmart, wal-mart",POINT (-121.5511881 37.0086236)
CA,"walmart, wal-mart",POINT (-121.7991929 37.2564108)
CA,"walmart, wal-mart",POINT (-121.5500573 38.587351)
CA,"walmart, wal-mart",POINT (-121.767945 37.6992416)
OR,"walmart, wal-mart",POINT (-121.317489 44.0236526)
OR,"walmart, wal-mart",POINT (-123.0934595 44.0907274)
OR,"walmart, wal-mart",POINT (-122.995784 44.914017)
CA,"walmart, wal-mart",POINT (-121.6688804 36.70586)
CA,"walmart, wal-mart",POINT (-122.1777761 37.7145529)
CA,"walmart, wal-mart",POINT (-122.3284766 37.9797844)
CA,"walmart, wal-mart",POINT (-121.8681006 38.0090876)
CA,"walmart, wal-mart",POINT (-121.7410083 38.6754102)
