State,County,Tract,GEOID,population,white_alone,black_alone,aian_alone,asian_alone,nhopi_alone,hispanic,below_poverty,no_health_ins,one_health_ins,two_health_ins,racial_majority
15,1,20100,15001020100,4211,21.92,0.02,0.0,32.27,11.0,12.28,19.53,3.94,74.23,20.92,other
15,1,20202,15001020202,2750,29.16,0.98,0.55,21.96,14.69,12.18,12.41,1.49,52.25,12.62,other
15,1,20300,15001020300,4367,25.99,0.71,0.14,12.48,7.76,21.0,30.04,2.98,74.77,19.35,other
15,1,20400,15001020400,3377,19.4,0.33,0.0,27.57,12.47,12.64,27.38,4.47,70.24,25.29,other
15,1,20500,15001020500,5793,12.41,2.21,0.09,24.68,7.2,16.8,39.87,5.01,72.14,21.68,other
15,1,20600,15001020600,5823,8.83,0.17,0.05,18.65,29.23,10.2,12.49,4.1,72.51,23.27,other
15,1,20701,15001020701,4658,10.65,0.0,0.0,48.09,5.15,7.23,20.09,4.49,61.83,33.38,other
15,1,20702,15001020702,4696,7.96,0.26,0.0,48.0,6.9,10.9,4.66,0.43,72.02,27.56,other
15,1,20801,15001020801,4849,15.38,0.0,0.0,41.82,4.62,11.1,7.53,2.47,72.51,23.45,other
15,1,20802,15001020802,6821,24.97,1.6,0.0,29.53,5.07,10.35,6.31,0.34,74.24,24.41,other
15,1,20900,15001020900,4776,16.75,0.0,0.0,38.15,1.88,17.78,12.7,1.63,76.21,22.15,other
15,1,21003,15001021003,7430,27.77,0.78,0.66,9.21,16.54,26.35,22.37,6.88,71.67,21.45,other
15,1,21011,15001021011,4341,25.71,0.0,0.0,6.29,10.67,20.85,17.65,3.11,72.38,24.51,other
15,1,21013,15001021013,5524,12.49,0.0,0.0,39.99,18.99,5.61,18.35,4.65,72.01,23.15,other
15,1,21014,15001021014,6301,24.22,0.0,0.0,30.8,7.94,8.19,5.55,3.82,73.24,22.93,other
15,1,21015,15001021015,4268,50.63,0.0,0.91,10.75,13.82,7.15,14.76,2.32,73.41,22.19,white_alone
15,1,21016,15001021016,4507,39.8,1.07,0.29,7.3,8.48,21.01,21.09,5.66,69.07,25.27,other
15,1,21017,15001021017,3764,37.11,0.37,0.03,5.26,11.85,18.81,11.92,3.56,72.1,24.34,other
15,1,21101,15001021101,3328,58.92,0.42,0.48,8.8,3.34,13.67,31.28,7.84,67.34,24.82,white_alone
15,1,21107,15001021107,1347,24.05,0.15,0.0,23.83,25.02,11.8,42.28,17.67,65.03,17.3,other
15,1,21108,15001021108,6401,38.68,0.19,0.08,10.42,12.47,18.47,16.75,9.34,70.24,20.42,other
15,1,21203,15001021203,6791,22.97,2.14,0.0,10.5,13.24,25.95,28.56,5.73,77.6,16.4,other
15,1,21204,15001021204,2982,42.52,0.57,0.0,14.79,6.07,14.15,7.13,7.04,63.51,29.44,other
15,1,21300,15001021300,7497,40.74,0.83,0.29,11.95,10.7,13.47,11.02,8.82,61.81,29.37,other
15,1,21402,15001021402,3924,17.97,0.36,0.0,40.83,5.5,16.97,7.59,3.26,73.24,22.91,other
15,1,21502,15001021502,4815,39.52,0.15,0.08,10.13,7.52,13.23,10.27,4.03,72.07,23.9,other
15,1,21504,15001021504,6013,13.04,0.0,0.0,15.67,42.36,9.5,15.6,9.33,78.03,12.24,other
15,1,21510,15001021510,5102,47.16,0.0,0.0,24.48,5.74,11.15,14.86,0.9,71.56,26.17,other
15,1,21511,15001021511,2266,44.66,0.0,0.0,39.89,3.35,4.68,4.47,1.15,71.76,27.1,other
15,1,21512,15001021512,3591,39.68,0.78,0.0,20.16,13.23,0.06,5.04,2.34,81.04,16.54,other
15,1,21513,15001021513,5856,35.21,0.41,0.0,17.13,9.78,6.93,8.15,3.62,69.88,26.11,other
15,1,21605,15001021605,5423,36.38,0.0,0.09,30.13,8.04,13.96,7.4,11.65,72.99,15.27,other
15,1,21606,15001021606,4449,36.95,1.19,0.0,16.81,7.22,19.49,9.45,7.57,78.24,14.18,other
15,1,21607,15001021607,5305,55.82,0.38,0.0,24.79,1.38,6.22,1.47,2.3,73.46,24.24,white_alone
15,1,21608,15001021608,4432,63.9,2.82,0.0,12.82,3.38,4.87,6.72,1.85,79.92,17.26,white_alone
15,1,21705,15001021705,6172,29.0,0.0,0.0,21.99,10.34,9.95,10.15,7.21,78.82,13.97,other
15,1,21706,15001021706,4851,15.67,0.0,0.0,26.51,26.61,2.21,8.23,6.23,79.06,14.68,other
15,1,21707,15001021707,4596,40.25,2.37,0.0,19.73,5.11,15.58,10.87,4.13,78.55,17.32,other
15,1,21708,15001021708,4341,41.37,1.52,0.25,13.41,10.83,13.52,5.3,2.76,73.0,24.03,other
15,1,21800,15001021800,5906,31.65,0.47,0.0,20.18,8.04,17.27,11.45,4.54,71.2,23.92,other
15,1,21902,15001021902,3565,22.89,0.28,0.0,26.82,10.97,16.66,7.64,8.81,70.38,19.69,other
15,1,22000,15001022000,2491,26.86,0.0,0.24,22.4,11.56,13.81,18.36,4.09,73.14,21.84,other
15,1,22102,15001022102,1650,35.15,1.76,0.0,23.58,4.48,7.64,15.04,2.79,74.42,22.79,other
15,3,107,15003000107,2518,25.26,0.0,0.0,43.29,1.83,8.3,3.18,2.07,76.85,21.09,other
15,3,108,15003000108,2952,30.86,4.47,0.0,32.76,11.48,3.25,3.96,0.61,65.31,33.5,other
15,3,110,15003000110,4021,28.15,0.37,0.0,42.23,2.98,3.51,2.85,4.08,69.39,26.04,other
15,3,114,15003000114,1548,47.42,1.23,0.0,23.45,1.16,10.21,10.08,0.97,76.42,20.48,other
15,3,115,15003000115,2459,29.12,0.2,0.0,42.29,2.44,6.95,3.09,0.98,55.43,43.47,other
15,3,116,15003000116,2140,24.02,0.0,0.0,53.97,1.87,7.66,3.4,3.6,72.1,24.3,asian_alone
15,3,117,15003000117,1381,22.16,0.0,0.0,45.69,0.0,10.64,5.43,0.0,80.23,19.77,other
15,3,118,15003000118,1845,36.75,0.0,0.0,42.49,0.0,5.15,4.88,1.36,80.0,18.64,other
15,3,119,15003000119,2106,16.81,0.0,0.0,60.35,3.42,8.78,0.47,3.09,61.25,35.66,asian_alone
15,3,120,15003000120,2142,24.51,0.75,0.0,48.51,1.35,7.1,1.32,0.51,77.4,21.48,other
15,3,121,15003000121,2286,41.91,0.0,0.0,36.96,0.0,7.7,1.53,0.79,68.5,29.27,other
15,3,122,15003000122,3000,7.17,0.0,0.0,52.7,9.83,9.87,0.71,0.0,65.77,33.37,asian_alone
15,3,200,15003000200,5359,16.7,0.07,0.0,48.33,3.53,0.93,3.62,1.53,76.11,21.53,other
15,3,301,15003000301,3540,23.28,1.05,0.0,48.16,3.33,3.56,3.15,2.23,74.38,22.91,other
15,3,302,15003000302,2791,12.79,0.0,0.0,55.89,1.0,4.01,5.35,0.72,73.92,25.37,asian_alone
15,3,401,15003000401,2539,24.14,0.08,0.0,56.95,4.1,2.95,2.44,1.34,69.28,26.82,asian_alone
15,3,402,15003000402,3570,28.88,0.0,0.0,55.35,0.0,0.81,0.92,1.82,68.49,29.69,asian_alone
15,3,500,15003000500,3432,35.29,0.0,0.0,43.5,4.2,1.81,5.65,1.19,68.68,29.11,other
15,3,600,15003000600,1465,28.6,0.48,0.2,39.93,5.26,7.51,6.89,4.64,74.74,20.61,other
15,3,700,15003000700,3419,6.84,0.0,0.0,58.67,5.47,2.6,3.63,1.78,68.94,29.1,asian_alone
15,3,800,15003000800,3716,19.05,0.94,0.24,51.99,4.76,5.92,3.51,0.05,76.45,20.4,asian_alone
15,3,901,15003000901,2449,15.23,0.0,0.0,59.45,0.0,3.59,0.98,0.33,62.23,37.44,asian_alone
