,state,county,tract,GEOID,population,white_only,black_only,aian_alone,asian_only,nhopi_alone,hispanic,below_poverty,no_health_ins,one_health_ins,two_health_ins,racial_majority
1,38,001,965600,38001965600,2271,93.53,1.59,0.4,2.29,0.0,1.67,13.1,7.88,67.72,21.53,1
2,38,003,967900,38003967900,1751,98.12,0.0,0.51,0.0,0.0,0.57,9.03,8.17,73.22,18.5,1
3,38,003,968000,38003968000,2395,93.32,0.5,0.25,0.0,0.21,0.04,4.51,4.47,75.99,19.21,1
4,38,003,968200,38003968200,2519,87.38,2.54,0.44,1.87,0.0,7.23,8.68,4.41,74.16,21.44,1
5,38,003,968300,38003968300,3927,85.51,4.46,3.03,0.84,0.0,0.81,14.29,2.9,63.56,28.5,1
6,38,005,940100,38005940100,2524,16.32,0.08,80.55,0.0,0.0,0.91,44.17,10.54,78.09,11.05,3
7,38,005,940200,38005940200,2202,16.85,0.0,70.84,0.18,0.23,6.58,36.29,11.35,75.98,12.67,3
8,38,005,956700,38005956700,2134,93.72,0.61,0.75,0.0,0.0,3.84,14.62,4.26,71.88,23.85,1
9,38,007,963100,38007963100,886,100.0,0.0,0.0,0.0,0.0,0.0,10.95,3.27,71.11,25.62,1
10,38,009,952300,38009952300,2341,84.54,1.41,9.14,0.73,0.0,1.24,12.75,2.48,71.51,21.4,1
11,38,009,952400,38009952400,2407,94.85,0.0,1.08,0.0,0.0,2.62,8.13,2.53,67.43,30.04,1
12,38,009,952500,38009952500,1670,94.43,0.3,0.96,0.0,0.0,3.77,5.56,6.83,70.3,21.08,1
13,38,011,965200,38011965200,1777,89.81,0.0,0.79,0.0,0.23,8.84,10.42,7.26,71.02,17.9,1
14,38,011,965300,38011965300,1314,98.71,0.0,0.0,0.0,0.0,0.68,3.96,5.33,67.73,26.94,1
15,38,013,953300,38013953300,2142,93.14,0.75,1.07,1.54,0.0,0.7,6.71,4.15,77.03,18.72,1
16,38,015,010100,38015010100,3468,80.68,1.79,5.54,0.58,0.0,8.45,18.18,7.64,73.62,14.73,1
17,38,015,010200,38015010200,4551,84.49,4.44,1.82,0.88,0.0,1.74,10.35,4.2,76.33,13.27,1
18,38,015,010300,38015010300,5809,85.59,4.23,5.8,0.9,0.0,0.79,14.4,6.06,72.22,19.4,1
19,38,015,010400,38015010400,3734,89.64,2.3,3.21,0.0,0.0,3.27,5.61,5.01,69.9,25.09,1
20,38,015,010500,38015010500,5199,83.02,8.39,2.04,0.81,0.79,1.0,7.98,10.79,75.19,14.02,1
21,38,015,010600,38015010600,4103,85.47,3.61,7.41,0.0,0.0,1.24,14.58,10.82,60.15,29.03,1
22,38,015,010700,38015010700,4257,90.86,0.28,4.7,0.47,0.0,3.19,13.21,2.84,80.2,16.7,1
23,38,015,010800,38015010800,3893,81.2,1.85,11.48,0.26,0.0,2.83,6.1,11.58,62.16,22.01,1
24,38,015,010900,38015010900,4921,85.31,3.29,4.61,0.41,0.0,5.16,9.73,2.93,63.04,18.47,1
25,38,015,011001,38015011001,6660,85.47,3.72,3.14,1.22,0.0,2.42,6.36,5.74,71.49,21.8,1
26,38,015,011002,38015011002,6766,98.27,0.0,0.0,0.0,0.0,0.59,1.8,2.38,76.25,21.37,1
27,38,015,011101,38015011101,5986,84.25,1.29,3.88,3.04,0.0,0.07,9.7,2.54,70.06,26.91,1
28,38,015,011103,38015011103,2861,79.62,7.03,4.23,0.24,1.26,3.22,10.78,6.54,76.93,16.36,1
29,38,015,011104,38015011104,7465,92.87,0.39,0.09,1.27,0.0,1.3,0.48,0.16,83.16,16.58,1
30,38,015,011105,38015011105,6396,92.04,0.0,3.22,1.06,0.0,1.31,0.94,5.14,81.29,13.21,1
31,38,015,011200,38015011200,7726,90.51,0.21,2.42,0.74,0.0,3.75,4.98,4.67,77.71,14.38,1
32,38,015,011300,38015011300,7512,82.04,2.1,7.68,0.01,0.0,5.78,5.89,5.39,80.3,13.51,1
33,38,015,011400,38015011400,2783,92.31,0.0,0.54,0.04,0.07,3.09,11.61,2.77,81.03,15.63,1
34,38,015,011500,38015011500,1419,91.33,0.0,1.41,0.0,0.0,5.07,4.09,6.13,72.59,20.86,1
35,38,017,000100,38017000100,4891,96.77,1.17,0.76,0.0,0.0,1.17,3.08,0.63,83.03,16.11,1
36,38,017,000203,38017000203,2660,84.44,1.24,2.97,2.44,0.0,8.68,12.59,5.83,70.41,23.27,1
37,38,017,000204,38017000204,4086,80.93,1.62,0.17,1.17,0.83,6.19,11.33,5.21,75.38,18.53,1
38,38,017,000300,38017000300,4643,84.41,3.83,0.47,7.32,0.0,2.09,30.03,3.73,90.74,5.43,1
39,38,017,000400,38017000400,4153,91.89,0.34,0.65,1.57,0.0,2.99,28.46,6.07,78.28,12.09,1
40,38,017,000501,38017000501,3191,82.36,10.47,0.16,0.0,0.0,5.05,13.92,10.97,76.15,12.19,1
41,38,017,000502,38017000502,3503,81.5,5.97,1.28,5.02,0.0,2.28,53.52,15.27,75.85,8.25,1
42,38,017,000601,38017000601,2395,81.96,8.1,1.09,1.96,0.0,0.63,20.36,18.54,55.28,16.83,1
43,38,017,000602,38017000602,2342,66.35,16.27,1.11,1.07,0.0,11.96,39.73,16.91,68.87,14.22,1
44,38,017,000700,38017000700,1755,70.88,12.25,1.37,4.67,0.0,5.07,28.32,11.91,76.64,11.45,1
45,38,017,000801,38017000801,3150,91.14,1.52,2.03,1.37,0.0,3.02,7.25,8.48,65.05,26.25,1
46,38,017,000802,38017000802,5582,76.17,3.1,2.4,13.74,0.0,1.38,16.05,10.35,73.63,13.02,1
47,38,017,000901,38017000901,4873,96.59,1.87,0.33,0.06,0.0,0.04,4.41,1.97,75.23,20.91,1
48,38,017,000903,38017000903,3471,68.08,17.69,0.0,2.16,0.0,7.12,8.41,17.0,61.94,19.99,1
49,38,017,000904,38017000904,3938,86.82,6.88,3.15,0.48,0.0,2.08,7.22,7.03,71.53,21.2,1
50,38,017,001003,38017001003,3689,68.39,3.39,7.05,2.76,0.0,16.56,13.04,2.6,76.52,20.68,1
51,38,017,001004,38017001004,4761,80.91,10.99,0.17,1.91,0.0,3.28,9.13,6.57,74.4,14.77,1
52,38,017,010106,38017010106,6126,39.67,29.91,2.3,20.03,0.0,3.87,28.46,8.52,77.73,13.74,7
53,38,017,010107,38017010107,3162,61.23,22.8,1.9,7.31,0.0,4.62,16.22,9.99,70.37,19.64,1
54,38,017,010109,38017010109,3990,81.4,3.96,0.23,7.07,0.0,2.03,2.11,10.3,72.08,17.62,1
55,38,017,010110,38017010110,2527,96.95,0.0,0.0,0.0,0.0,0.0,1.03,2.18,88.01,9.81,1
56,38,017,010111,38017010111,2681,69.49,18.87,0.52,1.94,0.0,0.48,20.07,13.84,77.21,8.95,1
57,38,017,010201,38017010201,5211,88.24,3.45,0.36,0.21,0.0,2.36,4.36,3.36,84.17,12.15,1
58,38,017,010205,38017010205,3557,98.93,0.56,0.0,0.0,0.0,0.0,5.35,4.25,72.67,23.08,1
59,38,017,010206,38017010206,6089,82.38,6.68,0.18,1.43,0.0,2.64,16.71,3.63,75.27,20.07,1
60,38,017,010303,38017010303,7400,80.95,5.86,1.39,4.42,0.0,4.99,9.02,1.3,82.84,15.46,1
61,38,017,010306,38017010306,3904,83.35,6.97,0.05,4.18,0.0,3.36,4.05,3.28,66.52,26.1,1
62,38,017,010307,38017010307,2178,90.5,2.39,1.47,1.06,0.0,0.18,3.22,0.92,79.98,19.1,1
63,38,017,010308,38017010308,4815,80.58,13.4,0.33,3.18,0.0,0.29,11.78,5.42,81.72,12.63,1
64,38,017,040100,38017040100,2077,97.83,0.0,0.34,0.0,0.0,0.77,6.16,4.72,75.54,19.74,1
65,38,017,040200,38017040200,2239,97.1,0.22,0.49,0.85,0.0,0.71,2.58,3.39,76.86,18.4,1
66,38,017,040300,38017040300,3614,96.04,0.64,0.66,0.0,0.0,2.46,2.77,7.44,74.52,17.4,1
