State,County,Tract,GEOID,population,white_alone,black_alone,aian_alone,asian_alone,nhopi_alone,hispanic,below_poverty,no_health_ins,one_health_ins,two_health_ins,racial_majority
54,1,965500,54001965500,3889,95.6,0.41,0.0,0.0,0.0,3.27,21.22,3.73,83.29,12.99,white_alone
54,1,965600,54001965600,3958,92.7,3.36,0.0,0.76,0.0,0.93,26.53,3.74,78.42,15.77,white_alone
54,1,965700,54001965700,4993,96.41,0.1,0.3,0.4,0.0,0.5,14.84,3.97,71.84,24.19,white_alone
54,1,965800,54001965800,3703,92.14,0.49,1.03,0.0,0.0,0.86,24.07,6.35,71.19,20.15,white_alone
54,3,971101,54003971101,6646,82.77,3.28,0.0,3.16,0.0,7.16,2.82,4.75,76.21,18.79,white_alone
54,3,971103,54003971103,1802,92.95,1.44,0.0,0.28,0.0,1.83,11.73,5.6,70.37,24.03,white_alone
54,3,971104,54003971104,3763,93.04,1.12,0.0,0.0,0.0,3.48,3.53,6.27,75.82,17.91,white_alone
54,3,971105,54003971105,4245,84.08,3.67,0.0,0.0,0.0,5.39,1.63,2.76,71.05,26.2,white_alone
54,3,971203,54003971203,3035,99.37,0.0,0.0,0.0,0.0,0.49,9.56,3.43,70.12,25.4,white_alone
54,3,971204,54003971204,2719,98.42,1.58,0.0,0.0,0.0,0.0,2.39,3.82,75.03,21.15,white_alone
54,3,971205,54003971205,3739,90.18,4.39,0.11,2.17,0.0,1.34,9.87,2.57,77.91,18.96,white_alone
54,3,971206,54003971206,6951,71.4,10.36,0.55,1.6,0.0,13.48,7.12,3.74,73.54,22.72,white_alone
54,3,971301,54003971301,5341,77.93,13.54,0.0,0.07,0.0,4.31,25.85,10.13,71.71,16.94,white_alone
54,3,971302,54003971302,4630,86.29,2.44,0.0,0.26,0.0,4.75,7.67,6.46,70.17,22.74,white_alone
54,3,971401,54003971401,3510,86.95,6.55,0.0,2.34,0.0,1.37,2.76,4.5,68.69,26.21,white_alone
54,3,971402,54003971402,5866,74.63,10.3,0.73,4.35,0.0,4.19,25.04,4.62,76.66,18.72,white_alone
54,3,971500,54003971500,3435,68.88,16.8,0.0,0.0,0.0,10.42,21.51,5.68,75.84,18.49,white_alone
54,3,971600,54003971600,4542,71.42,15.83,0.0,1.76,0.0,5.94,29.61,9.84,76.22,13.94,white_alone
54,3,971700,54003971700,5454,80.55,12.74,0.48,2.04,0.0,1.89,22.62,11.37,62.05,26.59,white_alone
54,3,971801,54003971801,4452,94.83,0.0,0.0,0.0,0.0,0.0,5.35,7.75,77.67,14.58,white_alone
54,3,971802,54003971802,4628,94.94,1.49,0.0,0.0,0.0,3.57,8.08,1.99,67.98,28.63,white_alone
54,3,971901,54003971901,6944,84.56,9.55,0.0,0.73,0.0,3.46,6.48,8.64,72.24,18.78,white_alone
54,3,971902,54003971902,4490,79.18,6.64,0.0,4.74,0.0,7.15,10.01,8.22,71.51,20.07,white_alone
