Longitude,Latitude,County,State,City,ZIP,ID
-86.49454911,31.29579533,COVINGTON,AL,ANDALUSIA,36420,0
-86.9784072099999,34.8041639300001,LIMESTONE,AL,ATHENS,35611,1
-87.47879851,31.0170238700001,ESCAMBIA,AL,ATMORE,36502,2
-86.17493002,32.3763995,MONTGOMERY,AL,MONTGOMERY,36117,3
-86.27754935,32.3281539500001,MONTGOMERY,AL,MONTGOMERY,36111,4
-88.17800813,30.6248084900001,MOBILE,AL,MOBILE,36693,5
-86.26319151,31.69458855,CRENSHAW,AL,LUVERNE,36049,6
-87.14831123,32.95135837,BIBB,AL,CENTREVILLE,35042,7
-86.7766650999999,33.46425993,JEFFERSON,AL,HOMEWOOD,35209,8
-87.53815802,33.2163030900001,TUSCALOOSA,AL,TUSCALOOSA,35401,9
-85.7170093299999,32.14663511,BULLOCK,AL,UNION SPRINGS,36089,10
-85.71214861,32.44521832,MACON,AL,TUSKEGEE,36083,11
-86.8051591399999,33.5040481500001,JEFFERSON,AL,BIRMINGHAM,35233,12
-88.20949244,32.0931053400001,CHOCTAW,AL,BUTLER,36904,13
-86.0907834,33.4402768200001,TALLADEGA,AL,TALLADEGA,35161,14
-85.8239827799999,33.2775639400001,CLAY,AL,ASHLAND,36251,15
-85.91224661,32.53390983,ELMORE,AL,TALLASSEE,36078,16
-86.25548758,33.1645602300001,TALLADEGA,AL,SYLACAUGA,35150,17
-86.2650457,31.69354407,CRENSHAW,AL,LUVERNE,36049,18
-86.5721715399999,34.6936114000001,MADISON,AL,HUNTSVILLE,35801,19
-86.28134483,32.32346327,MONTGOMERY,AL,MONTGOMERY,36116,20
-86.80572957,34.2013272,CULLMAN,AL,CULLMAN,35058,21
-87.0734993,31.1270339100001,ESCAMBIA,AL,BREWTON,36427,22
-85.63208804,31.4515766600001,DALE,AL,OZARK,36360,23
-87.52741947,33.2048205300001,TUSCALOOSA,AL,TUSCALOOSA,35401,24
-86.9714815299999,34.59034409,MORGAN,AL,DECATUR,35601,25
-87.0158086599999,34.57689679,MORGAN,AL,DECATUR,35601,26
-87.02541659,34.58368232,MORGAN,AL,DECATUR,35601,27
-85.7562183699999,34.44127984,DEKALB,AL,FORT PAYNE,35968,28
-85.16870267,32.8245981100001,CHAMBERS,AL,VALLEY,36854,29
-85.4044747899999,32.63852487,LEE,AL,OPELIKA,36801,30
-87.8951390999999,30.6352891500001,BALDWIN,AL,DAPHNE,36526,31
-86.18639645,32.5522669700001,ELMORE,AL,WETUMPKA,36092,32
-86.78833499,33.46911585,JEFFERSON,AL,BIRMINGHAM,35209,33
-85.3658126299999,31.2179119100001,HOUSTON,AL,DOTHAN,36301,34
-85.96848844,34.00674122,ETOWAH,AL,GADSDEN,35903,35
-86.2807098,32.3191069800001,MONTGOMERY,AL,MONTGOMERY,36116,36
-86.57986887,34.71920943,MADISON,AL,HUNTSVILLE,35801,37
-86.7988099999999,33.2832999,SHELBY,AL,PELHAM,35124,38
-86.94048359,31.43079857,CONECUH,AL,EVERGREEN,36401,39
-87.82468898,33.70817814,FAYETTE,AL,FAYETTE,35555,40
-85.45704246,31.2374299900001,HOUSTON,AL,DOTHAN,36305,41
-85.65108878,34.1614583,CHEROKEE,AL,CENTRE,35960,42
-85.9659821399999,34.0077362800001,ETOWAH,AL,GADSDEN,35903,43
-86.71744146,33.43293355,JEFFERSON,AL,BIRMINGHAM,35243,44
-87.8904834799999,32.84324894,GREENE,AL,EUTAW,35462,45
-87.7760246299999,31.6943023000001,CLARKE,AL,GROVE HILL,36451,46
-87.58693419,32.69537224,HALE,AL,GREENSBORO,36744,47
-87.70026146,34.7459501500001,COLBERT,AL,SHEFFIELD,35660,48
-86.0474907999999,34.6620379300001,JACKSON,AL,SCOTTSBORO,35768,49
-86.7301833,33.5488342800001,JEFFERSON,AL,BIRMINGHAM,35212,50
-88.29552376,32.49199422,SUMTER,AL,YORK,36925,51
-86.5808055099999,34.7214331000001,MADISON,AL,HUNTSVILLE,35801,52
-88.08029057,30.6969006900001,MOBILE,AL,MOBILE,36607,53
-87.30025784,31.9975251500001,WILCOX,AL,CAMDEN,36726,54
-85.00888474,32.50801426,RUSSELL,AL,PHENIX CITY,36867,55
-86.2853855399999,32.366953,MONTGOMERY,AL,MONTGOMERY,36106,56
-87.89513456,31.53106846,CLARKE,AL,JACKSON,36545,57
-85.74113991,32.8185985700001,TALLAPOOSA,AL,DADEVILLE,36853,58
-87.5913657999999,34.24191187,WINSTON,AL,HALEYVILLE,35565,59
-85.38460112,31.2038156400001,HOUSTON,AL,DOTHAN,36301,60
-87.28531044,34.48341465,LAWRENCE,AL,MOULTON,35650,61
-86.7645278799999,34.7470600400001,MADISON,AL,MADISON,35758,62
-86.42135153,34.3649133500001,MARSHALL,AL,GUNTERSVILLE,35976,63
-86.1606281699999,34.2214658500001,MARSHALL,AL,BOAZ,35957,64
-87.533981,33.2190660000001,TUSCALOOSA,AL,TUSCALOOSA,35402,65
-85.1564054199999,31.8886450800001,BARBOUR,AL,EUFAULA,36027,66
-85.85536974,31.3187724000001,COFFEE,AL,ENTERPRISE,36330,67
-86.99074849,33.3718483100001,JEFFERSON,AL,BESSEMER,35022,68
-86.25452692,31.29195824,COVINGTON,AL,OPP,36467,69
-88.07977619,30.6957249600001,MOBILE,AL,MOBILE,36607,70
-87.32076663,31.4978172,MONROE,AL,MONROEVILLE,36460,71
-86.0197660699999,34.07242575,ETOWAH,AL,GADSDEN,35904,72
-85.82323962,33.6556551900001,CALHOUN,AL,ANNISTON,36202,73
-86.68602206,33.4149192100001,SHELBY,AL,BIRMINGHAM,35261,74
-85.36294421,31.21628917,HOUSTON,AL,DOTHAN,36302,75
-86.2857900499999,32.3669693300001,MONTGOMERY,AL,MONTGOMERY,36106,76
-87.52636438,33.2051744500001,TUSCALOOSA,AL,TUSCALOOSA,35401,77
-87.65082721,34.8050981600001,LAUDERDALE,AL,FLORENCE,35630,78
-86.9788726,34.80424558,LIMESTONE,AL,ATHENS,35611,79
-87.7850225,30.9039343600001,BALDWIN,AL,BAY MINETTE,36507,80
-87.9907687799999,34.1259771800001,MARION,AL,HAMILTON,35570,81
-85.82324214,33.65557526,CALHOUN,AL,ANNISTON,36202,82
-87.5709108999999,33.23398145,TUSCALOOSA,AL,NORTHPORT,35476,83
-87.82452474,33.93053767,MARION,AL,WINFIELD,35594,84
-86.45225293,32.46389172,AUTAUGA,AL,PRATTVILLE,36067,85
-86.84718778,33.4980065300001,JEFFERSON,AL,BIRMINGHAM,35211,86
-88.1990793699999,30.6793276600001,MOBILE,AL,MOBILE,36685,87
-88.14732506,34.45810576,FRANKLIN,AL,RED BAY,35582,88
-86.6463641999999,31.8290344000001,BUTLER,AL,GREENVILLE,36037,89
-85.04640733,32.49884817,RUSSELL,AL,PHENIX CITY,36867,90
-86.00342706,34.00432554,ETOWAH,AL,GADSDEN,35901,91
-85.9695661499999,32.93021327,TALLAPOOSA,AL,ALEXANDER CITY,35010,92
-87.71838607,34.5108181200001,FRANKLIN,AL,RUSSELLVILLE,35653,93
-86.77625339,33.4637309400001,JEFFERSON,AL,BIRMINGHAM,35209,94
-86.8130430099999,33.2523648700001,SHELBY,AL,ALABASTER,35007,95
-87.67621342,34.7471929600001,COLBERT,AL,MUSCLE SHOALS,35661,96
-87.6846856499999,30.42583568,BALDWIN,AL,FOLEY,36535,97
-85.36363112,31.21630365,HOUSTON,AL,DOTHAN,36301,98
-88.13133629,30.6845174900001,MOBILE,AL,MOBILE,36608,99
-86.78912153,33.5074771700001,JEFFERSON,AL,BIRMINGHAM,35205,100
-86.4941186299999,33.92965073,BLOUNT,AL,ONEONTA,35121,101
-86.62279,32.8802860000001,CHILTON,AL,CLANTON,35046,102
-86.66761102,33.59615452,JEFFERSON,AL,BIRMINGHAM,35235,103
-86.30223929,33.6039924200001,ST. CLAIR,AL,PELL CITY,35125,104
-85.82371273,33.6682359000001,CALHOUN,AL,ANNISTON,36207,105
-85.480689,33.295332,RANDOLPH,AL,WEDOWEE,36278,106
-87.88944744,30.5188790300001,BALDWIN,AL,FAIRHOPE,36532,107
-87.745143,31.8761846,CLARKE,AL,THOMASVILLE,36784,108
-85.94556625,31.7815156500001,PIKE,AL,TROY,36081,109
-87.48831785,33.1899356700001,TUSCALOOSA,AL,TUSCALOOSA,35404,110
-86.80289191,33.5040061,JEFFERSON,AL,BIRMINGHAM,35233,111
-86.66569635,34.75317024,MADISON,AL,HUNTSVILLE,35806,112
-86.8020354,33.5056032900001,JEFFERSON,AL,BIRMINGHAM,35233,113
-88.0778076399999,30.6976838200001,MOBILE,AL,MOBILE,36604,114
-88.09833486,30.70706198,MOBILE,AL,MOBILE,36617,115
-87.05597305,32.42946521,DALLAS,AL,SELMA,36701,116
-87.2359995799999,33.8427289000001,WALKER,AL,JASPER,35502,117
-88.23507989,31.4595381500001,WASHINGTON,AL,CHATOM,36518,118
-87.8363988,32.50478853,MARENGO,AL,DEMOPOLIS,36732,119
-85.89253669,31.04879399,GENEVA,AL,GENEVA,36340,120
-149.82898817,61.21073914,ANCHORAGE,AK,ANCHORAGE,99508,121
-134.46515263,58.32907951,JUNEAU,AK,JUNEAU,99801,122
-151.07782696,60.4931690500001,KENAI PENINSULA,AK,SOLDOTNA,99669,123
-147.73939282,64.8317447100001,FAIRBANKS NORTH STAR,AK,FAIRBANKS,99701,124
-149.25831116,61.56289358,MATANUSKA-SUSITNA,AK,PALMER,99645,125
-149.4270914,61.5864231,MATANUSKA-SUSITNA,AK,WASILLA,99654,126
-149.8199587,61.1887628800001,ANCHORAGE,AK,ANCHORAGE,99508,127
-149.88011561,61.1764109900001,ANCHORAGE,AK,ANCHORAGE,99503,128
-149.82980155,61.1850968000001,ANCHORAGE,AK,ANCHORAGE,99508,129
-149.83348441,61.2079072000001,ANCHORAGE,AK,ANCHORAGE,99508,130
-149.80975832,61.20563044,ANCHORAGE,AK,ANCHORAGE,99508,131
-149.8317182,61.2081495,ANCHORAGE,AK,ANCHORAGE,99508,132
-145.75064915,60.5412547700001,CHUGACH,AK,CORDOVA,99574,133
-158.5355047,59.0000942,DILLINGHAM,AK,DILLINGHAM,99576,134
-131.68578842,55.3537186900001,KETCHIKAN GATEWAY,AK,KETCHIKAN,99901,135
-165.37840769,64.49950291,NOME,AK,NOME,99762,136
-132.95520506,56.8128840800001,PETERSBURG,AK,PETERSBURG,99833,137
-152.37560773,57.8008999800001,KODIAK ISLAND,AK,KODIAK,99615,138
-149.44642548,60.1050201100001,KENAI PENINSULA,AK,SEWARD,99664,139
-146.34655167,61.13653378,CHUGACH,AK,VALDEZ,99686,140
-156.72903697,71.29772504,NORTH SLOPE,AK,UTQIAGVIK,99723,141
-151.55012983,59.65247012,KENAI PENINSULA,AK,HOMER,99603,142
-132.3758039,56.47178239,WRANGELL,AK,WRANGELL,99929,143
-145.540928,62.108932,COPPER RIVER,AK,GLENNALLEN,99588,144
-166.5393244,53.8722442000001,ALEUTIANS WEST,AK,UNALASKA,99685,145
-170.685741,-14.290242,EASTERN,AS,PAGO PAGO,96799,146
-111.75197649,33.2872664500001,MARICOPA,AZ,GILBERT,85297,147
-111.32065115,34.23007678,GILA,AZ,PAYSON,85541,148
-110.3081187,31.96510498,COCHISE,AZ,BENSON,85602,149
-110.82640787,33.4060443600001,GILA,AZ,GLOBE,85501,150
-109.88302823,31.4178109600001,COCHISE,AZ,BISBEE,85603,151
-110.42669889,35.8021344000001,NAVAJO,AZ,POLACCA,86042,152
-110.95974713,31.3402868800001,SANTA CRUZ,AZ,NOGALES,85621,153
-114.28521966,34.1364324800001,LA PAZ,AZ,PARKER,85344,154
-110.69250885,35.0358076900001,NAVAJO,AZ,WINSLOW,86047,155
-109.54355573,35.7107458200001,APACHE,AZ,GANADO,86505,156
-109.83814424,32.2649674,COCHISE,AZ,WILLCOX,85643,157
-111.46358713,36.91764799,COCONINO,AZ,PAGE,86040,158
-109.28525796,34.13173504,APACHE,AZ,SPRINGERVILLE,85938,159
-112.73993184,33.9783637400001,MARICOPA,AZ,WICKENBURG,85390,160
-110.83808282,32.2312412000001,PIMA,AZ,TUCSON,85710,161
-112.341321,33.6393944000001,MARICOPA,AZ,SURPRISE,85378,162
-111.82208245,33.42548358,MARICOPA,AZ,MESA,85203,163
-112.07999224,33.48214432,MARICOPA,AZ,PHOENIX,85013,164
-112.06017578,33.4639159500001,MARICOPA,AZ,PHOENIX,85006,165
-110.85851627,32.22564684,PIMA,AZ,TUCSON,85711,166
-110.96493489,32.18123222,PIMA,AZ,TUCSON,85713,167
-112.02934361,33.4550443800001,MARICOPA,AZ,PHOENIX,85008,168
-112.02809075,33.45342284,MARICOPA,AZ,PHOENIX,85008,169
-112.18937168,33.5812353100001,MARICOPA,AZ,GLENDALE,85302,170
-111.93913469,33.3642810100001,MARICOPA,AZ,TEMPE,85283,171
-112.38116229,33.63441097,MARICOPA,AZ,SURPRISE,85374,172
-111.91887885,33.48320442,MARICOPA,AZ,SCOTTSDALE,85251,173
