,STATE,geometry
0,NY,POINT (-78.8582 42.753)
1,NY,POINT (-73.7937 40.761)
2,NY,POINT (-78.8297 43.0607)
3,NY,POINT (-79.0496 43.0939)
4,NY,POINT (-73.9763 40.7395)
5,NY,POINT (-73.8517 42.6993)
6,NY,POINT (-78.8502 43.0001)
7,NY,POINT (-78.7519 42.8909)
8,NY,POINT (-73.8877 41.5314)
9,NY,POINT (-75.9177 42.1011)
10,NY,POINT (-74.1533 41.1162)
11,NY,POINT (-73.9596 40.6786)
12,NY,POINT (-74.1839 42.9609)
13,NY,POINT (-73.8374 40.8745)
14,NY,POINT (-74.0314 41.1484)
15,NY,POINT (-77.1113 43.0501)
16,NY,POINT (-77.4399 43.2143)
17,NY,POINT (-73.9686 40.7961)
18,NY,POINT (-73.8884 42.8167)
19,NY,POINT (-77.0964 43.0335)
20,NY,POINT (-73.4979 44.7027)
21,NY,POINT (-79.2325 42.0913)
22,NY,POINT (-73.9876 40.736)
23,NY,POINT (-73.9621 40.7622)
24,NY,POINT (-73.9549 40.8141)
25,NY,POINT (-74.3575 41.4477)
26,NY,POINT (-73.8449 40.8469)
27,NY,POINT (-75.4991 43.7954)
28,NY,POINT (-73.596 44.216)
29,NY,POINT (-74.0806 40.5988)
30,NY,POINT (-73.8987 40.6763)
31,NY,POINT (-78.7542 42.9596)
32,NY,POINT (-73.9938 40.7689)
33,NY,POINT (-74.2904 44.8576)
34,NY,POINT (-73.9508 40.6561)
35,NY,POINT (-74.8907 44.923)
36,NY,POINT (-73.8269 40.912)
37,NY,POINT (-73.8168 43.0859)
38,NY,POINT (-78.9901 43.1122)
39,NY,POINT (-77.5812 43.1041)
40,NY,POINT (-73.0646 40.8601)
41,NY,POINT (-77.7006 43.1892)
42,NY,POINT (-73.8948 40.9396)
43,NY,POINT (-73.9388 40.804)
44,NY,POINT (-73.8665 40.8782)
45,NY,POINT (-73.8665 40.8782)
46,NY,POINT (-77.4949 43.1171)
47,NY,POINT (-73.3466 40.6911)
48,NY,POINT (-77.0614 42.1509)
49,NY,POINT (-76.86 42.3524)
50,NY,POINT (-73.8628 40.7083)
51,NY,POINT (-76.8254 42.1015)
52,NY,POINT (-73.8525 42.7002)
53,NY,POINT (-74.3398 41.3952)
54,NY,POINT (-73.5047 40.7499)
55,NY,POINT (-73.9725 40.6412)
56,NY,POINT (-73.9128 42.7863)
57,NY,POINT (-73.7116 42.6008)
58,NY,POINT (-73.7825 40.5954)
59,NY,POINT (-73.7917 40.7258)
60,NY,POINT (-74.3326 43.0725)
61,NY,POINT (-73.9838 40.6794)
62,NY,POINT (-73.8427 40.8488)
63,NY,POINT (-78.7839 42.9211)
64,NY,POINT (-73.413 40.8306)
65,NY,POINT (-73.9529 40.6794)
66,NY,POINT (-73.6883 40.7228)
67,NY,POINT (-73.9086 41.7387)
68,NY,POINT (-73.1931 40.7407)
69,NY,POINT (-73.5841 40.6577)
70,NY,POINT (-73.7064 40.7822)
71,NY,POINT (-73.9845 40.6322)
72,NY,POINT (-78.8814 42.9476)
73,NY,POINT (-74.0289 41.521)
74,NY,POINT (-77.5892 43.1959)
75,NY,POINT (-72.4006 40.8966)
76,NY,POINT (-73.9153 40.8152)
77,NY,POINT (-75.6431 43.0758)
78,NY,POINT (-73.9902 40.5722)
79,NY,POINT (-74.0137 40.634)
80,NY,POINT (-73.3817 40.6826)
81,NY,POINT (-73.7902 40.7119)
82,NY,POINT (-79.3223 42.4584)
83,NY,POINT (-78.87 42.8926)
84,NY,POINT (-73.8699 40.7092)
85,NY,POINT (-73.8389 40.6797)
86,NY,POINT (-78.8272 42.9815)
87,NY,POINT (-73.4864 40.8093)
88,NY,POINT (-73.8595 40.9155)
89,NY,POINT (-73.6303 40.8811)
90,NY,POINT (-75.6516 43.0949)
91,NY,POINT (-73.6885 42.695)
92,NY,POINT (-73.759 42.7723)
93,NY,POINT (-73.6478 43.3088)
94,NY,POINT (-73.8627 40.6711)
95,NY,POINT (-73.9001 40.8487)
96,NY,POINT (-73.8434 40.8606)
97,NY,POINT (-73.849 40.876)
98,NY,POINT (-73.9441 40.7079)
99,NY,POINT (-78.6971 43.1543)
100,MO,POINT (-93.9844 39.3419)
101,MO,POINT (-90.3778 38.5047)
102,MO,POINT (-90.7042 38.7195)
103,MO,POINT (-91.4004 39.7294)
104,MO,POINT (-90.3822 38.4134)
105,MO,POINT (-94.3943 36.8775)
106,MO,POINT (-90.4412 36.768)
107,NE,POINT (-96.6931 40.3134)
108,AR,POINT (-90.6335 34.5181)
109,AR,POINT (-94.186 36.1676)
110,LA,POINT (-89.8736 30.7496)
111,LA,POINT (-91.0031 30.0872)
112,MO,POINT (-90.2646 38.72)
113,LA,POINT (-93.1956 30.2037)
114,LA,POINT (-90.7263 29.9967)
115,LA,POINT (-92.0684 30.4113)
116,LA,POINT (-90.2815 29.9818)
117,LA,POINT (-90.8187 29.812)
118,OK,POINT (-97.0824 36.1155)
119,OK,POINT (-98.2276 35.071)
120,OK,POINT (-95.5885 35.318)
121,OK,POINT (-94.7529 36.5843)
122,OK,POINT (-95.3991 35.9578)
123,TX,POINT (-99.5923 27.6357)
124,TX,POINT (-100.2279 34.4394)
125,TX,POINT (-97.49 25.9264)
126,TX,POINT (-99.1484 30.0413)
127,TX,POINT (-106.339 31.7501)
128,TX,POINT (-95.0899 30.337)
129,TX,POINT (-97.5025 25.9432)
130,TX,POINT (-95.2237 31.9636)
131,TX,POINT (-97.6998 31.0852)
132,TX,POINT (-97.38 31.0748)
133,TX,POINT (-106.4061 31.8984)
134,TX,POINT (-97.1628 33.6463)
135,TX,POINT (-98.5007 28.9491)
136,TX,POINT (-97.1887 31.5884)
137,TX,POINT (-106.4859 31.7782)
138,TX,POINT (-97.7406 32.7575)
139,TX,POINT (-95.5696 29.9924)
140,TX,POINT (-95.6406 29.7044)
141,TX,POINT (-96.0783 30.0974)
142,TX,POINT (-98.051 26.1822)
143,AZ,POINT (-111.2338 36.1302)
144,CO,POINT (-106.0087 38.5428)
145,CO,POINT (-105.9017 37.4797)
146,NV,POINT (-116.024 36.215)
147,NM,POINT (-104.4392 36.9034)
148,NM,POINT (-105.9549 35.6602)
149,NM,POINT (-106.3126 35.4803)
150,NM,POINT (-108.7379 35.535)
151,UT,POINT (-111.8407 40.771)
152,WY,POINT (-110.9703 41.255)
153,ID,POINT (-116.59 43.6004)
154,ID,POINT (-114.4861 42.591)
155,ID,POINT (-116.9247 44.0241)
156,MT,POINT (-105.1897 48.1155)
157,MT,POINT (-108.6232 45.7567)
158,MT,POINT (-114.1272 47.6851)
159,MT,POINT (-114.1262 47.6848)
160,OR,POINT (-118.6863 45.644)
161,WA,POINT (-119.18 46.2711)
162,WA,POINT (-117.9232 48.5582)
163,CA,POINT (-121.9637 38.27)
164,CA,POINT (-121.9791 37.3224)
165,CA,POINT (-121.2828 37.8829)
166,HI,POINT (-156.4912 20.8851)
167,HI,POINT (-157.0194 21.0897)
168,CA,POINT (-121.5042 38.651)
169,CA,POINT (-120.0589 36.7341)
170,CA,POINT (-118.2971 34.1727)
171,CA,POINT (-118.1632 34.6908)
172,CA,POINT (-117.562 33.9273)
173,CA,POINT (-118.2557 34.0271)
174,CA,POINT (-119.036 36.0785)
175,MO,POINT (-90.2395 38.757)
176,PA,POINT (-75.889 39.8217)
177,WV,POINT (-80.1691 39.4402)
178,GA,POINT (-83.9829 30.8356)
179,GA,POINT (-84.921 34.4854)
180,SC,POINT (-80.0622 34.3619)
181,AL,POINT (-87.2821 33.8511)
182,MS,POINT (-89.2909 31.9651)
183,MI,POINT (-84.752 42.2634)
184,LA,POINT (-92.0711 30.5432)
185,CO,POINT (-104.7168 40.3944)
186,NV,POINT (-114.8833 39.2521)
187,NM,POINT (-108.7987 35.0845)
188,OR,POINT (-119.3122 45.8458)
189,IL,POINT (-87.8535 41.6507)
190,TX,POINT (-95.529 29.5379)
191,AL,POINT (-87.8422 32.4987)
192,PR,POINT (-66.6625 17.986)
193,PA,POINT (-79.8536 40.1839)
194,PA,POINT (-79.5979 40.4023)
195,PA,POINT (-76.4465 41.784)
196,GA,POINT (-83.2936 30.865)
197,GA,POINT (-85.2651 34.9502)
198,NC,POINT (-77.3891 35.5596)
199,SC,POINT (-80.9296 33.9501)
200,AL,POINT (-86.9187 33.4569)
201,AL,POINT (-86.9682 31.4414)
202,AL,POINT (-85.848 31.2909)
203,AL,POINT (-87.0688 31.1271)
204,AL,POINT (-85.2837 31.5503)
205,MS,POINT (-90.0075 32.612)
206,MS,POINT (-90.0504 33.1128)
207,MS,POINT (-90.873 32.9038)
208,MS,POINT (-89.5561 31.6298)
209,MS,POINT (-90.4972 33.1862)
210,MS,POINT (-88.4318 33.5366)
211,MS,POINT (-89.4003 31.3104)
212,TN,POINT (-86.8582 36.1326)
213,TN,POINT (-84.1734 35.8964)
214,TN,POINT (-84.0953 35.922)
215,KY,POINT (-84.6768 37.5474)
216,IN,POINT (-86.3344 41.7233)
217,IN,POINT (-85.1072 41.1767)
218,IN,POINT (-86.5112 38.8426)
219,KY,POINT (-83.2325 37.2785)
220,KY,POINT (-87.1425 37.3039)
221,KY,POINT (-84.4628 39.0642)
222,KY,POINT (-82.7774 37.7554)
223,KY,POINT (-82.799 37.8102)
224,KY,POINT (-85.4665 37.8255)
225,KY,POINT (-82.9443 38.3466)
226,KY,POINT (-86.3998 36.9662)
227,KY,POINT (-85.2389 38.2114)
228,KY,POINT (-84.6768 37.5474)
229,OH,POINT (-81.5375 41.4484)
230,OH,POINT (-83.4281 39.9037)
231,IL,POINT (-88.0088 41.8177)
232,IL,POINT (-90.5326 41.4697)
233,IL,POINT (-89.5943 40.5422)
234,IL,POINT (-89.2374 37.9992)
235,IL,POINT (-90.1717 38.9192)
236,IL,POINT (-89.6453 41.8203)
237,IL,POINT (-88.3521 41.8642)
238,IL,POINT (-88.2878 42.2542)
239,IL,POINT (-87.973 41.9064)
240,IL,POINT (-88.4009 42.1791)
241,IL,POINT (-90.1393 38.735)
242,IL,POINT (-88.2658 41.4182)
243,IL,POINT (-87.9822 41.9058)
244,IL,POINT (-89.8868 38.7165)
245,MI,POINT (-87.0977 45.7414)
246,MI,POINT (-82.9453 42.3794)
247,MI,POINT (-87.4178 46.5374)
248,MI,POINT (-84.5974 44.4867)
249,MI,POINT (-83.1819 42.2512)
250,MN,POINT (-95.1023 44.5409)
251,MN,POINT (-95.7611 44.4477)
252,ND,POINT (-102.576 47.9816)
253,SD,POINT (-100.8669 43.2794)
254,SD,POINT (-96.6175 45.2219)
255,WI,POINT (-90.5187 43.9576)
256,IA,POINT (-93.6181 41.6013)
257,IA,POINT (-96.3321 42.4462)
258,KS,POINT (-95.4715 37.6742)
259,KS,POINT (-97.4362 37.6959)
260,MO,POINT (-91.5692 37.6605)
261,MO,POINT (-94.2177 39.7306)
262,MO,POINT (-92.5783 40.2087)
