,STATE,geometry
0,CT,POINT (-72.878648 41.601435)
1,ME,POINT (-70.256668 43.657432)
2,ME,POINT (-68.424621 44.541326)
3,MA,POINT (-71.057959 42.352824)
4,MA,POINT (-71.118913 42.373832)
5,MA,POINT (-71.155305 41.702031)
6,MA,POINT (-70.662582 42.612569)
7,MA,POINT (-72.600637 42.587947)
8,MA,POINT (-71.138868 42.451648)
9,NH,POINT (-71.776211 44.307428)
10,AL,POINT (-85.479839 32.606782)
11,AL,POINT (-85.349641 31.341141)
12,AL,POINT (-86.070453 34.018213)
13,AL,POINT (-87.837519 32.51816)
14,AL,POINT (-85.004072 32.470793)
15,AL,POINT (-86.503625 34.33712)
16,AL,POINT (-87.601323 33.659316)
17,AL,POINT (-86.029358 34.672722)
18,AL,POINT (-86.839705 34.168227)
19,AL,POINT (-87.624719 34.226209)
20,AL,POINT (-86.955682 31.433211)
21,AL,POINT (-88.145294 34.441791)
22,AL,POINT (-88.10861 33.760578)
23,AL,POINT (-87.814433 33.929915)
24,AL,POINT (-85.11093 31.292788)
25,AL,POINT (-86.325829 34.025184)
26,AL,POINT (-86.484121 31.308098)
27,AL,POINT (-86.590912 34.083317)
28,AL,POINT (-87.492461 31.023929)
29,AL,POINT (-85.863854 31.033593)
30,AL,POINT (-87.071644 31.105841)
31,AL,POINT (-86.326164 31.002757)
32,AL,POINT (-87.284489 33.730583)
33,AL,POINT (-85.36861 33.150834)
34,AL,POINT (-86.263729 31.713971)
35,AL,POINT (-87.317282 31.504812)
36,AL,POINT (-86.749579 33.103149)
37,AL,POINT (-86.971249 34.801218)
38,AL,POINT (-85.872633 34.270639)
39,AL,POINT (-85.431824 31.236023)
40,AR,POINT (-92.064249 33.613671)
41,AR,POINT (-90.418989 35.530798)
42,AR,POINT (-93.577614 33.357532)
43,AR,POINT (-92.466015 33.537851)
44,AR,POINT (-94.119185 36.120848)
45,AR,POINT (-91.79225 33.629148)
46,AR,POINT (-94.051985 35.498372)
47,AR,POINT (-91.54254 33.120424)
48,AR,POINT (-92.847949 33.916591)
49,AR,POINT (-92.064305 33.614261)
50,AR,POINT (-92.663411 33.214038)
51,AR,POINT (-90.787159 35.010912)
52,AR,POINT (-93.053037 34.509011)
53,AR,POINT (-93.501715 34.031303)
54,AR,POINT (-94.208106 36.373131)
55,AR,POINT (-93.37968 33.801352)
56,AR,POINT (-94.175611 35.336278)
57,AR,POINT (-94.22591 35.483265)
58,AR,POINT (-94.232105 36.263888)
59,AR,POINT (-91.312003 34.692774)
60,AR,POINT (-94.136012 36.120094)
61,AR,POINT (-94.357218 33.938471)
62,AR,POINT (-92.458617 34.769564)
63,CA,POINT (-118.442233 34.059213)
64,FL,POINT (-82.98644 30.292568)
65,FL,POINT (-83.416732 30.469478)
66,FL,POINT (-81.42171 30.339021)
67,FL,POINT (-80.252961 27.191715)
68,FL,POINT (-82.456482 27.947304)
69,FL,POINT (-82.443866 29.387987)
70,FL,POINT (-81.023568 29.212036)
71,FL,POINT (-83.583301 30.117958)
72,FL,POINT (-86.570054 30.76032)
73,FL,POINT (-81.626261 28.106663)
74,FL,POINT (-82.440281 27.960254)
75,FL,POINT (-82.571131 27.497179)
76,FL,POINT (-87.217336 30.412738)
77,FL,POINT (-84.247872 30.509692)
78,GA,POINT (-83.226813 33.080063)
79,GA,POINT (-83.467083 33.596602)
80,GA,POINT (-82.599282 31.865382)
81,GA,POINT (-84.381501 34.340245)
82,GA,POINT (-83.223362 31.381551)
83,GA,POINT (-83.93838 33.034172)
84,GA,POINT (-83.251187 31.206444)
85,GA,POINT (-83.835379 31.529469)
86,GA,POINT (-83.229766 33.080693)
87,GA,POINT (-84.583927 33.566258)
88,GA,POINT (-84.326235 32.88969)
89,GA,POINT (-82.738152 33.736788)
90,GA,POINT (-83.823548 34.301436)
91,GA,POINT (-83.477249 33.572776)
92,GA,POINT (-84.263879 33.245089)
93,GA,POINT (-84.540581 32.677638)
94,GA,POINT (-84.790129 34.166697)
95,GA,POINT (-84.34215 33.107437)
96,GA,POINT (-83.843432 33.602217)
97,GA,POINT (-83.158106 33.884206)
98,GA,POINT (-83.885515 32.555385)
99,GA,POINT (-84.559108 32.788096)
100,GA,POINT (-84.36305 34.023058)
101,GA,POINT (-85.045271 33.996538)
102,GA,POINT (-82.900685 32.066688)
103,GA,POINT (-84.93215 33.731867)
104,GA,POINT (-85.098419 33.27946)
105,GA,POINT (-82.86572 34.109336)
106,GA,POINT (-83.97851 30.838021)
107,GA,POINT (-85.183574 32.879347)
108,GA,POINT (-81.59663 31.845745)
109,GA,POINT (-82.40465 32.865276)
110,IN,POINT (-85.650727 40.415499)
111,IN,POINT (-86.882241 40.985218)
112,IN,POINT (-85.536921 40.062517)
113,IN,POINT (-86.428617 39.426081)
114,IN,POINT (-86.801552 39.852017)
115,IN,POINT (-85.587618 41.463949)
116,IA,POINT (-95.744748 41.045809)
117,IA,POINT (-91.569341 43.084577)
118,IA,POINT (-91.693058 41.298662)
119,IA,POINT (-94.201292 41.934548)
120,IA,POINT (-91.313528 40.631241)
121,IA,POINT (-90.721418 41.45614)
122,IA,POINT (-95.86809613 42.38825244)
123,IA,POINT (-91.18097633 43.01761715)
124,IA,POINT (-94.020732 41.618224)
125,IA,POINT (-94.534225 42.529428)
126,IA,POINT (-91.538725 41.21386)
127,IA,POINT (-94.358122 41.691778)
128,IA,POINT (-96.485289 42.9946)
129,IA,POINT (-96.1757 43.082879)
130,IA,POINT (-94.376342 42.016278)
131,IA,POINT (-95.147366 43.15714)
132,IA,POINT (-94.868362 42.066836)
133,IA,POINT (-91.492945 41.806521)
134,IA,POINT (-94.668929 42.73522)
135,IA,POINT (-95.497712 42.973843)
136,IA,POINT (-95.793279 42.169439)
137,IA,POINT (-95.012985 41.40476)
138,IA,POINT (-94.86957 42.060685)
139,IA,POINT (-95.065168 41.909331)
140,IA,POINT (-90.39409 42.052524)
141,IA,POINT (-93.462962 41.644023)
142,IA,POINT (-91.808229 42.963129)
143,IA,POINT (-94.105175 41.83977)
144,IA,POINT (-91.607294 42.033207)
145,IA,POINT (-93.768971 41.559103)
146,IA,POINT (-91.360574 41.280747)
147,IA,POINT (-95.792961 42.165927)
148,IA,POINT (-92.912395 42.019382)
149,IA,POINT (-91.445651 43.052933)
150,IA,POINT (-95.012988 41.408271)
