,STATE,geometry
0,AL,POINT (-86.49454911 31.29579533)
1,AL,POINT (-86.9784072099999 34.8041639300001)
2,AL,POINT (-87.47879851 31.0170238700001)
3,AL,POINT (-86.17493002 32.3763995)
4,AL,POINT (-86.27754935 32.3281539500001)
5,AL,POINT (-88.17800813 30.6248084900001)
6,AL,POINT (-86.26319151 31.69458855)
7,AL,POINT (-87.14831123 32.95135837)
8,AL,POINT (-86.7766650999999 33.46425993)
9,AL,POINT (-87.53815802 33.2163030900001)
10,AL,POINT (-85.7170093299999 32.14663511)
11,AL,POINT (-85.71214861 32.44521832)
12,AL,POINT (-86.8051591399999 33.5040481500001)
13,AL,POINT (-88.20949244 32.0931053400001)
14,AL,POINT (-86.0907834 33.4402768200001)
15,AL,POINT (-85.8239827799999 33.2775639400001)
16,AL,POINT (-85.91224661 32.53390983)
17,AL,POINT (-86.25548758 33.1645602300001)
18,AL,POINT (-86.2650457 31.69354407)
19,AL,POINT (-86.5721715399999 34.6936114000001)
20,AL,POINT (-86.28134483 32.32346327)
21,AL,POINT (-86.80572957 34.2013272)
22,AL,POINT (-87.0734993 31.1270339100001)
23,AL,POINT (-85.63208804 31.4515766600001)
24,AL,POINT (-87.52741947 33.2048205300001)
25,AL,POINT (-86.9714815299999 34.59034409)
26,AL,POINT (-87.0158086599999 34.57689679)
27,AL,POINT (-87.02541659 34.58368232)
28,AL,POINT (-85.7562183699999 34.44127984)
29,AL,POINT (-85.16870267 32.8245981100001)
30,AL,POINT (-85.4044747899999 32.63852487)
31,AL,POINT (-87.8951390999999 30.6352891500001)
32,AL,POINT (-86.18639645 32.5522669700001)
33,AL,POINT (-86.78833499 33.46911585)
34,AL,POINT (-85.3658126299999 31.2179119100001)
35,AL,POINT (-85.96848844 34.00674122)
36,AL,POINT (-86.2807098 32.3191069800001)
37,AL,POINT (-86.57986887 34.71920943)
38,AL,POINT (-86.7988099999999 33.2832999)
39,AL,POINT (-86.94048359 31.43079857)
40,AL,POINT (-87.82468898 33.70817814)
41,AL,POINT (-85.45704246 31.2374299900001)
42,AL,POINT (-85.65108878 34.1614583)
43,AL,POINT (-85.9659821399999 34.0077362800001)
44,AL,POINT (-86.71744146 33.43293355)
45,AL,POINT (-87.8904834799999 32.84324894)
46,AL,POINT (-87.7760246299999 31.6943023000001)
47,AL,POINT (-87.58693419 32.69537224)
48,AL,POINT (-87.70026146 34.7459501500001)
49,AL,POINT (-86.0474907999999 34.6620379300001)
50,AL,POINT (-86.7301833 33.5488342800001)
51,AL,POINT (-88.29552376 32.49199422)
52,AL,POINT (-86.5808055099999 34.7214331000001)
53,AL,POINT (-88.08029057 30.6969006900001)
54,AL,POINT (-87.30025784 31.9975251500001)
55,AL,POINT (-85.00888474 32.50801426)
56,AL,POINT (-86.2853855399999 32.366953)
57,AL,POINT (-87.89513456 31.53106846)
58,AL,POINT (-85.74113991 32.8185985700001)
59,AL,POINT (-87.5913657999999 34.24191187)
60,AL,POINT (-85.38460112 31.2038156400001)
61,AL,POINT (-87.28531044 34.48341465)
62,AL,POINT (-86.7645278799999 34.7470600400001)
63,AL,POINT (-86.42135153 34.3649133500001)
64,AL,POINT (-86.1606281699999 34.2214658500001)
65,AL,POINT (-87.533981 33.2190660000001)
66,AL,POINT (-85.1564054199999 31.8886450800001)
67,AL,POINT (-85.85536974 31.3187724000001)
68,AL,POINT (-86.99074849 33.3718483100001)
69,AL,POINT (-86.25452692 31.29195824)
70,AL,POINT (-88.07977619 30.6957249600001)
71,AL,POINT (-87.32076663 31.4978172)
72,AL,POINT (-86.0197660699999 34.07242575)
73,AL,POINT (-85.82323962 33.6556551900001)
74,AL,POINT (-86.68602206 33.4149192100001)
75,AL,POINT (-85.36294421 31.21628917)
76,AL,POINT (-86.2857900499999 32.3669693300001)
77,AL,POINT (-87.52636438 33.2051744500001)
78,AL,POINT (-87.65082721 34.8050981600001)
79,AL,POINT (-86.9788726 34.80424558)
80,AL,POINT (-87.7850225 30.9039343600001)
81,AL,POINT (-87.9907687799999 34.1259771800001)
82,AL,POINT (-85.82324214 33.65557526)
83,AL,POINT (-87.5709108999999 33.23398145)
84,AL,POINT (-87.82452474 33.93053767)
85,AL,POINT (-86.45225293 32.46389172)
86,AL,POINT (-86.84718778 33.4980065300001)
87,AL,POINT (-88.1990793699999 30.6793276600001)
88,AL,POINT (-88.14732506 34.45810576)
89,AL,POINT (-86.6463641999999 31.8290344000001)
90,AL,POINT (-85.04640733 32.49884817)
91,AL,POINT (-86.00342706 34.00432554)
92,AL,POINT (-85.9695661499999 32.93021327)
93,AL,POINT (-87.71838607 34.5108181200001)
94,AL,POINT (-86.77625339 33.4637309400001)
95,AL,POINT (-86.8130430099999 33.2523648700001)
96,AL,POINT (-87.67621342 34.7471929600001)
97,AL,POINT (-87.6846856499999 30.42583568)
98,AL,POINT (-85.36363112 31.21630365)
99,AL,POINT (-88.13133629 30.6845174900001)
100,AL,POINT (-86.78912153 33.5074771700001)
101,AL,POINT (-86.4941186299999 33.92965073)
102,AL,POINT (-86.62279 32.8802860000001)
103,AL,POINT (-86.66761102 33.59615452)
104,AL,POINT (-86.30223929 33.6039924200001)
105,AL,POINT (-85.82371273 33.6682359000001)
106,AL,POINT (-85.480689 33.295332)
107,AL,POINT (-87.88944744 30.5188790300001)
108,AL,POINT (-87.745143 31.8761846)
109,AL,POINT (-85.94556625 31.7815156500001)
110,AL,POINT (-87.48831785 33.1899356700001)
111,AL,POINT (-86.80289191 33.5040061)
112,AL,POINT (-86.66569635 34.75317024)
113,AL,POINT (-86.8020354 33.5056032900001)
114,AL,POINT (-88.0778076399999 30.6976838200001)
115,AL,POINT (-88.09833486 30.70706198)
116,AL,POINT (-87.05597305 32.42946521)
117,AL,POINT (-87.2359995799999 33.8427289000001)
118,AL,POINT (-88.23507989 31.4595381500001)
119,AL,POINT (-87.8363988 32.50478853)
120,AL,POINT (-85.89253669 31.04879399)
121,AK,POINT (-149.82898817 61.21073914)
122,AK,POINT (-134.46515263 58.32907951)
123,AK,POINT (-151.07782696 60.4931690500001)
124,AK,POINT (-147.73939282 64.8317447100001)
125,AK,POINT (-149.25831116 61.56289358)
126,AK,POINT (-149.4270914 61.5864231)
127,AK,POINT (-149.8199587 61.1887628800001)
128,AK,POINT (-149.88011561 61.1764109900001)
129,AK,POINT (-149.82980155 61.1850968000001)
130,AK,POINT (-149.83348441 61.2079072000001)
131,AK,POINT (-149.80975832 61.20563044)
132,AK,POINT (-149.8317182 61.2081495)
133,AK,POINT (-145.75064915 60.5412547700001)
134,AK,POINT (-158.5355047 59.0000942)
135,AK,POINT (-131.68578842 55.3537186900001)
136,AK,POINT (-165.37840769 64.49950291)
137,AK,POINT (-132.95520506 56.8128840800001)
138,AK,POINT (-152.37560773 57.8008999800001)
139,AK,POINT (-149.44642548 60.1050201100001)
140,AK,POINT (-146.34655167 61.13653378)
141,AK,POINT (-156.72903697 71.29772504)
142,AK,POINT (-151.55012983 59.65247012)
143,AK,POINT (-132.3758039 56.47178239)
144,AK,POINT (-145.540928 62.108932)
145,AK,POINT (-166.5393244 53.8722442000001)
146,AS,POINT (-170.685741 -14.290242)
147,AZ,POINT (-112.03980735 33.4788775600001)
148,AZ,POINT (-111.75197649 33.2872664500001)
149,AZ,POINT (-111.32065115 34.23007678)
150,AZ,POINT (-110.3081187 31.96510498)
151,AZ,POINT (-110.82640787 33.4060443600001)
152,AZ,POINT (-109.88302823 31.4178109600001)
153,AZ,POINT (-110.42669889 35.8021344000001)
154,AZ,POINT (-110.95974713 31.3402868800001)
155,AZ,POINT (-114.28521966 34.1364324800001)
156,AZ,POINT (-110.69250885 35.0358076900001)
157,AZ,POINT (-109.54355573 35.7107458200001)
158,AZ,POINT (-109.83814424 32.2649674)
159,AZ,POINT (-111.46358713 36.91764799)
160,AZ,POINT (-109.28525796 34.13173504)
161,AZ,POINT (-112.73993184 33.9783637400001)
162,AZ,POINT (-110.83808282 32.2312412000001)
163,AZ,POINT (-112.341321 33.6393944000001)
164,AZ,POINT (-111.82208245 33.42548358)
165,AZ,POINT (-112.07999224 33.48214432)
166,AZ,POINT (-112.06017578 33.4639159500001)
167,AZ,POINT (-110.85851627 32.22564684)
168,AZ,POINT (-110.96493489 32.18123222)
169,AZ,POINT (-112.02934361 33.4550443800001)
170,AZ,POINT (-112.02809075 33.45342284)
171,AZ,POINT (-112.18937168 33.5812353100001)
172,AZ,POINT (-111.93913469 33.3642810100001)
173,AZ,POINT (-112.38116229 33.63441097)
174,AZ,POINT (-111.91887885 33.48320442)
175,AZ,POINT (-109.97538595 34.1652321)
176,AZ,POINT (-111.750194 33.2821941)
177,AZ,POINT (-112.28768324 33.4652729200001)
178,AZ,POINT (-110.8556645 32.2398469)
179,AZ,POINT (-112.34380725 33.64112837)
180,AZ,POINT (-111.60649395 35.20669667)
181,AZ,POINT (-112.08117563 33.4356313500001)
182,AZ,POINT (-112.47143144 34.55641131)
183,AZ,POINT (-111.84738448 33.3402740600001)
184,AZ,POINT (-110.87611878 32.25593768)
185,AZ,POINT (-112.05282546 33.4660456400001)
186,AZ,POINT (-112.11384238 33.6778566300001)
187,AZ,POINT (-111.0073363 32.31676456)
188,AZ,POINT (-112.04204647 33.4549441500001)
189,AZ,POINT (-112.0840587 33.4346887)
190,AZ,POINT (-114.528661 35.186387)
191,AZ,POINT (-112.00597019 33.48286813)
192,AZ,POINT (-112.32766139 34.59050187)
193,AZ,POINT (-112.063426 33.4633930000001)
194,AZ,POINT (-112.26179888 33.60420695)
195,AZ,POINT (-112.34113547 33.63931726)
196,AZ,POINT (-111.8686893 33.305529)
197,AZ,POINT (-111.70987496 33.37995297)
198,AZ,POINT (-111.00846929 32.3185910300001)
199,AZ,POINT (-111.87281182 33.5830879000001)
200,AZ,POINT (-110.88296381 32.2559568500001)
201,AZ,POINT (-112.20389582 33.60780443)
202,AZ,POINT (-111.89026145 33.56112225)
203,AZ,POINT (-113.98571896 35.2190708300001)
204,AZ,POINT (-112.32841054 34.5961893300001)
205,AZ,POINT (-111.63041947 35.21008656)
206,AZ,POINT (-114.63004394 32.68332744)
207,AZ,POINT (-112.03966773 33.4808672300001)
208,AZ,POINT (-112.20158176 33.6550542000001)
209,AZ,POINT (-111.96854787 33.7986857400001)
210,AZ,POINT (-112.10218155 33.52481593)
211,AZ,POINT (-111.7082731 33.380214)
212,AZ,POINT (-111.99746997 33.6397581800001)
213,AZ,POINT (-112.4206714 33.6374373)
214,AZ,POINT (-112.35340015 33.4615884500001)
215,AZ,POINT (-111.73480037 33.38030393)
216,AZ,POINT (-112.05738174 33.46442144)
217,AZ,POINT (-110.94630651 32.2419737700001)
218,AZ,POINT (-111.68799961 33.4110054000001)
219,AZ,POINT (-112.28366707 33.60423473)
220,AZ,POINT (-111.71074859 32.88115523)
221,AZ,POINT (-112.37250587 33.6596894300001)
222,AZ,POINT (-111.87756751 33.3894771600001)
223,AZ,POINT (-112.25779128 33.4786071400001)
224,AZ,POINT (-111.72300023 33.38475362)
225,AZ,POINT (-111.5671567 33.39427956)
226,AZ,POINT (-111.85675526 33.28557024)
227,AZ,POINT (-111.68649231 33.4116920700001)
228,AZ,POINT (-111.56559085 33.2144353800001)
229,AZ,POINT (-112.17968539 33.6083543)
230,AZ,POINT (-110.93069873 32.1758547000001)
231,AZ,POINT (-110.22977963 31.5524178000001)
232,AZ,POINT (-111.08531186 32.3609004300001)
233,AZ,POINT (-112.09911252 33.532134)
234,AZ,POINT (-109.95906629 33.8765490000001)
235,AZ,POINT (-109.6081006 36.1576028600001)
236,AZ,POINT (-111.87461186 33.29739077)
237,AZ,POINT (-112.1670055 33.3802854)
238,AZ,POINT (-111.63696248 33.35075182)
239,AZ,POINT (-111.6439482 35.20964623)
240,AZ,POINT (-111.48568867 33.07313487)
241,AZ,POINT (-109.04848784 35.75930577)
242,AZ,POINT (-111.92555162 33.4901910400001)
243,AZ,POINT (-114.33878975 34.4804539900001)
244,AZ,POINT (-112.13035843 33.7855884300001)
245,AZ,POINT (-112.11606718 33.6661282700001)
246,AZ,POINT (-112.07077104 33.56914841)
247,AZ,POINT (-111.92296685 33.4883938500001)
248,AZ,POINT (-111.88518409 33.58083809)
249,AZ,POINT (-111.9223224 33.67112932)
250,AZ,POINT (-114.03697743 35.2200708400001)
251,AZ,POINT (-111.95644824 33.6590826300001)
252,AZ,POINT (-111.75243904 33.2868555800001)
253,AZ,POINT (-111.61116328 33.3914970700001)
254,AZ,POINT (-109.73515724 32.82275472)
255,AZ,POINT (-112.29846083 33.60904041)
256,AZ,POINT (-110.98527679 31.95586934)
257,AZ,POINT (-111.99661459 33.4566498300001)
258,AZ,POINT (-110.94877018 32.4290227600001)
259,AZ,POINT (-111.89128381 33.3338859900001)
260,AZ,POINT (-111.88207143 33.2609327000001)
261,AZ,POINT (-110.41787595 33.2957575300001)
262,AZ,POINT (-111.00990386 31.8067235400001)
263,AZ,POINT (-110.85512155 32.2265061300001)
264,AZ,POINT (-112.27553187 33.54242652)
265,AZ,POINT (-112.0422176 33.45477758)
266,AZ,POINT (-112.07940279 33.48097074)
267,AZ,POINT (-111.00017368 32.2281177300001)
268,AZ,POINT (-110.01770074 34.20249383)
269,AZ,POINT (-111.9406125 33.4125968600001)
270,AZ,POINT (-110.88449797 32.2487826500001)
271,AZ,POINT (-111.89048857 31.91850571)
272,AZ,POINT (-111.23730391 36.1357736100001)
273,AZ,POINT (-110.8948742 32.2221731000001)
274,AZ,POINT (-110.87929885 32.2523042500001)
275,AZ,POINT (-114.59639772 35.00223558)
276,AZ,POINT (-112.02641296 33.4578471)
277,AZ,POINT (-112.0295646 34.7353596400001)
278,AZ,POINT (-114.5550477 35.1108471700001)
279,AZ,POINT (-112.36440187 33.4538635800001)
280,AZ,POINT (-112.48127115 34.5602200500001)
281,AZ,POINT (-112.33037981 34.5905394500001)
282,AZ,POINT (-114.63538324 32.6827470900001)
283,AZ,POINT (-112.05699762 33.4628877600001)
284,AZ,POINT (-110.94685512 32.24135269)
285,AR,POINT (-91.33823119 34.27979487)
286,AR,POINT (-91.9387990499999 33.13845416)
287,AR,POINT (-92.3965442099999 36.34210333)
288,AR,POINT (-94.1461075999999 36.2785567)
289,AR,POINT (-94.18297802 36.30899285)
290,AR,POINT (-94.1913569 36.3399063300001)
291,AR,POINT (-94.45911011 36.40858329)
292,AR,POINT (-94.50765532 36.1897842700001)
293,AR,POINT (-93.10913937 36.2365313600001)
294,AR,POINT (-92.05925489 33.6103641300001)
295,AR,POINT (-93.7442359199999 36.4001637900001)
296,AR,POINT (-93.5518257699999 36.3590621000001)
297,AR,POINT (-91.2903315999999 33.3147629000001)
298,AR,POINT (-93.0888241599999 34.12291357)
299,AR,POINT (-90.20483796 36.3901194700001)
300,AR,POINT (-91.9979984999999 35.5045011300001)
301,AR,POINT (-93.23913276 33.27419818)
302,AR,POINT (-92.7213513199999 35.1680149100001)
303,AR,POINT (-90.666568 35.808393)
304,AR,POINT (-90.6930359099999 35.8326775)
305,AR,POINT (-90.6365143099999 35.8668293700001)
306,AR,POINT (-90.70261858 35.8364980200001)
307,AR,POINT (-90.66978926 35.85221482)
308,AR,POINT (-94.3387977099999 35.43540066)
309,AR,POINT (-90.17783336 35.16795985)
310,AR,POINT (-90.78664054 35.2195579200001)
311,AR,POINT (-92.4255876399999 33.81085539)
312,AR,POINT (-91.48036852 33.8732016700001)
313,AR,POINT (-91.39227634 33.6184553200001)
314,AR,POINT (-92.4195706199999 35.05671664)
315,AR,POINT (-92.42399239 35.0381092800001)
316,AR,POINT (-92.4578835999999 35.08566805)
317,AR,POINT (-92.4556860499999 35.08929113)
318,AR,POINT (-93.83344375 35.4858200100001)
319,AR,POINT (-91.81030795 36.3829008800001)
320,AR,POINT (-93.06627041 34.46802567)
321,AR,POINT (-93.0749322299999 34.4642512300001)
322,AR,POINT (-93.0672341 34.4680542200001)
323,AR,POINT (-93.05757749 34.5098970700001)
324,AR,POINT (-93.0353852699999 34.48610511)
325,AR,POINT (-90.4984570399999 36.0519443100001)
326,AR,POINT (-93.58441613 33.64817908)
327,AR,POINT (-92.84270041 34.3448684700001)
328,AR,POINT (-92.7858884 34.3587740400001)
329,AR,POINT (-93.8805491799999 33.94972276)
330,AR,POINT (-91.63459098 35.7678692600001)
331,AR,POINT (-92.12808717 36.1267768500001)
332,AR,POINT (-91.2650600599999 35.60856885)
333,AR,POINT (-92.0176802 34.1877346900001)
334,AR,POINT (-93.44408063 35.46157579)
335,AR,POINT (-90.96782345 36.0737585000001)
336,AR,POINT (-94.13485202 33.6692528200001)
337,AR,POINT (-93.93517063 35.1403219200001)
338,AR,POINT (-93.72487855 35.28929334)
339,AR,POINT (-92.0347837 34.9816286000001)
340,AR,POINT (-94.0340908699999 33.4610700200001)
341,AR,POINT (-89.91731125 35.94301993)
342,AR,POINT (-89.97557004 35.6997050800001)
343,AR,POINT (-92.8367393299999 33.5758211300001)
344,AR,POINT (-90.62710336 34.5102853400001)
345,AR,POINT (-94.22163124 34.5890536000001)
346,AR,POINT (-93.15007797 35.2835554600001)
347,AR,POINT (-92.2931766899999 34.7432363500001)
