,STATE,geometry
0,AK,POINT (-135.44587 59.2369360000001)
1,AK,POINT (-149.788331713 61.1964318500001)
2,AK,POINT (-149.113634259 61.596384577)
3,AK,POINT (-149.14848959 61.6013294100001)
4,AK,POINT (-149.28398331 61.6117593450001)
5,AK,POINT (-151.275259474 60.5103496090001)
6,AK,POINT (-149.831727162 61.183358168)
7,AK,POINT (-149.46508342 61.397809167)
8,AK,POINT (-149.835385572 61.1462204100001)
9,AK,POINT (-149.853150929 61.128771826)
10,AK,POINT (-149.843070137 61.1354958480001)
11,AK,POINT (-149.900502174 61.212241229)
12,AK,POINT (-147.798733199 64.831968036)
13,AK,POINT (-135.337664694 57.049993252)
14,AK,POINT (-149.855255802 61.191437234)
15,AK,POINT (-149.349316001 61.5755378680001)
16,AK,POINT (-131.691437 55.3573500000001)
17,AK,POINT (-149.596536064 61.536119655)
18,AK,POINT (-149.815992701 61.1485250440001)
19,AK,POINT (-149.452331982 61.5893591550001)
20,AK,POINT (-147.349684 64.750862)
21,AK,POINT (-149.521153463 61.551499409)
22,AK,POINT (-149.832097943 61.182909076)
23,AK,POINT (-149.379733847 61.5956354050001)
24,AK,POINT (-149.453945802 61.5990253400001)
25,AK,POINT (-149.472135614 61.6147420390001)
26,AK,POINT (-149.834750352 61.1465449570001)
27,AK,POINT (-134.496905629 58.344604727)
28,AK,POINT (-149.783558379 61.1962409440001)
29,AK,POINT (-147.361469 64.755365)
30,AK,POINT (-151.073430931 60.4784778550001)
31,AK,POINT (-147.741404736 64.8280824290001)
32,AK,POINT (-149.7389374 61.2015623390001)
33,AK,POINT (-149.794853569 61.2122520930001)
34,AK,POINT (-147.706978942 64.8406214560001)
35,AK,POINT (-149.851391201 61.1399072310001)
36,AK,POINT (-151.278774205 60.571035603)
37,AK,POINT (-151.829403092 59.7644258270001)
38,AK,POINT (-147.74052739 64.824954415)
39,AK,POINT (-161.766028234 60.795263908)
40,AK,POINT (-156.751954912 71.298731751)
41,AK,POINT (-147.33080067 64.7480238430001)
42,AK,POINT (-149.822581923 61.1775169590001)
43,AK,POINT (-151.539698725 59.6475230950001)
44,AK,POINT (-149.903201989 61.196018785)
45,AK,POINT (-149.781499868 61.1986164420001)
46,AK,POINT (-149.911242901 61.131725767)
47,AK,POINT (-149.791673135 61.0799610070001)
48,AK,POINT (-149.805906079 61.2146921)
49,AK,POINT (-149.806864681 61.2194562120001)
50,AK,POINT (-149.799588452 61.2297229280001)
51,AK,POINT (-149.798458899 61.2268716140001)
52,AK,POINT (-149.799538539 61.229876081)
53,AK,POINT (-149.810768631 61.2294220540001)
54,AK,POINT (-147.772256537 64.8338044290001)
55,AK,POINT (-131.691971649 55.3561471630001)
56,AK,POINT (-151.689232878 59.676008777)
57,AK,POINT (-149.782290956 61.185999414)
58,AK,POINT (-149.990594248 61.1544826590001)
59,AK,POINT (-149.914007975 61.132963729)
60,AK,POINT (-149.822383423 61.1561837930001)
61,AK,POINT (-149.783220775 61.1861436670001)
62,AK,POINT (-149.730955096 61.2126244460001)
63,AK,POINT (-149.842490828 61.1549653860001)
64,AK,POINT (-149.524284347 61.314134548)
65,AK,POINT (-149.806136096 61.2208337930001)
66,AK,POINT (-149.912747561 61.1464762740001)
67,AK,POINT (-149.914247497 61.13275207)
68,AK,POINT (-149.853370522 61.102467694)
69,AK,POINT (-149.762315674 61.192554795)
70,AK,POINT (-149.811145987 61.1513046220001)
71,AK,POINT (-149.788378232 61.1960694140001)
72,AK,POINT (-149.891595748 61.143399828)
73,AK,POINT (-149.766317691 61.211479764)
74,AK,POINT (-149.89157492 61.1431602420001)
75,AK,POINT (-149.903287663 61.153484371)
76,AK,POINT (-149.811186791 61.1517402010001)
77,AK,POINT (-149.839429717 61.155375969)
78,AK,POINT (-149.914192466 61.136867056)
79,AK,POINT (-149.735210193 61.185260027)
80,AK,POINT (-149.742870174 61.200296489)
81,AK,POINT (-149.734732337 61.187864371)
82,AK,POINT (-149.956550083 61.1408549390001)
83,AK,POINT (-149.574928637 61.5583877930001)
84,AK,POINT (-149.790073034 61.2204667730001)
85,AK,POINT (-149.732851522 61.2058752880001)
86,AK,POINT (-151.078851226 60.4818535840001)
87,AK,POINT (-149.849452549 61.1937126860001)
88,AK,POINT (-147.805538167 64.85119131)
89,AK,POINT (-149.859945693 61.100428799)
90,AK,POINT (-149.812334208 61.1546526860001)
91,AK,POINT (-149.81113559 61.151154628)
92,AK,POINT (-149.859255693 61.208132886)
93,AK,POINT (-149.394265018 61.6193690910001)
94,AK,POINT (-149.827493712 61.1575066820001)
95,AK,POINT (-149.910437289 61.114667883)
96,AK,POINT (-149.91020714 61.1362560040001)
97,AK,POINT (-149.914094693 61.1358255710001)
98,AK,POINT (-149.770447379 61.184064629)
99,AK,POINT (-149.72332386 61.2234511170001)
100,AK,POINT (-149.823356306 61.143750943)
101,AK,POINT (-149.914163209 61.1367128860001)
102,AK,POINT (-149.811242022 61.1516350910001)
103,AK,POINT (-149.811194105 61.1514309440001)
104,AK,POINT (-149.901293209 61.174195114)
105,AK,POINT (-147.766599799 64.8622848040001)
106,AK,POINT (-149.906653493 61.1528236290001)
107,AK,POINT (-149.732055829 61.1832257460001)
108,AK,POINT (-149.870499019 61.1090539130001)
