,STATE,geometry
0,AZ,POINT (-110.93605 31.388018)
1,AZ,POINT (-110.95232 31.357872)
2,AZ,POINT (-110.933797 31.3645250000001)
3,AZ,POINT (-110.935815 31.3410490000001)
4,AZ,POINT (-110.938607 31.3381190000001)
5,AZ,POINT (-109.552881 31.345135)
6,AZ,POINT (-109.891538 31.427401)
7,AZ,POINT (-109.924023 31.3806010000001)
8,AZ,POINT (-110.929472 31.367245)
9,TX,POINT (-102.890011 30.8939)
10,TX,POINT (-103.667542 30.355848)
11,TX,POINT (-103.667542 30.355848)
12,TX,POINT (-103.484034 31.403105)
13,AK,POINT (-149.884869 61.1894780000001)
14,AK,POINT (-149.83569 61.1808110000001)
15,AK,POINT (-149.779884 61.1949980000001)
16,AK,POINT (-149.887803 61.195323)
17,AK,POINT (-149.875135 61.189489)
18,AK,POINT (-149.861402 61.109202)
19,AK,POINT (-149.884296 61.1808770000001)
20,AK,POINT (-149.897902 61.186836)
21,AK,POINT (-149.893635 61.173664)
22,AK,POINT (-149.877556 61.1447610000001)
23,AK,POINT (-149.978829 61.161749)
24,AK,POINT (-149.836052 61.1383190000001)
25,AK,POINT (-149.895461 61.2161350000001)
26,AK,POINT (-149.890104 61.215625)
27,AK,POINT (-149.881024 61.2166090000001)
28,AK,POINT (-149.861633 61.108593)
29,AK,POINT (-150.003419 61.1943880000001)
30,AK,POINT (-150.003419 61.1943880000001)
31,AK,POINT (-149.846441 61.2344140000001)
32,AK,POINT (-149.570235 61.329848)
33,AK,POINT (-149.733578 61.223934)
34,AK,POINT (-149.848639 61.6361240000001)
35,AK,POINT (-149.406113 61.5760320000001)
36,AK,POINT (-149.429164 61.5822610000001)
37,AK,POINT (-149.44135 61.5833940000001)
38,AK,POINT (-161.753401 60.7747640000001)
39,AK,POINT (-151.530224 59.647343)
40,AK,POINT (-151.260321 60.5538480000001)
41,AK,POINT (-149.113455 61.601438)
42,AK,POINT (-151.251393 60.5601950000001)
43,AK,POINT (-151.251393 60.5601950000001)
44,AK,POINT (-149.326545 61.615418)
45,NV,POINT (-116.106887 40.7198270000001)
46,CA,POINT (-118.419308 37.379784)
47,CA,POINT (-118.395361 37.3692110000001)
48,CA,POINT (-118.394915 37.3614020000001)
49,CA,POINT (-118.432504 37.375882)
50,CA,POINT (-118.432504 37.375882)
51,CA,POINT (-118.898846 37.6583150000001)
52,CA,POINT (-118.966418 37.636013)
53,AK,POINT (-147.698793 64.849656)
54,AK,POINT (-147.81854 64.8489450000001)
55,AK,POINT (-147.352508 64.757075)
56,AK,POINT (-147.733149 64.8127850000001)
57,AK,POINT (-147.719945 64.840422)
58,AK,POINT (-147.721088 64.8362040000001)
59,NV,POINT (-116.354687 38.4387340000001)
60,NV,POINT (-114.872818 39.2538470000001)
61,NV,POINT (-114.872818 39.2538470000001)
62,NV,POINT (-118.799562 39.476051)
63,NV,POINT (-119.537848 39.258319)
64,NV,POINT (-119.747084 39.1730690000001)
65,NV,POINT (-119.771364 39.1103220000001)
66,NV,POINT (-119.767195 39.3956600000001)
67,NV,POINT (-119.756412 39.4391010000001)
68,NV,POINT (-119.72082 39.556299)
69,NV,POINT (-119.763606 39.476933)
70,NV,POINT (-119.784582 39.4672580000001)
71,NV,POINT (-119.79529 39.489811)
72,NV,POINT (-118.85393 39.48925)
73,NV,POINT (-118.85393 39.48925)
74,NV,POINT (-118.804025 39.4772170000001)
75,NV,POINT (-119.23812 39.5600150000001)
76,NV,POINT (-119.222066 39.5900990000001)
77,NV,POINT (-116.941905 40.647931)
78,NV,POINT (-119.562703 39.233371)
79,CA,POINT (-118.39536 37.373614)
80,CA,POINT (-118.971878 37.6401770000001)
81,CA,POINT (-118.966356 37.636352)
82,NV,POINT (-119.709302 39.641463)
83,NV,POINT (-119.822562 39.569489)
84,NV,POINT (-119.736768 39.535648)
85,NV,POINT (-119.703835 39.5332100000001)
86,NV,POINT (-119.703835 39.5332100000001)
87,NV,POINT (-119.75729 39.5328890000001)
88,NV,POINT (-119.745312 39.527406)
89,NV,POINT (-119.818105 39.531617)
90,NV,POINT (-118.77717 39.472678)
91,NV,POINT (-118.803023 39.4768950000001)
92,NV,POINT (-115.762484 40.832024)
93,NV,POINT (-115.779796 40.8291590000001)
94,NV,POINT (-115.764444 40.832721)
95,NV,POINT (-115.790936 40.8379340000001)
96,NV,POINT (-115.726708 40.8661910000001)
97,NV,POINT (-115.726708 40.8661910000001)
98,NV,POINT (-114.563362 41.003388)
99,NV,POINT (-114.958182 41.102291)
100,NV,POINT (-119.782378 39.5547300000001)
101,NV,POINT (-117.746856 40.9605280000001)
102,NV,POINT (-117.746856 40.9605280000001)
103,NV,POINT (-117.744021 40.9640800000001)
104,NV,POINT (-114.871268 39.2476580000001)
105,NV,POINT (-114.890689 39.248294)
106,NV,POINT (-119.747164 39.1894740000001)
107,NV,POINT (-119.766919 39.175869)
108,NV,POINT (-119.760986 39.1498750000001)
109,NV,POINT (-119.770191 39.185612)
110,NV,POINT (-119.767901 39.165829)
111,NV,POINT (-119.765357 39.131065)
112,NV,POINT (-119.765898 39.1499480000001)
113,NV,POINT (-119.821507 39.0571340000001)
114,NV,POINT (-119.732132 39.176976)
115,NV,POINT (-119.766122 39.169861)
116,NV,POINT (-119.816799 39.505413)
117,NV,POINT (-119.829355 39.5285460000001)
118,NV,POINT (-119.753178 39.4204050000001)
119,NV,POINT (-119.755267 39.4316240000001)
120,NV,POINT (-119.760142 39.4415530000001)
121,NV,POINT (-119.761793 39.4405120000001)
122,OR,POINT (-120.345922 42.1911630000001)
123,NV,POINT (-119.689748 39.611728)
124,NV,POINT (-119.773741 39.559242)
125,NV,POINT (-119.753531 39.551067)
126,NV,POINT (-119.24843 39.6076770000001)
127,NV,POINT (-119.163724 38.993882)
128,NV,POINT (-119.7064 39.5227130000001)
129,NV,POINT (-119.734904 39.5167020000001)
130,NV,POINT (-119.747131 39.5255460000001)
131,NV,POINT (-119.795668 39.5248710000001)
132,NV,POINT (-119.748273 39.509797)
133,NV,POINT (-119.775331 39.510519)
