STATE,geometry
NE,POINT (-100.686217 41.1199520000001)
NH,POINT (-72.255417 42.9152800000001)
NH,POINT (-72.278195 42.934262)
NH,POINT (-72.2797199999999 42.930868)
NH,POINT (-72.341526 43.36674)
VT,POINT (-71.795856 45.0101680000001)
KY,POINT (-84.508859 38.0323020000001)
MA,POINT (-72.5051089999999 42.3729210000001)
MA,POINT (-72.518968 42.3799230000001)
MA,POINT (-72.595383 42.341984)
MA,POINT (-73.24511 42.3350330000001)
MA,POINT (-73.27719 42.3764170000001)
MA,POINT (-73.189469 42.4596990000001)
MA,POINT (-73.2541399999999 42.448341)
NY,POINT (-73.702861 42.614586)
VT,POINT (-73.201703 42.8804230000001)
NY,POINT (-73.8282619999999 42.397766)
NY,POINT (-73.695793 42.6777740000001)
NY,POINT (-73.687198 42.736342)
NY,POINT (-73.679268 43.3195630000001)
NY,POINT (-73.721007 43.331508)
NY,POINT (-73.9243319999999 42.654838)
NY,POINT (-73.773158 42.647878)
NY,POINT (-73.848329 42.6826300000001)
NY,POINT (-73.750349 42.654433)
NY,POINT (-73.757896 42.6521000000001)
NY,POINT (-73.757079 42.6516720000001)
NY,POINT (-73.753566 42.650135)
NY,POINT (-73.753235 42.6499470000001)
NY,POINT (-73.75236 42.649711)
NY,POINT (-73.751708 42.6491300000001)
NY,POINT (-73.759174 42.6544170000001)
NY,POINT (-73.759759 42.6547420000001)
NY,POINT (-73.753102 42.6527290000001)
NY,POINT (-73.749667 42.6515600000001)
NY,POINT (-73.8140509999999 42.686135)
NY,POINT (-73.8747 42.7041770000001)
NY,POINT (-73.869481 42.711936)
NY,POINT (-73.8268419999999 42.702955)
NY,POINT (-73.755415 42.7095870000001)
NY,POINT (-73.755415 42.7095870000001)
NY,POINT (-73.775932 42.6890720000001)
NY,POINT (-73.894086 42.8157590000001)
NY,POINT (-73.937845 42.812737)
NY,POINT (-73.940577 42.8120040000001)
NY,POINT (-73.949338 42.81167)
NY,POINT (-73.99224 42.808162)
NY,POINT (-73.99224 42.808162)
NY,POINT (-73.773608 42.870013)
NY,POINT (-73.773926 42.875642)
NY,POINT (-73.7701969999999 42.860149)
NY,POINT (-73.794069 42.843867)
NY,POINT (-73.766403 42.8606960000001)
NY,POINT (-73.75474 42.8479150000001)
NY,POINT (-73.823343 42.7602240000001)
NY,POINT (-73.730297 42.841798)
NY,POINT (-73.739492 42.8377590000001)
NY,POINT (-73.840132 42.7420760000001)
NY,POINT (-73.8437489999999 42.738618)
