STATE,geometry
NY,POINT (-78.8582 42.753)
NY,POINT (-73.7937 40.761)
NY,POINT (-78.8297 43.0607)
NY,POINT (-79.0496 43.0939)
NY,POINT (-73.9763 40.7395)
NY,POINT (-73.8517 42.6993)
NY,POINT (-78.8502 43.0001)
NY,POINT (-78.7519 42.8909)
NY,POINT (-73.8877 41.5314)
NY,POINT (-75.9177 42.1011)
NY,POINT (-74.1533 41.1162)
NY,POINT (-73.9596 40.6786)
NY,POINT (-74.1839 42.9609)
NY,POINT (-73.8374 40.8745)
NY,POINT (-74.0314 41.1484)
NY,POINT (-77.1113 43.0501)
NY,POINT (-77.4399 43.2143)
NY,POINT (-73.9686 40.7961)
NY,POINT (-73.8884 42.8167)
NY,POINT (-77.0964 43.0335)
NY,POINT (-73.4979 44.7027)
NY,POINT (-79.2325 42.0913)
NY,POINT (-73.9876 40.736)
NY,POINT (-73.9621 40.7622)
NY,POINT (-73.9549 40.8141)
NY,POINT (-74.3575 41.4477)
NY,POINT (-73.8449 40.8469)
NY,POINT (-75.4991 43.7954)
NY,POINT (-73.596 44.216)
NY,POINT (-74.0806 40.5988)
NY,POINT (-73.8987 40.6763)
NY,POINT (-78.7542 42.9596)
NY,POINT (-73.9938 40.7689)
NY,POINT (-74.2904 44.8576)
NY,POINT (-73.9508 40.6561)
NY,POINT (-74.8907 44.923)
NY,POINT (-73.8269 40.912)
NY,POINT (-73.8168 43.0859)
NY,POINT (-78.9901 43.1122)
NY,POINT (-77.5812 43.1041)
NY,POINT (-73.0646 40.8601)
NY,POINT (-77.7006 43.1892)
NY,POINT (-73.8948 40.9396)
NY,POINT (-73.9388 40.804)
NY,POINT (-73.8665 40.8782)
NY,POINT (-73.8665 40.8782)
NY,POINT (-77.4949 43.1171)
NY,POINT (-73.3466 40.6911)
NY,POINT (-77.0614 42.1509)
NY,POINT (-76.86 42.3524)
NY,POINT (-73.8628 40.7083)
NY,POINT (-76.8254 42.1015)
NY,POINT (-73.8525 42.7002)
NY,POINT (-74.3398 41.3952)
NY,POINT (-73.5047 40.7499)
NY,POINT (-73.9725 40.6412)
NY,POINT (-73.9128 42.7863)
NY,POINT (-73.7116 42.6008)
NY,POINT (-73.7825 40.5954)
NY,POINT (-73.7917 40.7258)
NY,POINT (-74.3326 43.0725)
NY,POINT (-73.9838 40.6794)
NY,POINT (-73.8427 40.8488)
NY,POINT (-78.7839 42.9211)
NY,POINT (-73.413 40.8306)
NY,POINT (-73.9529 40.6794)
NY,POINT (-73.6883 40.7228)
NY,POINT (-73.9086 41.7387)
NY,POINT (-73.1931 40.7407)
NY,POINT (-73.5841 40.6577)
NY,POINT (-73.7064 40.7822)
NY,POINT (-73.9845 40.6322)
NY,POINT (-78.8814 42.9476)
NY,POINT (-74.0289 41.521)
NY,POINT (-77.5892 43.1959)
NY,POINT (-72.4006 40.8966)
NY,POINT (-73.9153 40.8152)
NY,POINT (-75.6431 43.0758)
NY,POINT (-73.9902 40.5722)
NY,POINT (-74.0137 40.634)
NY,POINT (-73.3817 40.6826)
NY,POINT (-73.7902 40.7119)
NY,POINT (-79.3223 42.4584)
NY,POINT (-78.87 42.8926)
NY,POINT (-73.8699 40.7092)
NY,POINT (-73.8389 40.6797)
NY,POINT (-78.8272 42.9815)
NY,POINT (-73.4864 40.8093)
NY,POINT (-73.8595 40.9155)
NY,POINT (-73.6303 40.8811)
NY,POINT (-75.6516 43.0949)
NY,POINT (-73.6885 42.695)
NY,POINT (-73.759 42.7723)
NY,POINT (-73.6478 43.3088)
NY,POINT (-73.8627 40.6711)
NY,POINT (-73.9001 40.8487)
NY,POINT (-73.8434 40.8606)
NY,POINT (-73.849 40.876)
NY,POINT (-73.9441 40.7079)
NY,POINT (-78.6971 43.1543)
MO,POINT (-93.9844 39.3419)
MO,POINT (-90.3778 38.5047)
MO,POINT (-90.7042 38.7195)
MO,POINT (-91.4004 39.7294)
MO,POINT (-90.3822 38.4134)
MO,POINT (-94.3943 36.8775)
MO,POINT (-90.4412 36.768)
NE,POINT (-96.6931 40.3134)
AR,POINT (-90.6335 34.5181)
AR,POINT (-94.186 36.1676)
LA,POINT (-89.8736 30.7496)
LA,POINT (-91.0031 30.0872)
MO,POINT (-90.2646 38.72)
LA,POINT (-93.1956 30.2037)
LA,POINT (-90.7263 29.9967)
LA,POINT (-92.0684 30.4113)
LA,POINT (-90.2815 29.9818)
LA,POINT (-90.8187 29.812)
OK,POINT (-97.0824 36.1155)
OK,POINT (-98.2276 35.071)
OK,POINT (-95.5885 35.318)
OK,POINT (-94.7529 36.5843)
OK,POINT (-95.3991 35.9578)
TX,POINT (-99.5923 27.6357)
TX,POINT (-100.2279 34.4394)
TX,POINT (-97.49 25.9264)
TX,POINT (-99.1484 30.0413)
TX,POINT (-106.339 31.7501)
TX,POINT (-95.0899 30.337)
TX,POINT (-97.5025 25.9432)
TX,POINT (-95.2237 31.9636)
TX,POINT (-97.6998 31.0852)
TX,POINT (-97.38 31.0748)
TX,POINT (-106.4061 31.8984)
TX,POINT (-97.1628 33.6463)
TX,POINT (-98.5007 28.9491)
TX,POINT (-97.1887 31.5884)
TX,POINT (-106.4859 31.7782)
TX,POINT (-97.7406 32.7575)
TX,POINT (-95.5696 29.9924)
TX,POINT (-95.6406 29.7044)
TX,POINT (-96.0783 30.0974)
TX,POINT (-98.051 26.1822)
AZ,POINT (-111.2338 36.1302)
CO,POINT (-106.0087 38.5428)
CO,POINT (-105.9017 37.4797)
NV,POINT (-116.024 36.215)
NM,POINT (-104.4392 36.9034)
NM,POINT (-105.9549 35.6602)
NM,POINT (-106.3126 35.4803)
NM,POINT (-108.7379 35.535)
UT,POINT (-111.8407 40.771)
WY,POINT (-110.9703 41.255)
ID,POINT (-116.59 43.6004)
ID,POINT (-114.4861 42.591)
ID,POINT (-116.9247 44.0241)
MT,POINT (-105.1897 48.1155)
MT,POINT (-108.6232 45.7567)
MT,POINT (-114.1272 47.6851)
MT,POINT (-114.1262 47.6848)
OR,POINT (-118.6863 45.644)
WA,POINT (-119.18 46.2711)
WA,POINT (-117.9232 48.5582)
CA,POINT (-121.9637 38.27)
CA,POINT (-121.9791 37.3224)
CA,POINT (-121.2828 37.8829)
HI,POINT (-156.4912 20.8851)
HI,POINT (-157.0194 21.0897)
CA,POINT (-121.5042 38.651)
CA,POINT (-120.0589 36.7341)
CA,POINT (-118.2971 34.1727)
CA,POINT (-118.1632 34.6908)
CA,POINT (-117.562 33.9273)
CA,POINT (-118.2557 34.0271)
CA,POINT (-119.036 36.0785)
MO,POINT (-90.2395 38.757)
PA,POINT (-75.889 39.8217)
