STATE,geometry
CT,POINT (-72.878648 41.601435)
ME,POINT (-70.256668 43.657432)
ME,POINT (-68.424621 44.541326)
MA,POINT (-71.057959 42.352824)
MA,POINT (-71.118913 42.373832)
MA,POINT (-71.155305 41.702031)
MA,POINT (-70.662582 42.612569)
MA,POINT (-72.600637 42.587947)
MA,POINT (-71.138868 42.451648)
NH,POINT (-71.776211 44.307428)
AL,POINT (-85.479839 32.606782)
AL,POINT (-85.349641 31.341141)
AL,POINT (-86.070453 34.018213)
AL,POINT (-87.837519 32.51816)
AL,POINT (-85.004072 32.470793)
AL,POINT (-86.503625 34.33712)
AL,POINT (-87.601323 33.659316)
AL,POINT (-86.029358 34.672722)
AL,POINT (-86.839705 34.168227)
AL,POINT (-87.624719 34.226209)
AL,POINT (-86.955682 31.433211)
AL,POINT (-88.145294 34.441791)
AL,POINT (-88.10861 33.760578)
AL,POINT (-87.814433 33.929915)
AL,POINT (-85.11093 31.292788)
AL,POINT (-86.325829 34.025184)
AL,POINT (-86.484121 31.308098)
AL,POINT (-86.590912 34.083317)
AL,POINT (-87.492461 31.023929)
AL,POINT (-85.863854 31.033593)
AL,POINT (-87.071644 31.105841)
AL,POINT (-86.326164 31.002757)
AL,POINT (-87.284489 33.730583)
AL,POINT (-85.36861 33.150834)
AL,POINT (-86.263729 31.713971)
AL,POINT (-87.317282 31.504812)
AL,POINT (-86.749579 33.103149)
AL,POINT (-86.971249 34.801218)
AL,POINT (-85.872633 34.270639)
AL,POINT (-85.431824 31.236023)
AR,POINT (-92.064249 33.613671)
AR,POINT (-90.418989 35.530798)
AR,POINT (-93.577614 33.357532)
AR,POINT (-92.466015 33.537851)
AR,POINT (-94.119185 36.120848)
AR,POINT (-91.79225 33.629148)
AR,POINT (-94.051985 35.498372)
AR,POINT (-91.54254 33.120424)
AR,POINT (-92.847949 33.916591)
AR,POINT (-92.064305 33.614261)
AR,POINT (-92.663411 33.214038)
AR,POINT (-90.787159 35.010912)
AR,POINT (-93.053037 34.509011)
AR,POINT (-93.501715 34.031303)
AR,POINT (-94.208106 36.373131)
AR,POINT (-93.37968 33.801352)
AR,POINT (-94.175611 35.336278)
AR,POINT (-94.22591 35.483265)
AR,POINT (-94.232105 36.263888)
AR,POINT (-91.312003 34.692774)
AR,POINT (-94.136012 36.120094)
