STATE,geometry
AK,POINT (-149.840106 61.1951520000001)
AK,POINT (-149.885887 61.2155650000001)
AK,POINT (-149.901702 61.218373)
AK,POINT (-149.891649 61.2195090000001)
AK,POINT (-149.886551 61.191513)
AK,POINT (-149.820987 61.2155040000001)
AK,POINT (-149.897902 61.186836)
AK,POINT (-149.893635 61.173664)
AK,POINT (-149.838089 61.1677670000001)
AK,POINT (-149.990444 61.1902590000001)
AK,POINT (-149.995863 61.195409)
AK,POINT (-149.993731 61.1867100000001)
AK,POINT (-149.875564 61.1447010000001)
AK,POINT (-149.875564 61.1447010000001)
AK,POINT (-149.861402 61.109202)
AK,POINT (-149.572286 61.3252570000001)
AK,POINT (-149.572286 61.3252570000001)
AK,POINT (-149.401619 61.5721340000001)
AK,POINT (-149.401619 61.5721340000001)
AK,POINT (-149.44135 61.5833940000001)
AK,POINT (-149.441476 61.5834630000001)
AK,POINT (-149.408484 61.576779)
AK,POINT (-149.876754 61.1974670000001)
AK,POINT (-149.326545 61.615418)
AK,POINT (-149.113455 61.601438)
AK,POINT (-151.496231 59.640879)
AK,POINT (-151.558586 59.6414090000001)
AK,POINT (-151.530224 59.647343)
AK,POINT (-150.965627 61.6699970000001)
AK,POINT (-151.238075 60.569035)
AK,POINT (-151.067065 60.4833120000001)
AK,POINT (-151.153777 60.491185)
AK,POINT (-151.072461 60.4892990000001)
AK,POINT (-151.23812 60.5589100000001)
AK,POINT (-151.238075 60.569035)
AK,POINT (-150.778991 60.537109)
AK,POINT (-149.439281 60.10299)
AK,POINT (-151.084352 60.4850080000001)
AK,POINT (-146.357763 61.129176)
AK,POINT (-146.258498 61.1256730000001)
AK,POINT (-147.855954 64.8235490000001)
AK,POINT (-147.706216 64.838463)
AK,POINT (-147.700283 64.846461)
FL,POINT (-80.398855 25.1391800000001)
FL,POINT (-80.398855 25.1391800000001)
FL,POINT (-80.4224369999999 25.113576)
FL,POINT (-80.4413299999999 25.092298)
FL,POINT (-81.0507929999999 24.7246020000001)
FL,POINT (-80.629635 24.9230390000001)
FL,POINT (-80.557314 24.971213)
FL,POINT (-80.622941 24.928769)
FL,POINT (-80.51553 25.011082)
FL,POINT (-81.04587 24.7262710000001)
FL,POINT (-81.0743909999999 24.7167390000001)
FL,POINT (-80.4449299999999 25.09081)
FL,POINT (-81.0971529999999 24.71043)
FL,POINT (-81.754183 24.552086)
FL,POINT (-81.769818 24.5670260000001)
FL,POINT (-81.759565 24.5717270000001)
FL,POINT (-81.740039 24.572777)
FL,POINT (-81.766128 24.562216)
FL,POINT (-81.7673599999999 24.5669300000001)
FL,POINT (-81.767936 24.5665300000001)
FL,POINT (-81.772892 24.5655990000001)
FL,POINT (-81.780344 24.554807)
FL,POINT (-81.791057 24.5561890000001)
FL,POINT (-81.799182 24.5623420000001)
FL,POINT (-81.796789 24.5484890000001)
FL,POINT (-81.7977979999999 24.5491010000001)
FL,POINT (-81.7986319999999 24.550331)
FL,POINT (-81.803396 24.5592740000001)
FL,POINT (-81.8025729999999 24.5534270000001)
FL,POINT (-81.803962 24.555187)
FL,POINT (-81.8046419999999 24.5560980000001)
FL,POINT (-81.8066229999999 24.5568290000001)
FL,POINT (-81.5661499999999 24.6455030000001)
FL,POINT (-81.473064 24.661139)
FL,POINT (-81.3605269999999 24.676318)
FL,POINT (-81.357342 24.6714160000001)
FL,POINT (-80.539192 24.9948580000001)
HI,POINT (-157.977604 21.3964280000001)
HI,POINT (-157.938516 21.382842)
HI,POINT (-157.953325 21.3897630000001)
HI,POINT (-157.928531 21.36416)
HI,POINT (-157.918529 21.3357360000001)
HI,POINT (-157.977604 21.3964280000001)
HI,POINT (-157.87039 21.3270860000001)
HI,POINT (-157.916355 21.3164160000001)
HI,POINT (-157.803399 21.4207020000001)
HI,POINT (-157.803189 21.4202490000001)
