STATE,geometry
AK,POINT (-135.44587 59.2369360000001)
AK,POINT (-149.788331713 61.1964318500001)
AK,POINT (-149.113634259 61.596384577)
AK,POINT (-149.14848959 61.6013294100001)
AK,POINT (-149.28398331 61.6117593450001)
AK,POINT (-151.275259474 60.5103496090001)
AK,POINT (-149.831727162 61.183358168)
AK,POINT (-149.46508342 61.397809167)
AK,POINT (-149.835385572 61.1462204100001)
AK,POINT (-149.853150929 61.128771826)
AK,POINT (-149.843070137 61.1354958480001)
AK,POINT (-149.900502174 61.212241229)
AK,POINT (-147.798733199 64.831968036)
AK,POINT (-135.337664694 57.049993252)
AK,POINT (-149.855255802 61.191437234)
AK,POINT (-149.349316001 61.5755378680001)
AK,POINT (-131.691437 55.3573500000001)
AK,POINT (-149.596536064 61.536119655)
AK,POINT (-149.815992701 61.1485250440001)
AK,POINT (-149.452331982 61.5893591550001)
AK,POINT (-147.349684 64.750862)
AK,POINT (-149.521153463 61.551499409)
AK,POINT (-149.832097943 61.182909076)
AK,POINT (-149.379733847 61.5956354050001)
AK,POINT (-149.453945802 61.5990253400001)
AK,POINT (-149.472135614 61.6147420390001)
AK,POINT (-149.834750352 61.1465449570001)
AK,POINT (-134.496905629 58.344604727)
AK,POINT (-149.783558379 61.1962409440001)
AK,POINT (-147.361469 64.755365)
AK,POINT (-151.073430931 60.4784778550001)
AK,POINT (-147.741404736 64.8280824290001)
AK,POINT (-149.7389374 61.2015623390001)
AK,POINT (-149.794853569 61.2122520930001)
AK,POINT (-147.706978942 64.8406214560001)
AK,POINT (-149.851391201 61.1399072310001)
AK,POINT (-151.278774205 60.571035603)
AK,POINT (-151.829403092 59.7644258270001)
AK,POINT (-147.74052739 64.824954415)
AK,POINT (-161.766028234 60.795263908)
AK,POINT (-156.751954912 71.298731751)
AK,POINT (-147.33080067 64.7480238430001)
AK,POINT (-149.822581923 61.1775169590001)
AK,POINT (-151.539698725 59.6475230950001)
AK,POINT (-149.903201989 61.196018785)
AK,POINT (-149.781499868 61.1986164420001)
AK,POINT (-149.911242901 61.131725767)
AK,POINT (-149.791673135 61.0799610070001)
AK,POINT (-149.805906079 61.2146921)
AK,POINT (-149.806864681 61.2194562120001)
AK,POINT (-149.799588452 61.2297229280001)
AK,POINT (-149.798458899 61.2268716140001)
AK,POINT (-149.799538539 61.229876081)
AK,POINT (-149.810768631 61.2294220540001)
AK,POINT (-147.772256537 64.8338044290001)
AK,POINT (-131.691971649 55.3561471630001)
AK,POINT (-151.689232878 59.676008777)
AK,POINT (-149.782290956 61.185999414)
AK,POINT (-149.990594248 61.1544826590001)
AK,POINT (-149.914007975 61.132963729)
AK,POINT (-149.822383423 61.1561837930001)
AK,POINT (-149.783220775 61.1861436670001)
AK,POINT (-149.730955096 61.2126244460001)
AK,POINT (-149.842490828 61.1549653860001)
AK,POINT (-149.524284347 61.314134548)
AK,POINT (-149.806136096 61.2208337930001)
AK,POINT (-149.912747561 61.1464762740001)
AK,POINT (-149.914247497 61.13275207)
AK,POINT (-149.853370522 61.102467694)
AK,POINT (-149.762315674 61.192554795)
AK,POINT (-149.811145987 61.1513046220001)
AK,POINT (-149.788378232 61.1960694140001)
AK,POINT (-149.891595748 61.143399828)
AK,POINT (-149.766317691 61.211479764)
AK,POINT (-149.89157492 61.1431602420001)
AK,POINT (-149.903287663 61.153484371)
AK,POINT (-149.811186791 61.1517402010001)
AK,POINT (-149.839429717 61.155375969)
AK,POINT (-149.914192466 61.136867056)
AK,POINT (-149.735210193 61.185260027)
AK,POINT (-149.742870174 61.200296489)
AK,POINT (-149.734732337 61.187864371)
AK,POINT (-149.956550083 61.1408549390001)
