geometry,STATE,ID,NAME
POINT (-152.5054284 57.7413405),AK,11644028,UNITED STATES COAST GUARD AIR STATION KODIAK - ROCKMORE KING CLINIC
POINT (-149.8272088 61.2112671),AK,11643746,ANCHORAGE VETERANS AFFAIRS HEALTHCARE SYSTEM AND REGIONAL OFFICE
POINT (-117.0022992 32.6455566),CA,11702777,RITE AID - 5614
POINT (144.8373033 13.5138958),GU,11643120,SUPERDRUG DEDEDO PAYLESS
POINT (145.7193809 15.1928532),MP,11709673,BRABU PHARMACY AND WELLNESS CENTER
POINT (145.7244551 15.2116268),MP,11702221,PACIFIC HEALTH INCORPORATED PHARMACY I
POINT (145.729401 15.216393),MP,11701603,PACIFIC HEALTH INCORPORATED PHARMACY III
POINT (144.783241 13.4866783),GU,11695758,ITC PHARMACY I
POINT (144.7757111 13.5033867),GU,11699626,PEREZVILLE PHARMACY
POINT (144.776253 13.4981865),GU,11679630,OKA SUPERDRUG
POINT (145.712163 15.1738097),MP,11674000,FHP HEALTH CENTER
POINT (145.7274078 15.1515937),MP,11702651,PACIFIC HEALTH INCORPORATED PHARMACY II
POINT (-131.5757659 55.124392),AK,11643531,ANNETTE ISLANDS SERVICE UNIT PHARMACY
POINT (-149.5349371 61.3090534),AK,11663276,WAL-MART SUPERCENTER - 2188
POINT (-149.864125 61.194349),AK,11653774,FRED MEYER
POINT (-149.8384247 61.1359334),AK,11653239,FRED MEYER
POINT (-149.837279 61.1823066),AK,11664905,LAKE OTIS PHARMACY
POINT (-149.8403616 61.1830139),AK,11645019,BERNIES PHARMACY
POINT (-147.354276 64.7576197),AK,11655282,SAFEWAY
POINT (-161.7814431 60.7842778),AK,11643598,YUKON-KUSKOKWIM DELTA REGIONAL HOSPITAL PHARMACY
POINT (-131.6925105 55.356138),AK,11691815,ISLAND PHARMACY
POINT (-151.5341842 59.6434187),AK,11655284,SAFEWAY
POINT (-151.0706685 60.4843023),AK,11655286,SAFEWAY
POINT (-151.237474 60.558021),AK,11674067,THREE BEARS - 50
POINT (-149.91564 61.1941918),AK,11655270,CARRS/SAFEWAY
POINT (-149.7360587 61.1965771),AK,11655943,CARRS/SAFEWAY
POINT (-147.7564291 64.8358334),AK,11693131,MEDICAL CENTER PHARMACY
POINT (-117.088834 32.6279578),CA,11667670,WALGREENS - 6255
POINT (-117.0684027 32.6132283),CA,11669633,WALGREENS - 2623
POINT (-117.081121 32.6046743),CA,11665493,TARGET
POINT (-117.0404604 32.6294126),CA,11671552,RITE AID - 5615
POINT (-116.9655714 32.6297296),CA,11669612,WALGREENS - 7867
POINT (-117.0913759 32.5846243),CA,11653558,CVS - 9115
POINT (-117.0851397 32.6297507),CA,11653051,CVS - 9140
POINT (-117.099326 32.6747654),CA,11660781,WAL-MART - 5023
POINT (-117.0346649 32.5830757),CA,11654970,VONS
POINT (-116.9682391 32.631153),CA,11660792,WAL-MART SUPERCENTER - 3516
POINT (-149.9534527 61.1363968),AK,11655277,CARRS/SAFEWAY
POINT (-149.8588707 61.1409373),AK,11660399,SAM'S CLUB - 6601
POINT (-149.8211081 61.1864453),AK,11705757,PROVIDENCE HEALTH PARK PHARMACY
POINT (-116.9959561 32.6235441),CA,11649809,SHARP REES-STEALY OTAY RANCH
POINT (-117.023256 32.6191507),CA,11649968,SHARP CHULA VISTA MEDICAL CENTER
POINT (-134.5949924 58.3710627),AK,11655281,SAFEWAY
POINT (-134.4182192 58.2997192),AK,11688722,FOODLAND SUPER DRUG
POINT (-117.1172932 32.5846279),CA,11646937,IMPERIAL BEACH PHARMACY
POINT (-146.3489165 61.1313926),AK,11641492,VILLAGE PHARMACY OF VALDEZ
POINT (-145.7506691 60.5411215),AK,11696020,CORDOVA COMMUNITY MEDICAL CENTER
