STATE,geometry
AL,POINT (-87.600789726 30.410802285)
AL,POINT (-87.672186115 30.3567770000001)
AL,POINT (-87.9036931649999 30.6004245940001)
AL,POINT (-87.7157115649999 30.5623408230001)
AL,POINT (-87.911026046 30.602458889)
AL,POINT (-85.136143488 31.918207996)
AL,POINT (-87.1206613419999 32.9768921790001)
AL,POINT (-86.429098574 34.083988048)
AL,POINT (-86.4046802399999 33.888285438)
AL,POINT (-86.641312926 31.8360848990001)
AL,POINT (-85.7892675149999 33.6533456280001)
AL,POINT (-85.8729887279999 33.5894702630001)
AL,POINT (-85.772118721 33.8048765200001)
AL,POINT (-85.814674998 33.71756207)
AL,POINT (-85.208503746 32.8741740470001)
AL,POINT (-85.1736468409999 32.806738588)
AL,POINT (-85.4065525459999 32.87304464)
AL,POINT (-85.1932168719999 32.817925754)
AL,POINT (-88.317997017 31.9123007960001)
AL,POINT (-88.2250483889999 32.082205838)
AL,POINT (-85.81077198 33.246218701)
AL,POINT (-85.7938002559999 33.283569275)
AL,POINT (-85.8933448989999 31.4187520720001)
AL,POINT (-85.855922656 31.3127423330001)
AL,POINT (-86.946865367 31.4460104550001)
AL,POINT (-86.269296912 31.693826997)
AL,POINT (-86.841516629 34.1779167540001)
AL,POINT (-86.884590948 34.2715147170001)
AL,POINT (-86.813537834 34.1742654780001)
AL,POINT (-86.8376985739999 34.1737342850001)
AL,POINT (-85.665732663 31.4369538)
AL,POINT (-87.062828934 32.405934314)
AL,POINT (-87.0766508199999 32.3897864400001)
AL,POINT (-85.832407439 34.5136727890001)
AL,POINT (-86.066571616 34.280827989)
AL,POINT (-86.2928213019999 32.547346738)
AL,POINT (-86.375622877 32.5087765690001)
AL,POINT (-86.365833735 32.5195938950001)
AL,POINT (-86.405169278 32.480262473)
AL,POINT (-87.490501681 31.002404993)
AL,POINT (-87.4078986769999 31.0301407440001)
AL,POINT (-86.0491906409999 33.9918704620001)
AL,POINT (-86.064123615 33.9658005810001)
AL,POINT (-85.989122031 34.023618238)
AL,POINT (-86.012393977 34.015462782)
AL,POINT (-88.167585448 32.774092184)
AL,POINT (-87.584026541 32.699115294)
AL,POINT (-85.261592698 31.576959145)
AL,POINT (-85.391580397 31.2326916310001)
AL,POINT (-85.438535719 31.2003498230001)
AL,POINT (-85.4362408489999 31.2401123870001)
AL,POINT (-85.449049378 31.2439609900001)
AL,POINT (-85.629795063 34.9020537870001)
AL,POINT (-85.5881937999999 34.8765128750001)
AL,POINT (-86.997065494 33.3608968710001)
AL,POINT (-86.881322327 33.5100418850001)
AL,POINT (-86.833050197 33.415835831)
AL,POINT (-86.8447292289999 33.494892743)
AL,POINT (-86.690426894 33.6027109790001)
AL,POINT (-86.797060169 33.4794687450001)
AL,POINT (-86.81893989 33.69118998)
AL,POINT (-86.8850495629999 33.492350758)
AL,POINT (-86.788552241 33.499055142)
AL,POINT (-86.726875922 33.576618135)
AL,POINT (-86.654112513 33.730498954)
AL,POINT (-86.986180414 33.4234642380001)
AL,POINT (-86.736185507 33.5157108390001)
AL,POINT (-86.9623640899999 33.4031931320001)
AL,POINT (-86.757096378 33.521825821)
AL,POINT (-86.7093494659999 33.599874825)
AL,POINT (-86.960039186 33.393163707)
AL,POINT (-86.808010226 33.648715768)
AL,POINT (-86.852556748 33.3726144410001)
AL,POINT (-86.726024879 33.6312571820001)
AL,POINT (-86.816798401 33.66722932)
AL,POINT (-86.636757948 33.652501289)
AL,POINT (-86.832768556 33.4437008530001)
AL,POINT (-86.891516672 33.5642989950001)
AL,POINT (-86.9146338899999 33.4908605900001)
AL,POINT (-86.787712324 33.4984935620001)
AL,POINT (-86.754288435 33.5116662620001)
AL,POINT (-86.791410863 33.4863058440001)
AL,POINT (-86.7537252179999 33.5401783360001)
AL,POINT (-86.788980215 33.4362014490001)
AL,POINT (-86.7952602249999 33.4454552230001)
AL,POINT (-86.737003049 33.4259888330001)
AL,POINT (-86.726020261 33.564864781)
AL,POINT (-86.646171212 33.550075883)
AL,POINT (-86.808484729 33.519217053)
AL,POINT (-86.7958337219999 33.475786591)
AL,POINT (-87.695865249 34.8478694240001)
AL,POINT (-87.6590885109999 34.846210872)
AL,POINT (-87.6350985719999 34.876897441)
AL,POINT (-85.050011157 32.5371549770001)
AL,POINT (-85.080356809 32.4922392550001)
AL,POINT (-85.47989806 32.5872737710001)
AL,POINT (-86.9558276389999 34.797498078)
AL,POINT (-86.612931358 32.2758516650001)
AL,POINT (-85.715270306 32.421153002)
AL,POINT (-86.583855192 34.698313645)
AL,POINT (-86.640536298 34.739755503)
AL,POINT (-86.5691767879999 34.6754552960001)
AL,POINT (-86.654451176 34.7520363240001)
AL,POINT (-86.6848493539999 34.7559494450001)
AL,POINT (-86.592225559 34.6976761600001)
AL,POINT (-86.537839035 34.6687259300001)
AL,POINT (-86.584462061 34.731836071)
AL,POINT (-86.688316981 34.799824959)
AL,POINT (-86.7398561159999 34.7335243730001)
AL,POINT (-86.645456172 34.7272843420001)
AL,POINT (-86.554459643 34.6858539240001)
AL,POINT (-86.572302158 34.6903147360001)
AL,POINT (-86.602913127 34.7345468770001)
AL,POINT (-86.6222035979999 34.727989393)
AL,POINT (-86.5591691499999 34.7063690000001)
AL,POINT (-86.489777153 34.6680199210001)
AL,POINT (-87.793755784 32.2848606200001)
AL,POINT (-85.698275944 32.1426134550001)
AL,POINT (-86.23877512 34.3105407910001)
AL,POINT (-88.11289958 30.7328189080001)
AL,POINT (-88.250326292 31.1330787530001)
AL,POINT (-88.244878507 30.7030909060001)
AL,POINT (-87.341027673 31.474900018)
AL,POINT (-86.012487665 32.3023494280001)
AL,POINT (-88.230222871 30.7959632600001)
AL,POINT (-88.17973126 30.688302354)
AL,POINT (-86.2505635109999 32.325525176)
AL,POINT (-86.199381843 32.321812982)
AL,POINT (-86.1563690739999 32.3323073020001)
AL,POINT (-86.2873862879999 32.424801652)
AL,POINT (-86.218629769 32.3884735890001)
AL,POINT (-86.302867506 32.3642847130001)
AL,POINT (-86.2409134229999 32.3494452250001)
AL,POINT (-86.2162858 32.3404274170001)
AL,POINT (-86.3604484809999 32.2575005520001)
AL,POINT (-86.998631249 34.532275058)
AL,POINT (-87.0014488259999 34.5486538320001)
AL,POINT (-86.92314114 34.4617191410001)
AL,POINT (-86.989779196 34.575407291)
AL,POINT (-87.335053492 32.607471236)
AL,POINT (-88.0900229489999 33.2529717130001)
AL,POINT (-85.9419853059999 31.782379086)
AL,POINT (-88.12323164 30.649229183)
AL,POINT (-85.965104814 31.7645215310001)
AL,POINT (-85.122048497 32.333937416)
AL,POINT (-86.350072579 33.593804698)
AL,POINT (-86.3284487829999 33.7560390140001)
AL,POINT (-86.823434041 33.2637058820001)
AL,POINT (-86.73141921 33.3603040240001)
AL,POINT (-86.628799965 33.4113385740001)
AL,POINT (-86.318705795 33.5995270230001)
AL,POINT (-86.7061033259999 33.377187185)
AL,POINT (-86.781516655 33.2087957300001)
AL,POINT (-86.7712927489999 33.340422533)
AL,POINT (-86.430247557 33.3351430390001)
AL,POINT (-86.574028691 33.223378258)
AL,POINT (-86.24920495 33.165519981)
AL,POINT (-86.086760746 33.433528784)
AL,POINT (-87.529106349 33.173702771)
AL,POINT (-87.508039767 33.199531662)
AL,POINT (-87.5740600939999 33.20757654)
AL,POINT (-87.5408314909999 33.2443824470001)
AL,POINT (-87.44988313 33.1940641250001)
AL,POINT (-87.079391405 33.740109938)
AL,POINT (-87.306198071 32.002960826)
AK,POINT (-149.778944406 61.1236719870001)
