STATE,geometry
OR,POINT (-122.897491 45.530803)
NY,POINT (-77.0597109 43.239211)
PA,POINT (-75.3457148 40.463199)
UT,POINT (-112.0466053 41.1203693)
ID,POINT (-113.7615631 42.5539565)
CA,POINT (-118.3921451 33.9014438)
CA,POINT (-121.747142 36.901217)
IL,POINT (-88.0864903 41.6650129999999)
TX,POINT (-95.1944245 29.7952021)
CA,POINT (-120.4604687 34.9353027)
FL,POINT (-80.3816296 25.8983707)
IL,POINT (-90.3042147 38.3026597)
IA,POINT (-96.1895280999999 42.7671191)
CA,POINT (-122.393037 37.7242785)
MD,POINT (-75.7523727 38.6826818)
MO,POINT (-90.3510467 38.689008)
OH,POINT (-81.5027485999999 40.7868508)
IN,POINT (-86.201711 39.761321)
WA,POINT (-122.3375769 47.540685)
TX,POINT (-96.8987002 32.7710086)
OR,POINT (-123.010506 44.9105679)
IN,POINT (-84.8480999 41.1362999)
NJ,POINT (-75.0664829999999 39.513087)
CA,POINT (-117.378236 34.013087)
IL,POINT (-88.1467243 41.3078093)
TX,POINT (-96.6715802 32.8726156)
MA,POINT (-70.921971 41.63877)
KY,POINT (-84.5884525 39.0352959)
MN,POINT (-93.1568573 44.8524532)
NY,POINT (-73.7719865999999 42.1558134)
NJ,POINT (-75.4109935 39.7408248)
CA,POINT (-118.2120687 34.0104994)
CA,POINT (-118.21028 34.015596)
TX,POINT (-96.8764662 32.8116297)
IN,POINT (-85.0776392 41.0554075)
CA,POINT (-122.151998 37.713895)
IN,POINT (-86.1554967 39.7736046)
MO,POINT (-93.3720534999999 37.216006)
MA,POINT (-71.1110264 41.7414588)
WI,POINT (-89.5045256 44.5097833)
CA,POINT (-119.06758 35.424565)
PA,POINT (-79.871583 40.5053)
MA,POINT (-71.6179512 42.0379234)
OR,POINT (-119.7005834 45.839855)
CA,POINT (-122.188199 37.750772)
GA,POINT (-84.623345 33.780302)
IN,POINT (-85.0545197 41.1046501)
IL,POINT (-89.0493073999999 41.9134388)
NC,POINT (-80.948961 35.136052)
CA,POINT (-122.1867814 37.7520919)
IN,POINT (-85.080091 41.0671139)
NJ,POINT (-75.002381 39.847404)
WA,POINT (-119.3144032 47.1049739)
MI,POINT (-86.488725 42.083063)
TX,POINT (-98.4631366999999 29.515516)
GA,POINT (-84.2482775 33.9100934)
NJ,POINT (-74.372187 40.73889)
FL,POINT (-81.639174 30.384654)
WA,POINT (-122.382856 47.627621)
MT,POINT (-108.556312 45.762422)
CA,POINT (-120.453863 34.937812)
OR,POINT (-122.8975 45.530377)
MA,POINT (-71.054661 42.130132)
MA,POINT (-71.23715 42.116412)
OH,POINT (-84.090207 41.41576)
MA,POINT (-70.655285 42.615018)
MA,POINT (-70.656809 42.614936)
GA,POINT (-84.36149 33.935085)
GA,POINT (-84.612644 34.002791)
FL,POINT (-81.789503 28.03472)
FL,POINT (-81.78953 28.034323)
TN,POINT (-88.809835 35.621027)
NJ,POINT (-74.088397 40.682946)
FL,POINT (-81.627637 28.10903)
MN,POINT (-93.356332 43.626187)
DE,POINT (-75.594009 39.660143)
ND,POINT (-97.104762 47.911247)
OK,POINT (-94.624624 35.804872)
CA,POINT (-117.333179 34.001161)
TX,POINT (-95.073989 29.699141)
TX,POINT (-95.084356 29.698247)
MI,POINT (-85.971204 42.105775)
GA,POINT (-81.204042 32.080448)
GA,POINT (-81.249925 32.333829)
TX,POINT (-106.376146 31.921034)
IL,POINT (-89.034223 41.908823)
WA,POINT (-122.340372 48.415077)
GA,POINT (-84.115006 31.559577)
WI,POINT (-88.81511 42.990632)
CA,POINT (-121.443101 38.601823)
CO,POINT (-104.872692 39.790298)
TX,POINT (-101.817199 35.189011)
NJ,POINT (-75.22471 39.497477)
DE,POINT (-75.783365 39.658821)
FL,POINT (-81.363076 28.410782)
SC,POINT (-79.979584 32.902829)
OH,POINT (-84.505026 39.33765)
AL,POINT (-87.043385 34.61295)
TN,POINT (-89.991372 35.114491)
TX,POINT (-97.340011 32.785948)
WI,POINT (-89.535864 44.419597)
NC,POINT (-79.213757 35.515406)
DE,POINT (-75.579879 38.918833)
FL,POINT (-82.055741 28.028953)
AR,POINT (-92.38805 34.861099)
WA,POINT (-118.355923 46.061592)
WI,POINT (-88.051551 43.192193)
MI,POINT (-86.357675 43.68982)
OH,POINT (-84.100742 41.413563)
TX,POINT (-98.432211 29.300597)
MI,POINT (-85.701127 42.941399)
AR,POINT (-94.116226 36.194036)
VA,POINT (-76.588973 37.177586)
GA,POINT (-84.00345 30.848282)
WI,POINT (-89.651102 44.953797)
VA,POINT (-76.371607 36.777606)
PA,POINT (-75.659354 40.354176)
IL,POINT (-88.286868 41.864111)
NC,POINT (-80.946399 35.112075)
CA,POINT (-121.771257 36.865337)
