Name,Store Number,City,State,Zip Code,Latitude,Longitude,County,ID
CVS,48303,Pompton Plains,NJ,7444,40.983629,-74.325211,Morris County,0
CVS,6873,Lambertville,NJ,8530,40.37665011788165,-74.94760572341767,Hunterdon County,1
CVS,2168,New York,NY,10019,40.769346,-73.985463,New York County,2
CVS,8319,Somerville,MA,2144,42.39629301,-71.1226091,Middlesex County,3
CVS,10690,South Burlington,VT,5403,44.4689476454026,-73.18184858188033,Chittenden County,4
CVS,3675,Pensacola,FL,32534,30.532629460064765,-87.27277122684478,Escambia County,5
CVS,5370,Valley Stream,NY,11580,40.66485965640602,-73.69719428883604,Nassau County,6
CVS,323,Saugerties,NY,12477,42.083596,-73.967818,Ulster County,7
CVS,17332,Stoughton,MA,2072,42.152289970686475,-71.07286451384427,Norfolk County,8
CVS,2572,Stratford,CT,6614,41.23045214416939,-73.1534579023719,Fairfield County,9
CVS,620,Waterville,ME,4901,44.54085615872917,-69.64956436644344,Kennebec County,10
CVS,3571,Pelzer,SC,29669,34.643438593331574,-82.4667245509262,Anderson County,11
CVS,8512,Park Forest,IL,60466,41.48383475786571,-87.6751160740082,Cook County,12
CVS,1181,Danvers,MA,1923,42.565896573714134,-70.93528797850014,Essex County,13
CVS,4335,Fredericksburg,VA,22406,38.353668676623826,-77.51018295104508,Stafford County,14
CVS,16775,Philadelphia,PA,19148,39.924389993843704,-75.14610859181163,Philadelphia County,15
CVS,16584,Everett,MA,2149,42.398712149629176,-71.07155324891211,Middlesex County,16
CVS,3627,Fort Lauderdale,FL,33301,26.122742858918443,-80.13832597061993,Broward County,17
CVS,16640,Middletown,NY,10941,41.45183261701296,-74.36907418817897,Orange County,18
CVS,1583,Shickshinny,PA,18655,41.153182773468075,-76.14983296190873,Luzerne County,19
CVS,3249,Palm Coast,FL,32137,29.554264192075003,-81.21069159020637,Flagler County,20
CVS,641,Orangeburg,NY,10962,41.0454454590353,-73.95287825704307,Rockland County,21
CVS,5193,Cherry Hill,NJ,8034,39.91257025114995,-75.01102946698666,Camden County,22
CVS,4841,Marmora,NJ,8223,39.26400955002571,-74.6470318128975,Cape May County,23
CVS,104,Clearwater,FL,33756,27.96519600890263,-82.78699010610582,Pinellas County,24
CVS,1033,Galloway,NJ,8205,39.49363776030444,-74.45840210611686,Atlantic County,25
CVS,17643,Chicago,IL,60603,41.88192585193945,-87.62731354683639,Cook County,26
CVS,16824,New Hartford,NY,13413,43.08378128499201,-75.31591163463104,Oneida County,27
CVS,6038,Trenton,NJ,8620,40.18468918776164,-74.6781427067806,Mercer County,28
