STATE,geometry
AZ,POINT (-110.93605 31.388018)
AZ,POINT (-110.95232 31.357872)
AZ,POINT (-110.933797 31.3645250000001)
AZ,POINT (-110.935815 31.3410490000001)
AZ,POINT (-110.938607 31.3381190000001)
AZ,POINT (-109.552881 31.345135)
AZ,POINT (-109.891538 31.427401)
AZ,POINT (-109.924023 31.3806010000001)
AZ,POINT (-110.929472 31.367245)
TX,POINT (-102.890011 30.8939)
TX,POINT (-103.667542 30.355848)
TX,POINT (-103.667542 30.355848)
TX,POINT (-103.484034 31.403105)
AK,POINT (-149.884869 61.1894780000001)
AK,POINT (-149.83569 61.1808110000001)
AK,POINT (-149.779884 61.1949980000001)
AK,POINT (-149.887803 61.195323)
AK,POINT (-149.875135 61.189489)
AK,POINT (-149.861402 61.109202)
AK,POINT (-149.884296 61.1808770000001)
AK,POINT (-149.897902 61.186836)
AK,POINT (-149.893635 61.173664)
AK,POINT (-149.877556 61.1447610000001)
AK,POINT (-149.978829 61.161749)
AK,POINT (-149.836052 61.1383190000001)
AK,POINT (-149.895461 61.2161350000001)
AK,POINT (-149.890104 61.215625)
AK,POINT (-149.881024 61.2166090000001)
AK,POINT (-149.861633 61.108593)
AK,POINT (-150.003419 61.1943880000001)
AK,POINT (-150.003419 61.1943880000001)
AK,POINT (-149.846441 61.2344140000001)
AK,POINT (-149.570235 61.329848)
AK,POINT (-149.733578 61.223934)
AK,POINT (-149.848639 61.6361240000001)
AK,POINT (-149.406113 61.5760320000001)
AK,POINT (-149.429164 61.5822610000001)
AK,POINT (-149.44135 61.5833940000001)
AK,POINT (-161.753401 60.7747640000001)
AK,POINT (-151.530224 59.647343)
AK,POINT (-151.260321 60.5538480000001)
AK,POINT (-149.113455 61.601438)
AK,POINT (-151.251393 60.5601950000001)
AK,POINT (-151.251393 60.5601950000001)
AK,POINT (-149.326545 61.615418)
NV,POINT (-116.106887 40.7198270000001)
CA,POINT (-118.419308 37.379784)
CA,POINT (-118.395361 37.3692110000001)
CA,POINT (-118.394915 37.3614020000001)
CA,POINT (-118.432504 37.375882)
CA,POINT (-118.432504 37.375882)
CA,POINT (-118.898846 37.6583150000001)
CA,POINT (-118.966418 37.636013)
AK,POINT (-147.698793 64.849656)
AK,POINT (-147.81854 64.8489450000001)
AK,POINT (-147.352508 64.757075)
AK,POINT (-147.733149 64.8127850000001)
AK,POINT (-147.719945 64.840422)
AK,POINT (-147.721088 64.8362040000001)
NV,POINT (-116.354687 38.4387340000001)
NV,POINT (-114.872818 39.2538470000001)
NV,POINT (-114.872818 39.2538470000001)
NV,POINT (-118.799562 39.476051)
NV,POINT (-119.537848 39.258319)
NV,POINT (-119.747084 39.1730690000001)
NV,POINT (-119.771364 39.1103220000001)
NV,POINT (-119.767195 39.3956600000001)
NV,POINT (-119.756412 39.4391010000001)
NV,POINT (-119.72082 39.556299)
NV,POINT (-119.763606 39.476933)
NV,POINT (-119.784582 39.4672580000001)
NV,POINT (-119.79529 39.489811)
NV,POINT (-118.85393 39.48925)
NV,POINT (-118.85393 39.48925)
NV,POINT (-118.804025 39.4772170000001)
NV,POINT (-119.23812 39.5600150000001)
NV,POINT (-119.222066 39.5900990000001)
NV,POINT (-116.941905 40.647931)
NV,POINT (-119.562703 39.233371)
CA,POINT (-118.39536 37.373614)
CA,POINT (-118.971878 37.6401770000001)
CA,POINT (-118.966356 37.636352)
NV,POINT (-119.709302 39.641463)
NV,POINT (-119.822562 39.569489)
NV,POINT (-119.736768 39.535648)
NV,POINT (-119.703835 39.5332100000001)
NV,POINT (-119.703835 39.5332100000001)
NV,POINT (-119.75729 39.5328890000001)
NV,POINT (-119.745312 39.527406)
NV,POINT (-119.818105 39.531617)
NV,POINT (-118.77717 39.472678)
NV,POINT (-118.803023 39.4768950000001)
NV,POINT (-115.762484 40.832024)
NV,POINT (-115.779796 40.8291590000001)
NV,POINT (-115.764444 40.832721)
NV,POINT (-115.790936 40.8379340000001)
NV,POINT (-115.726708 40.8661910000001)
NV,POINT (-115.726708 40.8661910000001)
NV,POINT (-114.563362 41.003388)
NV,POINT (-114.958182 41.102291)
NV,POINT (-119.782378 39.5547300000001)
NV,POINT (-117.746856 40.9605280000001)
NV,POINT (-117.746856 40.9605280000001)
NV,POINT (-117.744021 40.9640800000001)
NV,POINT (-114.871268 39.2476580000001)
NV,POINT (-114.890689 39.248294)
NV,POINT (-119.747164 39.1894740000001)
NV,POINT (-119.766919 39.175869)
NV,POINT (-119.760986 39.1498750000001)
NV,POINT (-119.770191 39.185612)
NV,POINT (-119.767901 39.165829)
NV,POINT (-119.765357 39.131065)
NV,POINT (-119.765898 39.1499480000001)
NV,POINT (-119.821507 39.0571340000001)
NV,POINT (-119.732132 39.176976)
NV,POINT (-119.766122 39.169861)
NV,POINT (-119.816799 39.505413)
NV,POINT (-119.829355 39.5285460000001)
NV,POINT (-119.753178 39.4204050000001)
NV,POINT (-119.755267 39.4316240000001)
NV,POINT (-119.760142 39.4415530000001)
NV,POINT (-119.761793 39.4405120000001)
OR,POINT (-120.345922 42.1911630000001)
NV,POINT (-119.689748 39.611728)
NV,POINT (-119.773741 39.559242)
NV,POINT (-119.753531 39.551067)
NV,POINT (-119.24843 39.6076770000001)
NV,POINT (-119.163724 38.993882)
NV,POINT (-119.7064 39.5227130000001)
NV,POINT (-119.734904 39.5167020000001)
NV,POINT (-119.747131 39.5255460000001)
NV,POINT (-119.795668 39.5248710000001)
NV,POINT (-119.748273 39.509797)
NV,POINT (-119.775331 39.510519)
NV,POINT (-119.778267 39.511352)
NV,POINT (-119.779076 39.5059850000001)
NV,POINT (-119.779523 39.505978)
NV,POINT (-119.94163 38.9601040000001)
NV,POINT (-119.776989 38.956238)
NV,POINT (-119.762673 38.9536830000001)
NV,POINT (-119.927962 38.968109)
CA,POINT (-119.968629 38.944596)
NV,POINT (-119.941731 38.9852690000001)
CA,POINT (-119.986436 38.925101)
CA,POINT (-119.988053 38.9240270000001)
CA,POINT (-119.988369 38.9238920000001)
CA,POINT (-119.963707 38.9463410000001)
CA,POINT (-119.997979 38.91743)
CA,POINT (-120.006166 38.9128400000001)
CA,POINT (-120.010642 38.9057520000001)
CA,POINT (-120.005094 38.930728)
CA,POINT (-120.003026 38.9142170000001)
CA,POINT (-120.004001 38.912293)
NV,POINT (-117.737528 40.969842)
