STATE,geometry
AK,POINT (-147.7564047 64.8358183)
AK,POINT (-147.7133567 64.838565)
WA,POINT (-117.577696 47.4931251)
WA,POINT (-117.4157601 47.7396808)
WA,POINT (-122.6447998 45.7207304)
WA,POINT (-122.584499 45.6259164)
NV,POINT (-119.771996 38.9576762)
WA,POINT (-122.4941793 45.6191314)
UT,POINT (-113.5863207 37.0614041)
CA,POINT (-121.9077759 36.6055664)
CA,POINT (-116.5008349 33.9572864)
AZ,POINT (-112.1759896 33.6110904)
AZ,POINT (-112.2155752 33.6407906)
NV,POINT (-114.5776685 35.1615685)
CA,POINT (-119.1103707 35.3910096)
NV,POINT (-119.7737232 39.0907115)
CA,POINT (-119.1780985 34.172694)
CA,POINT (-117.2464962 32.7982697)
CA,POINT (-117.379662 33.9758125)
NV,POINT (-119.2215853 39.6097234)
WA,POINT (-120.2822835 47.4044329)
WA,POINT (-117.4108641 47.7117765)
WA,POINT (-122.5489667 45.7841058)
WA,POINT (-122.5190408 47.1720375)
WA,POINT (-122.4354006 47.188866)
CA,POINT (-118.3486023 34.1885494)
CA,POINT (-117.4551638 33.9160316)
OR,POINT (-122.8697872 45.533079)
OR,POINT (-123.0839837 44.0451498)
NV,POINT (-119.7782663 38.9626523)
OR,POINT (-123.196804 45.2222113)
NV,POINT (-119.794433 39.5343429)
NV,POINT (-119.7461664 39.5269474)
NV,POINT (-115.1804039 36.1365976)
NV,POINT (-119.7699449 39.3908071)
NV,POINT (-119.7045261 39.5657057)
CA,POINT (-122.0848568 38.2371584)
CA,POINT (-119.28863 36.3322368)
NV,POINT (-115.0301902 36.0377436)
NV,POINT (-115.7591221 40.8350855)
WA,POINT (-122.2491487 47.4575077)
WA,POINT (-123.1125949 48.0838219)
ID,POINT (-113.7806939 42.5370953)
AZ,POINT (-114.3379603 34.478891)
AZ,POINT (-114.5996683 35.1157419)
NV,POINT (-115.1733927 36.2402892)
UT,POINT (-112.0875038 40.6961154)
CA,POINT (-117.6991277 34.1123721)
ID,POINT (-112.4684705 42.9149247)
CA,POINT (-121.9035792 37.4057115)
CA,POINT (-122.2311176 37.7808565)
CA,POINT (-118.4605984 34.0500914)
OR,POINT (-122.8492931 45.3666269)
