Name,Store Number,City,State,Zip Code,Latitude,Longitude,County,ID
Walmart,2302,Barceloneta,PR,617,18.4338329,-66.6134544,,17715
Walmart,1854,Hatillo,PR,659,18.4870037,-66.79510069999999,,17716
Walmart,2085,Isabela,PR,662,18.4698192,-67.0240226,,17717
Walmart,3716,Manati,PR,674,18.4396464,-66.4576549,,17718
Walmart,2067,Mayaguez,PR,680,18.1562941,-67.1594269,,17719
Walmart,2449,Caguas,PR,725,18.2410648,-66.0271603,,17720
Walmart,2026,Ponce,PR,728,17.9973605,-66.642578,,17721
Walmart,5802,Canovanas,PR,729,18.3593739,-65.9033692,,17722
Walmart,2721,Cayey,PR,736,18.0786207,-66.1653224,,17723
Walmart,1822,Fajardo,PR,738,18.3430313,-65.674245,,17724
Walmart,3693,Santa Isabel,PR,757,17.9695296,-66.4039045,,17725
Walmart,5793,Ponce,PR,780,18.04467,-66.5778843,,17726
Walmart,2072,Guayama,PR,784,17.9788971,-66.0984317,,17727
Walmart,2240,Humacao,PR,791,18.1418766,-65.8073082,,17728
Walmart,5803,San Juan,PR,907,18.4477464,-66.0755353,,17729
Walmart,2346,Toa Baja,PR,949,18.4105001,-66.255973,,17730
Walmart,2501,Bayamon,PR,961,18.4067176,-66.1647881,,17731
Walmart,2423,Carolina,PR,987,18.3932311,-65.9937475,,17732
Walmart,5278,Chicopee,MA,1020,42.172563254929834,-72.57388785481454,Hampden,17733
Walmart,2683,Hadley,MA,1035,42.35463925683797,-72.55223119631411,Hampshire,17734
Walmart,2901,Northampton,MA,1060,42.341415676441095,-72.64381095597459,Hampshire,17735
Walmart,2386,Ware,MA,1082,42.23766179590445,-72.27894611656667,Hampshire,17736
Walmart,2174,Westfield,MA,1085,42.10841124133896,-72.70844992250206,Hampden,17737
Walmart,1967,Springfield,MA,1119,42.1361340189412,-72.5069477967918,Hampden,17738
Walmart,2228,Pittsfield,MA,1201,42.464768895067046,-73.19774934175713,Berkshire,17739
Walmart,1984,North Adams,MA,1247,42.66439704106063,-73.11060927808286,Berkshire,17740
Walmart,2329,Orange,MA,1364,42.588737565368675,-72.28403409942986,Franklin,17741
Walmart,2155,Gardner,MA,1440,42.55141264731965,-71.99477897956969,Worcester,17742
Walmart,2964,Leominster,MA,1453,42.4919587659876,-71.73008032143116,Worcester,17743
Walmart,2118,Lunenburg,MA,1462,42.59500437682933,-71.7598792910667,Worcester,17744
Walmart,3409,Leicester,MA,1524,42.25133761171093,-71.93525707349181,Worcester,17745
Walmart,2158,Northborough,MA,1532,42.28493460453244,-71.65670178830625,Worcester,17746
Walmart,2012,North Oxford,MA,1537,42.17074322297539,-71.87884267419577,Worcester,17747
Walmart,2797,Sturbridge,MA,1566,42.12815165962912,-72.0601179264486,Worcester,17748
Walmart,2267,West Boylston,MA,1583,42.35530128237459,-71.78250007331373,Worcester,17749
Walmart,2629,Whitinsville,MA,1588,42.107691,-71.700249,Worcester,17750
Walmart,4387,Worcester,MA,1607,42.23338930939071,-71.79155504330994,Worcester,17751
Walmart,2902,Framingham,MA,1701,42.30085155063042,-71.39957299456002,Middlesex,17752
Walmart,1970,Hudson,MA,1749,42.37290289643779,-71.5588562563096,Middlesex,17753
Walmart,2903,Chelmsford,MA,1824,42.62293670101603,-71.36081101745164,Middlesex,17754
Walmart,3491,Methuen,MA,1844,42.74309505198712,-71.16512328386308,Essex,17755
Walmart,2660,North Reading,MA,1864,42.570633267709155,-71.11298111013299,Middlesex,17756
Walmart,2222,Tewksbury,MA,1876,42.622929127335034,-71.26968354795015,Middlesex,17757
Walmart,2139,Lynn,MA,1905,42.44880965277677,-70.96114777028903,Essex,17758
Walmart,3114,Saugus,MA,1906,42.4720758885388,-71.0236629098654,Essex,17759
Walmart,2180,Danvers,MA,1923,42.5545484534503,-70.96833648160101,Essex,17760
Walmart,2640,Salem,MA,1970,42.494391766545824,-70.93543885275723,Essex,17761
Walmart,1918,Bellingham,MA,2019,42.11623418232178,-71.46524084731938,Norfolk,17762
Walmart,2103,Walpole,MA,2081,42.141975690617706,-71.21459864079954,Norfolk,17763
Walmart,2341,Quincy,MA,2169,42.23618135864348,-70.98627895116807,Norfolk,17764
