,STATE,NAME,geometry
13,AK,"walmart, wal-mart",POINT (-149.5349371 61.3090534)
27,CA,walgreens,POINT (-117.088834 32.6279578)
28,CA,walgreens,POINT (-117.0684027 32.6132283)
31,CA,walgreens,POINT (-116.9655714 32.6297296)
32,CA,cvs,POINT (-117.0913759 32.5846243)
33,CA,cvs,POINT (-117.0851397 32.6297507)
34,CA,"walmart, wal-mart",POINT (-117.099326 32.6747654)
36,CA,"walmart, wal-mart",POINT (-116.9682391 32.631153)
49,AK,"walmart, wal-mart",POINT (-147.6891805 64.8564372)
59,AK,"walmart, wal-mart",POINT (-149.8795236 61.1923919)
64,AK,walgreens,POINT (-149.4071891 61.5774591)
70,CA,cvs,POINT (-117.0729392 32.6212719)
71,CA,"walmart, wal-mart",POINT (-117.0942724 32.6518923)
72,CA,"walmart, wal-mart",POINT (-117.0830488 32.6067512)
73,CA,cvs,POINT (-117.0808127 32.6605865)
80,CA,cvs,POINT (-117.0257616 32.6158011)
82,AK,"walmart, wal-mart",POINT (-134.5138686 58.3583615)
113,AK,"walmart, wal-mart",POINT (-149.8699363 61.1401661)
114,AK,"walmart, wal-mart",POINT (-151.2250599 60.5642893)
116,CA,cvs,POINT (-117.0662439 32.6039596)
120,CA,"walmart, wal-mart",POINT (-117.0355179 32.5815247)
128,AK,"walmart, wal-mart",POINT (-131.7204087 55.375613)
132,CA,cvs,POINT (-117.0873296 32.6499895)
148,AK,"walmart, wal-mart",POINT (-149.3650972 61.568932)
154,CA,cvs,POINT (-117.0502123 32.6385734)
158,CA,cvs,POINT (-117.1156761 32.5843717)
162,CA,cvs,POINT (-117.0368667 32.5496069)
163,CA,cvs,POINT (-117.0606884 32.5848224)
172,AK,"walmart, wal-mart",POINT (-152.3655635 57.8118921)
197,AK,walgreens,POINT (-149.7397543 61.2094341)
205,AK,walgreens,POINT (-149.9211037 61.1378689)
208,HI,"walmart, wal-mart",POINT (-155.9909081 19.6462098)
