,STATE,geometry
0,AL,POINT (-87.600789726 30.410802285)
1,AL,POINT (-87.672186115 30.3567770000001)
2,AL,POINT (-87.9036931649999 30.6004245940001)
3,AL,POINT (-87.7157115649999 30.5623408230001)
4,AL,POINT (-87.911026046 30.602458889)
5,AL,POINT (-85.136143488 31.918207996)
6,AL,POINT (-87.1206613419999 32.9768921790001)
7,AL,POINT (-86.429098574 34.083988048)
8,AL,POINT (-86.4046802399999 33.888285438)
9,AL,POINT (-86.641312926 31.8360848990001)
10,AL,POINT (-85.7892675149999 33.6533456280001)
11,AL,POINT (-85.8729887279999 33.5894702630001)
12,AL,POINT (-85.772118721 33.8048765200001)
13,AL,POINT (-85.814674998 33.71756207)
14,AL,POINT (-85.208503746 32.8741740470001)
15,AL,POINT (-85.1736468409999 32.806738588)
16,AL,POINT (-85.4065525459999 32.87304464)
17,AL,POINT (-85.1932168719999 32.817925754)
18,AL,POINT (-88.317997017 31.9123007960001)
19,AL,POINT (-88.2250483889999 32.082205838)
20,AL,POINT (-85.81077198 33.246218701)
21,AL,POINT (-85.7938002559999 33.283569275)
22,AL,POINT (-85.8933448989999 31.4187520720001)
23,AL,POINT (-85.855922656 31.3127423330001)
24,AL,POINT (-86.946865367 31.4460104550001)
25,AL,POINT (-86.269296912 31.693826997)
26,AL,POINT (-86.841516629 34.1779167540001)
27,AL,POINT (-86.884590948 34.2715147170001)
28,AL,POINT (-86.813537834 34.1742654780001)
29,AL,POINT (-86.8376985739999 34.1737342850001)
30,AL,POINT (-85.665732663 31.4369538)
31,AL,POINT (-87.062828934 32.405934314)
32,AL,POINT (-87.0766508199999 32.3897864400001)
33,AL,POINT (-85.832407439 34.5136727890001)
34,AL,POINT (-86.066571616 34.280827989)
35,AL,POINT (-86.2928213019999 32.547346738)
36,AL,POINT (-86.375622877 32.5087765690001)
37,AL,POINT (-86.365833735 32.5195938950001)
38,AL,POINT (-86.405169278 32.480262473)
39,AL,POINT (-87.490501681 31.002404993)
40,AL,POINT (-87.4078986769999 31.0301407440001)
41,AL,POINT (-86.0491906409999 33.9918704620001)
42,AL,POINT (-86.064123615 33.9658005810001)
43,AL,POINT (-85.989122031 34.023618238)
44,AL,POINT (-86.012393977 34.015462782)
45,AL,POINT (-88.167585448 32.774092184)
46,AL,POINT (-87.584026541 32.699115294)
47,AL,POINT (-85.261592698 31.576959145)
48,AL,POINT (-85.391580397 31.2326916310001)
49,AL,POINT (-85.438535719 31.2003498230001)
50,AL,POINT (-85.4362408489999 31.2401123870001)
51,AL,POINT (-85.449049378 31.2439609900001)
52,AL,POINT (-85.629795063 34.9020537870001)
53,AL,POINT (-85.5881937999999 34.8765128750001)
54,AL,POINT (-86.997065494 33.3608968710001)
55,AL,POINT (-86.881322327 33.5100418850001)
56,AL,POINT (-86.833050197 33.415835831)
57,AL,POINT (-86.8447292289999 33.494892743)
58,AL,POINT (-86.690426894 33.6027109790001)
59,AL,POINT (-86.797060169 33.4794687450001)
60,AL,POINT (-86.81893989 33.69118998)
61,AL,POINT (-86.8850495629999 33.492350758)
62,AL,POINT (-86.788552241 33.499055142)
63,AL,POINT (-86.726875922 33.576618135)
64,AL,POINT (-86.654112513 33.730498954)
65,AL,POINT (-86.986180414 33.4234642380001)
66,AL,POINT (-86.736185507 33.5157108390001)
67,AL,POINT (-86.9623640899999 33.4031931320001)
68,AL,POINT (-86.757096378 33.521825821)
69,AL,POINT (-86.7093494659999 33.599874825)
70,AL,POINT (-86.960039186 33.393163707)
71,AL,POINT (-86.808010226 33.648715768)
72,AL,POINT (-86.852556748 33.3726144410001)
73,AL,POINT (-86.726024879 33.6312571820001)
74,AL,POINT (-86.816798401 33.66722932)
75,AL,POINT (-86.636757948 33.652501289)
76,AL,POINT (-86.832768556 33.4437008530001)
77,AL,POINT (-86.891516672 33.5642989950001)
78,AL,POINT (-86.9146338899999 33.4908605900001)
79,AL,POINT (-86.787712324 33.4984935620001)
80,AL,POINT (-86.754288435 33.5116662620001)
81,AL,POINT (-86.791410863 33.4863058440001)
82,AL,POINT (-86.7537252179999 33.5401783360001)
83,AL,POINT (-86.788980215 33.4362014490001)
84,AL,POINT (-86.7952602249999 33.4454552230001)
85,AL,POINT (-86.737003049 33.4259888330001)
86,AL,POINT (-86.726020261 33.564864781)
87,AL,POINT (-86.646171212 33.550075883)
88,AL,POINT (-86.808484729 33.519217053)
89,AL,POINT (-86.7958337219999 33.475786591)
90,AL,POINT (-87.695865249 34.8478694240001)
91,AL,POINT (-87.6590885109999 34.846210872)
92,AL,POINT (-87.6350985719999 34.876897441)
93,AL,POINT (-85.050011157 32.5371549770001)
94,AL,POINT (-85.080356809 32.4922392550001)
95,AL,POINT (-85.47989806 32.5872737710001)
96,AL,POINT (-86.9558276389999 34.797498078)
97,AL,POINT (-86.612931358 32.2758516650001)
98,AL,POINT (-85.715270306 32.421153002)
99,AL,POINT (-86.583855192 34.698313645)
100,AL,POINT (-86.640536298 34.739755503)
101,AL,POINT (-86.5691767879999 34.6754552960001)
102,AL,POINT (-86.654451176 34.7520363240001)
103,AL,POINT (-86.6848493539999 34.7559494450001)
104,AL,POINT (-86.592225559 34.6976761600001)
105,AL,POINT (-86.537839035 34.6687259300001)
106,AL,POINT (-86.584462061 34.731836071)
107,AL,POINT (-86.688316981 34.799824959)
108,AL,POINT (-86.7398561159999 34.7335243730001)
109,AL,POINT (-86.645456172 34.7272843420001)
110,AL,POINT (-86.554459643 34.6858539240001)
111,AL,POINT (-86.572302158 34.6903147360001)
112,AL,POINT (-86.602913127 34.7345468770001)
113,AL,POINT (-86.6222035979999 34.727989393)
114,AL,POINT (-86.5591691499999 34.7063690000001)
115,AL,POINT (-86.489777153 34.6680199210001)
116,AL,POINT (-87.793755784 32.2848606200001)
117,AL,POINT (-85.698275944 32.1426134550001)
118,AL,POINT (-86.23877512 34.3105407910001)
119,AL,POINT (-88.11289958 30.7328189080001)
120,AL,POINT (-88.250326292 31.1330787530001)
121,AL,POINT (-88.244878507 30.7030909060001)
122,AL,POINT (-87.341027673 31.474900018)
123,AL,POINT (-86.012487665 32.3023494280001)
124,AL,POINT (-88.230222871 30.7959632600001)
125,AL,POINT (-88.17973126 30.688302354)
126,AL,POINT (-86.2505635109999 32.325525176)
127,AL,POINT (-86.199381843 32.321812982)
128,AL,POINT (-86.1563690739999 32.3323073020001)
129,AL,POINT (-86.2873862879999 32.424801652)
130,AL,POINT (-86.218629769 32.3884735890001)
131,AL,POINT (-86.302867506 32.3642847130001)
132,AL,POINT (-86.2409134229999 32.3494452250001)
133,AL,POINT (-86.2162858 32.3404274170001)
134,AL,POINT (-86.3604484809999 32.2575005520001)
135,AL,POINT (-86.998631249 34.532275058)
136,AL,POINT (-87.0014488259999 34.5486538320001)
137,AL,POINT (-86.92314114 34.4617191410001)
138,AL,POINT (-86.989779196 34.575407291)
139,AL,POINT (-87.335053492 32.607471236)
140,AL,POINT (-88.0900229489999 33.2529717130001)
141,AL,POINT (-85.9419853059999 31.782379086)
142,AL,POINT (-88.12323164 30.649229183)
143,AL,POINT (-85.965104814 31.7645215310001)
144,AL,POINT (-85.122048497 32.333937416)
145,AL,POINT (-86.350072579 33.593804698)
146,AL,POINT (-86.3284487829999 33.7560390140001)
147,AL,POINT (-86.823434041 33.2637058820001)
148,AL,POINT (-86.73141921 33.3603040240001)
149,AL,POINT (-86.628799965 33.4113385740001)
150,AL,POINT (-86.318705795 33.5995270230001)
151,AL,POINT (-86.7061033259999 33.377187185)
152,AL,POINT (-86.781516655 33.2087957300001)
153,AL,POINT (-86.7712927489999 33.340422533)
154,AL,POINT (-86.430247557 33.3351430390001)
155,AL,POINT (-86.574028691 33.223378258)
156,AL,POINT (-86.24920495 33.165519981)
157,AL,POINT (-86.086760746 33.433528784)
158,AL,POINT (-87.529106349 33.173702771)
159,AL,POINT (-87.508039767 33.199531662)
160,AL,POINT (-87.5740600939999 33.20757654)
161,AL,POINT (-87.5408314909999 33.2443824470001)
162,AL,POINT (-87.44988313 33.1940641250001)
163,AL,POINT (-87.079391405 33.740109938)
164,AL,POINT (-87.306198071 32.002960826)
165,AK,POINT (-149.778944406 61.1236719870001)
166,AK,POINT (-149.539130248 61.313049617)
167,AK,POINT (-149.764603227 61.1910558980001)
168,AK,POINT (-149.955802866 61.147199685)
