,GEOID,Longitude,Latitude
356,270079400012,-95.23552175383092,48.070047043349
2685,270959701001,-93.47012094783784,46.14051059516928
9,270017704011,-93.19575692152692,46.68912304843396
3646,271359703004,-95.75686497203154,48.85120512653519
2530,270774604012,-94.96325384903469,48.55087135685345
709,270290003002,-95.50810242051064,47.71879187923566
3007,271159502001,-92.9759802244758,46.32416279545433
3846,271370155021,-92.19412704783691,48.1074534091093
2395,270614804013,-93.30726202893936,47.67714591382833
3820,271370138002,-92.24270542994046,47.5354982325862
4220,271554601003,-96.50396214670104,45.81216373335514
2507,270717905002,-94.03818840345936,48.45742380813333
4201,271537903003,-95.01108820533236,46.06412117055673
2689,270959702002,-93.7159437990766,46.19530005879199
594,270219603011,-94.2760767205685,46.95880630818998
3009,271159503001,-92.6894202567824,46.17889195562207
2394,270614804012,-93.56712507707572,47.58588610860839
749,270359507022,-93.93746380502344,46.47569990960478
3760,271370114012,-91.98887755218314,47.3965931073277
708,270290003001,-95.3885440548276,47.86522626578716
588,270219400023,-94.55889584809908,47.39427917639074
2621,270890801003,-96.00589896866924,48.42768250098701
4624,271739704003,-95.47913975989542,44.58666159032618
391,270119502002,-96.46522182433333,45.55198760120796
357,270079400013,-94.82574406863743,48.09199934956328
2427,270619400001,-94.17006155252372,47.54747492202451
1951,270530268281,-93.34708317807684,45.10134182544399
3755,271370112004,-92.90905806381672,46.83047091173317
2941,271119603002,-96.08429032273204,46.57787260508205
715,270314801023,-90.91734619329482,47.85014096840299
5,270017702003,-93.60252160726318,47.010173209670064
1902,270530268093,-93.36059714835604,45.07527169156977
2975,271119613001,-95.47713499161152,46.32547677971088
3843,271370154022,-92.27121043377204,47.82641695058778
2529,270774604011,-94.78763185599897,48.76864504645672
314,270054509001,-96.12533268026527,46.97962693045061
13,270017905012,-93.50391926479932,46.388767609432506
489,270170705012,-92.75324427269798,46.44172981566869
2516,270753701011,-91.41608884972575,47.83012676833601
2532,270774604022,-94.96836380093352,49.09055126985192
705,270290002001,-95.47960516873736,47.33084191748153
2623,270890802002,-96.47389473646524,48.465027295310286
3847,271370155031,-92.8581091927339,48.31737333746668
3066,271190209005,-96.11081384264898,47.56591814506697
1183,270459604002,-91.96997519670929,43.627939132612376
1195,270471801002,-93.2341493518854,43.802609271219154
3582,271310701021,-93.43427279132226,44.472565362999816
4212,271537907001,-94.94601633846918,45.89519265426103
3948,271390811032,-93.34657353380788,44.569131989898665
315,270054509002,-96.05671150424912,46.75836672614537
320,270059400003,-95.34695427746088,47.05946319901512
2690,270959702003,-93.748646981782,46.0763273210451
3556,271277504002,-95.2375394811738,44.351845255258425
4244,271594801003,-95.10038011330936,46.74147150041512
3754,271370112003,-92.62486707878912,46.81474161894253
3013,271159504021,-92.86371198784369,46.13062093127413
2635,270917902002,-94.7048496367816,43.71619790636825
319,270059400002,-95.84555367128374,47.11657363171853
4523,271696710001,-92.01866819692502,43.90710970118384
2508,270717905003,-93.92425202062712,48.08034938230277
2560,270812010022,-96.17130937068268,44.24607149034955
3757,271370113002,-92.68837045397784,47.26961157305485
2557,270812010012,-96.26714250224556,44.51257642320262
721,270332702001,-95.3985514789516,44.11824038359224
2794,271051052002,-95.99526136587956,43.72017828494393
2351,270570704002,-94.78929191271476,46.93891538077488
2490,270690901001,-96.58021755062128,48.77415148514007
255,270030511023,-93.24580760462212,45.10418459027901
2404,270614806003,-93.14164743444142,47.14309338460218
3109,271230306013,-93.078861211305,44.98214404673824
2538,270799502001,-93.87900970508622,44.51117985198843
2463,270677802002,-95.17493841276556,45.29071640720504
3337,271230376032,-93.16912435042047,44.90154130526642
1686,270530259065,-93.3961539918587,44.82748006196148
2820,271090001002,-92.46177718233142,44.02161260489067
2954,271119607001,-95.77388942177215,46.50058549567128
2393,270614804011,-93.20801628958849,47.79480582422619
3070,271190210004,-95.7818763517127,47.57393326707106
177,270030507101,-93.2878956260634,45.16030011843435
1189,270459605004,-91.92796161644756,43.544440343169775
2349,270570703002,-94.7961712139479,47.09606630862415
959,270370608052,-93.21070240530167,44.76794060149333
2625,270890803001,-96.93641867099043,48.409420098345024
1431,270530210011,-93.34140291686542,45.01870641587468
2397,270614804022,-93.3411825329615,47.43099170482576
620,270239506021,-95.77155777750244,44.96198600944396
3762,271370114022,-92.40152783405024,47.26081567238135
586,270219400021,-94.29001656372998,47.32067470630668
2722,270977808003,-94.58024214550916,45.88245975424799
3160,271230317025,-93.04040642130283,44.97193213872238
2499,270717902021,-93.4141391305136,48.60030699973464
3233,271230345002,-93.05829364658446,44.95432439110963
355,270079400011,-94.89407970344212,47.92430407549677
2991,271130901001,-95.96785083212416,48.03523224568919
4106,271450110002,-94.72267647712243,45.34441635782592
2812,271079601002,-96.27473424250388,47.31435620699084
3038,271174605002,-96.13055035621322,43.87298207895738
4202,271537904001,-94.76278971782683,46.15354453938605
1265,270510702003,-95.79558551404268,45.83476625159181
3642,271359702002,-95.94444450654076,48.76043432934656
