,GEOID,Longitude,Latitude
5252,420710141022,-76.123009889746,39.96850591503413
4974,420710101041,-76.14206151625544,40.25651406627856
3152,420350309002,-77.32972498210874,41.03583285202161
3443,420410131031,-77.57032466256501,40.16718148431699
4989,420710104002,-76.40299325457339,40.16429770406653
4614,420639602003,-79.14061786059874,40.78955532041441
8846,421070037003,-76.55307389075706,40.58843386558774
6200,420850324022,-80.40044689356792,41.33617269944671
3035,420311605002,-79.5555843056806,41.13467885955676
5277,420710145023,-76.20511814045568,39.75150119157917
8896,421110204001,-78.87058072070278,40.121165826588566
2433,420210120004,-78.64780644699825,40.63709599811293
4418,420535301002,-79.08450826454369,41.443828119382
5958,420792167002,-75.89216254397755,41.021006123424485
4520,420550125021,-77.47674988971941,39.73125866982119
6317,420893003123,-75.58646973659708,41.13603543511071
9168,421239714001,-79.40034948472714,41.68476739958925
8661,421039505032,-75.03879078619318,41.32926697089202
6134,420834209002,-78.57026812444458,41.67228164359307
8951,421110219021,-79.34572939985458,39.81035541594252
5113,420710121062,-76.23479028220417,40.154407740931255
4666,420639618002,-79.35699784353501,40.56913042542575
4476,420550114003,-77.76072472295002,39.91767978570363
8797,421070023002,-76.1916182307594,40.71539444681321
8510,421010351002,-74.98503907972876,40.04804715328814
9355,421279605002,-75.1656294781873,41.73228966257359
4620,420639604002,-78.9311107366218,40.720335100084434
8973,421150322002,-75.74571727466126,41.97326142606322
6031,420810102001,-77.43164167528496,41.41475435850675
8981,421150324012,-75.51451936237021,41.79410933965092
3103,420333314023,-78.52285385267834,40.97558799188577
8998,421150328004,-75.808361198346,41.68299258486789
2608,420270113032,-77.88516382353619,40.82739330786868
6339,420893003211,-75.40899708235223,41.10355072503289
5316,420730103002,-80.33447518627733,41.1216905726639
4551,420599704003,-80.40843139089591,39.821568972868334
7367,420990306022,-77.55662922659596,40.28912490296225
2505,420250201071,-75.51807166453294,40.98883917146298
8654,421039503021,-75.23559972663047,41.40436141963255
1361,420099611003,-78.72145478486414,39.82076224294673
3155,420370501001,-76.40854511642692,41.25492635722352
4447,420550107012,-77.55775135525909,39.868612296037696
6121,420834206002,-78.46469114720588,41.88520699146417
2284,420199110002,-80.00052147274201,40.895675188041466
9199,421257320003,-80.30354500567191,40.081945647567
9332,421257957002,-80.00481099642724,39.99713187295147
9464,421298023014,-79.71200663569556,40.39279506954864
4605,420619512004,-78.02010687074626,40.18036151070862
2558,420270102002,-77.94973472565326,41.0276649270963
4735,420670702025,-77.38945984536173,40.53377173967825
2816,420293028073,-75.53761940743516,39.97046718659588
8961,421139602011,-76.59503518958412,41.51413490857389
0,420010301011,-77.11637263257553,40.040718171695154
4741,420670704002,-77.09126202141036,40.66129602380475
8966,421150320002,-76.05974622487753,41.907531275738926
4360,420512614011,-79.87688484222546,39.966196951371394
1675,420130108004,-78.20494258947244,40.462979987048456
3083,420333309004,-78.26980119766722,40.8524855432559
3211,420391101003,-79.66159536346896,41.83364619979023
5262,420710143021,-75.9953639851847,39.972011951192506
2576,420270107004,-77.67658889531889,40.91667322010336
22,420010307003,-77.13626003322062,39.81042558451736
2456,420210127003,-78.62011137488403,40.42437401351632
8994,421150327003,-76.07824360848953,41.69447658236929
9251,421257527004,-80.28703814181608,40.14819420626139
5158,420710127013,-76.05064181959766,40.15913063068965
3116,420333318003,-78.50380462728073,40.73975970571516
4654,420639614002,-78.92460321345223,40.57730720778606
1591,420110130003,-75.69150869716925,40.31682654474495
1335,420099605002,-78.21900603763919,40.172742483528765
7352,420990304002,-76.92799517198098,40.337630360419816
5690,420770070001,-75.44494260064997,40.489031569343375
4670,420639619004,-79.44804664316672,40.48487404962978
6208,420850325042,-80.08369125171956,41.35022075188442
452,420034250001,-79.94554784412406,40.50336659262988
4679,420639622002,-79.04101843410737,40.44638833060512
7240,420950181004,-75.2108365628478,40.622165744981565
9928,421330227013,-76.7182365752671,39.9151355763584
1099,420035644007,-79.77036462006879,40.38140435216511
8652,421039502042,-75.03186668869607,41.518981088927454
4561,420599706002,-80.1862412015002,39.89998828044865
8914,421110207004,-79.25202104785602,40.03317300094321
2516,420250202023,-75.96520344905737,40.91615027424312
4565,420599707002,-80.14079351207427,39.74630717260138
1624,420110137022,-75.96995767132098,40.50038499349228
2265,420199103012,-80.0055039947401,41.14422335166319
9819,421330209103,-76.726461646061,40.1052610735894
1128,420059504002,-79.65301123326806,40.823814136388016
4073,420479505003,-78.6822088960619,41.50110458993423
9192,421257310001,-80.46537655498899,40.09969382236866
9323,421257840003,-79.85131066075766,40.08284948643023
9449,421298020042,-79.61940354061994,40.41437702337681
4205,420490103043,-80.21515779165195,42.06594246938938
6126,420834207001,-78.27643347612081,41.87247497092436
7282,420970809003,-76.46433875069899,40.80365130670278
5878,420792137002,-75.95513152036118,41.24217156118799
1783,420159506002,-76.70190396097732,41.9750917899172
9080,421212001004,-79.87273442850659,41.51499878017539
7291,420970812003,-76.5360424787294,40.78484341733337
6270,420879605003,-77.68782542176606,40.47577559806052
