State,5,10,25,50,100
Alabama,"[3527, 1361, 50, 2071, 2460]","[3527, 1361, 50, 2071, 2460, 2276, 3238, 2928, 1139, 255]","[3527, 1361, 50, 2071, 2460, 2276, 3238, 2928, 1139, 255, 2626, 3876, 2278, 1159, 3275, 1071, 2191, 3228, 308, 3796, 1718, 1336, 2427, 1788, 2270]","[3527, 1361, 50, 2071, 2460, 2276, 3238, 2928, 1139, 255, 2626, 3876, 2278, 1159, 3275, 1071, 2191, 3228, 308, 3796, 1718, 1336, 2427, 1788, 2270, 770, 2563, 393, 266, 3091, 152, 27, 2862, 1586, 956, 1728, 1859, 2504, 463, 468, 1501, 863, 608, 2913, 2283, 3569, 2675, 247, 1657, 767]","[3527, 1361, 50, 2071, 2460, 2276, 3238, 2928, 1139, 255, 2626, 3876, 2278, 1159, 3275, 1071, 2191, 3228, 308, 3796, 1718, 1336, 2427, 1788, 2270, 770, 2563, 393, 266, 3091, 152, 27, 2862, 1586, 956, 1728, 1859, 2504, 463, 468, 1501, 863, 608, 2913, 2283, 3569, 2675, 247, 1657, 767, 2176, 1794, 2692, 2572, 3857, 404, 150, 3606, 3608, 538, 158, 1568, 163, 1061, 1320, 3498, 171, 1708, 3243, 2739, 2101, 2743, 2873, 3900, 959, 1727, 1089, 451, 2887, 2895, 464, 2389, 2780, 477, 2908, 992, 866, 2018, 2914, 2021, 1641, 2282, 1137, 882, 1140, 1396, 1014, 3317, 3323, 253]"
Alaska,"[448, 3, 500, 502, 447]","[448, 3, 500, 502, 447, 0, 450, 376, 474, 380]","[448, 3, 500, 502, 447, 0, 450, 376, 474, 380, 1, 289, 449, 325, 454, 456, 490, 205, 495, 497, 467, 501, 377, 379, 319]","[448, 3, 500, 502, 447, 0, 450, 376, 474, 380, 1, 289, 449, 325, 454, 456, 490, 205, 495, 497, 467, 501, 377, 379, 319, 2, 5, 292, 296, 48, 441, 452, 453, 455, 460, 206, 208, 209, 214, 222, 227, 487, 365, 366, 494, 496, 498, 499, 378, 382]","[448, 3, 500, 502, 447, 0, 450, 376, 474, 380, 1, 289, 449, 325, 454, 456, 490, 205, 495, 497, 467, 501, 377, 379, 319, 2, 5, 292, 296, 48, 441, 452, 453, 455, 460, 206, 208, 209, 214, 222, 227, 487, 365, 366, 494, 496, 498, 499, 378, 382, 384, 4, 7, 391, 277, 407, 283, 287, 33, 39, 295, 297, 298, 171, 52, 437, 315, 443, 61, 444, 63, 320, 321, 446, 451, 458, 334, 207, 464, 210, 83, 212, 213, 468, 215, 471, 473, 219, 476, 223, 224, 351, 352, 228, 229, 235, 492, 245, 375, 254]"
Arizona,"[257, 3341, 369, 3347, 349]","[257, 3341, 369, 3347, 349, 3, 265, 2873, 3869, 254]","[257, 3341, 369, 3347, 349, 3, 265, 2873, 3869, 254, 256, 320, 3872, 4573, 228, 4705, 3800, 272, 4498, 3251, 4117, 4343, 312, 253, 255]","[257, 3341, 369, 3347, 349, 3, 265, 2873, 3869, 254, 256, 320, 3872, 4573, 228, 4705, 3800, 272, 4498, 3251, 4117, 4343, 312, 253, 255, 0, 1, 3330, 5, 264, 10, 4108, 4365, 3348, 22, 24, 4511, 928, 36, 296, 3369, 3250, 3790, 4564, 3169, 230, 3817, 3312, 376, 892]","[257, 3341, 369, 3347, 349, 3, 265, 2873, 3869, 254, 256, 320, 3872, 4573, 228, 4705, 3800, 272, 4498, 3251, 4117, 4343, 312, 253, 255, 0, 1, 3330, 5, 264, 10, 4108, 4365, 3348, 22, 24, 4511, 928, 36, 296, 3369, 3250, 3790, 4564, 3169, 230, 3817, 3312, 376, 892, 128, 3329, 258, 1667, 4, 4227, 263, 3079, 3337, 267, 3340, 3595, 4496, 20, 2454, 3350, 4377, 2202, 4122, 4123, 4253, 2593, 1075, 4659, 3896, 2875, 828, 319, 4287, 4552, 845, 335, 3152, 2130, 3155, 88, 3162, 3163, 1244, 3166, 482, 4579, 3944, 3818, 112, 370, 4722, 377, 638, 2943]"
Arkansas,"[202, 842, 1739, 1069, 1972]","[202, 842, 1739, 1069, 1972, 1028, 1252, 1003, 2001, 29]","[202, 842, 1739, 1069, 1972, 1028, 1252, 1003, 2001, 29, 960, 1667, 1636, 1514, 492, 1327, 1008, 1520, 1586, 2159, 1300, 284, 1308, 700, 1151]","[202, 842, 1739, 1069, 1972, 1028, 1252, 1003, 2001, 29, 960, 1667, 1636, 1514, 492, 1327, 1008, 1520, 1586, 2159, 1300, 284, 1308, 700, 1151, 2179, 269, 1569, 420, 937, 1322, 1582, 2095, 1584, 1217, 1474, 1864, 1360, 599, 1370, 2269, 992, 491, 748, 1518, 1263, 1913, 1274, 2043, 2044]","[202, 842, 1739, 1069, 1972, 1028, 1252, 1003, 2001, 29, 960, 1667, 1636, 1514, 492, 1327, 1008, 1520, 1586, 2159, 1300, 284, 1308, 700, 1151, 2179, 269, 1569, 420, 937, 1322, 1582, 2095, 1584, 1217, 1474, 1864, 1360, 599, 1370, 2269, 992, 491, 748, 1518, 1263, 1913, 1274, 2043, 2044, 1280, 1542, 2060, 272, 2064, 1173, 1301, 23, 410, 1052, 540, 1180, 1057, 1446, 2096, 2097, 2100, 1333, 566, 2102, 1341, 2110, 831, 1473, 1220, 1223, 206, 1614, 978, 1877, 1750, 1623, 2007, 987, 1756, 1245, 1631, 1889, 996, 1637, 1002, 364, 1004, 1135, 1137, 1268, 2036, 249, 2172, 765]"
California,"[3010, 23271, 2280, 3436, 17466]","[3010, 23271, 2280, 3436, 17466, 1380, 16648, 2282, 15096, 14745]","[3010, 23271, 2280, 3436, 17466, 1380, 16648, 2282, 15096, 14745, 17536, 24480, 17314, 15717, 1415, 17992, 3050, 11082, 14602, 24557, 3536, 10582, 16310, 14201, 10877]","[3010, 23271, 2280, 3436, 17466, 1380, 16648, 2282, 15096, 14745, 17536, 24480, 17314, 15717, 1415, 17992, 3050, 11082, 14602, 24557, 3536, 10582, 16310, 14201, 10877, 20995, 4742, 15496, 3723, 17421, 1682, 24467, 10526, 3872, 14904, 17465, 14527, 17215, 11071, 18759, 1997, 11086, 17997, 19290, 19291, 3962, 1133, 2931, 9850, 15102]","[3010, 23271, 2280, 3436, 17466, 1380, 16648, 2282, 15096, 14745, 17536, 24480, 17314, 15717, 1415, 17992, 3050, 11082, 14602, 24557, 3536, 10582, 16310, 14201, 10877, 20995, 4742, 15496, 3723, 17421, 1682, 24467, 10526, 3872, 14904, 17465, 14527, 17215, 11071, 18759, 1997, 11086, 17997, 19290, 19291, 3962, 1133, 2931, 9850, 15102, 16646, 17545, 19594, 13325, 16653, 17551, 1298, 10517, 17813, 17563, 13857, 12323, 24483, 17449, 14507, 14381, 19511, 23352, 17721, 5438, 17087, 23614, 23293, 17226, 5963, 15820, 15309, 23886, 11088, 21584, 10578, 13012, 23252, 2136, 3673, 3677, 5725, 11487, 3581, 19169, 3044, 23268, 25450, 3180, 3820, 9966, 24688, 17653, 8567, 9341]"
Colorado,"[573, 1097, 3415, 3802, 989]","[573, 1097, 3415, 3802, 989, 3269, 3527, 3532, 1647, 2455]","[573, 1097, 3415, 3802, 989, 3269, 3527, 3532, 1647, 2455, 2177, 2532, 296, 3657, 1100, 2445, 1234, 274, 2292, 3252, 3570, 3891, 2520, 3388, 605]","[573, 1097, 3415, 3802, 989, 3269, 3527, 3532, 1647, 2455, 2177, 2532, 296, 3657, 1100, 2445, 1234, 274, 2292, 3252, 3570, 3891, 2520, 3388, 605, 2183, 2444, 3340, 786, 1939, 3603, 2199, 2328, 2201, 159, 3623, 3499, 3641, 571, 3261, 1985, 1605, 3270, 3402, 3665, 1125, 2166, 761, 2172, 3711]","[573, 1097, 3415, 3802, 989, 3269, 3527, 3532, 1647, 2455, 2177, 2532, 296, 3657, 1100, 2445, 1234, 274, 2292, 3252, 3570, 3891, 2520, 3388, 605, 2183, 2444, 3340, 786, 1939, 3603, 2199, 2328, 2201, 159, 3623, 3499, 3641, 571, 3261, 1985, 1605, 3270, 3402, 3665, 1125, 2166, 761, 2172, 3711, 769, 4, 6, 1030, 2695, 3465, 2186, 3595, 3719, 3850, 2192, 3859, 3605, 24, 1690, 543, 163, 2980, 3110, 2471, 168, 3622, 3373, 2481, 562, 323, 3783, 2120, 201, 1099, 2252, 1229, 3919, 1616, 3920, 3674, 2273, 227, 1512, 1641, 3432, 3435, 3436, 2286, 2031, 3951, 1908, 3448, 1274, 767]"
Connecticut,"[1323, 365, 946, 534, 119]","[1323, 365, 946, 534, 119, 1829, 229, 2215, 360, 842]","[1323, 365, 946, 534, 119, 1829, 229, 2215, 360, 842, 834, 1186, 1763, 2185, 333, 751, 944, 2609, 1172, 1525, 2677, 215, 920, 764, 2391]","[1323, 365, 946, 534, 119, 1829, 229, 2215, 360, 842, 834, 1186, 1763, 2185, 333, 751, 944, 2609, 1172, 1525, 2677, 215, 920, 764, 2391, 391, 394, 395, 1290, 1681, 1684, 533, 2213, 428, 173, 556, 1203, 2358, 1208, 1209, 1228, 2253, 1998, 2517, 93, 352, 1893, 230, 1141, 1279]","[1323, 365, 946, 534, 119, 1829, 229, 2215, 360, 842, 834, 1186, 1763, 2185, 333, 751, 944, 2609, 1172, 1525, 2677, 215, 920, 764, 2391, 391, 394, 395, 1290, 1681, 1684, 533, 2213, 428, 173, 556, 1203, 2358, 1208, 1209, 1228, 2253, 1998, 2517, 93, 352, 1893, 230, 1141, 1279, 1027, 1157, 2181, 265, 1545, 1167, 914, 917, 1175, 2204, 2590, 2207, 1187, 1190, 2344, 1961, 940, 557, 1197, 1455, 560, 1709, 1845, 950, 1846, 1212, 2621, 1086, 1214, 1983, 1731, 580, 581, 80, 2256, 210, 218, 1757, 351, 2152, 1259, 1645, 1263, 2031, 2675, 376, 1273, 2298, 123, 1916]"
Delaware,"[390, 649, 555, 60, 62]","[390, 649, 555, 60, 62, 33, 198, 13, 113, 410]","[390, 649, 555, 60, 62, 33, 198, 13, 113, 410, 407, 673, 547, 420, 567, 678, 104, 664, 462, 465, 439, 408, 633, 573, 639]","[390, 649, 555, 60, 62, 33, 198, 13, 113, 410, 407, 673, 547, 420, 567, 678, 104, 664, 462, 465, 439, 408, 633, 573, 639, 2, 522, 142, 15, 17, 532, 24, 31, 167, 41, 42, 425, 692, 443, 449, 71, 460, 336, 466, 469, 218, 93, 490, 107, 622]","[390, 649, 555, 60, 62, 33, 198, 13, 113, 410, 407, 673, 547, 420, 567, 678, 104, 664, 462, 465, 439, 408, 633, 573, 639, 2, 522, 142, 15, 17, 532, 24, 31, 167, 41, 42, 425, 692, 443, 449, 71, 460, 336, 466, 469, 218, 93, 490, 107, 622, 1, 643, 260, 270, 527, 656, 145, 146, 147, 273, 21, 149, 662, 283, 28, 162, 419, 546, 550, 681, 175, 562, 563, 53, 54, 566, 440, 444, 575, 194, 450, 197, 330, 458, 461, 464, 467, 596, 470, 349, 94, 478, 355, 102, 103, 359, 367, 114, 374, 383]"
Florida,"[11587, 6060, 5100, 12732, 6140]","[11587, 6060, 5100, 12732, 6140, 4928, 5347, 9162, 7754, 7314]","[11587, 6060, 5100, 12732, 6140, 4928, 5347, 9162, 7754, 7314, 583, 11623, 13223, 1290, 107, 5290, 5483, 1713, 3379, 7316, 8915, 374, 6907, 3452, 5118]","[11587, 6060, 5100, 12732, 6140, 4928, 5347, 9162, 7754, 7314, 583, 11623, 13223, 1290, 107, 5290, 5483, 1713, 3379, 7316, 8915, 374, 6907, 3452, 5118, 5764, 263, 2698, 3466, 9241, 11931, 3356, 12841, 6063, 179, 4541, 3405, 6095, 10323, 11607, 5081, 4829, 2141, 13278, 5344, 8929, 3430, 5097, 5746, 3958]","[11587, 6060, 5100, 12732, 6140, 4928, 5347, 9162, 7754, 7314, 583, 11623, 13223, 1290, 107, 5290, 5483, 1713, 3379, 7316, 8915, 374, 6907, 3452, 5118, 5764, 263, 2698, 3466, 9241, 11931, 3356, 12841, 6063, 179, 4541, 3405, 6095, 10323, 11607, 5081, 4829, 2141, 13278, 5344, 8929, 3430, 5097, 5746, 3958, 8193, 5379, 6147, 6411, 1809, 3475, 1940, 4884, 8980, 7066, 1435, 11420, 9121, 9762, 12455, 1064, 2478, 11954, 6068, 3126, 8889, 2364, 7871, 7744, 9280, 12864, 11332, 1991, 3399, 3400, 4303, 1747, 10195, 5590, 4697, 8284, 9436, 4064, 13280, 6115, 2663, 8823, 2026, 11756, 621, 5359, 5367, 3961, 11643, 3324]"
Georgia,"[4773, 5741, 7228, 5557, 2972]","[4773, 5741, 7228, 5557, 2972, 385, 709, 7053, 2867, 2815]","[4773, 5741, 7228, 5557, 2972, 385, 709, 7053, 2867, 2815, 225, 6812, 7395, 1413, 5670, 4391, 6312, 6597, 7207, 7275, 4749, 6829, 6450, 7282, 4412]","[4773, 5741, 7228, 5557, 2972, 385, 709, 7053, 2867, 2815, 225, 6812, 7395, 1413, 5670, 4391, 6312, 6597, 7207, 7275, 4749, 6829, 6450, 7282, 4412, 5377, 2951, 1161, 1929, 7052, 4893, 6436, 6700, 2865, 2996, 4663, 5690, 1595, 187, 704, 2244, 5066, 7242, 208, 5590, 3163, 6875, 3057, 2809, 3071]","[4773, 5741, 7228, 5557, 2972, 385, 709, 7053, 2867, 2815, 225, 6812, 7395, 1413, 5670, 4391, 6312, 6597, 7207, 7275, 4749, 6829, 6450, 7282, 4412, 5377, 2951, 1161, 1929, 7052, 4893, 6436, 6700, 2865, 2996, 4663, 5690, 1595, 187, 704, 2244, 5066, 7242, 208, 5590, 3163, 6875, 3057, 2809, 3071, 1408, 4736, 5507, 1412, 7047, 5896, 394, 267, 11, 4746, 6414, 2966, 7063, 24, 5144, 5530, 6813, 6815, 6048, 801, 3361, 3235, 6690, 7327, 6823, 5432, 5433, 6847, 198, 454, 583, 6342, 6856, 7116, 5843, 5975, 7256, 229, 7142, 4328, 5865, 875, 3692, 4972, 3697, 498, 5617, 7284, 1531, 7422]"
