State,5,10,25,50,100
Alabama,"[3527, 308, 1361, 2460, 3837]","[3527, 308, 1361, 2460, 3837, 2098, 2928, 1920, 2071, 3228]","[3527, 308, 1361, 2460, 3837, 2098, 2928, 1920, 2071, 3228, 2626, 328, 2891, 3830, 50, 158, 608, 3841, 255, 758, 2176, 1139, 2276, 836, 1336]","[3527, 308, 1361, 2460, 3837, 2098, 2928, 1920, 2071, 3228, 2626, 328, 2891, 3830, 50, 158, 608, 3841, 255, 758, 2176, 1139, 2276, 836, 1336, 3655, 1718, 1692, 314, 3238, 463, 2504, 2278, 3876, 2731, 468, 2389, 922, 2913, 1159, 1923, 3379, 633, 2018, 893, 27, 3531, 171, 172, 2427]","[3527, 308, 1361, 2460, 3837, 2098, 2928, 1920, 2071, 3228, 2626, 328, 2891, 3830, 50, 158, 608, 3841, 255, 758, 2176, 1139, 2276, 836, 1336, 3655, 1718, 1692, 314, 3238, 463, 2504, 2278, 3876, 2731, 468, 2389, 922, 2913, 1159, 1923, 3379, 633, 2018, 893, 27, 3531, 171, 172, 2427, 1112, 2908, 956, 3721, 1586, 1431, 0, 3117, 477, 2191, 266, 1708, 863, 2563, 2165, 1081, 374, 2675, 3192, 665, 1071, 3807, 393, 3630, 1266, 164, 1582, 1657, 3894, 3613, 2101, 2527, 2832, 610, 3861, 3160, 1951, 3243, 2739, 604, 3425, 959, 3857, 253, 1089, 2435, 2391, 3796, 1788, 1157]"
Alaska,"[447, 3, 0, 502, 377]","[447, 3, 0, 502, 377, 450, 499, 448, 496, 205]","[447, 3, 0, 502, 377, 450, 499, 448, 496, 205, 500, 214, 380, 495, 1, 490, 497, 379, 454, 5, 494, 487, 455, 449, 209]","[447, 3, 0, 502, 377, 450, 499, 448, 496, 205, 500, 214, 380, 495, 1, 490, 497, 379, 454, 5, 494, 487, 455, 449, 209, 376, 365, 319, 474, 2, 325, 208, 453, 384, 378, 224, 283, 456, 452, 467, 222, 223, 451, 471, 297, 227, 501, 206, 296, 498]","[447, 3, 0, 502, 377, 450, 499, 448, 496, 205, 500, 214, 380, 495, 1, 490, 497, 379, 454, 5, 494, 487, 455, 449, 209, 376, 365, 319, 474, 2, 325, 208, 453, 384, 378, 224, 283, 456, 452, 467, 222, 223, 451, 471, 297, 227, 501, 206, 296, 498, 492, 289, 382, 441, 353, 366, 375, 295, 488, 491, 215, 465, 321, 4, 225, 275, 460, 254, 298, 287, 226, 216, 464, 207, 262, 356, 315, 7, 292, 351, 48, 352, 446, 276, 320, 443, 493, 256, 391, 466, 344, 489, 324, 327, 437, 220, 17, 61, 367, 290]"
Arizona,"[3341, 369, 320, 3347, 3]","[3341, 369, 320, 3347, 3, 257, 4117, 349, 264, 3330]","[3341, 369, 320, 3347, 3, 257, 4117, 349, 264, 3330, 3869, 3800, 258, 1, 414, 254, 2873, 3848, 4194, 4664, 265, 3251, 3348, 4123, 3169]","[3341, 369, 320, 3347, 3, 257, 4117, 349, 264, 3330, 3869, 3800, 258, 1, 414, 254, 2873, 3848, 4194, 4664, 265, 3251, 3348, 4123, 3169, 4217, 256, 24, 4564, 5, 0, 3312, 4343, 4506, 4107, 699, 4498, 319, 3172, 10, 370, 272, 22, 3308, 3346, 3329, 255, 3369, 314, 253]","[3341, 369, 320, 3347, 3, 257, 4117, 349, 264, 3330, 3869, 3800, 258, 1, 414, 254, 2873, 3848, 4194, 4664, 265, 3251, 3348, 4123, 3169, 4217, 256, 24, 4564, 5, 0, 3312, 4343, 4506, 4107, 699, 4498, 319, 3172, 10, 370, 272, 22, 3308, 3346, 3329, 255, 3369, 314, 253, 371, 36, 79, 3872, 444, 4365, 231, 1879, 3876, 3340, 3338, 20, 4496, 3138, 4287, 221, 4, 1832, 312, 3851, 267, 3155, 43, 220, 3790, 262, 755, 376, 3333, 315, 295, 2875, 3324, 268, 4511, 3818, 2454, 56, 228, 3311, 3306, 4573, 128, 391, 3337, 4423, 4659, 4488, 3250, 3350]"
Arkansas,"[1069, 1739, 202, 741, 1003]","[1069, 1739, 202, 741, 1003, 842, 56, 1028, 1308, 205]","[1069, 1739, 202, 741, 1003, 842, 56, 1028, 1308, 205, 1076, 1981, 2057, 1300, 1972, 2001, 1287, 29, 1927, 211, 125, 1667, 1151, 960, 996]","[1069, 1739, 202, 741, 1003, 842, 56, 1028, 1308, 205, 1076, 1981, 2057, 1300, 1972, 2001, 1287, 29, 1927, 211, 125, 1667, 1151, 960, 996, 567, 1252, 0, 414, 23, 816, 1379, 130, 1274, 1008, 700, 831, 1350, 915, 1976, 311, 1851, 1320, 1267, 383, 1280, 1829, 2095, 1360, 2179]","[1069, 1739, 202, 741, 1003, 842, 56, 1028, 1308, 205, 1076, 1981, 2057, 1300, 1972, 2001, 1287, 29, 1927, 211, 125, 1667, 1151, 960, 996, 567, 1252, 0, 414, 23, 816, 1379, 130, 1274, 1008, 700, 831, 1350, 915, 1976, 311, 1851, 1320, 1267, 383, 1280, 1829, 2095, 1360, 2179, 492, 566, 1263, 1327, 1636, 2007, 1836, 748, 1999, 1173, 298, 732, 939, 997, 540, 2052, 1052, 1845, 1913, 2015, 1009, 771, 1207, 1384, 420, 2219, 739, 2193, 1520, 1446, 1569, 1002, 1055, 1294, 781, 1390, 1518, 1370, 1586, 1217, 249, 1005, 1143, 937, 992, 2285, 206, 2269, 1750, 2043]"
California,"[1415, 23271, 11485, 20995, 17421]","[1415, 23271, 11485, 20995, 17421, 11465, 24483, 15096, 11071, 10526]","[1415, 23271, 11485, 20995, 17421, 11465, 24483, 15096, 11071, 10526, 1133, 17466, 15102, 24834, 3962, 2280, 16648, 3010, 24480, 14194, 10582, 1380, 3669, 3180, 3436]","[1415, 23271, 11485, 20995, 17421, 11465, 24483, 15096, 11071, 10526, 1133, 17466, 15102, 24834, 3962, 2280, 16648, 3010, 24480, 14194, 10582, 1380, 3669, 3180, 3436, 3723, 2136, 14859, 15208, 14429, 19594, 3197, 14904, 17992, 17588, 17314, 3044, 20868, 3194, 15026, 15143, 1286, 24017, 14201, 24688, 23293, 3581, 15717, 3673, 19257]","[1415, 23271, 11485, 20995, 17421, 11465, 24483, 15096, 11071, 10526, 1133, 17466, 15102, 24834, 3962, 2280, 16648, 3010, 24480, 14194, 10582, 1380, 3669, 3180, 3436, 3723, 2136, 14859, 15208, 14429, 19594, 3197, 14904, 17992, 17588, 17314, 3044, 20868, 3194, 15026, 15143, 1286, 24017, 14201, 24688, 23293, 3581, 15717, 3673, 19257, 17449, 14602, 24475, 14507, 1298, 20848, 3677, 23268, 1305, 13857, 17997, 10877, 3050, 2137, 23772, 11207, 23314, 14381, 13792, 13620, 17536, 13395, 3894, 19590, 24478, 23257, 17544, 1841, 17545, 17474, 23352, 23252, 16310, 3685, 11076, 15230, 17563, 20861, 14745, 24438, 24557, 17465, 3531, 2282, 23937, 11082, 24987, 14527, 17551, 3872]"
Colorado,"[3415, 3532, 2511, 2455, 3269]","[3415, 3532, 2511, 2455, 3269, 1095, 3396, 1097, 3713, 2532]","[3415, 3532, 2511, 2455, 3269, 1095, 3396, 1097, 3713, 2532, 776, 2527, 989, 2199, 3276, 3527, 573, 3657, 3252, 2445, 3448, 3413, 3270, 3802, 3891]","[3415, 3532, 2511, 2455, 3269, 1095, 3396, 1097, 3713, 2532, 776, 2527, 989, 2199, 3276, 3527, 573, 3657, 3252, 2445, 3448, 3413, 3270, 3802, 3891, 772, 1647, 3667, 3275, 765, 1939, 3732, 3528, 296, 323, 3424, 1110, 2490, 3377, 3776, 3221, 1105, 3402, 1114, 589, 2444, 3445, 274, 774, 1100]","[3415, 3532, 2511, 2455, 3269, 1095, 3396, 1097, 3713, 2532, 776, 2527, 989, 2199, 3276, 3527, 573, 3657, 3252, 2445, 3448, 3413, 3270, 3802, 3891, 772, 1647, 3667, 3275, 765, 1939, 3732, 3528, 296, 323, 3424, 1110, 2490, 3377, 3776, 3221, 1105, 3402, 1114, 589, 2444, 3445, 274, 774, 1100, 3226, 1268, 3720, 2177, 2515, 3442, 33, 3570, 1234, 3761, 2528, 3762, 783, 1125, 3773, 4029, 3002, 3285, 3280, 2183, 2520, 605, 2166, 3859, 163, 3257, 3463, 2389, 4021, 3718, 1936, 1075, 24, 1616, 769, 3266, 761, 3274, 159, 2481, 767, 3388, 1641, 3465, 3565, 764, 2453, 1700, 3654, 2292]"
Connecticut,"[946, 164, 549, 1186, 56]","[946, 164, 549, 1186, 56, 2071, 706, 534, 2288, 953]","[946, 164, 549, 1186, 56, 2071, 706, 534, 2288, 953, 880, 2082, 842, 2529, 1829, 119, 2215, 1763, 2185, 2283, 365, 1455, 944, 821, 834]","[946, 164, 549, 1186, 56, 2071, 706, 534, 2288, 953, 880, 2082, 842, 2529, 1829, 119, 2215, 1763, 2185, 2283, 365, 1455, 944, 821, 834, 2609, 920, 610, 2456, 635, 1399, 1323, 267, 790, 272, 2549, 1298, 239, 2677, 2537, 137, 2417, 641, 173, 229, 360, 2358, 1525, 940, 1916]","[946, 164, 549, 1186, 56, 2071, 706, 534, 2288, 953, 880, 2082, 842, 2529, 1829, 119, 2215, 1763, 2185, 2283, 365, 1455, 944, 821, 834, 2609, 920, 610, 2456, 635, 1399, 1323, 267, 790, 272, 2549, 1298, 239, 2677, 2537, 137, 2417, 641, 173, 229, 360, 2358, 1525, 940, 1916, 1983, 1209, 2391, 2596, 950, 897, 1492, 1871, 2253, 1290, 2590, 1462, 9, 2495, 2425, 2489, 1228, 1869, 2629, 2051, 2139, 1684, 659, 2376, 914, 2152, 1349, 1590, 2289, 2344, 1407, 2338, 1468, 1922, 2078, 751, 1924, 1141, 256, 2676, 2310, 1457, 2204, 887, 1233, 669, 1208, 2256, 533, 969]"
Delaware,"[649, 664, 33, 625, 60]","[649, 664, 33, 625, 60, 72, 643, 673, 547, 583]","[649, 664, 33, 625, 60, 72, 643, 673, 547, 583, 562, 648, 62, 32, 656, 71, 390, 674, 555, 622, 198, 575, 502, 2, 567]","[649, 664, 33, 625, 60, 72, 643, 673, 547, 583, 562, 648, 62, 32, 656, 71, 390, 674, 555, 622, 198, 575, 502, 2, 567, 545, 515, 479, 633, 598, 104, 63, 639, 336, 522, 56, 634, 692, 630, 550, 462, 359, 532, 13, 469, 31, 420, 647, 512, 93]","[649, 664, 33, 625, 60, 72, 643, 673, 547, 583, 562, 648, 62, 32, 656, 71, 390, 674, 555, 622, 198, 575, 502, 2, 567, 545, 515, 479, 633, 598, 104, 63, 639, 336, 522, 56, 634, 692, 630, 550, 462, 359, 532, 13, 469, 31, 420, 647, 512, 93, 142, 410, 466, 458, 620, 241, 661, 439, 485, 383, 464, 557, 113, 384, 293, 490, 65, 218, 279, 444, 88, 1, 426, 688, 291, 407, 285, 54, 67, 197, 408, 527, 42, 66, 270, 460, 355, 167, 572, 418, 12, 678, 662, 441, 175, 330, 94, 425, 91, 465]"
Florida,"[5100, 12763, 11587, 5102, 6103]","[5100, 12763, 11587, 5102, 6103, 12732, 9764, 4885, 585, 5483]","[5100, 12763, 11587, 5102, 6103, 12732, 9764, 4885, 585, 5483, 4547, 6140, 6060, 2031, 531, 5063, 5085, 9162, 2364, 4928, 12841, 12859, 12346, 6064, 5118]","[5100, 12763, 11587, 5102, 6103, 12732, 9764, 4885, 585, 5483, 4547, 6140, 6060, 2031, 531, 5063, 5085, 9162, 2364, 4928, 12841, 12859, 12346, 6064, 5118, 5097, 5347, 5489, 4697, 3635, 11931, 263, 374, 13223, 11607, 1839, 5290, 10215, 6264, 5764, 3379, 4625, 7314, 12783, 6068, 5746, 6115, 5918, 5344, 11623]","[5100, 12763, 11587, 5102, 6103, 12732, 9764, 4885, 585, 5483, 4547, 6140, 6060, 2031, 531, 5063, 5085, 9162, 2364, 4928, 12841, 12859, 12346, 6064, 5118, 5097, 5347, 5489, 4697, 3635, 11931, 263, 374, 13223, 11607, 1839, 5290, 10215, 6264, 5764, 3379, 4625, 7314, 12783, 6068, 5746, 6115, 5918, 5344, 11623, 5094, 179, 12864, 6907, 10077, 107, 3430, 3336, 621, 3961, 5081, 12417, 10323, 3405, 1940, 4666, 5975, 7754, 8915, 1290, 6095, 8929, 3452, 2141, 3621, 9280, 8284, 2299, 13278, 9754, 5458, 3958, 5379, 11961, 12310, 5305, 5282, 12998, 5736, 12839, 6099, 12223, 4803, 277, 5359, 2698, 2460, 3324, 11971, 8224]"
Georgia,"[7228, 709, 6812, 7207, 4992]","[7228, 709, 6812, 7207, 4992, 5557, 6700, 2972, 2867, 704]","[7228, 709, 6812, 7207, 4992, 5557, 6700, 2972, 2867, 704, 225, 4749, 6875, 4773, 5741, 2815, 1, 6823, 1413, 7275, 6856, 4391, 385, 1929, 3071]","[7228, 709, 6812, 7207, 4992, 5557, 6700, 2972, 2867, 704, 225, 4749, 6875, 4773, 5741, 2815, 1, 6823, 1413, 7275, 6856, 4391, 385, 1929, 3071, 4893, 7053, 2809, 4412, 7395, 7282, 2221, 5632, 5973, 5509, 4913, 4250, 6161, 583, 3057, 6767, 2995, 1192, 208, 5690, 6450, 2951, 187, 5675, 7242]","[7228, 709, 6812, 7207, 4992, 5557, 6700, 2972, 2867, 704, 225, 4749, 6875, 4773, 5741, 2815, 1, 6823, 1413, 7275, 6856, 4391, 385, 1929, 3071, 4893, 7053, 2809, 4412, 7395, 7282, 2221, 5632, 5973, 5509, 4913, 4250, 6161, 583, 3057, 6767, 2995, 1192, 208, 5690, 6450, 2951, 187, 5675, 7242, 7363, 1161, 7063, 6847, 2996, 6704, 7117, 13, 7047, 7414, 211, 5940, 34, 6597, 5507, 4244, 5670, 6414, 5896, 5053, 5682, 198, 1595, 3070, 7258, 267, 5555, 3186, 5617, 1408, 5432, 4972, 5066, 3064, 5909, 2994, 5377, 5590, 3200, 1980, 5975, 5530, 6436, 7327, 6440, 5535, 6690, 7178, 7052, 3163]"
