State,5,10,25,50,100
Alabama,"[328, 2891, 2098, 308, 3837]","[328, 2891, 2098, 308, 3837, 1920, 3841, 3830, 758, 158]","[328, 2891, 2098, 308, 3837, 1920, 3841, 3830, 758, 158, 0, 1923, 836, 3655, 2731, 172, 3531, 3228, 3379, 1431, 633, 314, 1692, 893, 922]","[328, 2891, 2098, 308, 3837, 1920, 3841, 3830, 758, 158, 0, 1923, 836, 3655, 2731, 172, 3531, 3228, 3379, 1431, 633, 314, 1692, 893, 922, 3721, 2832, 3861, 665, 3613, 1951, 3117, 1582, 3630, 1081, 3529, 2391, 1112, 3160, 604, 2527, 3807, 481, 610, 3425, 2928, 1266, 2165, 374, 3192]","[328, 2891, 2098, 308, 3837, 1920, 3841, 3830, 758, 158, 0, 1923, 836, 3655, 2731, 172, 3531, 3228, 3379, 1431, 633, 314, 1692, 893, 922, 3721, 2832, 3861, 665, 3613, 1951, 3117, 1582, 3630, 1081, 3529, 2391, 1112, 3160, 604, 2527, 3807, 481, 610, 3425, 2928, 1266, 2165, 374, 3192, 2435, 2436, 1286, 1655, 3084, 1807, 2447, 3473, 3859, 1174, 3350, 2457, 1050, 2460, 1698, 3874, 2852, 166, 1063, 40, 47, 431, 2097, 3891, 2173, 3253, 3894, 2874, 2878, 2627, 2558, 2504, 2379, 462, 2514, 596, 3284, 1242, 348, 608, 1640, 1001, 2153, 364, 1263, 116, 3700, 887, 637, 2174]"
Alaska,"[3, 499, 214, 377, 447]","[3, 499, 214, 377, 447, 448, 450, 205, 495, 496]","[3, 499, 214, 377, 447, 448, 450, 205, 495, 496, 0, 449, 2, 453, 454, 455, 365, 208, 209, 474, 497, 378, 379, 380, 319]","[3, 499, 214, 377, 447, 448, 450, 205, 495, 496, 0, 449, 2, 453, 454, 455, 365, 208, 209, 474, 497, 378, 379, 380, 319, 384, 1, 5, 283, 289, 296, 297, 451, 452, 325, 456, 206, 467, 471, 222, 223, 224, 353, 227, 488, 491, 493, 494, 498, 376]","[3, 499, 214, 377, 447, 448, 450, 205, 495, 496, 0, 449, 2, 453, 454, 455, 365, 208, 209, 474, 497, 378, 379, 380, 319, 384, 1, 5, 283, 289, 296, 297, 451, 452, 325, 456, 206, 467, 471, 222, 223, 224, 353, 227, 488, 491, 493, 494, 498, 376, 256, 387, 4, 262, 390, 396, 17, 275, 276, 282, 285, 287, 415, 290, 291, 295, 298, 441, 315, 446, 321, 323, 324, 327, 464, 465, 466, 340, 215, 216, 343, 345, 220, 350, 352, 225, 226, 356, 487, 489, 490, 492, 366, 367, 381, 500, 501, 375, 253, 382]"
Arizona,"[320, 258, 3, 264, 3341]","[320, 258, 3, 264, 3341, 1, 3346, 371, 3348, 4117]","[320, 258, 3, 264, 3341, 1, 3346, 371, 3348, 4117, 3330, 4194, 3172, 5, 3848, 4123, 4664, 4107, 3308, 24, 4217, 4506, 699, 349, 414]","[320, 258, 3, 264, 3341, 1, 3346, 371, 3348, 4117, 3330, 4194, 3172, 5, 3848, 4123, 4664, 4107, 3308, 24, 4217, 4506, 699, 349, 414, 0, 3329, 10, 3338, 3851, 22, 3869, 3876, 1832, 3242, 43, 314, 444, 319, 3138, 79, 1879, 3802, 220, 221, 3169, 231, 3311, 370, 755]","[320, 258, 3, 264, 3341, 1, 3346, 371, 3348, 4117, 3330, 4194, 3172, 5, 3848, 4123, 4664, 4107, 3308, 24, 4217, 4506, 699, 349, 414, 0, 3329, 10, 3338, 3851, 22, 3869, 3876, 1832, 3242, 43, 314, 444, 319, 3138, 79, 1879, 3802, 220, 221, 3169, 231, 3311, 370, 755, 257, 4, 1925, 262, 391, 3333, 4488, 267, 268, 3340, 272, 2448, 4496, 4497, 20, 4499, 278, 406, 4501, 412, 36, 294, 299, 428, 3763, 3381, 2873, 4282, 315, 4032, 66, 4423, 330, 81, 4564, 4565, 483, 358, 3174, 360, 3306, 364, 365, 367, 3312, 4220, 3192, 250, 3324, 3837]"
Arkansas,"[2057, 1739, 205, 1076, 56]","[2057, 1739, 205, 1076, 56, 741, 1927, 1287, 842, 1981]","[2057, 1739, 205, 1076, 56, 741, 1927, 1287, 842, 1981, 0, 1379, 567, 1350, 1829, 1320, 816, 211, 915, 1267, 311, 1851, 125, 414, 383]","[2057, 1739, 205, 1076, 56, 741, 1927, 1287, 842, 1981, 0, 1379, 567, 1350, 1829, 1320, 816, 211, 915, 1267, 311, 1851, 125, 414, 383, 130, 771, 2052, 1294, 1168, 2193, 1055, 298, 939, 1836, 2219, 1845, 1207, 1976, 831, 1999, 732, 2015, 739, 997, 1384, 1005, 1009, 1143, 1151]","[2057, 1739, 205, 1076, 56, 741, 1927, 1287, 842, 1981, 0, 1379, 567, 1350, 1829, 1320, 816, 211, 915, 1267, 311, 1851, 125, 414, 383, 130, 771, 2052, 1294, 1168, 2193, 1055, 298, 939, 1836, 2219, 1845, 1207, 1976, 831, 1999, 732, 2015, 739, 997, 1384, 1005, 1009, 1143, 1151, 1026, 2050, 1158, 136, 265, 392, 2185, 781, 909, 143, 16, 274, 1812, 22, 1435, 1308, 803, 933, 678, 296, 1704, 554, 1578, 2218, 941, 1844, 1849, 1979, 1212, 1860, 200, 587, 588, 2255, 210, 346, 2270, 2016, 2018, 996, 361, 2285, 1390, 1649, 2290, 1395, 119, 1273, 1146, 252]"
California,"[24483, 20995, 1415, 17421, 11071]","[24483, 20995, 1415, 17421, 11071, 11465, 1133, 3962, 11485, 10526]","[24483, 20995, 1415, 17421, 11071, 11465, 1133, 3962, 11485, 10526, 24834, 20868, 15143, 15208, 14859, 3180, 24017, 15026, 14429, 3669, 17588, 2136, 3194, 3197, 15102]","[24483, 20995, 1415, 17421, 11071, 11465, 1133, 3962, 11485, 10526, 24834, 20868, 15143, 15208, 14859, 3180, 24017, 15026, 14429, 3669, 17588, 2136, 3194, 3197, 15102, 1286, 17544, 19594, 23314, 1305, 24475, 24478, 1841, 13620, 3894, 19257, 11076, 11207, 13395, 3673, 2137, 23257, 23772, 13792, 3044, 3685, 20848, 14194, 23293, 15230]","[24483, 20995, 1415, 17421, 11071, 11465, 1133, 3962, 11485, 10526, 24834, 20868, 15143, 15208, 14859, 3180, 24017, 15026, 14429, 3669, 17588, 2136, 3194, 3197, 15102, 1286, 17544, 19594, 23314, 1305, 24475, 24478, 1841, 13620, 3894, 19257, 11076, 11207, 13395, 3673, 2137, 23257, 23772, 13792, 3044, 3685, 20848, 14194, 23293, 15230, 23937, 1284, 19590, 2184, 17545, 14730, 17423, 1298, 14872, 13849, 12442, 24987, 13856, 13857, 3746, 22945, 14886, 3882, 3755, 11436, 3885, 15028, 10807, 20919, 23610, 18875, 11077, 3531, 24016, 17492, 23253, 2265, 20827, 23260, 3677, 14944, 3940, 14437, 23268, 2791, 3944, 23273, 15213, 2158, 21613, 24687, 17521, 24814, 24692, 20861]"
Colorado,"[3396, 1095, 3532, 2511, 3415]","[3396, 1095, 3532, 2511, 3415, 3713, 776, 3276, 2455, 2527]","[3396, 1095, 3532, 2511, 3415, 3713, 776, 3276, 2455, 2527, 2532, 3269, 774, 3226, 3528, 589, 1105, 3377, 3667, 3732, 3221, 1110, 3445, 1114, 765]","[3396, 1095, 3532, 2511, 3415, 3713, 776, 3276, 2455, 2527, 2532, 3269, 774, 3226, 3528, 589, 1105, 3377, 3667, 3732, 3221, 1110, 3445, 1114, 765, 772, 3718, 3463, 783, 1936, 33, 3761, 1075, 3257, 3002, 2490, 3773, 4029, 3776, 3266, 3275, 3280, 2515, 2389, 3285, 3413, 2528, 3424, 3442, 1268]","[3396, 1095, 3532, 2511, 3415, 3713, 776, 3276, 2455, 2527, 2532, 3269, 774, 3226, 3528, 589, 1105, 3377, 3667, 3732, 3221, 1110, 3445, 1114, 765, 772, 3718, 3463, 783, 1936, 33, 3761, 1075, 3257, 3002, 2490, 3773, 4029, 3776, 3266, 3275, 3280, 2515, 2389, 3285, 3413, 2528, 3424, 3442, 1268, 0, 770, 2179, 3458, 3464, 3720, 3470, 3471, 2834, 1942, 1943, 1047, 3740, 2206, 1700, 3759, 2992, 3762, 3507, 3252, 3763, 1078, 3383, 312, 4018, 4026, 3259, 3515, 4027, 4032, 4033, 323, 3395, 3397, 3654, 3399, 3782, 3529, 1869, 2514, 3544, 3295, 3423, 1122, 2914, 3438, 2417, 3827, 1909, 3448]"
Connecticut,"[164, 549, 946, 2071, 56]","[164, 549, 946, 2071, 56, 706, 2082, 880, 2288, 953]","[164, 549, 946, 2071, 56, 706, 2082, 880, 2288, 953, 2529, 610, 137, 2537, 267, 2283, 239, 272, 1298, 821, 790, 1399, 2456, 2549, 635]","[164, 549, 946, 2071, 56, 706, 2082, 880, 2288, 953, 2529, 610, 137, 2537, 267, 2283, 239, 272, 1298, 821, 790, 1399, 2456, 2549, 635, 641, 1922, 2051, 1924, 9, 659, 669, 2078, 2338, 2596, 1462, 1590, 2489, 1468, 1349, 2629, 2376, 1869, 1492, 2139, 2289, 2417, 2676, 887, 2425]","[164, 549, 946, 2071, 56, 706, 2082, 880, 2288, 953, 2529, 610, 137, 2537, 267, 2283, 239, 272, 1298, 821, 790, 1399, 2456, 2549, 635, 641, 1922, 2051, 1924, 9, 659, 669, 2078, 2338, 2596, 1462, 1590, 2489, 1468, 1349, 2629, 2376, 1869, 1492, 2139, 2289, 2417, 2676, 887, 2425, 256, 640, 2310, 652, 2701, 270, 1936, 657, 1554, 2577, 533, 1434, 2588, 546, 1446, 2091, 2226, 55, 59, 957, 959, 1984, 2112, 2495, 2373, 2558, 712, 459, 2637, 1614, 1871, 2266, 603, 2402, 2404, 2533, 615, 2155, 236, 620, 1005, 2287, 2543, 1521, 627, 2679, 1019, 637, 2302, 1407]"
Delaware,"[643, 72, 648, 625, 60]","[643, 72, 648, 625, 60, 674, 656, 562, 664, 575]","[643, 72, 648, 625, 60, 674, 656, 562, 664, 575, 32, 545, 673, 515, 547, 71, 622, 502, 567, 56, 598, 630, 634, 63, 479]","[643, 72, 648, 625, 60, 674, 656, 562, 664, 575, 32, 545, 673, 515, 547, 71, 622, 502, 567, 56, 598, 630, 634, 63, 479, 512, 3, 647, 649, 661, 279, 285, 291, 293, 550, 426, 557, 688, 692, 66, 67, 583, 336, 88, 91, 485, 359, 620, 241, 382]","[643, 72, 648, 625, 60, 674, 656, 562, 664, 575, 32, 545, 673, 515, 547, 71, 622, 502, 567, 56, 598, 630, 634, 63, 479, 512, 3, 647, 649, 661, 279, 285, 291, 293, 550, 426, 557, 688, 692, 66, 67, 583, 336, 88, 91, 485, 359, 620, 241, 382, 384, 389, 646, 522, 11, 12, 401, 530, 19, 532, 671, 289, 34, 418, 292, 552, 680, 298, 684, 437, 441, 572, 317, 65, 579, 68, 69, 197, 580, 581, 458, 79, 464, 466, 339, 469, 216, 90, 611, 100, 101, 356, 358, 614, 505, 238, 633, 377, 508, 639]"
Florida,"[9764, 5102, 4885, 6103, 12763]","[9764, 5102, 4885, 6103, 12763, 4547, 5063, 2031, 531, 5085]","[9764, 5102, 4885, 6103, 12763, 4547, 5063, 2031, 531, 5085, 12346, 5094, 10215, 586, 1839, 12783, 4625, 5489, 3635, 6066, 6264, 4666, 12859, 2364, 5918]","[9764, 5102, 4885, 6103, 12763, 4547, 5063, 2031, 531, 5085, 12346, 5094, 10215, 586, 1839, 12783, 4625, 5489, 3635, 6066, 6264, 4666, 12859, 2364, 5918, 12417, 3336, 277, 12310, 11929, 9754, 2460, 5282, 1957, 3621, 12839, 11961, 5305, 12223, 4803, 11971, 12998, 5458, 6099, 5975, 10077, 5483, 378, 6266, 2299]","[9764, 5102, 4885, 6103, 12763, 4547, 5063, 2031, 531, 5085, 12346, 5094, 10215, 586, 1839, 12783, 4625, 5489, 3635, 6066, 6264, 4666, 12859, 2364, 5918, 12417, 3336, 277, 12310, 11929, 9754, 2460, 5282, 1957, 3621, 12839, 11961, 5305, 12223, 4803, 11971, 12998, 5458, 6099, 5975, 10077, 5483, 378, 6266, 2299, 1920, 3329, 5506, 1924, 1930, 4880, 8211, 3479, 2200, 4633, 5277, 9758, 543, 8224, 10141, 13218, 1827, 5028, 9775, 2356, 10165, 10420, 2487, 4537, 5433, 12217, 1984, 9280, 3652, 5957, 6087, 6349, 10445, 11343, 3280, 1873, 3411, 11607, 4697, 6234, 6109, 4831, 5218, 11875, 5736, 10346, 9963, 6127, 5751, 3326]"
Georgia,"[704, 709, 7207, 7228, 6812]","[704, 709, 7207, 7228, 6812, 4992, 225, 6823, 6700, 6875]","[704, 709, 7207, 7228, 6812, 4992, 225, 6823, 6700, 6875, 1, 1413, 5509, 1192, 6856, 5675, 7275, 2221, 6767, 6161, 5682, 2995, 5973, 4250, 3070]","[704, 709, 7207, 7228, 6812, 4992, 225, 6823, 6700, 6875, 1, 1413, 5509, 1192, 6856, 5675, 7275, 2221, 6767, 6161, 5682, 2995, 5973, 4250, 3070, 5632, 7046, 1930, 13, 4244, 5909, 7063, 5535, 34, 6704, 4913, 2994, 5555, 5940, 5053, 7363, 583, 7117, 211, 7258, 3057, 3186, 7282, 7414, 3064]","[704, 709, 7207, 7228, 6812, 4992, 225, 6823, 6700, 6875, 1, 1413, 5509, 1192, 6856, 5675, 7275, 2221, 6767, 6161, 5682, 2995, 5973, 4250, 3070, 5632, 7046, 1930, 13, 4244, 5909, 7063, 5535, 34, 6704, 4913, 2994, 5555, 5940, 5053, 7363, 583, 7117, 211, 7258, 3057, 3186, 7282, 7414, 3064, 3200, 4355, 132, 5251, 7173, 4234, 7178, 396, 4109, 6415, 6416, 4119, 1945, 6810, 5019, 675, 4388, 5156, 3372, 6450, 4277, 3259, 187, 1980, 2238, 5182, 5949, 6847, 7242, 971, 5583, 5969, 5970, 4439, 985, 2138, 7259, 6877, 4319, 484, 4839, 504, 3306, 4974, 625, 5233, 7027, 2808, 6270, 2943]"
