,GEOID,Longitude,Latitude
1731,90091418001,-72.9219939561147,41.32376053027862
1187,90035039004,-72.7034394958154,41.79644187450198
2287,90116601032,-72.27312341011788,41.3074843641236
2082,90091903021,-72.7131724498503,41.332116016635325
2329,90116952023,-72.19177352392897,41.46901809627827
57,90010203012,-73.56316658905574,41.15316581638533
996,90034842004,-72.5408216481116,41.92909820443864
764,90034163002,-72.76704909730385,41.67655380777706
255,90010503021,-73.33928842234104,41.1806417539745
1209,90035103001,-72.61869267996408,41.78829698382882
534,90012002003,-73.39821056667192,41.372342969792655
1323,90035242003,-72.66106912081665,41.64421196270653
497,90011003004,-73.20777549830574,41.35415364847135
1285,90035150003,-72.4975290838009,41.77873323939942
9,90010102013,-73.62229455888814,41.06039380421605
164,90010354003,-73.4959802712641,41.18789884298363
365,90010724001,-73.2012364728782,41.208967424663285
641,90012402001,-73.36471721690226,41.32820355889967
1525,90075412001,-72.66889773863343,41.58006502661687
119,90010219003,-73.50782194513397,41.04099090367487
2215,90093515001,-73.03148681976862,41.53582502414463
1138,90035013001,-72.67565621791954,41.78868311835864
1979,90091715001,-72.78803375300453,41.55143376934752
2185,90093502003,-73.03560167685376,41.5664888726394
2575,90138502004,-72.32521070363886,41.76468842375986
395,90010734001,-73.17435867915789,41.19818418229567
2609,90158004001,-72.19232794350326,41.7070410213654
581,90012107012,-73.4687447808222,41.398298756738
1803,90091510002,-73.0212500484193,41.21289659884092
645,90012451002,-73.5160734910909,41.33050029378685
1297,90035201003,-72.54477339875521,41.70851165641307
466,90010902003,-73.23416648076301,41.26923696947131
276,90010601002,-73.24940107419673,41.22570860278216
1939,90091673014,-72.85448326764738,41.35907036908151
1197,90035045002,-72.69815064787721,41.74165328103788
1869,90091602004,-73.03983756415185,41.372034349918806
1967,90091711004,-72.79591584582315,41.51478502123288
1222,90035106004,-72.63815502970856,41.74642712621821
549,90012052004,-73.35336275965234,41.46380401769672
230,90010445001,-73.42325771527243,41.089906655104926
1326,90035243001,-72.51658361931737,42.02416532588032
2003,90091755024,-72.84784270263367,41.45234948169313
1611,90076103002,-72.52481774481363,41.29939525086321
1590,90075901022,-72.5555575007555,41.44045962722088
920,90034731003,-72.67981176117688,41.82904884441279
769,90034165001,-72.8062676368729,41.68264041668813
917,90034715002,-72.71002293868453,41.85159826003738
2307,90116909004,-72.10490617019909,41.327066879089045
1358,90052535002,-73.42483099725894,41.60512135513631
193,90010434001,-73.41381647444946,41.12472895459345
391,90010732002,-73.16353669200483,41.20175498143425
1013,90034875005,-72.59725422620518,41.80543712028322
734,90034153002,-72.76785822098324,41.664588074264486
2050,90091843002,-72.8517652840581,41.25510974284604
1905,90091658022,-72.93698093805855,41.36297401096588
1814,90091541012,-72.96716139241683,41.29511966517448
417,90010743002,-73.15932331089036,41.18172880442267
1259,90035143004,-72.51554729819462,41.78039757092674
1239,90035112001,-72.58956308225405,41.77606459236767
2391,90117027002,-72.04959034075198,41.33540191504421
603,90012113002,-73.44577752234554,41.44197374267218
1840,90091548005,-72.9743615676457,41.2478628931615
1722,90091415003,-72.9331578258743,41.33284368700831
1684,90091404001,-72.93308577702813,41.2883423442708
897,90034701002,-72.73817220219779,41.90415981317431
1455,90053201023,-73.04542240286133,41.94703126099453
2244,90093524001,-73.02373643306967,41.60143880988426
706,90034056004,-72.97375633550242,41.6485893458188
1672,90091302011,-73.12763636023952,41.36110557908152
215,90010440003,-73.42786952268273,41.097609530989104
983,90034811002,-72.57455102974824,41.96837576789383
2318,90116936002,-72.10323314426265,41.3935893849495
892,90034681015,-72.81005946290935,41.98712707218144
394,90010733003,-73.1632044204209,41.19519134434729
1951,90091705004,-72.84704139264817,41.52532727773616
1186,90035039003,-72.69303686266004,41.80408469555647
1532,90075413023,-72.70494754845477,41.585310460948094
877,90034661024,-72.8425281310708,41.83869853474739
2071,90091862004,-72.74524157058529,41.41656608312117
1434,90053106012,-73.06713999141505,41.86546232765751
483,90010907001,-73.19156059600931,41.2759473925893
1340,90035247002,-72.71209203172494,41.72664113463539
1757,90091425005,-72.89426606932378,41.31451083305919
2265,90093611005,-72.95005256123949,41.56454024537869
1864,90091601002,-73.01697986809027,41.32138364883816
2102,90091942024,-72.60207040878743,41.31841441281879
2018,90091760001,-72.7571375005255,41.47886305593456
1562,90075601001,-72.58005820733669,41.57892371524008
270,90010551004,-73.36980117152727,41.233615904535874
1961,90091709001,-72.80657092678426,41.532297366749056
814,90034302031,-72.85412075456524,41.58996636325524
2283,90116601011,-72.30275855034725,41.353834084522695
11,90010102022,-73.5909906876213,41.05750424267531
884,90034663003,-72.8229494402688,41.893176110182026
2629,90158200003,-72.07467168377504,41.7996755267238
834,90034306042,-72.88814988405049,41.63569694891064
627,90012303002,-73.34398967039922,41.39125286567777
428,90010802002,-73.14725285695536,41.18972921085511
207,90010438005,-73.43038417393656,41.10828368584854
1345,90052531001,-73.4041932591352,41.61364330856942
