,GEOID,Longitude,Latitude
2057,220550019032,-92.11501551324284,30.19263332193347
1903,220550013023,-92.0009860799751,30.232083695218755
2098,220550019092,-92.13585620020817,30.228126848215112
3028,220750507002,-89.53898041285461,29.35890540878877
3961,221090013033,-90.80547285476824,29.2156140656021
2576,220710017503,-89.91682577249671,30.03761084290118
3952,221090012012,-90.58357200640836,29.50899643022257
278,220119607023,-93.18861081752466,30.555771913835105
3866,221059545052,-90.42410397021725,30.46151221697978
3358,220979602008,-92.08919463741928,30.77891114328344
1344,220450304028,-91.90103422510936,29.979453041685044
161,220050302143,-90.95039307825029,30.291987089077413
417,220170221011,-93.78499260722526,32.49386853927524
2112,220550020032,-92.07180654773632,30.2712793565178
4129,221159508011,-92.86719185262092,30.994874690580613
1517,220510206003,-90.2611570521451,30.00394755621988
1039,220330040134,-91.18170595547213,30.393716003756
2447,220690009012,-93.03059005779964,31.64792329128286
2132,220550021023,-92.075608912804,30.339013634641777
53,220019606014,-92.22790299184987,30.246053438182365
3926,221090006023,-90.67215603206674,29.59161507735132
570,220170246023,-93.80683239664276,32.53995919582176
539,220170243031,-93.90211428471818,32.44209557739855
2076,220550019056,-92.11624464696996,30.138896039928284
3962,221090014001,-91.03923469814823,29.325819215406828
2954,220730101032,-91.981640690566,32.532405446501365
1424,220450316004,-91.74649293710152,29.938780794381845
1940,220550014151,-92.07644627348498,30.12713114003543
2464,220710006023,-90.03658322630902,29.94195153983932
3232,220870302094,-89.90907995676092,29.919005877949
1700,220510278113,-90.0755968233824,29.85469892117449
1198,220399501023,-92.31944996843752,30.853699745448704
2350,220630408071,-90.86361501527564,30.35504859601205
2479,220710006111,-89.98141492153678,29.922804617307584
818,220290005001,-91.67004837237153,31.29673961292839
1717,220510278201,-90.10667111798644,29.843050807476327
2110,220550020019,-92.0955703622094,30.29087212220632
959,220330035053,-91.11428386066876,30.49150983018716
3144,220790136003,-92.74775135967144,30.941514610751057
3403,220979608006,-92.29296460394978,30.494289562144388
204,220070501002,-91.0481914267951,30.03965900643716
3148,220790138001,-92.5283429938728,31.32985329056197
1377,220450308004,-91.83184053774217,30.01424666338882
2145,220550021037,-92.03690638166282,30.30786903641937
2535,220710017204,-90.0260519490455,30.02002755720079
490,220170239051,-93.70365929931332,32.41107503402151
883,220330011031,-91.1356000799677,30.467671727245097
2419,220690003001,-93.34301836514018,31.841694940558725
1658,220510270001,-90.1226847051258,29.88817232012224
3067,220790106002,-92.77961197633924,31.286190267175133
3206,220870301032,-89.88502951372347,29.87708750633805
520,220170241091,-93.77261461812088,32.39560662064856
2059,220550019034,-92.10098862931233,30.20441331874881
1676,220510276012,-90.20966466399058,29.898324544895488
1168,220350001001,-91.20975981939782,32.89837681424977
1681,220510276023,-90.15454558346026,29.909776339763106
787,220279501004,-92.96959067686169,32.73955774548367
536,220170242062,-94.00300034070293,32.27082198639192
540,220170243032,-93.86841172002036,32.43533270708111
3614,221010407001,-91.30535295916548,29.70467907866525
31,220019604015,-92.37940599353428,30.2907172708076
293,220139705002,-92.84168583309908,32.35448067139878
1834,220550006032,-92.05946263004518,30.22006877076496
2987,220730106042,-92.07013571870397,32.338072114931464
45,220019605023,-92.17275633846624,30.322401636739222
2349,220630408053,-90.93452371860468,30.443233379543805
2862,220710137013,-90.03822241971605,29.98897220171221
3885,221070002002,-91.476204469251,31.91328317382223
1075,220330042014,-91.14570462329232,30.55236018313671
1333,220450304013,-91.88313239381976,29.88954807198108
823,220319501021,-93.66955692670012,32.254895352207704
2489,220710006172,-89.99754028838554,29.897663035975675
3771,221030411053,-89.79545880839882,30.279117157905432
4158,221179505013,-90.12963806381254,30.727095621304493
2430,220690005004,-93.08299243554876,31.75182565774557
2373,220630409052,-90.69865701816114,30.22702341467553
198,220050310011,-90.94669750298532,30.10274743778207
584,220170251002,-93.95994441560636,32.98091999490238
3016,220750503001,-90.01967608660226,29.831183079706985
2506,220710009022,-90.01004104599566,29.97555170442632
3019,220750504001,-89.85127397374987,29.467890602688648
78,220019609012,-92.38712248016596,30.21120963384205
1614,220510251042,-90.0263225416104,29.87060982989485
3792,221030412133,-89.89916941077064,30.306492935641835
3538,220990203045,-91.79543702131063,30.317646070580967
2643,220710033033,-90.06814096670858,30.01901877297169
2516,220710013011,-90.03925943056618,29.96983835841447
1109,220330045034,-91.03136608715803,30.4540395923157
3030,220750508002,-89.41172189852138,29.33900859694099
2903,220730006001,-92.07711054641705,32.50596264033104
3155,220819601002,-93.43811364282492,32.08858328681728
219,220070506001,-90.94924396260076,29.83354070816028
3036,220779520001,-91.67646852745698,30.75808573655015
479,220170237022,-93.75658945690184,32.42927753544219
2912,220730011003,-92.09618106393918,32.476583046426754
1507,220510205163,-90.27149015941582,30.013595390227024
1509,220510205172,-90.25025332281162,30.04154406604249
1639,220510261001,-90.0604383281719,29.89881076457544
1521,220510210003,-90.23896626665208,29.981891720482093
4094,221159501001,-93.02831937956267,31.28659508575141
