,GEOID,Longitude,Latitude
0,450019501001,-82.35302754947415,34.429346929661286
43,450030205004,-81.9487121952075,33.56276687616472
334,450130003001,-80.79959080058359,32.46611468566635
534,450150208112,-80.00857603072745,32.96754269112287
2173,450630207062,-81.07207781308537,33.89193194863902
1492,450450026062,-82.31404515511035,34.972346119821324
2198,450630209131,-81.23893601442907,33.892588295269626
2905,450830211003,-81.91091835393729,34.917990034754375
2236,450630210461,-81.30774630026563,34.00522298950367
3295,450910610071,-80.92460074222805,35.072303954419375
3168,450850019023,-80.36223374378068,33.84234196677062
2689,450790101074,-80.9100017369624,34.18570683609222
2274,450630212082,-81.33066783343492,34.096782644444325
1221,450410004001,-79.69371633413236,34.20279441065274
1579,450450030172,-82.29276388076754,34.71762614892509
2221,450630210342,-81.16412058355182,33.964898342043924
495,450150207163,-80.1060355560795,33.019739296635265
1106,450350106031,-80.22611068511425,33.038147963894424
2835,450790116063,-80.90692973544891,33.97287010559466
756,450190046153,-79.81594529357926,32.88514448728745
2996,450830224071,-82.04656893486798,35.114173675201066
3324,450910612034,-80.95114701774479,34.87813226447832
2743,450790107012,-81.03685535919543,34.09405260133076
2778,450790113051,-80.91573314691469,34.061311905048484
1468,450450024052,-82.27570674987736,35.01715683808346
1541,450450028212,-82.1740820034195,34.78865395128881
1545,450450029012,-82.35124769208106,34.75586475011929
787,450190049023,-79.7647199575768,32.798937013472724
2707,450790103082,-81.1756930145574,34.13581037763309
2966,450830221011,-81.85751958563806,34.93624050448366
791,450190050022,-79.43731602933404,33.11412604549722
2585,450770109042,-82.55250932113076,34.79489429397888
1947,450559703001,-80.78190395693716,34.4112421773664
547,450179501001,-80.91096523104738,33.70728994802448
1832,450510516033,-79.05090226118391,33.63956557423691
809,450190057012,-80.07603642459777,32.848687967024425
3249,450910604021,-81.05062245016107,34.90772223966327
2230,450630210411,-81.31242907778169,33.936533257096215
1211,450410001023,-79.87530448667121,34.17941133994985
1858,450510602044,-78.95834883587506,33.7192430477153
3266,450910608041,-80.99667203426655,34.9718175525053
2243,450630210522,-81.18639613295947,33.92004422164999
591,450190020042,-79.96460659749539,32.643595350129765
597,450190020063,-79.93158250994347,32.73697623129121
2006,450570105003,-80.79072953354499,34.6861886613218
2264,450630211162,-81.19719061760584,34.0659649580717
2149,450630205113,-81.12300874670173,34.04980793733759
2933,450830218032,-81.99938602404768,35.01262129722753
1270,450410016011,-79.75359164207435,34.13074648340184
1144,450350108152,-80.14096961572123,32.96861347776135
2561,450770106043,-82.53846309438502,34.85975757472588
130,450030220014,-81.66457323473004,33.45222380690007
1,450019501002,-82.2836594536008,34.40806720359381
2,450019501003,-82.33544162866764,34.38570959467937
2437,450730309033,-82.92163516215159,34.59068201241305
2693,450790101092,-80.94396970819315,34.164049335022355
1160,450350108212,-80.13048074890474,32.94428168957708
2056,450599201071,-82.17443801233638,34.56424640379169
523,450150208072,-80.0185781224325,33.01703087366236
1037,450310113012,-79.77250316827916,34.258214956318795
2577,450770108062,-82.64054150182355,34.82614969636557
788,450190050011,-79.60443179749655,33.0176058025146
155,450070005001,-82.61236313214859,34.48778957236818
30,450030203011,-81.75669024055738,33.67175534464093
2849,450790118021,-80.80238346304313,33.87570015677696
931,450259507022,-80.06950471528383,34.594647063887535
1187,450399601002,-81.3078282501239,34.349589041346775
3110,450850003004,-80.4860884545672,33.99215399906257
424,450130111003,-80.71643420716323,32.17940412543867
1448,450450022032,-82.42865951509563,34.85866190935813
941,450279604001,-80.42686781957899,33.696365107916066
1715,450479709001,-82.15982411952555,34.0216108814676
2099,450599210012,-82.057772600315,34.3132146622597
54,450030207013,-81.95673541862334,33.5279170887972
2489,450750109024,-80.91011880224545,33.51971878640036
2874,450819603012,-81.50575625994742,34.06575217394771
3003,450830224102,-81.94788929755072,35.07367022180408
2622,450790002002,-81.03434260299271,34.04142202845169
1600,450450033041,-82.32893743768692,34.68301718088773
2116,450619204013,-80.41509902504531,34.163956589146714
2761,450790111011,-80.98379199387158,34.04213838551291
1868,450510602112,-78.91476469530093,33.73191083482425
3151,450850017031,-80.41522598399891,33.900148566398215
467,450150205052,-80.02900124901275,33.16192688080292
3283,450910609111,-81.0559582538978,35.00740398492822
3162,450850018034,-80.45790452734464,33.949986658228426
2395,450730302012,-82.98092883606697,34.889128877627925
2268,450630212051,-81.37679387773916,34.08736540529439
861,450219706021,-81.52899037810774,34.98244520078993
2784,450790113063,-80.94405280682828,34.042825011782114
1511,450450027032,-82.34672239439179,34.932475836826264
3048,450830232013,-82.21042992101022,34.983802943051295
2921,450830214031,-81.91970730446717,34.999272963388634
236,450070112011,-82.63327846420452,34.58752411620102
364,450130011012,-80.55583197023739,32.42524909033396
1902,450510706013,-79.16334781394076,33.78674330896659
2162,450630206041,-81.06467995463427,33.95333487544122
757,450190046161,-79.79719123812357,32.91083534977674
3319,450910612021,-80.91521367506674,34.919064617760505
1912,450510707023,-79.13564651968963,33.88260219193652
