State,5,10,25,50,100
Alabama,"[1728, 2278, 2862, 2071, 1788]","[1728, 2278, 2862, 2071, 1788, 992, 2626, 464, 1718, 2270]","[1728, 2278, 2862, 2071, 1788, 992, 2626, 464, 1718, 2270, 1794, 1382, 3110, 2928, 50, 3314, 404, 308, 1300, 2101, 1816, 2870, 27, 1501, 767]","[1728, 2278, 2862, 2071, 1788, 992, 2626, 464, 1718, 2270, 1794, 1382, 3110, 2928, 50, 3314, 404, 308, 1300, 2101, 1816, 2870, 27, 1501, 767, 2176, 2692, 1159, 2323, 163, 2348, 821, 2743, 1592, 1336, 2233, 3773, 317, 959, 1476, 2504, 463, 3796, 2913, 1898, 1522, 1139, 1528, 2427, 255]","[1728, 2278, 2862, 2071, 1788, 992, 2626, 464, 1718, 2270, 1794, 1382, 3110, 2928, 50, 3314, 404, 308, 1300, 2101, 1816, 2870, 27, 1501, 767, 2176, 2692, 1159, 2323, 163, 2348, 821, 2743, 1592, 1336, 2233, 3773, 317, 959, 1476, 2504, 463, 3796, 2913, 1898, 1522, 1139, 1528, 2427, 255, 2693, 266, 2187, 2955, 2191, 3091, 276, 152, 3097, 2076, 2211, 1189, 3238, 1320, 1576, 2859, 2221, 1071, 1328, 1586, 824, 1848, 2617, 2745, 956, 2621, 3001, 3131, 1346, 2115, 2245, 1361, 1492, 3325, 2778, 3035, 3546, 863, 2018, 487, 3050, 2283, 1005, 3054, 1137, 3569, 1140, 1657, 251, 253]"
Alaska,"[1, 450, 3, 502, 377]","[1, 450, 3, 502, 377, 448, 205, 495, 499, 380]","[1, 450, 3, 502, 377, 448, 205, 495, 499, 380, 0, 289, 449, 454, 455, 365, 208, 209, 496, 467, 497, 214, 376, 474, 319]","[1, 450, 3, 502, 377, 448, 205, 495, 499, 380, 0, 289, 449, 454, 455, 365, 208, 209, 496, 467, 497, 214, 376, 474, 319, 384, 2, 395, 283, 32, 292, 296, 297, 441, 452, 325, 453, 456, 460, 206, 222, 227, 490, 366, 494, 498, 375, 378, 379, 382]","[1, 450, 3, 502, 377, 448, 205, 495, 499, 380, 0, 289, 449, 454, 455, 365, 208, 209, 496, 467, 497, 214, 376, 474, 319, 384, 2, 395, 283, 32, 292, 296, 297, 441, 452, 325, 453, 456, 460, 206, 222, 227, 490, 366, 494, 498, 375, 378, 379, 382, 258, 4, 5, 6, 7, 132, 391, 269, 400, 275, 21, 149, 150, 407, 287, 166, 295, 42, 298, 426, 48, 306, 53, 437, 315, 446, 320, 321, 451, 196, 201, 334, 207, 464, 465, 210, 468, 471, 216, 223, 224, 225, 226, 351, 228, 487, 235, 492, 111, 245]"
Arizona,"[257, 3163, 3324, 3869, 4223]","[257, 3163, 3324, 3869, 4223, 3, 265, 24, 349, 3166]","[257, 3163, 3324, 3869, 4223, 3, 265, 24, 349, 3166, 320, 5, 3353, 359, 3336, 4584, 4710, 3800, 18, 3347, 4117, 2873, 312, 377, 254]","[257, 3163, 3324, 3869, 4223, 3, 265, 24, 349, 3166, 320, 5, 3353, 359, 3336, 4584, 4710, 3800, 18, 3347, 4117, 2873, 312, 377, 254, 256, 1, 258, 1667, 4, 3328, 266, 11, 272, 26, 3872, 4515, 38, 3369, 1720, 2875, 338, 2131, 4564, 3164, 3169, 482, 3817, 4331, 3312]","[257, 3163, 3324, 3869, 4223, 3, 265, 24, 349, 3166, 320, 5, 3353, 359, 3336, 4584, 4710, 3800, 18, 3347, 4117, 2873, 312, 377, 254, 256, 1, 258, 1667, 4, 3328, 266, 11, 272, 26, 3872, 4515, 38, 3369, 1720, 2875, 338, 2131, 4564, 3164, 3169, 482, 3817, 4331, 3312, 0, 3330, 2053, 6, 3079, 264, 3333, 10, 4365, 3599, 912, 4498, 20, 149, 2454, 1559, 3348, 3476, 3608, 4122, 4123, 4253, 4377, 4511, 32, 1788, 3750, 296, 1075, 692, 3896, 3773, 319, 1600, 327, 3155, 4563, 4343, 4317, 480, 355, 2022, 3306, 3179, 112, 3185, 3442, 3575, 892, 253]"
Arkansas,"[842, 1003, 1739, 1069, 2097]","[842, 1003, 1739, 1069, 2097, 1252, 1714, 1586, 2044, 29]","[842, 1003, 1739, 1069, 2097, 1252, 1714, 1586, 2044, 29, 1667, 1636, 968, 2095, 1008, 1180, 1584, 1618, 2001, 2100, 1274, 2043, 700, 1245, 1151]","[842, 1003, 1739, 1069, 2097, 1252, 1714, 1586, 2044, 29, 1667, 1636, 968, 2095, 1008, 1180, 1584, 1618, 2001, 2100, 1274, 2043, 700, 1245, 1151, 1280, 1416, 524, 1933, 2064, 1300, 410, 2205, 420, 1580, 1454, 960, 2115, 1864, 202, 1360, 1623, 599, 1505, 1639, 1643, 492, 1518, 1913, 1532]","[842, 1003, 1739, 1069, 2097, 1252, 1714, 1586, 2044, 29, 1667, 1636, 968, 2095, 1008, 1180, 1584, 1618, 2001, 2100, 1274, 2043, 700, 1245, 1151, 1280, 1416, 524, 1933, 2064, 1300, 410, 2205, 420, 1580, 1454, 960, 2115, 1864, 202, 1360, 1623, 599, 1505, 1639, 1643, 492, 1518, 1913, 1532, 1539, 1799, 779, 2060, 781, 528, 402, 1690, 540, 1052, 1185, 1569, 1446, 429, 1070, 1327, 2096, 1972, 949, 310, 566, 1086, 831, 2111, 1220, 2120, 1868, 973, 206, 81, 2007, 1242, 1370, 2269, 992, 738, 996, 1002, 748, 1004, 1390, 1135, 1263, 1137, 1010, 1520, 2034, 247, 249, 124]"
California,"[17536, 3010, 25481, 3728, 17466]","[17536, 3010, 25481, 3728, 17466, 15717, 3176, 24557, 15096, 15102]","[17536, 3010, 25481, 3728, 17466, 15717, 3176, 24557, 15096, 15102, 3872, 10877, 17542, 1415, 15496, 2282, 3050, 14602, 17421, 19597, 2326, 10582, 3897, 2365, 3294]","[17536, 3010, 25481, 3728, 17466, 15717, 3176, 24557, 15096, 15102, 3872, 10877, 17542, 1415, 15496, 2282, 3050, 14602, 17421, 19597, 2326, 10582, 3897, 2365, 3294, 3074, 20995, 19594, 3723, 1297, 19601, 10526, 288, 17314, 3112, 17721, 11071, 11080, 3536, 6101, 3671, 2136, 19290, 5725, 19169, 1380, 23271, 3820, 16882, 3962]","[17536, 3010, 25481, 3728, 17466, 15717, 3176, 24557, 15096, 15102, 3872, 10877, 17542, 1415, 15496, 2282, 3050, 14602, 17421, 19597, 2326, 10582, 3897, 2365, 3294, 3074, 20995, 19594, 3723, 1297, 19601, 10526, 288, 17314, 3112, 17721, 11071, 11080, 3536, 6101, 3671, 2136, 19290, 5725, 19169, 1380, 23271, 3820, 16882, 3962, 17280, 11013, 4742, 2439, 2058, 17551, 15633, 24467, 8726, 14745, 24483, 13988, 3877, 10153, 20395, 10412, 12462, 9008, 12976, 3380, 15028, 15036, 10820, 17477, 3014, 21575, 17992, 2378, 11082, 3788, 15820, 17226, 3791, 25037, 3153, 23252, 14678, 24534, 2906, 10586, 23644, 23902, 1633, 9058, 3044, 3180, 1133, 24688, 16760, 23293]"
Colorado,"[3622, 1097, 2282, 1099, 3415]","[3622, 1097, 2282, 1099, 3415, 2186, 2455, 2328, 761, 222]","[3622, 1097, 2282, 1099, 3415, 2186, 2455, 2328, 761, 222, 1985, 3719, 3657, 2252, 2444, 3340, 1647, 3532, 3665, 3570, 3252, 1206, 1627, 2172, 989]","[3622, 1097, 2282, 1099, 3415, 2186, 2455, 2328, 761, 222, 1985, 3719, 3657, 2252, 2444, 3340, 1647, 3532, 3665, 3570, 3252, 1206, 1627, 2172, 989, 1541, 6, 12, 2445, 3601, 3220, 1439, 159, 168, 296, 176, 3891, 3641, 201, 1100, 1616, 211, 3802, 2532, 1511, 1645, 2292, 1143, 2169, 509]","[3622, 1097, 2282, 1099, 3415, 2186, 2455, 2328, 761, 222, 1985, 3719, 3657, 2252, 2444, 3340, 1647, 3532, 3665, 3570, 3252, 1206, 1627, 2172, 989, 1541, 6, 12, 2445, 3601, 3220, 1439, 159, 168, 296, 176, 3891, 3641, 201, 1100, 1616, 211, 3802, 2532, 1511, 1645, 2292, 1143, 2169, 509, 2050, 515, 3844, 1030, 1926, 2183, 3465, 1931, 525, 654, 2192, 274, 1939, 3605, 24, 1433, 28, 1696, 161, 163, 3620, 2342, 39, 433, 2482, 564, 1209, 1211, 3388, 3261, 3265, 1092, 3269, 3270, 1095, 3527, 3786, 1996, 3667, 3034, 605, 2527, 1125, 3308, 1517, 1391, 2288, 1137, 2166, 1277]"
Connecticut,"[1731, 1323, 365, 534, 764]","[1731, 1323, 365, 534, 764, 1187, 395, 1525, 119, 1209]","[1731, 1323, 365, 534, 764, 1187, 395, 1525, 119, 1209, 581, 230, 1222, 2215, 2185, 394, 1259, 1197, 2609, 1138, 1684, 917, 2391, 920, 1979]","[1731, 1323, 365, 534, 764, 1187, 395, 1525, 119, 1209, 581, 230, 1222, 2215, 2185, 394, 1259, 1197, 2609, 1138, 1684, 917, 2391, 920, 1979, 769, 2307, 391, 1814, 417, 1186, 1961, 557, 1326, 1455, 560, 50, 1722, 1340, 834, 2244, 1358, 207, 215, 1239, 1757, 734, 229, 1905, 2677]","[1731, 1323, 365, 534, 764, 1187, 395, 1525, 119, 1209, 581, 230, 1222, 2215, 2185, 394, 1259, 1197, 2609, 1138, 1684, 917, 2391, 920, 1979, 769, 2307, 391, 1814, 417, 1186, 1961, 557, 1326, 1455, 560, 50, 1722, 1340, 834, 2244, 1358, 207, 215, 1239, 1757, 734, 229, 1905, 2677, 129, 897, 388, 265, 1290, 2573, 2318, 402, 2195, 916, 533, 1562, 2589, 2084, 1573, 1190, 1407, 1661, 428, 1836, 1846, 1212, 1086, 1983, 2495, 193, 708, 1736, 1228, 463, 2256, 1233, 210, 596, 1877, 985, 2265, 351, 1759, 995, 2021, 744, 2283, 1133, 878, 1648, 1146, 123, 381, 1279]"
Delaware,"[390, 113, 147, 410, 60]","[390, 113, 147, 410, 60, 420, 522, 13, 596, 439]","[390, 113, 147, 410, 60, 420, 522, 13, 596, 439, 449, 2, 408, 198, 583, 555, 397, 462, 403, 469, 344, 443, 349, 62, 639]","[390, 113, 147, 410, 60, 420, 522, 13, 596, 439, 449, 2, 408, 198, 583, 555, 397, 462, 403, 469, 344, 443, 349, 62, 639, 1, 262, 519, 142, 407, 31, 33, 162, 418, 547, 171, 567, 572, 445, 319, 464, 470, 94, 104, 490, 622, 367, 112, 375, 505]","[390, 113, 147, 410, 60, 420, 522, 13, 596, 439, 449, 2, 408, 198, 583, 555, 397, 462, 403, 469, 344, 443, 349, 62, 639, 1, 262, 519, 142, 407, 31, 33, 162, 418, 547, 171, 567, 572, 445, 319, 464, 470, 94, 104, 490, 622, 367, 112, 375, 505, 515, 643, 391, 9, 649, 12, 524, 270, 17, 145, 146, 532, 149, 661, 153, 546, 291, 550, 41, 425, 556, 562, 183, 316, 444, 65, 194, 68, 71, 456, 330, 458, 332, 460, 589, 336, 337, 466, 341, 218, 603, 93, 485, 359, 499, 118, 122, 380, 254, 383]"
Florida,"[11587, 2532, 2667, 5100, 6140]","[11587, 2532, 2667, 5100, 6140, 5345, 5290, 179, 3707, 3359]","[11587, 2532, 2667, 5100, 6140, 5345, 5290, 179, 3707, 3359, 5379, 6244, 10499, 2634, 2699, 7754, 4461, 10574, 10605, 6064, 11824, 7314, 6549, 12732, 5118]","[11587, 2532, 2667, 5100, 6140, 5345, 5290, 179, 3707, 3359, 5379, 6244, 10499, 2634, 2699, 7754, 4461, 10574, 10605, 6064, 11824, 7314, 6549, 12732, 5118, 7682, 6534, 2056, 12554, 2705, 662, 11420, 13223, 7351, 3135, 11983, 213, 11607, 9564, 11485, 13278, 5344, 481, 11623, 362, 107, 1652, 2038, 4345, 11643]","[11587, 2532, 2667, 5100, 6140, 5345, 5290, 179, 3707, 3359, 5379, 6244, 10499, 2634, 2699, 7754, 4461, 10574, 10605, 6064, 11824, 7314, 6549, 12732, 5118, 7682, 6534, 2056, 12554, 2705, 662, 11420, 13223, 7351, 3135, 11983, 213, 11607, 9564, 11485, 13278, 5344, 481, 11623, 362, 107, 1652, 2038, 4345, 11643, 5764, 11398, 3725, 5774, 3475, 7316, 3733, 12052, 9241, 2330, 3356, 3612, 9505, 4647, 11559, 4525, 3379, 570, 7357, 3263, 7744, 11328, 11969, 3400, 2380, 3405, 10190, 2768, 1362, 6484, 3670, 5590, 2141, 8929, 2530, 6115, 3430, 2663, 4966, 5097, 875, 5228, 621, 10349, 11756, 241, 5746, 883, 3188, 11894]"
Georgia,"[5347, 5066, 4749, 3893, 3638]","[5347, 5066, 4749, 3893, 3638, 267, 2064, 6257, 1334, 2972]","[5347, 5066, 4749, 3893, 3638, 267, 2064, 6257, 1334, 2972, 5377, 6787, 5655, 4773, 4606, 3816, 7116, 6095, 7345, 243, 6676, 2741, 3511, 3866, 1278]","[5347, 5066, 4749, 3893, 3638, 267, 2064, 6257, 1334, 2972, 5377, 6787, 5655, 4773, 4606, 3816, 7116, 6095, 7345, 243, 6676, 2741, 3511, 3866, 1278, 129, 1286, 2951, 6538, 6161, 2452, 6295, 2715, 3235, 6563, 4017, 2867, 187, 7228, 2755, 3651, 6597, 6087, 712, 4941, 1746, 1366, 2647, 3946, 6137]","[5347, 5066, 4749, 3893, 3638, 267, 2064, 6257, 1334, 2972, 5377, 6787, 5655, 4773, 4606, 3816, 7116, 6095, 7345, 243, 6676, 2741, 3511, 3866, 1278, 129, 1286, 2951, 6538, 6161, 2452, 6295, 2715, 3235, 6563, 4017, 2867, 187, 7228, 2755, 3651, 6597, 6087, 712, 4941, 1746, 1366, 2647, 3946, 6137, 4736, 4992, 1670, 7047, 3598, 2966, 2583, 2075, 6812, 4893, 3871, 928, 6048, 806, 3110, 7207, 2859, 4653, 433, 5557, 311, 4412, 5311, 2880, 6080, 67, 1859, 709, 583, 5075, 5204, 1877, 6105, 2523, 6875, 3934, 5342, 2787, 6629, 4328, 2284, 5741, 624, 5360, 7282, 885, 3575, 5625, 1914, 2815]"
