State,5,10,25,50,100
Alabama,"[1788, 1728, 2862, 2278, 2071]","[1788, 1728, 2862, 2278, 2071, 992, 1492, 2098, 2626, 2175]","[1788, 1728, 2862, 2278, 2071, 992, 1492, 2098, 2626, 2175, 2352, 1301, 465, 1718, 3340, 821, 1798, 3033, 2270, 1382, 308, 27, 3110, 2101, 3425]","[1788, 1728, 2862, 2278, 2071, 992, 1492, 2098, 2626, 2175, 2352, 1301, 465, 1718, 3340, 821, 1798, 3033, 2270, 1382, 308, 27, 3110, 2101, 3425, 1871, 2928, 50, 3314, 1816, 2870, 767, 2308, 2106, 2778, 317, 2234, 1784, 1501, 3773, 404, 775, 41, 464, 2954, 3796, 2766, 959, 2323, 2743]","[1788, 1728, 2862, 2278, 2071, 992, 1492, 2098, 2626, 2175, 2352, 1301, 465, 1718, 3340, 821, 1798, 3033, 2270, 1382, 308, 27, 3110, 2101, 3425, 1871, 2928, 50, 3314, 1816, 2870, 767, 2308, 2106, 2778, 317, 2234, 1784, 1501, 3773, 404, 775, 41, 464, 2954, 3796, 2766, 959, 2323, 2743, 2081, 2370, 1336, 1139, 2688, 3161, 37, 3668, 1528, 1592, 1698, 2613, 3084, 2504, 2351, 1824, 2176, 255, 2018, 1794, 2752, 824, 1568, 2623, 2883, 922, 2913, 1320, 740, 172, 3097, 2388, 1476, 1522, 1519, 2436, 1361, 163, 2115, 768, 2427, 3325, 2527, 1576, 1898, 1159, 2692, 463, 1586, 1137]"
Alaska,"[3, 1, 502, 450, 377]","[3, 1, 502, 450, 377, 499, 448, 495, 205, 0]","[3, 1, 502, 450, 377, 499, 448, 495, 205, 0, 214, 380, 500, 497, 496, 454, 455, 494, 376, 209, 449, 365, 208, 319, 384]","[3, 1, 502, 450, 377, 499, 448, 495, 205, 0, 214, 380, 500, 497, 496, 454, 455, 494, 376, 209, 449, 365, 208, 319, 384, 453, 222, 474, 2, 378, 456, 289, 501, 452, 467, 224, 451, 382, 297, 227, 206, 283, 498, 325, 407, 296, 471, 441, 375, 196]","[3, 1, 502, 450, 377, 499, 448, 495, 205, 0, 214, 380, 500, 497, 496, 454, 455, 494, 376, 209, 449, 365, 208, 319, 384, 453, 222, 474, 2, 378, 456, 289, 501, 452, 467, 224, 451, 382, 297, 227, 206, 283, 498, 325, 407, 296, 471, 441, 375, 196, 201, 426, 465, 135, 366, 6, 295, 225, 487, 275, 379, 32, 490, 5, 321, 17, 298, 460, 223, 287, 226, 216, 269, 4, 464, 111, 207, 395, 21, 400, 315, 256, 166, 292, 351, 320, 391, 492, 466, 53, 344, 491, 262, 354, 356, 489, 157, 334, 302, 324]"
Arizona,"[3324, 3163, 4223, 3869, 4709]","[3324, 3163, 4223, 3869, 4709, 3, 38, 320, 3166, 257]","[3324, 3163, 4223, 3869, 4709, 3, 38, 320, 3166, 257, 18, 4117, 265, 3325, 349, 359, 5, 312, 3336, 3800, 24, 4331, 3347, 254, 3193]","[3324, 3163, 4223, 3869, 4709, 3, 38, 320, 3166, 257, 18, 4117, 265, 3325, 349, 359, 5, 312, 3336, 3800, 24, 4331, 3347, 254, 3193, 32, 3353, 4564, 13, 26, 258, 482, 3773, 377, 4515, 3155, 1720, 0, 4, 338, 3312, 4584, 3784, 2131, 2873, 3179, 3369, 3817, 267, 3331]","[3324, 3163, 4223, 3869, 4709, 3, 38, 320, 3166, 257, 18, 4117, 265, 3325, 349, 359, 5, 312, 3336, 3800, 24, 4331, 3347, 254, 3193, 32, 3353, 4564, 13, 26, 258, 482, 3773, 377, 4515, 3155, 1720, 0, 4, 338, 3312, 4584, 3784, 2131, 2873, 3179, 3369, 3817, 267, 3331, 2875, 11, 4427, 3608, 4123, 420, 3169, 4498, 256, 513, 355, 66, 266, 3328, 3185, 3848, 1667, 3256, 3896, 366, 319, 264, 3694, 277, 4343, 1, 149, 425, 272, 3759, 1559, 4317, 2495, 4673, 294, 3476, 2454, 278, 3338, 3306, 4563, 1601, 4710, 3164, 4208, 3442, 3575, 29, 3872, 3327]"
Arkansas,"[1739, 1069, 1003, 842, 2097]","[1739, 1069, 1003, 842, 2097, 1252, 1267, 1689, 1153, 1714]","[1739, 1069, 1003, 842, 2097, 1252, 1267, 1689, 1153, 1714, 1076, 2001, 1667, 29, 1636, 741, 2044, 1649, 524, 216, 0, 1287, 1245, 1274, 1454]","[1739, 1069, 1003, 842, 2097, 1252, 1267, 1689, 1153, 1714, 1076, 2001, 1667, 29, 1636, 741, 2044, 1649, 524, 216, 0, 1287, 1245, 1274, 1454, 1586, 1618, 441, 1394, 130, 1800, 2095, 1703, 1349, 784, 2043, 1379, 739, 1, 124, 1578, 2100, 960, 2205, 1151, 1665, 1280, 1836, 1864, 968]","[1739, 1069, 1003, 842, 2097, 1252, 1267, 1689, 1153, 1714, 1076, 2001, 1667, 29, 1636, 741, 2044, 1649, 524, 216, 0, 1287, 1245, 1274, 1454, 1586, 1618, 441, 1394, 130, 1800, 2095, 1703, 1349, 784, 2043, 1379, 739, 1, 124, 1578, 2100, 960, 2205, 1151, 1665, 1280, 1836, 1864, 968, 1643, 949, 1520, 2115, 1584, 700, 1446, 1008, 1518, 1180, 1623, 1532, 1933, 202, 372, 410, 1639, 733, 1505, 492, 393, 867, 678, 815, 1185, 782, 592, 1275, 429, 2254, 1383, 803, 1086, 1443, 808, 1732, 1913, 599, 2067, 1999, 191, 1321, 1005, 1360, 1156, 2007, 420, 1070, 1300, 1327]"
California,"[3728, 25481, 3010, 15717, 17536]","[3728, 25481, 3010, 15717, 17536, 15102, 3180, 1415, 17466, 3294]","[3728, 25481, 3010, 15717, 17536, 15102, 3180, 1415, 17466, 3294, 3074, 3897, 17542, 15496, 20995, 17421, 3176, 2906, 24557, 3008, 15096, 6101, 3872, 10526, 19597]","[3728, 25481, 3010, 15717, 17536, 15102, 3180, 1415, 17466, 3294, 3074, 3897, 17542, 15496, 20995, 17421, 3176, 2906, 24557, 3008, 15096, 6101, 3872, 10526, 19597, 15024, 1297, 24483, 23254, 11080, 3669, 2365, 3729, 15035, 5725, 11463, 1305, 2795, 17280, 3788, 3877, 11071, 13988, 10582, 20395, 3894, 288, 2326, 3962, 14602]","[3728, 25481, 3010, 15717, 17536, 15102, 3180, 1415, 17466, 3294, 3074, 3897, 17542, 15496, 20995, 17421, 3176, 2906, 24557, 3008, 15096, 6101, 3872, 10526, 19597, 15024, 1297, 24483, 23254, 11080, 3669, 2365, 3729, 15035, 5725, 11463, 1305, 2795, 17280, 3788, 3877, 11071, 13988, 10582, 20395, 3894, 288, 2326, 3962, 14602, 2136, 11207, 16882, 19601, 3112, 4742, 24779, 17721, 19594, 10877, 11013, 3637, 3197, 15018, 12976, 10153, 10535, 2282, 17477, 3723, 3380, 19169, 3671, 24534, 17314, 3820, 10564, 1633, 24692, 1133, 25454, 16732, 25037, 3536, 3044, 3050, 15633, 15143, 13680, 10412, 12770, 3153, 24013, 15728, 2378, 17992, 21575, 12462, 13620, 19290]"
Colorado,"[1099, 2282, 3622, 3219, 222]","[1099, 2282, 3622, 3219, 222, 3415, 1097, 3265, 2455, 1985]","[1099, 2282, 3622, 3219, 222, 3415, 1097, 3265, 2455, 1985, 2328, 761, 3570, 1095, 2186, 2533, 3669, 1627, 1931, 3532, 2252, 2527, 1206, 2444, 3396]","[1099, 2282, 3622, 3219, 222, 3415, 1097, 3265, 2455, 1985, 2328, 761, 3570, 1095, 2186, 2533, 3669, 1627, 1931, 3532, 2252, 2527, 1206, 2444, 3396, 3819, 1541, 1647, 643, 2401, 3340, 3002, 3719, 211, 75, 1645, 2172, 3657, 1864, 1619, 176, 3034, 1110, 3601, 6, 3413, 3275, 2475, 3522, 501]","[1099, 2282, 3622, 3219, 222, 3415, 1097, 3265, 2455, 1985, 2328, 761, 3570, 1095, 2186, 2533, 3669, 1627, 1931, 3532, 2252, 2527, 1206, 2444, 3396, 3819, 1541, 1647, 643, 2401, 3340, 3002, 3719, 211, 75, 1645, 2172, 3657, 1864, 1619, 176, 3034, 1110, 3601, 6, 3413, 3275, 2475, 3522, 501, 798, 1511, 3713, 3718, 1716, 3641, 2277, 2526, 2886, 12, 4019, 3105, 640, 229, 1696, 3802, 3665, 658, 3183, 2287, 1193, 3220, 989, 2236, 2532, 3252, 3230, 168, 159, 1030, 2169, 3709, 3891, 1439, 433, 1939, 509, 39, 1981, 1616, 28, 1143, 2292, 1058, 776, 3221, 2445, 3527, 3789, 100]"
Connecticut,"[1731, 1187, 2287, 2082, 2329]","[1731, 1187, 2287, 2082, 2329, 57, 996, 764, 255, 1209]","[1731, 1187, 2287, 2082, 2329, 57, 996, 764, 255, 1209, 534, 1323, 497, 1285, 9, 164, 365, 641, 1525, 119, 2215, 1138, 1979, 2185, 2575]","[1731, 1187, 2287, 2082, 2329, 57, 996, 764, 255, 1209, 534, 1323, 497, 1285, 9, 164, 365, 641, 1525, 119, 2215, 1138, 1979, 2185, 2575, 395, 2609, 581, 1803, 645, 1297, 466, 276, 1939, 1197, 1869, 1967, 1222, 549, 230, 1326, 2003, 1611, 1590, 920, 769, 917, 2307, 1358, 193]","[1731, 1187, 2287, 2082, 2329, 57, 996, 764, 255, 1209, 534, 1323, 497, 1285, 9, 164, 365, 641, 1525, 119, 2215, 1138, 1979, 2185, 2575, 395, 2609, 581, 1803, 645, 1297, 466, 276, 1939, 1197, 1869, 1967, 1222, 549, 230, 1326, 2003, 1611, 1590, 920, 769, 917, 2307, 1358, 193, 391, 1013, 734, 2050, 1905, 1814, 417, 1259, 1239, 2391, 603, 1840, 1722, 1684, 897, 1455, 2244, 706, 1672, 215, 983, 2318, 892, 394, 1951, 1186, 1532, 877, 2071, 1434, 483, 1340, 1757, 2265, 1864, 2102, 2018, 1562, 270, 1961, 814, 2283, 11, 884, 2629, 834, 627, 428, 207, 1345]"
Delaware,"[390, 410, 113, 397, 502]","[390, 410, 113, 397, 502, 439, 420, 60, 515, 625]","[390, 410, 113, 397, 502, 439, 420, 60, 515, 625, 596, 341, 147, 0, 522, 64, 403, 575, 13, 449, 572, 441, 71, 555, 562]","[390, 410, 113, 397, 502, 439, 420, 60, 515, 625, 596, 341, 147, 0, 522, 64, 403, 575, 13, 449, 572, 441, 71, 555, 562, 639, 349, 198, 485, 291, 33, 318, 469, 62, 2, 496, 418, 547, 443, 408, 643, 649, 359, 104, 63, 94, 462, 661, 262, 490]","[390, 410, 113, 397, 502, 439, 420, 60, 515, 625, 596, 341, 147, 0, 522, 64, 403, 575, 13, 449, 572, 441, 71, 555, 562, 639, 349, 198, 485, 291, 33, 318, 469, 62, 2, 496, 418, 547, 443, 408, 643, 649, 359, 104, 63, 94, 462, 661, 262, 490, 583, 622, 1, 380, 353, 162, 550, 464, 505, 367, 460, 679, 519, 31, 447, 167, 142, 344, 185, 73, 479, 112, 470, 407, 56, 338, 11, 382, 122, 567, 425, 68, 287, 556, 445, 599, 93, 692, 524, 270, 466, 375, 456, 589, 118, 65, 385, 146, 319, 218]"
Florida,"[6140, 5100, 2667, 2532, 11587]","[6140, 5100, 2667, 2532, 11587, 5345, 3707, 2395, 5379, 5290]","[6140, 5100, 2667, 2532, 11587, 5345, 3707, 2395, 5379, 5290, 5117, 3263, 3479, 366, 11824, 179, 184, 5098, 7754, 6549, 2634, 10574, 5118, 10454, 4461]","[6140, 5100, 2667, 2532, 11587, 5345, 3707, 2395, 5379, 5290, 5117, 3263, 3479, 366, 11824, 179, 184, 5098, 7754, 6549, 2634, 10574, 5118, 10454, 4461, 3359, 5347, 2699, 6064, 4345, 10605, 12732, 6244, 11418, 664, 2116, 7314, 11628, 10159, 6135, 7351, 7682, 5665, 12470, 9505, 11643, 6534, 4187, 3959, 10499]","[6140, 5100, 2667, 2532, 11587, 5345, 3707, 2395, 5379, 5290, 5117, 3263, 3479, 366, 11824, 179, 184, 5098, 7754, 6549, 2634, 10574, 5118, 10454, 4461, 3359, 5347, 2699, 6064, 4345, 10605, 12732, 6244, 11418, 664, 2116, 7314, 11628, 10159, 6135, 7351, 7682, 5665, 12470, 9505, 11643, 6534, 4187, 3959, 10499, 11623, 13278, 10204, 1652, 519, 5951, 2038, 10491, 6139, 3135, 6107, 9564, 2056, 13223, 5124, 10356, 7744, 12156, 11607, 9261, 2705, 11983, 5086, 3996, 107, 3094, 11485, 10446, 12032, 6337, 3642, 481, 213, 362, 12554, 13130, 2530, 11376, 5344, 2133, 11894, 2330, 10589, 2359, 3733, 10206, 7357, 3725, 9306, 4647]"
Georgia,"[3893, 5347, 5066, 3638, 4749]","[3893, 5347, 5066, 3638, 4749, 267, 1334, 2741, 6146, 2972]","[3893, 5347, 5066, 3638, 4749, 267, 1334, 2741, 6146, 2972, 4934, 3873, 6290, 2064, 1366, 6257, 6676, 5664, 3816, 3511, 4773, 5377, 2715, 625, 926]","[3893, 5347, 5066, 3638, 4749, 267, 1334, 2741, 6146, 2972, 4934, 3873, 6290, 2064, 1366, 6257, 6676, 5664, 3816, 3511, 4773, 5377, 2715, 625, 926, 129, 4787, 1278, 6156, 6095, 7345, 2965, 7116, 3235, 243, 3869, 4606, 6787, 1313, 6597, 5204, 3946, 4901, 3651, 6085, 1746, 7228, 2723, 1910, 2951]","[3893, 5347, 5066, 3638, 4749, 267, 1334, 2741, 6146, 2972, 4934, 3873, 6290, 2064, 1366, 6257, 6676, 5664, 3816, 3511, 4773, 5377, 2715, 625, 926, 129, 4787, 1278, 6156, 6095, 7345, 2965, 7116, 3235, 243, 3869, 4606, 6787, 1313, 6597, 5204, 3946, 4901, 3651, 6085, 1746, 7228, 2723, 1910, 2951, 5741, 6538, 6563, 1286, 2647, 2452, 6137, 187, 1275, 5250, 3866, 424, 3277, 4913, 4017, 712, 6576, 4736, 3249, 3034, 6295, 806, 5655, 1535, 6161, 1859, 2755, 3575, 3259, 6269, 5075, 67, 1, 311, 7108, 5632, 2674, 3934, 2880, 2523, 4941, 3961, 2867, 6679, 2032, 124, 2859, 3959, 6629, 6875]"
