State,5,10,25,50,100
Alabama,"[1728, 465, 1492, 1301, 2175]","[1728, 465, 1492, 1301, 2175, 1798, 3340, 2098, 821, 3033]","[1728, 465, 1492, 1301, 2175, 1798, 3340, 2098, 821, 3033, 3425, 2308, 37, 775, 2234, 41, 2954, 2862, 1519, 1871, 2352, 1784, 2778, 2106, 2623]","[1728, 465, 1492, 1301, 2175, 1798, 3340, 2098, 821, 3033, 3425, 2308, 37, 775, 2234, 41, 2954, 2862, 1519, 1871, 2352, 1784, 2778, 2106, 2623, 2688, 2436, 774, 3084, 2071, 922, 1824, 2081, 1698, 172, 2351, 309, 2613, 824, 958, 2752, 2370, 2883, 2766, 2388, 3668, 3161, 2527, 1375, 740]","[1728, 465, 1492, 1301, 2175, 1798, 3340, 2098, 821, 3033, 3425, 2308, 37, 775, 2234, 41, 2954, 2862, 1519, 1871, 2352, 1784, 2778, 2106, 2623, 2688, 2436, 774, 3084, 2071, 922, 1824, 2081, 1698, 172, 2351, 309, 2613, 824, 958, 2752, 2370, 2883, 2766, 2388, 3668, 3161, 2527, 1375, 740, 768, 1, 3713, 1668, 1030, 3082, 2958, 1807, 2833, 3473, 2581, 665, 153, 3099, 3742, 3615, 2855, 1832, 1322, 2218, 47, 2097, 3379, 2869, 314, 3192, 2111, 577, 706, 1733, 2374, 3398, 3655, 331, 973, 3024, 3671, 3545, 2013, 3805, 3430, 2791, 2153, 491, 3312, 755, 1523, 758, 1400, 1019]"
Alaska,"[1, 3, 499, 214, 377]","[1, 3, 499, 214, 377, 448, 450, 205, 495, 496]","[1, 3, 499, 214, 377, 448, 450, 205, 495, 496, 0, 2, 453, 454, 455, 365, 208, 209, 497, 501, 502, 378, 380, 222, 319]","[1, 3, 499, 214, 377, 448, 450, 205, 495, 496, 0, 2, 453, 454, 455, 365, 208, 209, 497, 501, 502, 378, 380, 222, 319, 384, 6, 392, 17, 275, 283, 289, 297, 426, 449, 451, 196, 325, 452, 456, 201, 206, 465, 467, 471, 224, 225, 227, 376, 382]","[1, 3, 499, 214, 377, 448, 450, 205, 495, 496, 0, 2, 453, 454, 455, 365, 208, 209, 497, 501, 502, 378, 380, 222, 319, 384, 6, 392, 17, 275, 283, 289, 297, 426, 449, 451, 196, 325, 452, 456, 201, 206, 465, 467, 471, 224, 225, 227, 376, 382, 256, 387, 4, 5, 134, 262, 391, 396, 272, 400, 21, 412, 157, 287, 290, 167, 295, 296, 298, 302, 430, 51, 441, 315, 321, 323, 324, 327, 200, 464, 466, 340, 216, 344, 472, 220, 223, 352, 226, 354, 356, 487, 489, 490, 491, 494, 367, 498, 375, 381]"
Arizona,"[3, 38, 18, 3163, 3325]","[3, 38, 18, 3163, 3325, 320, 258, 5, 267, 349]","[3, 38, 18, 3163, 3325, 320, 258, 5, 267, 349, 32, 3331, 4, 3353, 264, 3338, 11, 13, 366, 3155, 4117, 3193, 26, 3869, 3166]","[3, 38, 18, 3163, 3325, 320, 258, 5, 267, 349, 32, 3331, 4, 3353, 264, 3338, 11, 13, 366, 3155, 4117, 3193, 26, 3869, 3166, 4223, 1, 3329, 3848, 266, 3346, 277, 278, 4123, 29, 4515, 420, 294, 425, 312, 3256, 319, 66, 3784, 4427, 3179, 3694, 3312, 377, 3327]","[3, 38, 18, 3163, 3325, 320, 258, 5, 267, 349, 32, 3331, 4, 3353, 264, 3338, 11, 13, 366, 3155, 4117, 3193, 26, 3869, 3166, 4223, 1, 3329, 3848, 266, 3346, 277, 278, 4123, 29, 4515, 420, 294, 425, 312, 3256, 319, 66, 3784, 4427, 3179, 3694, 3312, 377, 3327, 256, 513, 4480, 4609, 0, 6, 262, 4488, 2571, 268, 3340, 4499, 148, 4121, 28, 3356, 43, 428, 3628, 3375, 3759, 1721, 57, 315, 2875, 3773, 3897, 2495, 4681, 330, 79, 81, 2131, 4563, 4564, 3801, 220, 3169, 483, 3171, 4196, 4451, 231, 4712, 4330, 3308, 3820, 4208, 370, 2424]"
Arkansas,"[1153, 1739, 1267, 1076, 1689]","[1153, 1739, 1267, 1076, 1689, 0, 741, 1287, 1649, 216]","[1153, 1739, 1267, 1076, 1689, 0, 741, 1287, 1649, 216, 1, 130, 739, 1379, 1349, 1703, 1800, 1578, 1836, 1005, 784, 2001, 1394, 441, 1275]","[1153, 1739, 1267, 1076, 1689, 0, 741, 1287, 1649, 216, 1, 130, 739, 1379, 1349, 1703, 1800, 1578, 1836, 1005, 784, 2001, 1394, 441, 1275, 1665, 1156, 393, 782, 1934, 2067, 803, 1443, 678, 1446, 808, 1321, 942, 815, 949, 191, 1732, 2254, 1999, 592, 733, 867, 1383, 372, 124]","[1153, 1739, 1267, 1076, 1689, 0, 741, 1287, 1649, 216, 1, 130, 739, 1379, 1349, 1703, 1800, 1578, 1836, 1005, 784, 2001, 1394, 441, 1275, 1665, 1156, 393, 782, 1934, 2067, 803, 1443, 678, 1446, 808, 1321, 942, 815, 949, 191, 1732, 2254, 1999, 592, 733, 867, 1383, 372, 124, 1281, 517, 1159, 2185, 524, 1294, 143, 403, 790, 792, 1435, 2205, 415, 1184, 1313, 296, 298, 2218, 1070, 1454, 435, 311, 1976, 1849, 1212, 1596, 1086, 1858, 452, 1860, 199, 843, 588, 211, 217, 347, 349, 2016, 2018, 1000, 1902, 1009, 1778, 2289, 117, 887, 1146, 2044, 1406, 1151]"
California,"[3010, 1415, 3180, 3728, 15102]","[3010, 1415, 3180, 3728, 15102, 20995, 24483, 17421, 1297, 3897]","[3010, 1415, 3180, 3728, 15102, 20995, 24483, 17421, 1297, 3897, 3008, 11207, 11080, 11463, 17545, 2795, 15024, 3669, 3894, 23254, 2136, 1305, 3197, 10526, 11071]","[3010, 1415, 3180, 3728, 15102, 20995, 24483, 17421, 1297, 3897, 3008, 11207, 11080, 11463, 17545, 2795, 15024, 3669, 3894, 23254, 2136, 1305, 3197, 10526, 11071, 19594, 25482, 23314, 19615, 10535, 15143, 13620, 17588, 10806, 10684, 11076, 14918, 24013, 2906, 23260, 3962, 12770, 3940, 1133, 21615, 13680, 24692, 15096, 3194, 20988]","[3010, 1415, 3180, 3728, 15102, 20995, 24483, 17421, 1297, 3897, 3008, 11207, 11080, 11463, 17545, 2795, 15024, 3669, 3894, 23254, 2136, 1305, 3197, 10526, 11071, 19594, 25482, 23314, 19615, 10535, 15143, 13620, 17588, 10806, 10684, 11076, 14918, 24013, 2906, 23260, 3962, 12770, 3940, 1133, 21615, 13680, 24692, 15096, 3194, 20988, 17280, 3074, 24835, 17544, 3723, 21652, 24475, 22945, 17443, 13988, 25508, 3112, 3880, 3882, 15018, 2222, 1841, 3637, 19257, 1210, 23610, 10562, 10564, 3781, 17477, 20421, 3531, 11083, 24779, 3791, 23124, 3671, 2137, 16732, 13792, 18912, 3044, 14437, 2791, 15208, 23273, 1260, 21613, 23277, 24687, 15728, 10993, 20848, 3699, 25454]"
Colorado,"[2533, 1095, 1099, 3219, 2455]","[2533, 1095, 1099, 3219, 2455, 3265, 3396, 1931, 3669, 2527]","[2533, 1095, 1099, 3219, 2455, 3265, 3396, 1931, 3669, 2527, 0, 2401, 3713, 229, 3622, 3718, 1864, 75, 2251, 3819, 2287, 1619, 1110, 3002, 2526]","[2533, 1095, 1099, 3219, 2455, 3265, 3396, 1931, 3669, 2527, 0, 2401, 3713, 229, 3622, 3718, 1864, 75, 2251, 3819, 2287, 1619, 1110, 3002, 2526, 643, 1540, 776, 658, 3221, 3230, 798, 3105, 1058, 1193, 2475, 4019, 1716, 2236, 1981, 3522, 2886, 3275, 3532, 3413, 2277, 1645, 3183, 501, 3709]","[2533, 1095, 1099, 3219, 2455, 3265, 3396, 1931, 3669, 2527, 0, 2401, 3713, 229, 3622, 3718, 1864, 75, 2251, 3819, 2287, 1619, 1110, 3002, 2526, 643, 1540, 776, 658, 3221, 3230, 798, 3105, 1058, 1193, 2475, 4019, 1716, 2236, 1981, 3522, 2886, 3275, 3532, 3413, 2277, 1645, 3183, 501, 3709, 640, 3334, 2186, 2574, 3601, 3220, 1941, 3608, 3737, 3226, 2589, 3360, 1700, 3113, 2091, 1071, 1075, 2995, 4022, 2103, 2490, 64, 2625, 1987, 1733, 331, 3789, 208, 2128, 3026, 2515, 2389, 3415, 2392, 1626, 2653, 3424, 2915, 100, 2663, 2797, 368, 2545, 3827, 2420, 2037, 120, 2809, 1022, 3071]"
Connecticut,"[2082, 2329, 2287, 57, 255]","[2082, 2329, 2287, 57, 255, 996, 1285, 164, 9, 497]","[2082, 2329, 2287, 57, 255, 996, 1285, 164, 9, 497, 641, 549, 645, 1611, 1803, 1869, 1967, 2575, 1297, 466, 1939, 276, 1013, 1590, 2003]","[2082, 2329, 2287, 57, 255, 996, 1285, 164, 9, 497, 641, 549, 645, 1611, 1803, 1869, 1967, 2575, 1297, 466, 1939, 276, 1013, 1590, 2003, 2050, 1672, 892, 11, 2315, 270, 2071, 1434, 1951, 814, 1840, 2102, 1345, 706, 2629, 1734, 1864, 983, 603, 2018, 483, 877, 627, 884, 1532]","[2082, 2329, 2287, 57, 255, 996, 1285, 164, 9, 497, 641, 549, 645, 1611, 1803, 1869, 1967, 2575, 1297, 466, 1939, 276, 1013, 1590, 2003, 2050, 1672, 892, 11, 2315, 270, 2071, 1434, 1951, 814, 1840, 2102, 1345, 706, 2629, 1734, 1864, 983, 603, 2018, 483, 877, 627, 884, 1532, 0, 897, 2308, 5, 261, 522, 1292, 2318, 1039, 1298, 2456, 1562, 45, 1328, 433, 948, 1462, 2614, 1468, 1984, 833, 712, 1099, 2379, 2636, 462, 590, 2127, 1873, 2130, 1622, 2008, 2265, 2141, 2014, 1248, 993, 738, 2529, 613, 2283, 236, 1646, 2543, 2549, 118, 1782, 2425, 506, 252]"
Delaware,"[0, 390, 625, 341, 502]","[0, 390, 625, 341, 502, 515, 397, 441, 410, 575]","[0, 390, 625, 341, 502, 515, 397, 441, 410, 575, 64, 353, 291, 485, 71, 425, 447, 522, 460, 496, 562, 403, 572, 318, 63]","[0, 390, 625, 341, 502, 515, 397, 441, 410, 575, 64, 353, 291, 485, 71, 425, 447, 522, 460, 496, 562, 403, 572, 318, 63, 642, 643, 263, 649, 11, 661, 287, 418, 550, 679, 56, 185, 442, 59, 73, 338, 468, 599, 479, 359, 106, 622, 380, 508, 382]","[0, 390, 625, 341, 502, 515, 397, 441, 410, 575, 64, 353, 291, 485, 71, 425, 447, 522, 460, 496, 562, 403, 572, 318, 63, 642, 643, 263, 649, 11, 661, 287, 418, 550, 679, 56, 185, 442, 59, 73, 338, 468, 599, 479, 359, 106, 622, 380, 508, 382, 385, 519, 266, 526, 15, 271, 18, 405, 22, 664, 30, 159, 545, 547, 293, 298, 427, 556, 557, 687, 692, 181, 440, 313, 570, 61, 445, 191, 320, 65, 68, 583, 72, 459, 466, 596, 87, 89, 219, 91, 483, 356, 490, 505, 367, 498, 630, 634, 249, 122]"
Florida,"[5098, 2667, 2395, 6139, 5117]","[5098, 2667, 2395, 6139, 5117, 0, 366, 10454, 184, 3263]","[5098, 2667, 2395, 6139, 5117, 0, 366, 10454, 184, 3263, 3479, 5665, 2116, 5124, 11628, 10574, 10159, 11824, 6135, 12470, 3959, 664, 11418, 4187, 10204]","[5098, 2667, 2395, 6139, 5117, 0, 366, 10454, 184, 3263, 3479, 5665, 2116, 5124, 11628, 10574, 10159, 11824, 6135, 12470, 3959, 664, 11418, 4187, 10204, 519, 3094, 3996, 9261, 2359, 3642, 12732, 5951, 6337, 2759, 2634, 13130, 10446, 2133, 9306, 5338, 6107, 5086, 10206, 6246, 11376, 10356, 10491, 12156, 2046]","[5098, 2667, 2395, 6139, 5117, 0, 366, 10454, 184, 3263, 3479, 5665, 2116, 5124, 11628, 10574, 10159, 11824, 6135, 12470, 3959, 664, 11418, 4187, 10204, 519, 3094, 3996, 9261, 2359, 3642, 12732, 5951, 6337, 2759, 2634, 13130, 10446, 2133, 9306, 5338, 6107, 5086, 10206, 6246, 11376, 10356, 10491, 12156, 2046, 12032, 13057, 8451, 4741, 9093, 3975, 2697, 1931, 6028, 6160, 2451, 3988, 11804, 5374, 3359, 2592, 3744, 12450, 11044, 6266, 4649, 1964, 5424, 3506, 6066, 9010, 2364, 12860, 11968, 5703, 5330, 3667, 8531, 2775, 2524, 13284, 5094, 10726, 10601, 12137, 3309, 5102, 8431, 12398, 3313, 3953, 8312, 11385, 378, 3198]"
Georgia,"[6146, 4934, 3893, 2741, 1334]","[6146, 4934, 3893, 2741, 1334, 3873, 4787, 2965, 1366, 2715]","[6146, 4934, 3893, 2741, 1334, 3873, 4787, 2965, 1366, 2715, 5664, 0, 2723, 7108, 4901, 6085, 5066, 6156, 625, 6290, 3635, 6679, 3961, 1275, 926]","[6146, 4934, 3893, 2741, 1334, 3873, 4787, 2965, 1366, 2715, 5664, 0, 2723, 7108, 4901, 6085, 5066, 6156, 625, 6290, 3635, 6679, 3961, 1275, 926, 1, 5250, 1404, 3235, 6567, 424, 4778, 6576, 3249, 4913, 7345, 3259, 187, 3277, 5204, 3034, 5341, 2032, 2674, 1910, 3959, 124, 6269, 5374, 1535]","[6146, 4934, 3893, 2741, 1334, 3873, 4787, 2965, 1366, 2715, 5664, 0, 2723, 7108, 4901, 6085, 5066, 6156, 625, 6290, 3635, 6679, 3961, 1275, 926, 1, 5250, 1404, 3235, 6567, 424, 4778, 6576, 3249, 4913, 7345, 3259, 187, 3277, 5204, 3034, 5341, 2032, 2674, 1910, 3959, 124, 6269, 5374, 1535, 5632, 2952, 4361, 266, 7178, 2064, 6294, 1560, 3226, 3867, 7066, 6173, 162, 2042, 806, 2727, 4652, 1453, 433, 5298, 310, 3511, 4278, 1084, 444, 2110, 7228, 65, 1857, 3010, 199, 584, 6095, 1360, 5072, 7381, 6875, 6748, 2141, 3934, 867, 1125, 360, 3816, 3306, 6257, 1911, 889, 1018, 5247]"
