,GEOID,Longitude,Latitude
2,40019427001,-109.17633394484042,36.9113516441403
4108,40190052001,-112.86830271305472,32.38202514045507
3347,40179423002,-110.68752911591147,36.55106488726235
3163,40159501022,-112.9669433486826,36.980488789532544
3869,40190043393,-111.1206712797657,32.12038914371969
491,40130506111,-112.55962218230196,33.39566878443211
369,40120205031,-114.2235122595104,33.679050531459794
4216,40210004004,-111.09872319525994,33.29277608027347
349,40119601001,-109.26402037895076,33.39896086964894
4317,40210017162,-112.02858368160416,33.05050783044851
257,40059422022,-111.03319504419692,36.69054128035244
1763,40131167202,-111.99482583775388,33.31701799071618
228,40050017003,-112.23304286821669,35.20271802664052
4515,40250016051,-111.78162851821334,34.637720656958315
3943,40190045083,-110.9823473058664,32.27643557959042
4583,40270004043,-114.65474773822132,32.715782263787794
265,40059451001,-111.17619307430915,35.48721551102276
4365,40239661082,-111.00627594976991,31.48352055112133
272,40059800001,-112.2259409810761,36.23575467724026
4657,40270111082,-114.45756266173366,32.66748718515723
1684,40131164001,-112.0521476405258,33.38873630482735
3353,40179425003,-110.20342600225511,36.722440658750806
892,40130924022,-112.15365717802322,33.54255124825546
3358,40179602002,-110.17452777148394,34.90626880370082
4223,40210007003,-110.62632802969358,32.60567023873676
3079,40138160032,-111.76836672627034,33.241225902590365
1160,40131043021,-112.1192791292668,33.585848565832336
10,40019441002,-109.44285061699,36.54998819380661
916,40130927151,-112.20970340006792,33.520067273316045
2845,40136191001,-112.06338594640955,33.6424678564671
4255,40210013054,-111.74822531783325,32.930945966047226
38,40019450023,-109.269927103628,35.29064334382605
3750,40190040782,-110.8131486073724,32.20030690903593
47,40019703002,-109.36697663774198,34.499908373258954
4403,40250002095,-112.44590123382898,34.75616289858728
2873,40137233044,-112.48710287012366,33.32667025874062
2249,40134213042,-111.87140976335068,33.41105326029392
3789,40190041281,-110.97491355089466,31.87538258985899
847,40130822092,-112.29808307380944,33.43182305530211
2130,40134201152,-111.62832949457068,33.41874095467568
3800,40190041322,-110.83761328999242,32.0864122411523
4696,40270114053,-114.76522504626088,32.49050053787245
2269,40134217023,-111.77893994806172,33.412285125482065
3166,40159504011,-114.32964140921898,35.63267120997486
351,40119602001,-109.31221349414626,33.04071703778469
4710,40270115052,-114.71251986448388,32.59298012787888
1511,40131122012,-112.1388094727942,33.46881178072948
119,40030015011,-110.29814405663124,31.551092036841204
1529,40131125021,-112.19921961514272,33.46950528425034
254,40059422012,-111.42025011223204,36.549131442732765
0,40019426001,-109.84267170693012,36.67146468645674
1667,40131161003,-112.02550527391752,33.40511020677961
1412,40131097042,-112.22497504021176,33.49299892445735
1669,40131162022,-111.98221375585582,33.390228429687106
3336,40179400151,-110.18046766113768,35.375633015791195
2570,40136102022,-112.11092475068688,33.8607588352415
651,40130610512,-112.4223467532036,33.44291751495679
12,40019441004,-109.3064405633551,36.31591566118803
1548,40131125171,-112.21763113979269,33.411665415333204
2830,40136186003,-112.1078580431336,33.64379167758162
1039,40131035022,-112.03242411141092,33.600851328082776
3216,40159517011,-114.61017278668776,35.10419411321886
3982,40190046193,-110.96589926600043,32.39611458791465
3092,40138163011,-111.68892007026564,33.26086894503107
149,40030019004,-110.27344483580664,31.50138177546769
4246,40210011003,-111.52837058584548,32.96978856915447
4509,40250016013,-111.87522639246808,34.567771318018416
542,40130609021,-112.33422427152657,33.61105304831845
2207,40134207083,-111.73939307066138,33.41888264282646
3620,40190037072,-110.94931279390312,32.15248533195545
1709,40131166151,-112.09484128252736,33.38863666591014
4525,40250017051,-111.76999219632754,34.78463689095978
2738,40136155002,-112.26605428359947,33.662206071483745
3507,40190025082,-111.00899168203894,32.14272628675861
312,40070013001,-110.80530822406116,33.14959207979837
3896,40190044222,-111.01556300964324,32.200082800824774
2875,40137233052,-113.02916783862756,32.93251128739945
3389,40179637002,-110.54144775118873,34.405746258929774
1471,40131112012,-111.9741949451332,33.47662224720208
4673,40270111202,-114.53659849743777,32.671475110327
3575,40190032023,-110.91339016463569,32.232883992029734
3525,40190027025,-110.939077307481,32.276109112512984
1222,40131055012,-112.1150943929764,33.55727649415834
199,40050010003,-111.65736448852296,35.18906296218526
4678,40270111223,-114.41578173750652,32.66399934017964
2898,40138104004,-111.95179749542312,33.31212707232904
4564,40250021002,-113.13696137851446,35.150590078014844
1366,40131090012,-112.11494170292964,33.49861456316674
92,40030008002,-109.53527290877555,31.347070427892337
2014,40133191032,-111.91367680944924,33.416454670155844
482,40130506032,-112.843141913944,33.4238622548142
2531,40135229041,-111.82845687626164,33.31164775797812
359,40120201021,-113.61155189630128,33.76581280746778
4329,40210021041,-111.66197114742388,32.758363282867016
1770,40131167254,-112.04063332025284,33.294221339507914
3182,40159507032,-114.01879341481468,35.25907757353668
3958,40190045143,-111.00359641523072,32.26850802674445
1911,40132168573,-111.72397991012384,33.59986126745768
377,40120206021,-114.513663357476,33.6258293327172
3326,40179400111,-110.05121839619268,36.149561801519965
