,GEOID,Longitude,Latitude
12,250010103042,-69.99238270851882,41.835213314579306
50,250010112002,-70.04061805017275,41.689938954072886
120,250010130024,-70.38633927685274,41.64607563502892
250,250039131006,-73.27155511505798,42.33718652795688
62,250010115003,-70.1702638395871,41.70140676644865
3588,250235071043,-70.7181134727406,42.02052757881902
3439,250214421011,-71.37844556992427,42.10056900496482
3414,250214226006,-70.95377144676769,42.23049690661816
923,250092092003,-71.05367338790981,42.547796406296776
3551,250235051032,-70.76981351688465,42.22024971263709
2,250010101003,-70.18289576134737,42.05812338531687
3523,250235021021,-70.89980547095847,42.117607976287225
613,250056504001,-70.92030372102091,41.6706666382548
2694,250173632022,-71.4627824822869,42.46906332467874
1673,250138133031,-72.56274281608968,42.06246705037494
3710,250235231002,-70.94799841917386,42.012222271983
428,250056302022,-71.32292091179022,41.98899310931824
3774,250235309042,-70.56105934027272,41.80176492813911
4877,250277381001,-71.7051409831177,42.18150467856816
273,250039221003,-73.11376090455852,42.62144885778191
3669,250235115002,-71.01762975852743,42.06903361042993
2968,250173871004,-71.41973098608742,42.18720422389029
2937,250173838003,-71.41424085421274,42.33390938180353
2171,250173344003,-71.09991748538022,42.51173609027752
1310,250092701002,-70.93477859700488,42.69686331706317
2819,250173732002,-71.20070184576765,42.35638199351704
4485,250251802003,-70.98576487671723,42.376210312049615
774,250092031007,-70.88922534980203,42.4866854106004
1799,250158224022,-72.67897902870126,42.25932960621182
1682,250138134031,-72.49199885501048,42.07999447059274
5012,250277543002,-71.87607403336979,42.05202600200964
2589,250173567041,-71.16923237553438,42.41642200833895
1949,250173161022,-71.25579225364467,42.56072177763544
3744,250235304001,-70.73263870980747,41.923593016910885
4896,250277394011,-71.68822883901711,42.29060636682887
1190,250092541001,-71.13394291009648,42.6690279921574
170,250010146002,-70.54822616258376,41.58685511179704
2099,250173302022,-71.12020666424088,42.58122822206154
1985,250173172012,-71.39003434903155,42.594551277062905
582,250056451021,-71.16971474747884,41.74612360324835
4678,250277262001,-71.99937299024866,42.248845791147474
1738,250158206001,-72.51031369810175,42.3687307920606
975,250092114024,-70.95502170169739,42.57336375662064
4689,250277282003,-71.8222284965187,42.32650945556937
3160,250214113022,-71.26165340015147,42.14093274837359
1754,250158211011,-72.57964927649486,42.225062013652895
352,250056102035,-71.18647317008393,42.0183524807794
4977,250277492003,-71.6420104381308,42.0820506485971
3572,250235062032,-70.67282776516211,42.08413893857144
895,250092081011,-71.00234309586033,42.452632831647385
3206,250214143004,-71.16048402919166,42.13040031239765
2055,250173224002,-71.56119922259282,42.39157258689917
4875,250277373003,-71.7438415914432,42.227561933482505
2700,250173641022,-71.44309367549653,42.42656237862297
2189,250173353022,-71.06077014957863,42.50748539125691
782,250092033013,-70.85681041914981,42.50218677887991
1039,250092201014,-70.62109669999988,42.659805694579
3596,250235081022,-70.8320177585572,42.0487170616524
5003,250277532004,-71.87501976822178,42.10435153257493
1942,250173155003,-71.19462746607527,42.568305971004285
2839,250173738003,-71.19744056711019,42.32297541832256
3096,250214043021,-71.29588066554862,42.30174709332283
26,250010106003,-69.97441357405341,41.696974361151725
2715,250173661002,-71.35708630144542,42.32505577432967
4515,250277011023,-72.05345132039743,42.67748916879341
2084,250173271021,-71.56669791977102,42.66216275309949
3108,250214061011,-71.31170600916735,42.19091942212286
40,250010109004,-70.05056780577603,41.75686409993916
3369,250214211002,-71.01638478054039,42.14261035463685
1072,250092232001,-70.83920261404671,42.68075160825021
2737,250173681014,-71.23818460588026,42.40739630943944
3506,250235011012,-70.87825606001024,42.2549656185438
184,250010150011,-70.4817897204337,41.65774103467601
4922,250277423002,-71.61755695994435,42.2605466175274
4030,250250604002,-71.03937891831612,42.33222501337788
4672,250277251005,-72.09384413827783,42.27167862060692
65,250010116001,-70.13130921902633,41.6724704678704
2626,250173584001,-71.23053418559653,42.4452445471711
1349,250110409004,-72.60629210838681,42.4718809272142
3402,250214225012,-70.92182965542102,42.20247732563365
81,250010120021,-70.20654135432741,41.66057845936768
4561,250277092013,-71.75507327496689,42.50546318597677
2005,250173183003,-71.468952989704,42.56321714228245
2017,250173201064,-71.50695179772211,42.21943627407287
3816,250235453002,-70.6318617481484,41.754738358505286
2793,250173702011,-71.17039412523012,42.3752383502876
2155,250173336024,-71.1644673512517,42.51030626611139
111,250010128001,-70.34599314550678,41.6660778383669
1137,250092521021,-71.23079743261712,42.705443391985135
242,250039121005,-73.18601782442947,42.4594041285798
3057,250214024005,-71.15606983578081,42.23657213846544
372,250056122023,-71.04341350852985,41.90491594222005
3444,250214421032,-71.43864435581965,42.119791574017285
3699,250235212012,-70.9335535686515,42.0894850527864
3825,250235601002,-70.81474869754697,41.660714842309
2424,250173507013,-71.130875030113,42.40334748393208
1525,250138108002,-72.58365600247362,42.15350113932452
1914,250173141022,-71.34089911913485,42.67429923326684
4860,250277363002,-71.83524333841314,42.21388777623226
1663,250138132073,-72.64453072088189,42.0883055653072
