State,5,10,25,50,100
Alabama,"[1568, 2026, 1394, 1751, 1788]","[1568, 2026, 1394, 1751, 1788, 129, 1670, 2278, 1161, 2895]","[1568, 2026, 1394, 1751, 1788, 129, 1670, 2278, 1161, 2895, 3872, 2626, 1476, 2692, 3527, 2253, 1712, 2224, 3091, 1336, 2873, 986, 2460, 2557, 1727]","[1568, 2026, 1394, 1751, 1788, 129, 1670, 2278, 1161, 2895, 3872, 2626, 1476, 2692, 3527, 2253, 1712, 2224, 3091, 1336, 2873, 986, 2460, 2557, 1727, 2309, 779, 404, 2071, 3238, 1576, 809, 3498, 171, 1708, 1586, 308, 3509, 3000, 2745, 3006, 1346, 3778, 2637, 2389, 3295, 353, 1508, 1657, 2427]","[1568, 2026, 1394, 1751, 1788, 129, 1670, 2278, 1161, 2895, 3872, 2626, 1476, 2692, 3527, 2253, 1712, 2224, 3091, 1336, 2873, 986, 2460, 2557, 1727, 2309, 779, 404, 2071, 3238, 1576, 809, 3498, 171, 1708, 1586, 308, 3509, 3000, 2745, 3006, 1346, 3778, 2637, 2389, 3295, 353, 1508, 1657, 2427, 1026, 1666, 1794, 1415, 137, 2191, 3855, 150, 3228, 158, 3748, 1189, 934, 1320, 1832, 555, 2605, 2862, 303, 2351, 3120, 307, 2101, 1718, 3384, 1850, 3258, 323, 463, 1361, 3796, 729, 2780, 1501, 992, 1251, 2021, 2535, 1896, 3054, 2928, 882, 243, 2035, 2675, 3187, 3314, 1528, 3443, 3070]"
Alaska,"[1, 450, 3, 502, 377]","[1, 450, 3, 502, 377, 448, 205, 495, 497, 380]","[1, 450, 3, 502, 377, 448, 205, 495, 497, 380, 0, 289, 292, 454, 455, 12, 365, 496, 209, 467, 214, 376, 474, 379, 319]","[1, 450, 3, 502, 377, 448, 205, 495, 497, 380, 0, 289, 292, 454, 455, 12, 365, 496, 209, 467, 214, 376, 474, 379, 319, 2, 144, 277, 296, 307, 184, 449, 452, 325, 453, 456, 334, 208, 468, 222, 227, 103, 494, 498, 499, 500, 501, 378, 124, 382]","[1, 450, 3, 502, 377, 448, 205, 495, 497, 380, 0, 289, 292, 454, 455, 12, 365, 496, 209, 467, 214, 376, 474, 379, 319, 2, 144, 277, 296, 307, 184, 449, 452, 325, 453, 456, 334, 208, 468, 222, 227, 103, 494, 498, 499, 500, 501, 378, 124, 382, 384, 5, 6, 391, 269, 400, 150, 23, 407, 26, 283, 287, 32, 161, 36, 167, 295, 297, 42, 298, 426, 433, 437, 441, 315, 316, 190, 63, 320, 321, 195, 451, 201, 460, 206, 207, 464, 465, 210, 215, 471, 223, 224, 226, 229, 487, 366, 245, 375, 254]"
Arizona,"[2, 4108, 3347, 3163, 3869]","[2, 4108, 3347, 3163, 3869, 491, 369, 4216, 349, 4317]","[2, 4108, 3347, 3163, 3869, 491, 369, 4216, 349, 4317, 257, 1763, 228, 4515, 3943, 4583, 265, 4365, 272, 4657, 1684, 3353, 892, 3358, 4223]","[2, 4108, 3347, 3163, 3869, 491, 369, 4216, 349, 4317, 257, 1763, 228, 4515, 3943, 4583, 265, 4365, 272, 4657, 1684, 3353, 892, 3358, 4223, 3079, 1160, 10, 916, 2845, 4255, 38, 3750, 47, 4403, 2873, 2249, 3789, 847, 2130, 3800, 4696, 2269, 3166, 351, 4710, 1511, 119, 1529, 254]","[2, 4108, 3347, 3163, 3869, 491, 369, 4216, 349, 4317, 257, 1763, 228, 4515, 3943, 4583, 265, 4365, 272, 4657, 1684, 3353, 892, 3358, 4223, 3079, 1160, 10, 916, 2845, 4255, 38, 3750, 47, 4403, 2873, 2249, 3789, 847, 2130, 3800, 4696, 2269, 3166, 351, 4710, 1511, 119, 1529, 254, 0, 1667, 1412, 1669, 3336, 2570, 651, 12, 1548, 2830, 1039, 3216, 3982, 3092, 149, 4246, 4509, 542, 2207, 3620, 1709, 4525, 2738, 3507, 312, 3896, 2875, 3389, 1471, 4673, 3575, 3525, 1222, 199, 4678, 2898, 4564, 1366, 92, 2014, 482, 2531, 359, 4329, 1770, 3182, 3958, 1911, 377, 3326]"
Arkansas,"[2179, 964, 1327, 1878, 1631]","[2179, 964, 1327, 1878, 1631, 1252, 1258, 1069, 1586, 1268]","[2179, 964, 1327, 1878, 1631, 1252, 1258, 1069, 1586, 1268, 1057, 1667, 1028, 779, 143, 1135, 1520, 1981, 2111, 85, 1334, 1365, 2044, 29, 1151]","[2179, 964, 1327, 1878, 1631, 1252, 1258, 1069, 1586, 1268, 1057, 1667, 1028, 779, 143, 1135, 1520, 1981, 2111, 85, 1334, 1365, 2044, 29, 1151, 1537, 1172, 1300, 546, 2097, 1715, 2100, 700, 960, 1345, 1856, 1219, 202, 1739, 973, 1618, 1491, 599, 2265, 1636, 1510, 1766, 1003, 2159, 503]","[2179, 964, 1327, 1878, 1631, 1252, 1258, 1069, 1586, 1268, 1057, 1667, 1028, 779, 143, 1135, 1520, 1981, 2111, 85, 1334, 1365, 2044, 29, 1151, 1537, 1172, 1300, 546, 2097, 1715, 2100, 700, 960, 1345, 1856, 1219, 202, 1739, 973, 1618, 1491, 599, 2265, 1636, 1510, 1766, 1003, 2159, 503, 1282, 2058, 1292, 272, 1683, 534, 2198, 795, 288, 1185, 1826, 1953, 420, 172, 1582, 2095, 306, 1918, 1972, 951, 1081, 2105, 316, 1599, 2115, 1989, 1223, 1864, 81, 978, 2001, 1623, 1751, 2007, 1370, 2266, 988, 741, 103, 1896, 746, 748, 1644, 1518, 1263, 1526, 1274, 124, 1278, 639]"
California,"[3010, 2282, 3536, 2931, 10555]","[3010, 2282, 3536, 2931, 10555, 5987, 11082, 10412, 1997, 3158]","[3010, 2282, 3536, 2931, 10555, 5987, 11082, 10412, 1997, 3158, 288, 14240, 17536, 18401, 24998, 10920, 25481, 2763, 15628, 17997, 2511, 18805, 3736, 20858, 17215]","[3010, 2282, 3536, 2931, 10555, 5987, 11082, 10412, 1997, 3158, 288, 14240, 17536, 18401, 24998, 10920, 25481, 2763, 15628, 17997, 2511, 18805, 3736, 20858, 17215, 14849, 3715, 14602, 11023, 5908, 17813, 12323, 17187, 2597, 13609, 11306, 17454, 23726, 15414, 13757, 3529, 2250, 24526, 14804, 19169, 2915, 23271, 20463, 4720, 1525]","[3010, 2282, 3536, 2931, 10555, 5987, 11082, 10412, 1997, 3158, 288, 14240, 17536, 18401, 24998, 10920, 25481, 2763, 15628, 17997, 2511, 18805, 3736, 20858, 17215, 14849, 3715, 14602, 11023, 5908, 17813, 12323, 17187, 2597, 13609, 11306, 17454, 23726, 15414, 13757, 3529, 2250, 24526, 14804, 19169, 2915, 23271, 20463, 4720, 1525, 14848, 3970, 17282, 20866, 22022, 1415, 2440, 16648, 3468, 13325, 18701, 19598, 5522, 15770, 3618, 10531, 11938, 23210, 7723, 7341, 2222, 12462, 15022, 16174, 18605, 24495, 2873, 2876, 14015, 16192, 10306, 21575, 18122, 21710, 8401, 3922, 21841, 6101, 10582, 14678, 19290, 20832, 14947, 1380, 19307, 24684, 4462, 25327, 17398, 22266]"
Colorado,"[2177, 3499, 1520, 2292, 312]","[2177, 3499, 1520, 2292, 312, 288, 1099, 1647, 1586, 1908]","[2177, 3499, 1520, 2292, 312, 288, 1099, 1647, 1586, 1908, 2243, 1926, 490, 3659, 654, 989, 786, 3801, 150, 1143, 1433, 1627, 3388, 573, 3415]","[2177, 3499, 1520, 2292, 312, 288, 1099, 1647, 1586, 1908, 2243, 1926, 490, 3659, 654, 989, 786, 3801, 150, 1143, 1433, 1627, 3388, 573, 3415, 1030, 7, 2183, 2444, 143, 3728, 3602, 3094, 3866, 419, 2086, 3110, 2754, 3527, 1097, 3786, 1611, 1240, 222, 2149, 2664, 1901, 1134, 2285, 2300]","[2177, 3499, 1520, 2292, 312, 288, 1099, 1647, 1586, 1908, 2243, 1926, 490, 3659, 654, 989, 786, 3801, 150, 1143, 1433, 1627, 3388, 573, 3415, 1030, 7, 2183, 2444, 143, 3728, 3602, 3094, 3866, 419, 2086, 3110, 2754, 3527, 1097, 3786, 1611, 1240, 222, 2149, 2664, 1901, 1134, 2285, 2300, 2695, 3719, 2825, 2186, 3595, 3849, 1552, 2192, 274, 2704, 2455, 24, 2328, 3872, 675, 2469, 3621, 39, 168, 296, 2600, 3891, 1844, 1206, 3767, 56, 3641, 3006, 1605, 1226, 3068, 3532, 2383, 3196, 3665, 2002, 3920, 2134, 855, 218, 476, 3935, 737, 2530, 2020, 1641, 1387, 124, 2422, 1532]"
Connecticut,"[1732, 1613, 946, 2677, 534]","[1732, 1613, 946, 2677, 534, 1216, 834, 1457, 346, 123]","[1732, 1613, 946, 2677, 534, 1216, 834, 1457, 346, 123, 2177, 1634, 1893, 2215, 968, 2587, 493, 1084, 2253, 851, 2391, 216, 921, 1755, 764]","[1732, 1613, 946, 2677, 534, 1216, 834, 1457, 346, 123, 2177, 1634, 1893, 2215, 968, 2587, 493, 1084, 2253, 851, 2391, 216, 921, 1755, 764, 128, 391, 1290, 2186, 917, 2455, 2084, 295, 1961, 556, 1709, 1199, 1846, 193, 1479, 842, 1228, 80, 2148, 365, 2031, 882, 1525, 119, 1914]","[1732, 1613, 946, 2677, 534, 1216, 834, 1457, 346, 123, 2177, 1634, 1893, 2215, 968, 2587, 493, 1084, 2253, 851, 2391, 216, 921, 1755, 764, 128, 391, 1290, 2186, 917, 2455, 2084, 295, 1961, 556, 1709, 1199, 1846, 193, 1479, 842, 1228, 80, 2148, 365, 2031, 882, 1525, 119, 1914, 515, 1027, 1528, 265, 650, 1674, 1421, 274, 402, 1684, 1938, 1046, 923, 2331, 1309, 2466, 551, 809, 1833, 428, 1327, 2098, 950, 2358, 1209, 2490, 2619, 2370, 2244, 325, 70, 581, 333, 1998, 1617, 2525, 2398, 1759, 1507, 1892, 615, 360, 1518, 751, 1141, 376, 2298, 1275, 636, 1407]"
Delaware,"[673, 391, 15, 370, 629]","[673, 391, 15, 370, 629, 390, 208, 113, 410, 62]","[673, 391, 15, 370, 629, 390, 208, 113, 410, 62, 161, 567, 198, 582, 41, 425, 649, 307, 596, 374, 439, 534, 282, 60, 414]","[673, 391, 15, 370, 629, 390, 208, 113, 410, 62, 161, 567, 198, 582, 41, 425, 649, 307, 596, 374, 439, 534, 282, 60, 414, 262, 522, 397, 17, 403, 408, 664, 33, 547, 678, 170, 299, 45, 176, 311, 449, 67, 85, 218, 350, 103, 491, 367, 631, 639]","[673, 391, 15, 370, 629, 390, 208, 113, 410, 62, 161, 567, 198, 582, 41, 425, 649, 307, 596, 374, 439, 534, 282, 60, 414, 262, 522, 397, 17, 403, 408, 664, 33, 547, 678, 170, 299, 45, 176, 311, 449, 67, 85, 218, 350, 103, 491, 367, 631, 639, 1, 2, 643, 9, 394, 268, 13, 142, 144, 146, 19, 24, 155, 542, 164, 294, 679, 555, 556, 430, 434, 562, 563, 183, 696, 572, 189, 445, 319, 65, 327, 456, 583, 202, 462, 466, 467, 341, 469, 347, 603, 93, 228, 359, 622, 502, 119, 250, 380, 383]"
Florida,"[7682, 2403, 9551, 2704, 6140]","[7682, 2403, 9551, 2704, 6140, 12455, 365, 3472, 2643, 1944]","[7682, 2403, 9551, 2704, 6140, 12455, 365, 3472, 2643, 1944, 7393, 5154, 7713, 5220, 3813, 5606, 6949, 6411, 5741, 5391, 8657, 2933, 9496, 11644, 6877]","[7682, 2403, 9551, 2704, 6140, 12455, 365, 3472, 2643, 1944, 7393, 5154, 7713, 5220, 3813, 5606, 6949, 6411, 5741, 5391, 8657, 2933, 9496, 11644, 6877, 259, 6147, 8586, 11538, 8980, 11420, 12319, 7845, 9637, 5799, 4649, 11050, 4928, 7488, 10311, 7884, 4303, 7637, 5472, 12903, 5100, 2029, 7535, 9715, 3320]","[7682, 2403, 9551, 2704, 6140, 12455, 365, 3472, 2643, 1944, 7393, 5154, 7713, 5220, 3813, 5606, 6949, 6411, 5741, 5391, 8657, 2933, 9496, 11644, 6877, 259, 6147, 8586, 11538, 8980, 11420, 12319, 7845, 9637, 5799, 4649, 11050, 4928, 7488, 10311, 7884, 4303, 7637, 5472, 12903, 5100, 2029, 7535, 9715, 3320, 8193, 2690, 12165, 3719, 648, 8071, 7050, 6540, 13, 3602, 275, 6037, 9889, 5290, 2861, 10285, 4527, 6064, 2353, 11309, 11694, 2230, 5563, 701, 8894, 448, 11587, 12232, 3402, 10190, 3026, 6741, 4950, 8282, 8666, 11358, 5345, 2667, 876, 8173, 4462, 11755, 11505, 10739, 9588, 12019, 3574, 4216, 7162, 3707]"
Georgia,"[1527, 4423, 4617, 3607, 3935]","[1527, 4423, 4617, 3607, 3935, 841, 983, 4759, 1272, 1310]","[1527, 4423, 4617, 3607, 3935, 841, 983, 4759, 1272, 1310, 3840, 4930, 4773, 1415, 2631, 6025, 6312, 1838, 4176, 1747, 2453, 885, 3866, 6653, 5311]","[1527, 4423, 4617, 3607, 3935, 841, 983, 4759, 1272, 1310, 3840, 4930, 4773, 1415, 2631, 6025, 6312, 1838, 4176, 1747, 2453, 885, 3866, 6653, 5311, 5380, 7300, 6036, 3480, 292, 1444, 1072, 1201, 4017, 2867, 2358, 6840, 2754, 5827, 4936, 7118, 6866, 5085, 1374, 1246, 1894, 3946, 2284, 2034, 1654]","[1527, 4423, 4617, 3607, 3935, 841, 983, 4759, 1272, 1310, 3840, 4930, 4773, 1415, 2631, 6025, 6312, 1838, 4176, 1747, 2453, 885, 3866, 6653, 5311, 5380, 7300, 6036, 3480, 292, 1444, 1072, 1201, 4017, 2867, 2358, 6840, 2754, 5827, 4936, 7118, 6866, 5085, 1374, 1246, 1894, 3946, 2284, 2034, 1654, 4996, 1287, 267, 4749, 6676, 1049, 2074, 5401, 2972, 2717, 1182, 5285, 3122, 1971, 4403, 6581, 311, 1597, 2749, 2878, 4160, 4672, 3266, 6849, 3652, 6854, 4295, 6216, 713, 5066, 4432, 724, 852, 4058, 3163, 2525, 1501, 3551, 4573, 7135, 2663, 4584, 5226, 6511, 881, 5746, 6257, 4475, 7038, 3711]"
