State,5,10,25,50,100
Alabama,"[1788, 2026, 1751, 1394, 1568]","[1788, 2026, 1751, 1394, 1568, 2895, 1667, 1633, 129, 1688]","[1788, 2026, 1751, 1394, 1568, 2895, 1667, 1633, 129, 1688, 2765, 1571, 3091, 1803, 2224, 1161, 1670, 3872, 2626, 2309, 1711, 2557, 2278, 2692, 3527]","[1788, 2026, 1751, 1394, 1568, 2895, 1667, 1633, 129, 1688, 2765, 1571, 3091, 1803, 2224, 1161, 1670, 3872, 2626, 2309, 1711, 2557, 2278, 2692, 3527, 2873, 923, 1728, 1832, 2389, 3186, 2427, 1476, 3515, 2349, 3295, 1770, 986, 1336, 779, 2745, 353, 1283, 1917, 2460, 3778, 3000, 1023, 308, 2253]","[1788, 2026, 1751, 1394, 1568, 2895, 1667, 1633, 129, 1688, 2765, 1571, 3091, 1803, 2224, 1161, 1670, 3872, 2626, 2309, 1711, 2557, 2278, 2692, 3527, 2873, 923, 1728, 1832, 2389, 3186, 2427, 1476, 3515, 2349, 3295, 1770, 986, 1336, 779, 2745, 353, 1283, 1917, 2460, 3778, 3000, 1023, 308, 2253, 2034, 809, 3006, 2637, 1586, 1708, 2697, 3498, 2862, 2101, 2422, 1950, 3702, 404, 3851, 2833, 3895, 1346, 301, 1850, 323, 2071, 3748, 3589, 3509, 87, 1657, 3238, 1507, 2301, 2535, 2177, 158, 1189, 882, 2780, 171, 141, 2522, 1361, 1317, 1605, 2021, 2675, 2377, 1017, 3384, 993, 2623, 3093]"
Alaska,"[3, 1, 502, 450, 377]","[3, 1, 502, 450, 377, 448, 500, 495, 205, 0]","[3, 1, 502, 450, 377, 448, 500, 495, 205, 0, 380, 12, 292, 214, 497, 454, 467, 496, 277, 195, 379, 499, 455, 468, 209]","[3, 1, 502, 450, 377, 448, 500, 495, 205, 0, 380, 12, 292, 214, 497, 454, 467, 496, 277, 195, 379, 499, 455, 468, 209, 376, 365, 494, 319, 474, 307, 124, 449, 208, 453, 334, 2, 501, 378, 384, 226, 487, 222, 456, 145, 103, 452, 433, 289, 407]","[3, 1, 502, 450, 377, 448, 500, 495, 205, 0, 380, 12, 292, 214, 497, 454, 467, 496, 277, 195, 379, 499, 455, 468, 209, 376, 365, 494, 319, 474, 307, 124, 449, 208, 453, 334, 2, 501, 378, 384, 226, 487, 222, 456, 145, 103, 452, 433, 289, 407, 184, 227, 382, 283, 296, 224, 451, 251, 471, 325, 498, 297, 206, 295, 375, 201, 215, 465, 6, 223, 48, 321, 426, 441, 298, 167, 287, 366, 256, 207, 400, 460, 71, 269, 229, 42, 15, 488, 464, 225, 437, 262, 391, 486, 216, 245, 316, 303, 320, 144]"
Arizona,"[491, 4317, 4108, 4657, 369]","[491, 4317, 4108, 4657, 369, 3163, 1763, 3869, 3347, 4216]","[491, 4317, 4108, 4657, 369, 3163, 1763, 3869, 3347, 4216, 3358, 1684, 4700, 4403, 1911, 0, 349, 2845, 3079, 351, 892, 4365, 2738, 3718, 4583]","[491, 4317, 4108, 4657, 369, 3163, 1763, 3869, 3347, 4216, 3358, 1684, 4700, 4403, 1911, 0, 349, 2845, 3079, 351, 892, 4365, 2738, 3718, 4583, 228, 47, 4223, 4515, 257, 3823, 916, 3750, 1160, 3943, 1511, 837, 2, 4329, 2570, 1529, 272, 2203, 1190, 38, 3353, 2873, 3389, 3093, 2130]","[491, 4317, 4108, 4657, 369, 3163, 1763, 3869, 3347, 4216, 3358, 1684, 4700, 4403, 1911, 0, 349, 2845, 3079, 351, 892, 4365, 2738, 3718, 4583, 228, 47, 4223, 4515, 257, 3823, 916, 3750, 1160, 3943, 1511, 837, 2, 4329, 2570, 1529, 272, 2203, 1190, 38, 3353, 2873, 3389, 3093, 2130, 2249, 847, 3216, 119, 4255, 3872, 4670, 666, 2613, 4710, 4087, 2155, 265, 3166, 4510, 3800, 3000, 1770, 2875, 1669, 3809, 1709, 4673, 4246, 3982, 2409, 4525, 1412, 149, 2830, 3325, 2268, 3123, 359, 3575, 2928, 4174, 254, 3383, 13, 3336, 651, 3519, 2654, 3265, 998, 3747, 2904, 4061, 199]"
Arkansas,"[143, 2179, 1981, 1631, 1327]","[143, 2179, 1981, 1631, 1327, 1252, 1829, 1878, 1258, 964]","[143, 2179, 1981, 1631, 1327, 1252, 1829, 1878, 1258, 964, 1268, 1364, 1663, 1943, 1135, 1057, 83, 1069, 1151, 1586, 960, 794, 1855, 501, 148]","[143, 2179, 1981, 1631, 1327, 1252, 1829, 1878, 1258, 964, 1268, 1364, 1663, 1943, 1135, 1057, 83, 1069, 1151, 1586, 960, 794, 1855, 501, 148, 2260, 1028, 2159, 1166, 1667, 745, 1950, 1334, 2044, 2111, 1537, 1520, 546, 2266, 2202, 643, 779, 202, 599, 1715, 2058, 1219, 1491, 29, 965]","[143, 2179, 1981, 1631, 1327, 1252, 1829, 1878, 1258, 964, 1268, 1364, 1663, 1943, 1135, 1057, 83, 1069, 1151, 1586, 960, 794, 1855, 501, 148, 2260, 1028, 2159, 1166, 1667, 745, 1950, 1334, 2044, 2111, 1537, 1520, 546, 2266, 2202, 643, 779, 202, 599, 1715, 2058, 1219, 1491, 29, 965, 1751, 1003, 1235, 1991, 606, 1601, 1062, 1443, 316, 74, 1345, 1636, 2132, 1274, 1368, 103, 1286, 951, 1406, 1210, 399, 172, 1739, 161, 256, 1766, 968, 534, 1807, 700, 2100, 1300, 306, 1623, 2097, 2160, 1272, 1172, 1277, 69, 288, 1359, 1292, 2269, 1510, 1140, 81, 2001, 1618, 1896]"
California,"[3536, 10555, 2931, 5987, 1997]","[3536, 10555, 2931, 5987, 1997, 13833, 10412, 20866, 20858, 14240]","[3536, 10555, 2931, 5987, 1997, 13833, 10412, 20866, 20858, 14240, 10530, 288, 3163, 18805, 24998, 17997, 3010, 2219, 10920, 2511, 2763, 14885, 3618, 15628, 2282]","[3536, 10555, 2931, 5987, 1997, 13833, 10412, 20866, 20858, 14240, 10530, 288, 3163, 18805, 24998, 17997, 3010, 2219, 10920, 2511, 2763, 14885, 3618, 15628, 2282, 11023, 15414, 18401, 2906, 17215, 1525, 23609, 12323, 11938, 23726, 22268, 14745, 14804, 18123, 10306, 11306, 3715, 10936, 11082, 3529, 14602, 2250, 17536, 20463, 13682]","[3536, 10555, 2931, 5987, 1997, 13833, 10412, 20866, 20858, 14240, 10530, 288, 3163, 18805, 24998, 17997, 3010, 2219, 10920, 2511, 2763, 14885, 3618, 15628, 2282, 11023, 15414, 18401, 2906, 17215, 1525, 23609, 12323, 11938, 23726, 22268, 14745, 14804, 18123, 10306, 11306, 3715, 10936, 11082, 3529, 14602, 2250, 17536, 20463, 13682, 3736, 2597, 21594, 19169, 4462, 16192, 17813, 24526, 25481, 15838, 10786, 24684, 4720, 17454, 3979, 19410, 6022, 16174, 12462, 14336, 15669, 1477, 15026, 22022, 14450, 8401, 11214, 18781, 17398, 18605, 13609, 7337, 19580, 3468, 851, 23210, 2915, 5908, 14042, 2440, 14848, 17171, 16697, 22933, 3774, 23953, 17258, 22819, 25327, 19307]"
Colorado,"[2177, 288, 1520, 675, 1586]","[2177, 288, 1520, 675, 1586, 2292, 1647, 3499, 2311, 1908]","[2177, 288, 1520, 675, 1586, 2292, 1647, 3499, 2311, 1908, 2650, 2383, 99, 3802, 1926, 1143, 1588, 150, 2856, 1627, 3388, 3087, 1111, 1099, 1901]","[2177, 288, 1520, 675, 1586, 2292, 1647, 3499, 2311, 1908, 2650, 2383, 99, 3802, 1926, 1143, 1588, 150, 2856, 1627, 3388, 3087, 1111, 1099, 1901, 2604, 2243, 1710, 3767, 3196, 490, 1433, 1030, 1078, 2134, 2838, 6, 654, 143, 3110, 390, 1129, 3642, 2344, 3920, 3728, 721, 989, 3967, 222]","[2177, 288, 1520, 675, 1586, 2292, 1647, 3499, 2311, 1908, 2650, 2383, 99, 3802, 1926, 1143, 1588, 150, 2856, 1627, 3388, 3087, 1111, 1099, 1901, 2604, 2243, 1710, 3767, 3196, 490, 1433, 1030, 1078, 2134, 2838, 6, 654, 143, 3110, 390, 1129, 3642, 2344, 3920, 3728, 721, 989, 3967, 222, 2888, 2174, 1553, 419, 573, 4005, 3786, 2086, 1145, 870, 3957, 2422, 2149, 3094, 312, 1852, 2754, 1240, 2491, 1886, 2704, 3864, 124, 786, 833, 3068, 3675, 3602, 2183, 1611, 887, 3415, 3891, 2664, 1918, 2946, 3006, 2255, 2695, 2328, 2469, 3595, 1134, 3935, 39, 3710, 1097, 3801, 3621, 3220]"
Connecticut,"[946, 1613, 2677, 1927, 1216]","[946, 1613, 2677, 1927, 1216, 633, 877, 1634, 534, 1457]","[946, 1613, 2677, 1927, 1216, 633, 877, 1634, 534, 1457, 984, 291, 1732, 2137, 485, 834, 650, 2177, 119, 2400, 1479, 1614, 2587, 346, 2253]","[946, 1613, 2677, 1927, 1216, 633, 877, 1634, 534, 1457, 984, 291, 1732, 2137, 485, 834, 650, 2177, 119, 2400, 1479, 1614, 2587, 346, 2253, 193, 2086, 2466, 878, 2453, 2435, 851, 764, 968, 77, 618, 809, 1303, 1674, 1893, 1755, 921, 215, 1084, 252, 123, 365, 1525, 493, 515]","[946, 1613, 2677, 1927, 1216, 633, 877, 1634, 534, 1457, 984, 291, 1732, 2137, 485, 834, 650, 2177, 119, 2400, 1479, 1614, 2587, 346, 2253, 193, 2086, 2466, 878, 2453, 2435, 851, 764, 968, 77, 618, 809, 1303, 1674, 1893, 1755, 921, 215, 1084, 252, 123, 365, 1525, 493, 515, 1290, 2215, 1961, 2391, 1027, 2031, 1709, 442, 842, 1731, 128, 2490, 1846, 1511, 1001, 2455, 556, 1228, 1811, 2148, 1615, 2358, 311, 2084, 267, 1421, 917, 2037, 1920, 796, 2123, 1092, 626, 1530, 80, 1407, 2186, 1553, 428, 953, 376, 2577, 965, 2370, 2169, 1199, 2619, 391, 853, 509]"
Delaware,"[673, 370, 13, 390, 222]","[673, 370, 13, 390, 222, 576, 321, 629, 410, 113]","[673, 370, 13, 390, 222, 576, 321, 629, 410, 113, 67, 567, 384, 596, 288, 181, 534, 62, 649, 41, 397, 414, 374, 361, 581]","[673, 370, 13, 390, 222, 576, 321, 629, 410, 113, 67, 567, 384, 596, 288, 181, 534, 62, 649, 41, 397, 414, 374, 361, 581, 403, 425, 198, 664, 307, 161, 15, 663, 391, 439, 613, 87, 432, 262, 282, 639, 491, 696, 303, 228, 678, 208, 337, 5, 60]","[673, 370, 13, 390, 222, 576, 321, 629, 410, 113, 67, 567, 384, 596, 288, 181, 534, 62, 649, 41, 397, 414, 374, 361, 581, 403, 425, 198, 664, 307, 161, 15, 663, 391, 439, 613, 87, 432, 262, 282, 639, 491, 696, 303, 228, 678, 208, 337, 5, 60, 17, 547, 598, 562, 199, 169, 43, 302, 218, 603, 505, 430, 469, 279, 367, 522, 182, 33, 445, 401, 647, 103, 556, 622, 64, 566, 290, 456, 315, 389, 2, 19, 311, 202, 383, 449, 572, 434, 341, 24, 45, 575, 555, 250, 85, 350, 1, 620, 563, 299]"
Florida,"[2403, 2704, 9551, 5431, 12455]","[2403, 2704, 9551, 5431, 12455, 7682, 1937, 2353, 6140, 5218]","[2403, 2704, 9551, 5431, 12455, 7682, 1937, 2353, 6140, 5218, 7393, 12321, 5606, 365, 3472, 2643, 5189, 2817, 11644, 3276, 2933, 2030, 4928, 3813, 6878]","[2403, 2704, 9551, 5431, 12455, 7682, 1937, 2353, 6140, 5218, 7393, 12321, 5606, 365, 3472, 2643, 5189, 2817, 11644, 3276, 2933, 2030, 4928, 3813, 6878, 5741, 12390, 259, 6411, 12409, 6949, 7535, 7713, 11431, 5975, 6162, 4649, 8657, 9803, 9449, 13203, 12164, 5391, 7488, 5472, 11381, 647, 8586, 5100, 7884]","[2403, 2704, 9551, 5431, 12455, 7682, 1937, 2353, 6140, 5218, 7393, 12321, 5606, 365, 3472, 2643, 5189, 2817, 11644, 3276, 2933, 2030, 4928, 3813, 6878, 5741, 12390, 259, 6411, 12409, 6949, 7535, 7713, 11431, 5975, 6162, 4649, 8657, 9803, 9449, 13203, 12164, 5391, 7488, 5472, 11381, 647, 8586, 5100, 7884, 8980, 6264, 4303, 9715, 7845, 7637, 6147, 4453, 11050, 3574, 10311, 11538, 10743, 3047, 10226, 5799, 4155, 10285, 12864, 3248, 8071, 9637, 1944, 3707, 12019, 9892, 4462, 11505, 284, 11792, 8666, 2390, 5876, 8894, 5290, 3719, 2230, 2093, 8193, 8282, 1910, 9529, 4642, 4950, 6126, 12903, 5345, 11420, 2859, 5154]"
Georgia,"[1527, 3607, 4617, 3935, 4423]","[1527, 3607, 4617, 3935, 4423, 3840, 983, 2634, 1385, 1293]","[1527, 3607, 4617, 3935, 4423, 3840, 983, 2634, 1385, 1293, 4759, 841, 3579, 6654, 1069, 6312, 1415, 4936, 4773, 885, 4176, 1838, 1310, 5311, 6025]","[1527, 3607, 4617, 3935, 4423, 3840, 983, 2634, 1385, 1293, 4759, 841, 3579, 6654, 1069, 6312, 1415, 4936, 4773, 885, 4176, 1838, 1310, 5311, 6025, 1626, 1747, 1049, 2453, 3260, 4610, 1447, 2631, 916, 2034, 5261, 1918, 5085, 4422, 2284, 6866, 1275, 7135, 5827, 3480, 3934, 292, 7300, 4930, 3946]","[1527, 3607, 4617, 3935, 4423, 3840, 983, 2634, 1385, 1293, 4759, 841, 3579, 6654, 1069, 6312, 1415, 4936, 4773, 885, 4176, 1838, 1310, 5311, 6025, 1626, 1747, 1049, 2453, 3260, 4610, 1447, 2631, 916, 2034, 5261, 1918, 5085, 4422, 2284, 6866, 1275, 7135, 5827, 3480, 3934, 292, 7300, 4930, 3946, 1201, 4858, 2700, 2867, 3121, 947, 4065, 6840, 4017, 5380, 6676, 724, 4433, 7118, 1654, 1072, 6854, 1894, 2358, 1444, 4996, 3866, 3711, 1530, 856, 4672, 3282, 1246, 4789, 6036, 1272, 2754, 4807, 4707, 2717, 4117, 4295, 7373, 3551, 6511, 6402, 4633, 1971, 4900, 3163, 2878, 1663, 2972, 1501, 2525]"
