State,5,10,25,50,100
Alabama,"[1667, 1770, 1803, 2895, 1688]","[1667, 1770, 1803, 2895, 1688, 1633, 2765, 1711, 2034, 1788]","[1667, 1770, 1803, 2895, 1688, 1633, 2765, 1711, 2034, 1788, 1571, 1832, 2697, 141, 1917, 2349, 2623, 3186, 3093, 2422, 3515, 2301, 923, 1309, 1023]","[1667, 1770, 1803, 2895, 1688, 1633, 2765, 1711, 2034, 1788, 1571, 1832, 2697, 141, 1917, 2349, 2623, 3186, 3093, 2422, 3515, 2301, 923, 1309, 1023, 1283, 3589, 3851, 2833, 1950, 3873, 2219, 301, 2097, 2229, 3895, 2751, 3775, 2883, 1605, 329, 87, 1502, 3295, 352, 2274, 3702, 1017, 1404, 2558]","[1667, 1770, 1803, 2895, 1688, 1633, 2765, 1711, 2034, 1788, 1571, 1832, 2697, 141, 1917, 2349, 2623, 3186, 3093, 2422, 3515, 2301, 923, 1309, 1023, 1283, 3589, 3851, 2833, 1950, 3873, 2219, 301, 2097, 2229, 3895, 2751, 3775, 2883, 1605, 329, 87, 1502, 3295, 352, 2274, 3702, 1017, 1404, 2558, 2177, 2693, 2438, 1159, 775, 3343, 1041, 1554, 537, 153, 3230, 1695, 1568, 2848, 3488, 292, 1188, 39, 808, 1452, 1582, 3118, 3379, 3507, 312, 3000, 2811, 3394, 2372, 3525, 2377, 1866, 2637, 2510, 2001, 2388, 3668, 1878, 215, 2522, 859, 1627, 989, 2782, 737, 3433, 1775, 1392, 2938, 1659]"
Alaska,"[1, 450, 3, 214, 377]","[1, 450, 3, 214, 377, 448, 205, 495, 496, 499]","[1, 450, 3, 214, 377, 448, 205, 495, 496, 499, 0, 453, 454, 455, 365, 208, 209, 497, 468, 501, 502, 378, 380, 222, 319]","[1, 450, 3, 214, 377, 448, 205, 495, 496, 499, 0, 453, 454, 455, 365, 208, 209, 497, 468, 501, 502, 378, 380, 222, 319, 384, 2, 15, 145, 277, 408, 283, 292, 303, 433, 449, 195, 451, 452, 334, 467, 471, 474, 224, 226, 227, 251, 376, 379, 124]","[1, 450, 3, 214, 377, 448, 205, 495, 496, 499, 0, 453, 454, 455, 365, 208, 209, 497, 468, 501, 502, 378, 380, 222, 319, 384, 2, 15, 145, 277, 408, 283, 292, 303, 433, 449, 195, 451, 452, 334, 467, 471, 474, 224, 226, 227, 251, 376, 379, 124, 256, 387, 6, 262, 139, 272, 17, 400, 413, 287, 289, 167, 40, 295, 296, 297, 298, 426, 183, 184, 318, 192, 321, 324, 325, 71, 327, 201, 456, 206, 465, 466, 215, 216, 344, 93, 223, 96, 225, 354, 356, 486, 487, 360, 105, 488, 489, 244, 375, 382]"
Arizona,"[3872, 257, 4108, 3163, 349]","[3872, 257, 4108, 3163, 349, 0, 491, 369, 4216, 4317]","[3872, 257, 4108, 3163, 349, 0, 491, 369, 4216, 4317, 1763, 4510, 837, 38, 4670, 47, 3823, 2738, 4403, 1911, 3352, 3354, 4700, 2846, 351]","[3872, 257, 4108, 3163, 349, 0, 491, 369, 4216, 4317, 1763, 4510, 837, 38, 4670, 47, 3823, 2738, 4403, 1911, 3352, 3354, 4700, 2846, 351, 3718, 2570, 13, 145, 1685, 3093, 666, 2203, 3747, 1190, 946, 2613, 3000, 2875, 3389, 3519, 2881, 1106, 3167, 3809, 4329, 2155, 4087, 3325, 4223]","[3872, 257, 4108, 3163, 349, 0, 491, 369, 4216, 4317, 1763, 4510, 837, 38, 4670, 47, 3823, 2738, 4403, 1911, 3352, 3354, 4700, 2846, 351, 3718, 2570, 13, 145, 1685, 3093, 666, 2203, 3747, 1190, 946, 2613, 3000, 2875, 3389, 3519, 2881, 1106, 3167, 3809, 4329, 2155, 4087, 3325, 4223, 4, 1671, 264, 1929, 266, 3336, 3216, 4241, 4372, 3995, 4257, 3875, 4008, 429, 2350, 4526, 3123, 1077, 1845, 3383, 3135, 3265, 1090, 3784, 2249, 3912, 4681, 4174, 4563, 2131, 4052, 3799, 2904, 4061, 2654, 2018, 614, 998, 2409, 4585, 1771, 1517, 366, 1902, 2157, 2928, 3694, 4208, 1401, 890]"
Arkansas,"[2179, 1829, 1327, 143, 1981]","[2179, 1829, 1327, 143, 1981, 1631, 1135, 1364, 1943, 1663]","[2179, 1829, 1327, 143, 1981, 1631, 1135, 1364, 1943, 1663, 965, 1062, 2202, 745, 74, 1166, 2160, 148, 501, 2260, 1272, 794, 2269, 1950, 1855]","[2179, 1829, 1327, 143, 1981, 1631, 1135, 1364, 1943, 1663, 965, 1062, 2202, 745, 74, 1166, 2160, 148, 501, 2260, 1272, 794, 2269, 1950, 1855, 643, 1286, 2058, 1549, 399, 1807, 161, 1057, 1443, 1715, 313, 1210, 1601, 69, 1991, 1359, 1235, 2132, 1368, 2266, 606, 1140, 1148, 1277, 1406]","[2179, 1829, 1327, 143, 1981, 1631, 1135, 1364, 1943, 1663, 965, 1062, 2202, 745, 74, 1166, 2160, 148, 501, 2260, 1272, 794, 2269, 1950, 1855, 643, 1286, 2058, 1549, 399, 1807, 161, 1057, 1443, 1715, 313, 1210, 1601, 69, 1991, 1359, 1235, 2132, 1368, 2266, 606, 1140, 1148, 1277, 1406, 256, 1793, 1026, 136, 1291, 1419, 1037, 784, 18, 2196, 1686, 919, 537, 796, 29, 1694, 927, 545, 1317, 39, 1961, 1579, 172, 1836, 2220, 2045, 306, 946, 821, 1080, 2234, 1342, 706, 1602, 463, 1490, 211, 1751, 344, 476, 220, 1121, 1891, 2147, 870, 103, 622, 1392, 1916, 125]"
California,"[20866, 13833, 3536, 20858, 10555]","[20866, 13833, 3536, 20858, 10555, 10530, 14885, 2219, 3157, 23609]","[20866, 13833, 3536, 20858, 10555, 10530, 14885, 2219, 3157, 23609, 3010, 10786, 1477, 21594, 2250, 10936, 11023, 13682, 10387, 15026, 2936, 2906, 15100, 18781, 15838]","[20866, 13833, 3536, 20858, 10555, 10530, 14885, 2219, 3157, 23609, 3010, 10786, 1477, 21594, 2250, 10936, 11023, 13682, 10387, 15026, 2936, 2906, 15100, 18781, 15838, 6022, 3979, 3728, 23953, 17171, 3618, 22268, 23210, 15413, 15669, 23740, 10306, 1989, 3529, 2763, 18123, 14926, 19410, 11478, 11485, 16094, 1130, 2539, 14450, 18044]","[20866, 13833, 3536, 20858, 10555, 10530, 14885, 2219, 3157, 23609, 3010, 10786, 1477, 21594, 2250, 10936, 11023, 13682, 10387, 15026, 2936, 2906, 15100, 18781, 15838, 6022, 3979, 3728, 23953, 17171, 3618, 22268, 23210, 15413, 15669, 23740, 10306, 1989, 3529, 2763, 18123, 14926, 19410, 11478, 11485, 16094, 1130, 2539, 14450, 18044, 14336, 12418, 1670, 13326, 4496, 21652, 15765, 22933, 11800, 22042, 23963, 1532, 18426, 22819, 7337, 13609, 1837, 16173, 17454, 19128, 3897, 16697, 25018, 3774, 24511, 11214, 18638, 13392, 14673, 19580, 851, 18899, 24526, 14042, 23774, 19169, 1257, 17258, 20459, 3180, 20841, 24686, 24810, 9713, 370, 12021, 11895, 15226, 12156, 19325]"
Colorado,"[2311, 1647, 1908, 2650, 2174]","[2311, 1647, 1908, 2650, 2174, 675, 3499, 2383, 1588, 1111]","[2311, 1647, 1908, 2650, 2174, 675, 3499, 2383, 1588, 1111, 99, 2344, 1097, 1129, 2856, 2604, 1710, 3087, 2292, 1078, 2838, 2134, 1145, 3196, 1918]","[2311, 1647, 1908, 2650, 2174, 675, 3499, 2383, 1588, 1111, 99, 2344, 1097, 1129, 2856, 2604, 1710, 3087, 2292, 1078, 2838, 2134, 1145, 3196, 1918, 390, 2704, 1553, 3220, 153, 4005, 3382, 3767, 3643, 2491, 1852, 833, 2888, 2255, 721, 2261, 3801, 3675, 1886, 870, 1522, 3957, 887, 3710, 3967]","[2311, 1647, 1908, 2650, 2174, 675, 3499, 2383, 1588, 1111, 99, 2344, 1097, 1129, 2856, 2604, 1710, 3087, 2292, 1078, 2838, 2134, 1145, 3196, 1918, 390, 2704, 1553, 3220, 153, 4005, 3382, 3767, 3643, 2491, 1852, 833, 2888, 2255, 721, 2261, 3801, 3675, 1886, 870, 1522, 3957, 887, 3710, 3967, 2946, 1027, 1927, 2569, 3211, 3598, 3728, 146, 1810, 3348, 280, 3996, 2079, 34, 1699, 932, 2467, 3235, 3363, 3874, 428, 2093, 1582, 2477, 2990, 2739, 2235, 1084, 2879, 3008, 1858, 3906, 3653, 591, 3025, 3921, 2132, 1621, 474, 1373, 3934, 1637, 2021, 2149, 2535, 2803, 244, 1268, 2422, 121]"
Connecticut,"[1927, 877, 1614, 984, 633]","[1927, 877, 1614, 984, 633, 1634, 291, 485, 650, 2137]","[1927, 877, 1614, 984, 633, 1634, 291, 485, 650, 2137, 2400, 2466, 2435, 2086, 1479, 809, 618, 77, 878, 1460, 2453, 2678, 1303, 2169, 252]","[1927, 877, 1614, 984, 633, 1634, 291, 485, 650, 2137, 2400, 2466, 2435, 2086, 1479, 809, 618, 77, 878, 1460, 2453, 2678, 1303, 2169, 252, 1674, 267, 1035, 1553, 2577, 1811, 148, 796, 1967, 311, 2488, 953, 442, 1092, 965, 2123, 1615, 853, 1511, 1001, 491, 626, 2037, 1530, 509]","[1927, 877, 1614, 984, 633, 1634, 291, 485, 650, 2137, 2400, 2466, 2435, 2086, 1479, 809, 618, 77, 878, 1460, 2453, 2678, 1303, 2169, 252, 1674, 267, 1035, 1553, 2577, 1811, 148, 796, 1967, 311, 2488, 953, 442, 1092, 965, 2123, 1615, 853, 1511, 1001, 491, 626, 2037, 1530, 509, 1920, 2693, 518, 2055, 141, 1935, 1043, 533, 919, 1432, 2329, 1951, 547, 2596, 43, 176, 2097, 1590, 59, 1470, 575, 1598, 705, 2370, 196, 1860, 1608, 2254, 722, 1235, 1364, 2644, 2392, 2520, 2267, 477, 1887, 1248, 609, 2015, 2147, 1636, 869, 2027, 1009, 374, 1786, 892, 2557, 1407]"
Delaware,"[384, 576, 361, 13, 222]","[384, 576, 361, 13, 222, 321, 67, 613, 389, 566]","[384, 576, 361, 13, 222, 321, 67, 613, 389, 566, 581, 199, 647, 43, 397, 664, 303, 432, 337, 403, 182, 279, 87, 534, 598]","[384, 576, 361, 13, 222, 321, 67, 613, 389, 566, 581, 199, 647, 43, 397, 664, 303, 432, 337, 403, 182, 279, 87, 534, 598, 5, 264, 401, 414, 673, 290, 547, 302, 430, 562, 307, 315, 59, 445, 64, 456, 586, 469, 228, 104, 491, 620, 373, 505, 638]","[384, 576, 361, 13, 222, 321, 67, 613, 389, 566, 581, 199, 647, 43, 397, 664, 303, 432, 337, 403, 182, 279, 87, 534, 598, 5, 264, 401, 414, 673, 290, 547, 302, 430, 562, 307, 315, 59, 445, 64, 456, 586, 469, 228, 104, 491, 620, 373, 505, 638, 512, 132, 388, 390, 263, 522, 11, 269, 19, 25, 410, 285, 159, 33, 545, 293, 41, 298, 556, 557, 176, 435, 564, 310, 56, 440, 186, 572, 61, 190, 63, 72, 73, 202, 458, 596, 341, 88, 219, 351, 479, 609, 354, 249, 485, 363, 238, 622, 121, 382]"
Florida,"[5218, 1937, 2353, 5431, 12409]","[5218, 1937, 2353, 5431, 12409, 12321, 5189, 12390, 3276, 2030]","[5218, 1937, 2353, 5431, 12409, 12321, 5189, 12390, 3276, 2030, 2817, 4642, 12164, 11431, 9449, 362, 5482, 9803, 6162, 13203, 11381, 5975, 6264, 2490, 284]","[5218, 1937, 2353, 5431, 12409, 12321, 5189, 12390, 3276, 2030, 2817, 4642, 12164, 11431, 9449, 362, 5482, 9803, 6162, 13203, 11381, 5975, 6264, 2490, 284, 647, 12046, 11792, 2710, 9631, 10743, 9892, 2093, 3248, 4155, 12864, 10956, 11472, 6097, 2390, 8674, 4453, 3047, 5098, 6126, 10226, 5876, 2933, 1910, 3574]","[5218, 1937, 2353, 5431, 12409, 12321, 5189, 12390, 3276, 2030, 2817, 4642, 12164, 11431, 9449, 362, 5482, 9803, 6162, 13203, 11381, 5975, 6264, 2490, 284, 647, 12046, 11792, 2710, 9631, 10743, 9892, 2093, 3248, 4155, 12864, 10956, 11472, 6097, 2390, 8674, 4453, 3047, 5098, 6126, 10226, 5876, 2933, 1910, 3574, 6400, 5257, 3724, 11532, 10894, 3471, 3990, 5403, 9756, 11806, 11679, 8224, 6945, 5667, 12715, 2220, 10285, 8369, 2871, 5048, 12347, 12476, 5824, 11200, 5058, 8898, 4424, 2122, 4682, 2764, 2637, 342, 5335, 10328, 12120, 8282, 9050, 10077, 222, 3424, 2401, 11109, 4199, 8170, 7660, 9585, 8312, 12025, 5626, 11516]"
Georgia,"[4610, 1385, 2634, 3579, 3934]","[4610, 1385, 2634, 3579, 3934, 1293, 1069, 947, 4858, 6654]","[4610, 1385, 2634, 3579, 3934, 1293, 1069, 947, 4858, 6654, 3841, 4707, 2629, 1447, 1864, 4936, 3629, 5261, 1530, 916, 885, 1049, 1626, 3260, 1918]","[4610, 1385, 2634, 3579, 3934, 1293, 1069, 947, 4858, 6654, 3841, 4707, 2629, 1447, 1864, 4936, 3629, 5261, 1530, 916, 885, 1049, 1626, 3260, 1918, 2700, 2447, 4117, 4633, 4900, 3121, 2867, 1333, 3893, 4789, 1208, 1726, 5311, 4807, 4176, 977, 3282, 4433, 5079, 856, 2780, 4065, 3946, 2036, 1663]","[4610, 1385, 2634, 3579, 3934, 1293, 1069, 947, 4858, 6654, 3841, 4707, 2629, 1447, 1864, 4936, 3629, 5261, 1530, 916, 885, 1049, 1626, 3260, 1918, 2700, 2447, 4117, 4633, 4900, 3121, 2867, 1333, 3893, 4789, 1208, 1726, 5311, 4807, 4176, 977, 3282, 4433, 5079, 856, 2780, 4065, 3946, 2036, 1663, 6402, 6147, 3845, 4862, 143, 6030, 6290, 6676, 1431, 2586, 5405, 926, 1183, 3488, 5023, 674, 5283, 6182, 4010, 427, 3761, 6835, 308, 2108, 5564, 4159, 4671, 1091, 2372, 3141, 5189, 4295, 5831, 6217, 5578, 6854, 6866, 724, 3159, 2907, 1630, 7135, 2016, 1505, 1258, 5487, 624, 4081, 4474, 1406]"
