,GEOID,Longitude,Latitude
2024,191550306022,-95.87764151840643,41.25954311518348
2616,191930011005,-96.39781302496344,42.51868212661001
2111,191630101042,-90.3527064948054,41.596852031194295
1282,191130029002,-91.66371332040512,41.95254556430486
1986,191550216031,-95.6075374877098,41.39922072094278
2139,191630109002,-90.58310511821908,41.52228836042861
2497,191850703001,-93.27335726616332,40.6456241547456
1300,191130101003,-91.5331590669938,42.280591325415536
2401,191779502002,-92.1319026104763,40.66593866429834
576,190570009002,-91.13117222777738,40.82992515876989
1786,191530047011,-93.6590357464127,41.51885678498413
915,190979503004,-90.3956381236896,42.0511706753145
397,190430705001,-91.26061419477271,42.71451484896132
2645,191930020005,-96.36936618379988,42.47451397981436
102,190130017012,-92.33044543561668,42.51622091133905
2028,191550307003,-95.8610363431368,41.25947453444772
1771,191530044004,-93.60000268406516,41.55226176565086
1723,191530021001,-93.56458142384008,41.59899054756917
1029,191030018011,-91.5009206560165,41.63488556289876
61,190130002001,-92.34790878117224,42.48645208989525
2436,191799610002,-92.42448342222842,40.99516403498789
2179,191630125012,-90.62305881428485,41.54945329368806
32,190079505001,-93.01002962545157,40.66785733845855
2604,191930008001,-96.41642319077847,42.50801998253456
1658,191530004005,-93.60448324364232,41.63043174521327
2007,191550304011,-95.89902702674638,41.26559169389676
107,190130019002,-92.31055513915923,42.50053241730762
730,190674801003,-92.6350766777778,43.15684783773591
2615,191930011004,-96.39756315807176,42.51486740810544
1290,191130030043,-91.66325844219404,41.92119795092054
2332,191690013044,-93.6680604001544,42.02159952221554
505,190490509012,-93.88203574894663,41.603875463760126
1209,191130008001,-91.65241175529232,42.02539075836019
1907,191530110251,-93.76360412726945,41.58009694072029
1248,191130016003,-91.61334935361025,41.97977903573221
68,190130005002,-92.34985913319056,42.50960431452811
1762,191530042002,-93.61820951863773,41.569789667031024
1303,191130102003,-91.74126626664328,42.18375595493337
2211,191630131001,-90.53056613774947,41.53701308655797
2036,191550310002,-95.84304599901778,41.251961782228726
1973,191550212002,-95.91114638798402,41.29774972282837
1664,191530006001,-93.62720918215489,41.63222000290204
680,190610102023,-90.94079727321248,42.446631175518974
511,190510801003,-92.30402184207212,40.6658900287864
961,190990409002,-92.80608170857316,41.556455235110654
956,190990408002,-93.1200771091173,41.52047411882965
1158,191114910003,-91.39114804349424,40.39608903105379
77,190130010003,-92.32634912442096,42.4729671598015
1796,191530049002,-93.6228695873282,41.61048613742242
543,190570002001,-91.10606923750008,40.81753618414634
514,190510802001,-92.5784546946922,40.74285215740365
1439,191279505002,-92.88897070494215,42.061040458583626
1694,191530009011,-93.7007373120234,41.6110190742732
2642,191930020002,-96.35583601535652,42.46893767522271
2618,191930012002,-96.39862558399376,42.50552024081611
455,190470703001,-95.5994871489819,42.07705882853218
111,190130020003,-92.27579473599924,42.46936897604685
516,190510802003,-92.4707029595206,40.677687347934494
907,190979501003,-90.8385252274864,42.068147755317376
2130,191630106001,-90.56393098679358,41.52952746503151
992,191030003072,-91.59144430486916,41.681845988596
2623,191930014002,-96.42709843067622,42.49857749683436
2574,191930001003,-96.37200415089156,42.5019735069618
905,190979501001,-90.73549381310669,42.23408089858588
2673,191930035003,-96.11797209508217,42.31115394975028
2091,191610801004,-95.29887813411354,42.49662531513993
1217,191130009022,-91.67187928119456,42.00688512512057
2469,191810211003,-93.38337098402543,41.28854026437444
1499,191339604002,-95.84418483678596,41.91321654586813
1683,191530008013,-93.68358568547936,41.64013592911875
1985,191550216022,-95.60383227528598,41.21025554683457
2399,191779501005,-91.77314541649042,40.72412496404284
1096,191070802003,-92.35483463613114,41.4260808712824
1942,191530112051,-93.7372618637078,41.6108132393595
2124,191630104013,-90.74841493341668,41.48127805664161
1268,191130024001,-91.69031807502174,41.96689152431909
725,190650807002,-92.02160453930593,43.031813051975895
1845,191530102162,-93.5906785203801,41.75359189088295
1436,191279504003,-92.83925779899728,41.91633586835265
1060,191030104011,-91.54762602142712,41.63517290542482
96,190130015031,-92.38106601048106,42.50156388898799
1222,191130010013,-91.73910790581638,42.004571755157016
2473,191810212003,-93.73173462254236,41.2080890144392
1789,191530047014,-93.63079798330912,41.51878665968104
453,190470702002,-95.38770470204103,42.13174603270007
1064,191030104022,-91.7695897323406,41.56093218917068
1807,191530052001,-93.58942721158547,41.59682889194964
2522,191870007003,-94.1873768750814,42.50507201636375
1063,191030104021,-91.6507365710559,41.56064306316837
1679,191530007043,-93.66918116388524,41.63827668084593
2407,191799601004,-92.61316587715764,41.15617715238307
2305,191690007003,-93.65718244437149,42.02686457770691
1032,191030018014,-91.50788365404924,41.63518235003434
786,190799602001,-93.64328096063956,42.305785739281546
2302,191690006005,-93.68874853916668,42.02869876689203
1449,191279507003,-92.9243135164212,42.055506688930414
547,190570003001,-91.13672362116462,40.82393859303287
2599,191930006003,-96.48197006956354,42.51594065536156
460,190470704021,-95.3509876910474,42.02122145062646
404,190450001003,-90.18856887629651,41.84153074681028
