,GEOID,Longitude,Latitude
2978,450830223032,-81.85835619301234,35.14187100284343
1796,450510507002,-78.890974326824,33.69061001496066
199,450070104033,-82.47204489717734,34.609600827687736
340,450130005013,-80.78175663708907,32.4346173812014
1429,450450020033,-82.40461322949521,34.759702946480566
2242,450630210521,-81.20970113522289,33.923579887227305
516,450150207252,-79.99167928231468,32.968812902082675
495,450150207163,-80.1060355560795,33.019739296635265
1115,450350106072,-80.20591017209043,33.00920708825319
3101,450850002012,-80.49724214155006,33.98679571817234
1602,450450033043,-82.33817426213005,34.73762233056143
229,450070110012,-82.75756085778464,34.527417288571634
2218,450630210331,-81.1705971113888,33.95146806634206
78,450030211011,-81.8281215659634,33.504988339007895
2703,450790103054,-81.20094138586583,34.10855018760474
1200,450399604014,-81.0959012140548,34.383488606274184
1779,450510405003,-78.72396599418816,33.79973451202311
1492,450450026062,-82.31404515511035,34.972346119821324
2008,450570106001,-80.7574408982475,34.68549905655129
2611,450770112051,-82.84443874560036,34.68759445986093
119,450030217004,-81.32938902081332,33.67999306214542
1816,450510514042,-78.98004577828975,33.62036051774887
3162,450850018034,-80.45790452734464,33.949986658228426
2268,450630212051,-81.37679387773916,34.08736540529439
1150,450350108183,-80.10473742051212,32.924165665154334
518,450150208041,-80.01414745366762,32.976350162061536
777,450190047012,-79.8645486276041,32.783295573147065
787,450190049023,-79.7647199575768,32.798937013472724
2835,450790116063,-80.90692973544891,33.97287010559466
677,450190031063,-80.13100411592305,33.00308544388264
935,450279601002,-79.98763591709795,33.8699783585303
424,450130111003,-80.71643420716323,32.17940412543867
1832,450510516033,-79.05090226118391,33.63956557423691
2225,450630210362,-81.27291033606497,33.89264227392566
3250,450910604022,-81.04462977185425,34.899662291700565
2103,450599210023,-81.96262780766216,34.24571930541839
1468,450450024052,-82.27570674987736,35.01715683808346
1855,450510602041,-78.9561794796338,33.71369593732245
2369,450719503001,-81.61856656713661,34.510668398014104
195,450070103003,-82.47407809929068,34.64330023277674
841,450219704031,-81.51918534392978,35.10124862052164
1866,450510602101,-78.90696545877186,33.73144707116947
1107,450350106032,-80.23983816379267,33.04134200922783
3283,450910609111,-81.0559582538978,35.00740398492822
2781,450790113054,-80.94064065882698,34.048226464118635
2667,450790026054,-80.98049997371649,33.97861981035115
2167,450630207031,-81.13227170287314,33.90310255853267
3320,450910612022,-80.88572266357377,34.89783115548676
1915,450510801012,-79.1353403179849,34.027495930042875
1790,450510505001,-78.8607272601544,33.72636644291597
2433,450730309011,-83.08155652837111,34.57871903604262
1922,450519801001,-78.93023706791736,33.6782351523559
2561,450770106043,-82.53846309438502,34.85975757472588
1157,450350108202,-80.09617017702377,32.90047689080896
2821,450790114242,-80.87486294613352,34.1544948214757
2056,450599201071,-82.17443801233638,34.56424640379169
2826,450790115022,-80.92334175480406,34.013207812304174
523,450150208072,-80.0185781224325,33.01703087366236
399,450130101002,-80.80491563351625,32.12556737138146
2962,450830220062,-81.98316564300421,34.893494994682044
275,450070119014,-82.65565501840108,34.45176417423325
659,450190027022,-80.00066149915692,32.787821611931435
2451,450750101032,-80.27549022355048,33.42456271530212
2707,450790103082,-81.1756930145574,34.13581037763309
2199,450630210191,-81.17087259592147,33.993278704334784
1432,450450020053,-82.38325514358705,34.782792955316374
3096,450830239023,-81.74384795655088,34.909454197584324
1946,450559702002,-80.4995186489389,34.46005008722532
2973,450830222021,-81.80668955367211,35.02693179361074
928,450259507013,-80.14853126412275,34.58166040860672
1570,450450030123,-82.278444519139,34.723987717344976
1187,450399601002,-81.3078282501239,34.349589041346775
168,450070008003,-82.6771391195219,34.50799914794183
1450,450450022041,-82.44236273751685,34.8649479752871
2346,450699603013,-79.6724064932161,34.62812992027038
2996,450830224071,-82.04656893486798,35.114173675201066
2230,450630210411,-81.31242907778169,33.936533257096215
1211,450410001023,-79.87530448667121,34.17941133994985
1600,450450033041,-82.32893743768692,34.68301718088773
3011,450830226003,-82.1958954441599,35.163309881881744
1221,450410004001,-79.69371633413236,34.20279441065274
334,450130003001,-80.79959080058359,32.46611468566635
591,450190020042,-79.96460659749539,32.643595350129765
1103,450350105071,-80.23811679387214,32.989320731550904
2263,450630211161,-81.20321724898119,34.07424857872244
219,450070107022,-82.7644392367271,34.63008693194467
2395,450730302012,-82.98092883606697,34.889128877627925
2016,450570108002,-80.78687881535218,34.71728757505199
3041,450830231014,-82.10544718414621,34.920877574409595
3298,450910610074,-80.92726026197556,35.07867981441729
1255,450410014002,-79.78407986858949,34.164572786239695
1128,450350108081,-80.18514438911835,32.988722876676626
364,450130011012,-80.55583197023739,32.42524909033396
1774,450510403003,-78.65302136511728,33.830928763871256
2673,450790028003,-81.02628034619339,33.990275532663006
626,450190024011,-80.3316263173693,32.673949780207835
2422,450730307013,-82.93351042801274,34.68052721669184
1528,450450028144,-82.20887458493934,34.831529760722816
2173,450630207062,-81.07207781308537,33.89193194863902
1406,450450018052,-82.3389305548956,34.89057497003877
