State,5,10,25,50,100
Alabama,"[992, 1568, 1061, 2278, 2071]","[992, 1568, 1061, 2278, 2071, 1507, 2021, 2895, 2460, 3869]","[992, 1568, 1061, 2278, 2071, 1507, 2021, 2895, 2460, 3869, 2626, 2692, 1576, 3498, 779, 3275, 2862, 3120, 50, 1396, 2389, 3796, 2743, 986, 3773]","[992, 1568, 1061, 2278, 2071, 1507, 2021, 2895, 2460, 3869, 2626, 2692, 1576, 3498, 779, 3275, 2862, 3120, 50, 1396, 2389, 3796, 2743, 986, 3773, 1794, 1415, 3857, 158, 1189, 3238, 809, 1450, 1071, 1586, 308, 1460, 3509, 3258, 1728, 2253, 3149, 464, 1361, 1501, 2914, 1900, 2928, 2675, 3323]","[992, 1568, 1061, 2278, 2071, 1507, 2021, 2895, 2460, 3869, 2626, 2692, 1576, 3498, 779, 3275, 2862, 3120, 50, 1396, 2389, 3796, 2743, 986, 3773, 1794, 1415, 3857, 158, 1189, 3238, 809, 1450, 1071, 1586, 308, 1460, 3509, 3258, 1728, 2253, 3149, 464, 1361, 1501, 2914, 1900, 2928, 2675, 3323, 255, 1667, 2563, 1159, 137, 141, 1299, 276, 150, 3606, 1816, 3097, 1690, 27, 3228, 1314, 2211, 2551, 3748, 3110, 3876, 307, 2101, 1848, 2233, 2873, 956, 2748, 2242, 3912, 3153, 477, 863, 224, 2913, 2276, 741, 2793, 2028, 3054, 1007, 1392, 3569, 1139, 3317, 1014, 247, 2427, 2684, 767]"
Alaska,"[448, 1, 450, 3, 502]","[448, 1, 450, 3, 502, 0, 289, 467, 376, 474]","[448, 1, 450, 3, 502, 0, 289, 467, 376, 474, 449, 325, 454, 456, 490, 205, 495, 497, 501, 214, 377, 379, 380, 222, 319]","[448, 1, 450, 3, 502, 0, 289, 467, 376, 474, 449, 325, 454, 456, 490, 205, 495, 497, 501, 214, 377, 379, 380, 222, 319, 2, 5, 292, 296, 441, 452, 453, 455, 460, 206, 208, 209, 468, 227, 487, 365, 366, 494, 496, 498, 499, 500, 375, 378, 382]","[448, 1, 450, 3, 502, 0, 289, 467, 376, 474, 449, 325, 454, 456, 490, 205, 495, 497, 501, 214, 377, 379, 380, 222, 319, 2, 5, 292, 296, 441, 452, 453, 455, 460, 206, 208, 209, 468, 227, 487, 365, 366, 494, 496, 498, 499, 500, 375, 378, 382, 384, 258, 131, 4, 7, 391, 12, 269, 271, 276, 407, 26, 283, 287, 295, 297, 298, 48, 433, 437, 315, 316, 443, 445, 446, 320, 65, 321, 447, 451, 201, 334, 207, 464, 465, 210, 213, 215, 471, 473, 219, 476, 223, 224, 225, 226, 351, 228, 488, 492]"
Arizona,"[4108, 369, 3347, 4216, 3163]","[4108, 369, 3347, 4216, 3163, 257, 3, 228, 61, 349]","[4108, 369, 3347, 4216, 3163, 257, 3, 228, 61, 349, 3166, 4581, 3353, 4709, 8, 265, 3343, 272, 3800, 24, 2873, 380, 3325, 254, 351]","[4108, 369, 3347, 4216, 3163, 257, 3, 228, 61, 349, 3166, 4581, 3353, 4709, 8, 265, 3343, 272, 3800, 24, 2873, 380, 3325, 254, 351, 256, 3336, 13, 3217, 4243, 3869, 3872, 296, 1577, 312, 4536, 2875, 320, 3164, 1628, 482, 2022, 359, 3817, 1770, 4329, 108, 3958, 4343, 377]","[4108, 369, 3347, 4216, 3163, 257, 3, 228, 61, 349, 3166, 4581, 3353, 4709, 8, 265, 3343, 272, 3800, 24, 2873, 380, 3325, 254, 351, 256, 3336, 13, 3217, 4243, 3869, 3872, 296, 1577, 312, 4536, 2875, 320, 3164, 1628, 482, 2022, 359, 3817, 1770, 4329, 108, 3958, 4343, 377, 1, 2, 258, 1667, 3331, 6, 266, 11, 4365, 528, 4240, 4498, 19, 3348, 149, 22, 4117, 4253, 4383, 4511, 38, 3369, 3504, 3510, 4666, 3388, 3774, 191, 3902, 1601, 4673, 3790, 4686, 337, 4564, 3162, 4573, 3169, 4705, 355, 3944, 235, 112, 3312, 3442, 119, 376, 892, 253, 638]"
Arkansas,"[1667, 1636, 1520, 1586, 1877]","[1667, 1636, 1520, 1586, 1877, 1252, 1739, 1069, 599, 1180]","[1667, 1636, 1520, 1586, 1877, 1252, 1739, 1069, 599, 1180, 1345, 546, 1223, 202, 842, 1003, 429, 1518, 2159, 2001, 2097, 1300, 2100, 700, 29]","[1667, 1636, 1520, 1586, 1877, 1252, 1739, 1069, 599, 1180, 1345, 546, 1223, 202, 842, 1003, 429, 1518, 2159, 2001, 2097, 1300, 2100, 700, 29, 1542, 1292, 272, 1308, 288, 1569, 420, 1322, 1582, 1327, 1584, 1714, 1972, 1220, 1864, 2120, 1245, 746, 1514, 364, 492, 1008, 1913, 2044, 1151]","[1667, 1636, 1520, 1586, 1877, 1252, 1739, 1069, 599, 1180, 1345, 546, 1223, 202, 842, 1003, 429, 1518, 2159, 2001, 2097, 1300, 2100, 700, 29, 1542, 1292, 272, 1308, 288, 1569, 420, 1322, 1582, 1327, 1584, 1714, 1972, 1220, 1864, 2120, 1245, 746, 1514, 364, 492, 1008, 1913, 2044, 1151, 1280, 2060, 269, 2064, 23, 1697, 937, 2096, 306, 1971, 1334, 2102, 952, 1081, 1466, 1980, 2110, 960, 1473, 1474, 2115, 1614, 1360, 81, 978, 83, 86, 1623, 1751, 2008, 1370, 987, 221, 2269, 1631, 992, 1889, 1766, 1639, 1897, 1002, 491, 748, 1135, 1263, 245, 1526, 1274, 2043, 765]"
California,"[17536, 3010, 2282, 3536, 11088]","[17536, 3010, 2282, 3536, 11088, 3715, 16648, 11082, 3158, 3868]","[17536, 3010, 2282, 3536, 11088, 3715, 16648, 11082, 3158, 3868, 13600, 18402, 2915, 1380, 12323, 23271, 2280, 25481, 10412, 20858, 24526, 3736, 17466, 2876, 17215]","[17536, 3010, 2282, 3536, 11088, 3715, 16648, 11082, 3158, 3868, 13600, 18402, 2915, 1380, 12323, 23271, 2280, 25481, 10412, 20858, 24526, 3736, 17466, 2876, 17215, 17024, 15496, 2826, 14602, 19598, 24467, 3743, 14240, 17314, 15022, 2997, 2873, 3529, 2250, 1997, 19290, 19169, 3050, 3820, 24557, 4720, 19697, 17653, 14201, 9850]","[17536, 3010, 2282, 3536, 11088, 3715, 16648, 11082, 3158, 3868, 13600, 18402, 2915, 1380, 12323, 23271, 2280, 25481, 10412, 20858, 24526, 3736, 17466, 2876, 17215, 17024, 15496, 2826, 14602, 19598, 24467, 3743, 14240, 17314, 15022, 2997, 2873, 3529, 2250, 1997, 19290, 19169, 3050, 3820, 24557, 4720, 19697, 17653, 14201, 9850, 1415, 9481, 5903, 11023, 23315, 25236, 17813, 2326, 13847, 6040, 14745, 288, 3872, 24480, 15526, 23210, 12462, 10292, 11446, 23352, 23610, 14527, 10816, 24519, 17992, 17226, 5963, 15052, 17997, 2894, 3922, 10582, 24282, 19291, 13532, 24668, 8567, 11616, 23264, 21731, 15717, 14315, 3436, 9966, 17902, 2931, 1271, 15096, 10877, 5502]"
Colorado,"[1926, 1099, 3802, 573, 2974]","[1926, 1099, 3802, 573, 2974, 2177, 3786, 3920, 3415, 989]","[1926, 1099, 3802, 573, 2974, 2177, 3786, 3920, 3415, 989, 2455, 1605, 3110, 3527, 1097, 3532, 3660, 1518, 2192, 1908, 2292, 1143, 1274, 3388, 605]","[1926, 1099, 3802, 573, 2974, 2177, 3786, 3920, 3415, 989, 2455, 1605, 3110, 3527, 1097, 3532, 3660, 1518, 2192, 1908, 2292, 1143, 1274, 3388, 605, 6, 1030, 2183, 3719, 2444, 274, 3603, 159, 419, 296, 3891, 3252, 3641, 3261, 583, 3665, 1234, 2520, 2530, 1381, 1641, 3949, 3570, 2169, 124]","[1926, 1099, 3802, 573, 2974, 2177, 3786, 3920, 3415, 989, 2455, 1605, 3110, 3527, 1097, 3532, 3660, 1518, 2192, 1908, 2292, 1143, 1274, 3388, 605, 6, 1030, 2183, 3719, 2444, 274, 3603, 159, 419, 296, 3891, 3252, 3641, 3261, 583, 3665, 1234, 2520, 2530, 1381, 1641, 3949, 3570, 2169, 124, 515, 3846, 2439, 2056, 3465, 12, 2445, 3340, 786, 2325, 2199, 2201, 1690, 28, 543, 2086, 2342, 168, 3499, 3764, 1206, 3767, 571, 325, 2502, 3269, 3783, 201, 1226, 3146, 1100, 2252, 3657, 3801, 1626, 218, 222, 2273, 2146, 2532, 1125, 1511, 1901, 1391, 1647, 1137, 2031, 2166, 2172, 3711]"
Connecticut,"[394, 365, 534, 215, 764]","[394, 365, 534, 215, 764, 2215, 1457, 1172, 1142, 119]","[394, 365, 534, 215, 764, 2215, 1457, 1172, 1142, 119, 128, 193, 834, 1731, 229, 360, 395, 428, 556, 1228, 751, 944, 1323, 1998, 1244]","[394, 365, 534, 215, 764, 2215, 1457, 1172, 1142, 119, 128, 193, 834, 1731, 229, 360, 395, 428, 556, 1228, 751, 944, 1323, 1998, 1244, 1666, 1027, 1157, 391, 1290, 1684, 917, 2207, 1187, 1829, 560, 946, 1845, 2621, 578, 333, 337, 2391, 347, 93, 96, 230, 1263, 2677, 2298]","[394, 365, 534, 215, 764, 2215, 1457, 1172, 1142, 119, 128, 193, 834, 1731, 229, 360, 395, 428, 556, 1228, 751, 944, 1323, 1998, 1244, 1666, 1027, 1157, 391, 1290, 1684, 917, 2207, 1187, 1829, 560, 946, 1845, 2621, 578, 333, 337, 2391, 347, 93, 96, 230, 1263, 2677, 2298, 2185, 781, 1167, 401, 1681, 533, 920, 2202, 2331, 2590, 1186, 419, 2213, 1190, 1961, 2220, 173, 557, 1197, 1709, 49, 2609, 1203, 1846, 2358, 1208, 1209, 2486, 2619, 1086, 1214, 1222, 842, 80, 210, 2517, 218, 734, 351, 352, 1889, 1763, 615, 1895, 1133, 878, 2670, 1138, 376, 123]"
Delaware,"[390, 113, 410, 443, 62]","[390, 113, 410, 443, 62, 672, 42, 147, 60, 639]","[390, 113, 410, 443, 62, 672, 42, 147, 60, 639, 416, 33, 449, 673, 102, 678, 169, 425, 522, 555, 13, 17, 596, 534, 408]","[390, 113, 410, 443, 62, 672, 42, 147, 60, 639, 416, 33, 449, 673, 102, 678, 169, 425, 522, 555, 13, 17, 596, 534, 408, 2, 261, 649, 146, 407, 282, 547, 167, 41, 45, 176, 434, 439, 311, 567, 696, 67, 198, 583, 462, 85, 104, 490, 374, 122]","[390, 113, 410, 443, 62, 672, 42, 147, 60, 639, 416, 33, 449, 673, 102, 678, 169, 425, 522, 555, 13, 17, 596, 534, 408, 2, 261, 649, 146, 407, 282, 547, 167, 41, 45, 176, 434, 439, 311, 567, 696, 67, 198, 583, 462, 85, 104, 490, 374, 122, 1, 391, 395, 524, 397, 142, 15, 270, 145, 403, 532, 660, 150, 662, 24, 31, 420, 556, 430, 53, 183, 444, 572, 319, 456, 460, 589, 78, 465, 466, 467, 341, 469, 470, 218, 346, 603, 93, 349, 107, 622, 367, 112, 633, 370, 245, 118, 505, 380, 253]"
Florida,"[4928, 8193, 2403, 7535, 5562]","[4928, 8193, 2403, 7535, 5562, 3402, 2859, 4950, 11643, 6140]","[4928, 8193, 2403, 7535, 5562, 3402, 2859, 4950, 11643, 6140, 6244, 8282, 11718, 6983, 3144, 9162, 3341, 11694, 2353, 7314, 1747, 8980, 6358, 7162, 4829]","[4928, 8193, 2403, 7535, 5562, 3402, 2859, 4950, 11643, 6140, 6244, 8282, 11718, 6983, 3144, 9162, 3341, 11694, 2353, 7314, 1747, 8980, 6358, 7162, 4829, 10499, 4487, 5263, 275, 1940, 8217, 11420, 5290, 3371, 6064, 8626, 179, 8244, 570, 12732, 11337, 11623, 107, 5613, 3440, 6384, 2038, 8826, 6907, 5118]","[4928, 8193, 2403, 7535, 5562, 3402, 2859, 4950, 11643, 6140, 6244, 8282, 11718, 6983, 3144, 9162, 3341, 11694, 2353, 7314, 1747, 8980, 6358, 7162, 4829, 10499, 4487, 5263, 275, 1940, 8217, 11420, 5290, 3371, 6064, 8626, 179, 8244, 570, 12732, 11337, 11623, 107, 5613, 3440, 6384, 2038, 8826, 6907, 5118, 3, 5764, 2056, 3466, 13, 8466, 7316, 6037, 4502, 9241, 1435, 3356, 1438, 13223, 11688, 7723, 6957, 10285, 3379, 6836, 698, 5564, 11454, 1092, 2376, 3400, 7754, 7115, 12110, 11983, 2768, 4307, 3670, 11607, 3165, 4702, 6749, 4064, 4704, 8929, 5347, 11360, 2663, 362, 5100, 5228, 11886, 1903, 5746, 3958]"
Georgia,"[4453, 6025, 713, 5653, 6165]","[4453, 6025, 713, 5653, 6165, 5827, 1838, 2452, 1334, 5311]","[4453, 6025, 713, 5653, 6165, 5827, 1838, 2452, 1334, 5311, 1280, 1222, 2972, 5066, 4378, 1196, 2284, 7118, 2737, 2901, 4663, 3866, 2075, 2620, 6591]","[4453, 6025, 713, 5653, 6165, 5827, 1838, 2452, 1334, 5311, 1280, 1222, 2972, 5066, 4378, 1196, 2284, 7118, 2737, 2901, 4663, 3866, 2075, 2620, 6591, 3457, 5382, 6679, 1444, 4773, 4010, 2353, 1971, 2878, 3393, 7361, 5699, 3909, 838, 721, 5329, 1366, 4586, 875, 1772, 5998, 1777, 5747, 4853, 6652]","[4453, 6025, 713, 5653, 6165, 5827, 1838, 2452, 1334, 5311, 1280, 1222, 2972, 5066, 4378, 1196, 2284, 7118, 2737, 2901, 4663, 3866, 2075, 2620, 6591, 3457, 5382, 6679, 1444, 4773, 4010, 2353, 1971, 2878, 3393, 7361, 5699, 3909, 838, 721, 5329, 1366, 4586, 875, 1772, 5998, 1777, 5747, 4853, 6652, 5377, 4606, 4488, 2058, 4749, 2064, 5144, 6040, 1950, 7327, 3361, 5668, 4006, 552, 3625, 2858, 6312, 1964, 1710, 2351, 7345, 2867, 188, 6077, 1855, 4929, 5060, 6597, 454, 4935, 6472, 5073, 2647, 4057, 2522, 1243, 6107, 2911, 3551, 2921, 2669, 5741, 879, 6637, 3697, 6257, 4473, 1531, 4350, 6015]"
