State,5,10,25,50,100
Alabama,"[992, 2021, 2895, 1507, 1302]","[992, 2021, 2895, 1507, 1302, 3501, 1061, 2626, 2278, 2389]","[992, 2021, 2895, 1507, 1302, 3501, 1061, 2626, 2278, 2389, 1572, 3873, 2694, 2071, 3509, 0, 2928, 2352, 779, 1586, 2748, 3230, 986, 1689, 3120]","[992, 2021, 2895, 1507, 1302, 3501, 1061, 2626, 2278, 2389, 1572, 3873, 2694, 2071, 3509, 0, 2928, 2352, 779, 1586, 2748, 3230, 986, 1689, 3120, 2696, 1304, 1509, 3275, 3773, 2105, 1666, 477, 3855, 325, 1956, 3869, 2743, 158, 2870, 3589, 2623, 3796, 1397, 1568, 2460, 3748, 3714, 3118, 3498]","[992, 2021, 2895, 1507, 1302, 3501, 1061, 2626, 2278, 2389, 1572, 3873, 2694, 2071, 3509, 0, 2928, 2352, 779, 1586, 2748, 3230, 986, 1689, 3120, 2696, 1304, 1509, 3275, 3773, 2105, 1666, 477, 3855, 325, 1956, 3869, 2743, 158, 2870, 3589, 2623, 3796, 1397, 1568, 2460, 3748, 3714, 3118, 3498, 1005, 308, 809, 166, 1415, 839, 2855, 2675, 2028, 2833, 3149, 1630, 1492, 3258, 1189, 3342, 1450, 1237, 3343, 2233, 1794, 1361, 464, 1460, 2221, 3654, 3394, 1824, 141, 740, 276, 2879, 1314, 490, 27, 137, 224, 3097, 3379, 1900, 1501, 1042, 831, 50, 2862, 2692, 2211, 1071, 2388, 1457]"
Alaska,"[1, 3, 0, 450, 377]","[1, 3, 0, 450, 377, 448, 454, 502, 205, 496]","[1, 3, 0, 450, 377, 448, 454, 502, 205, 496, 214, 379, 495, 467, 490, 455, 5, 449, 487, 497, 289, 494, 376, 499, 468]","[1, 3, 0, 450, 377, 448, 454, 502, 205, 496, 214, 379, 495, 467, 490, 455, 5, 449, 487, 497, 289, 494, 376, 499, 468, 209, 208, 453, 222, 384, 226, 365, 378, 474, 224, 456, 2, 283, 452, 319, 223, 451, 297, 471, 296, 227, 441, 206, 498, 380]","[1, 3, 0, 450, 377, 448, 454, 502, 205, 496, 214, 379, 495, 467, 490, 455, 5, 449, 487, 497, 289, 494, 376, 499, 468, 209, 208, 453, 222, 384, 226, 365, 378, 474, 224, 456, 2, 283, 452, 319, 223, 451, 297, 471, 296, 227, 441, 206, 498, 380, 325, 375, 465, 382, 501, 488, 201, 295, 225, 215, 366, 500, 321, 460, 4, 287, 298, 491, 275, 216, 464, 207, 316, 315, 276, 489, 356, 324, 466, 492, 486, 269, 258, 351, 360, 7, 290, 292, 443, 220, 320, 256, 352, 476, 396, 354, 327, 340, 350, 473]"
Arizona,"[4108, 369, 3347, 3163, 4216]","[4108, 369, 3347, 3163, 4216, 3, 35, 61, 351, 3341]","[4108, 369, 3347, 3163, 4216, 3, 35, 61, 351, 3341, 380, 228, 3328, 3353, 24, 3800, 3166, 272, 257, 2873, 267, 4329, 359, 13, 349]","[4108, 369, 3347, 3163, 4216, 3, 35, 61, 351, 3341, 380, 228, 3328, 3353, 24, 3800, 3166, 272, 257, 2873, 267, 4329, 359, 13, 349, 1578, 4709, 2875, 3331, 3388, 3217, 4117, 1770, 4241, 4581, 3338, 4536, 321, 4666, 254, 528, 22, 4564, 312, 4239, 3169, 38, 3325, 3784, 3869]","[4108, 369, 3347, 3163, 4216, 3, 35, 61, 351, 3341, 380, 228, 3328, 3353, 24, 3800, 3166, 272, 257, 2873, 267, 4329, 359, 13, 349, 1578, 4709, 2875, 3331, 3388, 3217, 4117, 1770, 4241, 4581, 3338, 4536, 321, 4666, 254, 528, 22, 4564, 312, 4239, 3169, 38, 3325, 3784, 3869, 482, 4686, 3774, 3817, 1, 19, 1628, 108, 377, 258, 355, 3155, 3343, 4, 3958, 26, 3858, 265, 2022, 4343, 264, 4498, 3312, 3348, 3179, 296, 34, 256, 3320, 112, 2010, 0, 266, 3891, 3333, 3381, 4506, 319, 2881, 11, 3306, 337, 3327, 6, 4403, 1693, 4322, 1667, 3229, 3161]"
Arkansas,"[1667, 1877, 1636, 1252, 161]","[1667, 1877, 1636, 1252, 161, 1981, 2202, 1069, 256, 1345]","[1667, 1877, 1636, 1252, 161, 1981, 2202, 1069, 256, 1345, 1520, 210, 1586, 1210, 546, 288, 1791, 1739, 463, 1728, 1180, 1292, 599, 1223, 429]","[1667, 1877, 1636, 1252, 161, 1981, 2202, 1069, 256, 1345, 1520, 210, 1586, 1210, 546, 288, 1791, 1739, 463, 1728, 1180, 1292, 599, 1223, 429, 1407, 1003, 307, 272, 1037, 1080, 1300, 129, 1721, 700, 811, 1542, 1167, 1518, 925, 1460, 2159, 251, 842, 2001, 2097, 2100, 1751, 2177, 1900]","[1667, 1877, 1636, 1252, 161, 1981, 2202, 1069, 256, 1345, 1520, 210, 1586, 1210, 546, 288, 1791, 1739, 463, 1728, 1180, 1292, 599, 1223, 429, 1407, 1003, 307, 272, 1037, 1080, 1300, 129, 1721, 700, 811, 1542, 1167, 1518, 925, 1460, 2159, 251, 842, 2001, 2097, 2100, 1751, 2177, 1900, 1151, 2008, 746, 952, 1291, 2010, 1392, 1961, 1308, 1261, 202, 185, 2044, 784, 604, 147, 1274, 156, 1689, 1714, 740, 298, 1220, 2195, 1280, 706, 550, 1103, 321, 1865, 81, 1263, 29, 1913, 1976, 473, 1860, 831, 1628, 2120, 1245, 245, 1156, 420, 1697, 1227, 23, 2166, 2218, 1521]"
California,"[3536, 11088, 3715, 3868, 3158]","[3536, 11088, 3715, 3868, 3158, 16648, 3728, 10412, 3010, 2250]","[3536, 11088, 3715, 3868, 3158, 16648, 3728, 10412, 3010, 2250, 3743, 12323, 13600, 2282, 18402, 20858, 2910, 3529, 11082, 1383, 17536, 17215, 2876, 24526, 11446]","[3536, 11088, 3715, 3868, 3158, 16648, 3728, 10412, 3010, 2250, 3743, 12323, 13600, 2282, 18402, 20858, 2910, 3529, 11082, 1383, 17536, 17215, 2876, 24526, 11446, 1271, 24282, 13847, 3820, 23609, 17024, 25236, 10292, 25481, 14315, 15043, 3623, 3003, 23210, 24467, 11485, 17653, 23264, 2873, 19697, 2826, 14201, 15024, 12021, 23315]","[3536, 11088, 3715, 3868, 3158, 16648, 3728, 10412, 3010, 2250, 3743, 12323, 13600, 2282, 18402, 20858, 2910, 3529, 11082, 1383, 17536, 17215, 2876, 24526, 11446, 1271, 24282, 13847, 3820, 23609, 17024, 25236, 10292, 25481, 14315, 15043, 3623, 3003, 23210, 24467, 11485, 17653, 23264, 2873, 19697, 2826, 14201, 15024, 12021, 23315, 19179, 14602, 3180, 1415, 14240, 24519, 23271, 2906, 9666, 1380, 19594, 11080, 3922, 24586, 3897, 11463, 17314, 15210, 2894, 1474, 12356, 2795, 15022, 3788, 19290, 23945, 23310, 17477, 10816, 13783, 6043, 3877, 6552, 17902, 20872, 17421, 11023, 24557, 3074, 17226, 23254, 17966, 10387, 24810, 15102, 10582, 9850, 1997, 11460, 13393]"
Colorado,"[3802, 2974, 1926, 3776, 989]","[3802, 2974, 1926, 3776, 989, 2177, 1099, 3767, 1931, 2272]","[3802, 2974, 1926, 3776, 989, 2177, 1099, 3767, 1931, 2272, 3967, 3920, 1073, 3786, 2511, 1699, 1908, 3996, 124, 573, 3801, 3219, 870, 3527, 2502]","[3802, 2974, 1926, 3776, 989, 2177, 1099, 3767, 1931, 2272, 3967, 3920, 1073, 3786, 2511, 1699, 1908, 3996, 124, 573, 3801, 3219, 870, 3527, 2502, 2479, 2192, 3415, 1518, 3110, 3706, 2455, 2535, 1901, 3655, 1605, 3388, 3532, 2292, 0, 3660, 2146, 881, 3265, 2530, 3235, 1274, 2879, 2444, 1641]","[3802, 2974, 1926, 3776, 989, 2177, 1099, 3767, 1931, 2272, 3967, 3920, 1073, 3786, 2511, 1699, 1908, 3996, 124, 573, 3801, 3219, 870, 3527, 2502, 2479, 2192, 3415, 1518, 3110, 3706, 2455, 2535, 1901, 3655, 1605, 3388, 3532, 2292, 0, 3660, 2146, 881, 3265, 2530, 3235, 1274, 2879, 2444, 1641, 2277, 1097, 2183, 218, 1858, 3438, 972, 119, 1134, 2158, 2524, 3719, 1143, 1381, 3975, 1234, 774, 3813, 3670, 2206, 2201, 3002, 3764, 159, 1391, 1030, 3448, 6, 1206, 3570, 991, 324, 28, 3747, 419, 3603, 1086, 3252, 3030, 2325, 3261, 2501, 2252, 1017, 3949, 1095, 578, 2342, 3413, 3792]"
Connecticut,"[394, 1457, 2435, 534, 609]","[394, 1457, 2435, 534, 609, 1142, 764, 2599, 128, 444]","[394, 1457, 2435, 534, 609, 1142, 764, 2599, 128, 444, 2215, 273, 1172, 216, 1244, 1666, 311, 492, 2657, 543, 365, 1675, 834, 1228, 1515]","[394, 1457, 2435, 534, 609, 1142, 764, 2599, 128, 444, 2215, 273, 1172, 216, 1244, 1666, 311, 492, 2657, 543, 365, 1675, 834, 1228, 1515, 979, 944, 2373, 165, 2329, 2101, 1027, 428, 401, 40, 2575, 2331, 451, 325, 119, 660, 1731, 1187, 1998, 1684, 349, 2233, 1658, 1157, 878]","[394, 1457, 2435, 534, 609, 1142, 764, 2599, 128, 444, 2215, 273, 1172, 216, 1244, 1666, 311, 492, 2657, 543, 365, 1675, 834, 1228, 1515, 979, 944, 2373, 165, 2329, 2101, 1027, 428, 401, 40, 2575, 2331, 451, 325, 119, 660, 1731, 1187, 1998, 1684, 349, 2233, 1658, 1157, 878, 1263, 0, 965, 556, 996, 487, 1845, 2670, 1462, 1951, 1494, 615, 1223, 1891, 519, 215, 1004, 855, 2141, 2590, 601, 1520, 529, 2557, 93, 1611, 549, 391, 1860, 928, 2207, 2298, 1470, 470, 286, 2621, 2220, 1323, 2283, 1026, 641, 1138, 76, 419, 229, 734, 2677, 917, 2370, 315]"
Delaware,"[410, 443, 672, 62, 390]","[410, 443, 672, 62, 390, 66, 113, 431, 639, 70]","[410, 443, 672, 62, 390, 66, 113, 431, 639, 70, 42, 261, 343, 169, 598, 398, 425, 581, 522, 534, 505, 392, 60, 71, 638]","[410, 443, 672, 62, 390, 66, 113, 431, 639, 70, 42, 261, 343, 169, 598, 398, 425, 581, 522, 534, 505, 392, 60, 71, 638, 649, 280, 264, 384, 416, 678, 490, 87, 596, 673, 147, 311, 2, 406, 45, 572, 622, 176, 102, 15, 31, 449, 547, 562, 555]","[410, 443, 672, 62, 390, 66, 113, 431, 639, 70, 42, 261, 343, 169, 598, 398, 425, 581, 522, 534, 505, 392, 60, 71, 638, 649, 280, 264, 384, 416, 678, 490, 87, 596, 673, 147, 311, 2, 406, 45, 572, 622, 176, 102, 15, 31, 449, 547, 562, 555, 656, 679, 422, 1, 186, 434, 696, 256, 17, 439, 374, 514, 485, 198, 269, 414, 567, 19, 282, 395, 122, 367, 671, 73, 446, 469, 33, 462, 401, 454, 78, 85, 556, 287, 409, 408, 648, 218, 6, 397, 349, 44, 319, 403, 347, 380, 619, 180, 430, 41]"
Florida,"[2403, 2353, 4928, 7535, 8193]","[2403, 2353, 4928, 7535, 8193, 5562, 3402, 8224, 4950, 8282]","[2403, 2353, 4928, 7535, 8193, 5562, 3402, 8224, 4950, 8282, 5122, 1904, 6264, 3341, 11643, 5975, 6244, 5257, 3159, 275, 6983, 11694, 531, 2859, 11679]","[2403, 2353, 4928, 7535, 8193, 5562, 3402, 8224, 4950, 8282, 5122, 1904, 6264, 3341, 11643, 5975, 6244, 5257, 3159, 275, 6983, 11694, 531, 2859, 11679, 9162, 6358, 5508, 3144, 357, 11710, 10499, 6140, 8244, 2364, 2827, 688, 11337, 6064, 11420, 5613, 12732, 1940, 5960, 7162, 5489, 5290, 179, 4885, 8626]","[2403, 2353, 4928, 7535, 8193, 5562, 3402, 8224, 4950, 8282, 5122, 1904, 6264, 3341, 11643, 5975, 6244, 5257, 3159, 275, 6983, 11694, 531, 2859, 11679, 9162, 6358, 5508, 3144, 357, 11710, 10499, 6140, 8244, 2364, 2827, 688, 11337, 6064, 11420, 5613, 12732, 1940, 5960, 7162, 5489, 5290, 179, 4885, 8626, 8194, 8980, 11470, 5285, 2056, 3440, 8217, 11346, 4829, 4487, 6393, 1747, 2038, 570, 1438, 5736, 6907, 3, 10204, 13203, 3263, 7314, 3371, 107, 8431, 11348, 8826, 5458, 11623, 184, 5310, 12862, 10446, 3167, 12470, 5951, 5118, 8466, 3635, 5483, 5764, 3670, 5564, 11360, 10285, 12110, 11607, 11647, 5746, 12848]"
Georgia,"[5653, 6025, 6165, 713, 4453]","[5653, 6025, 6165, 713, 4453, 1280, 1862, 2605, 1388, 5311]","[5653, 6025, 6165, 713, 4453, 1280, 1862, 2605, 1388, 5311, 2452, 2700, 5827, 4901, 3903, 1334, 3589, 4378, 1196, 6651, 2075, 6591, 1838, 2901, 6679]","[5653, 6025, 6165, 713, 4453, 1280, 1862, 2605, 1388, 5311, 2452, 2700, 5827, 4901, 3903, 1334, 3589, 4378, 1196, 6651, 2075, 6591, 1838, 2901, 6679, 7118, 2284, 3873, 1772, 3866, 5066, 2972, 5248, 724, 1366, 2878, 3457, 552, 1971, 6290, 2620, 7361, 5329, 5699, 7171, 5747, 4663, 4853, 4586, 1222]","[5653, 6025, 6165, 713, 4453, 1280, 1862, 2605, 1388, 5311, 2452, 2700, 5827, 4901, 3903, 1334, 3589, 4378, 1196, 6651, 2075, 6591, 1838, 2901, 6679, 7118, 2284, 3873, 1772, 3866, 5066, 2972, 5248, 724, 1366, 2878, 3457, 552, 1971, 6290, 2620, 7361, 5329, 5699, 7171, 5747, 4663, 4853, 4586, 1222, 2522, 3024, 838, 143, 2737, 2353, 7327, 1444, 2601, 6653, 1295, 6077, 3361, 6135, 6637, 454, 4010, 4808, 4476, 5831, 5377, 3909, 6587, 3552, 4006, 865, 2921, 1778, 4894, 2666, 1243, 4785, 4604, 6015, 3393, 2911, 6107, 5073, 2792, 2058, 2858, 1531, 625, 1586, 3520, 4057, 1207, 6094, 6472, 747]"
