State,5,10,25,50,100
Alabama,"[0, 1509, 1005, 2928, 1304]","[0, 1509, 1005, 2928, 1304, 3873, 2694, 3501, 3230, 2623]","[0, 1509, 1005, 2928, 1304, 3873, 2694, 3501, 3230, 2623, 1572, 325, 166, 1956, 2021, 2696, 2855, 3589, 2352, 1492, 2388, 1689, 986, 477, 2105]","[0, 1509, 1005, 2928, 1304, 3873, 2694, 3501, 3230, 2623, 1572, 325, 166, 1956, 2021, 2696, 2855, 3589, 2352, 1492, 2388, 1689, 986, 477, 2105, 3714, 3851, 3342, 3343, 2833, 1042, 156, 3740, 1824, 3118, 1457, 1586, 3379, 2748, 2879, 831, 3394, 3654, 839, 978, 1237, 1630, 740, 490, 2034]","[0, 1509, 1005, 2928, 1304, 3873, 2694, 3501, 3230, 2623, 1572, 325, 166, 1956, 2021, 2696, 2855, 3589, 2352, 1492, 2388, 1689, 986, 477, 2105, 3714, 3851, 3342, 3343, 2833, 1042, 156, 3740, 1824, 3118, 1457, 1586, 3379, 2748, 2879, 831, 3394, 3654, 839, 978, 1237, 1630, 740, 490, 2034, 1795, 775, 3084, 3215, 20, 1695, 1568, 2081, 34, 1187, 1698, 38, 2343, 808, 3494, 2221, 1966, 2478, 3119, 2098, 3507, 309, 3382, 1718, 2871, 2233, 2370, 2373, 1478, 329, 1353, 2761, 2380, 2891, 3278, 1871, 2895, 465, 1620, 2134, 3161, 604, 221, 2276, 1387, 2418, 758, 2808, 633, 2301]"
Alaska,"[1, 3, 454, 214, 377]","[1, 3, 454, 214, 377, 448, 450, 455, 205, 495]","[1, 3, 454, 214, 377, 448, 450, 455, 205, 495, 0, 289, 453, 365, 208, 209, 496, 497, 468, 499, 502, 376, 378, 379, 222]","[1, 3, 454, 214, 377, 448, 450, 455, 205, 495, 0, 289, 453, 365, 208, 209, 496, 497, 468, 499, 502, 376, 378, 379, 222, 384, 2, 5, 283, 296, 297, 441, 319, 321, 449, 451, 452, 325, 456, 206, 465, 467, 471, 474, 223, 224, 226, 227, 488, 380]","[1, 3, 454, 214, 377, 448, 450, 455, 205, 495, 0, 289, 453, 365, 208, 209, 496, 497, 468, 499, 502, 376, 378, 379, 222, 384, 2, 5, 283, 296, 297, 441, 319, 321, 449, 451, 452, 325, 456, 206, 465, 467, 471, 474, 223, 224, 226, 227, 488, 380, 256, 4, 262, 390, 396, 272, 17, 275, 276, 285, 287, 290, 291, 295, 298, 309, 315, 318, 320, 324, 327, 201, 460, 464, 466, 340, 215, 216, 220, 350, 478, 352, 225, 354, 356, 486, 487, 360, 489, 490, 491, 492, 494, 498, 500, 501, 375, 381, 382, 383]"
Arizona,"[35, 3, 4108, 3347, 3163]","[35, 3, 4108, 3347, 3163, 267, 3341, 369, 24, 3353]","[35, 3, 4108, 3347, 3163, 267, 3341, 369, 24, 3353, 3328, 321, 258, 3169, 3331, 359, 264, 3338, 13, 4117, 22, 2875, 349, 61, 383]","[35, 3, 4108, 3347, 3163, 267, 3341, 369, 24, 3353, 3328, 321, 258, 3169, 3331, 359, 264, 3338, 13, 4117, 22, 2875, 349, 61, 383, 1, 2, 3333, 272, 4241, 19, 3348, 26, 38, 1578, 2873, 4666, 3388, 319, 3784, 3155, 4564, 3801, 2010, 351, 3167, 228, 4330, 4216, 3323]","[35, 3, 4108, 3347, 3163, 267, 3341, 369, 24, 3353, 3328, 321, 258, 3169, 3331, 359, 264, 3338, 13, 4117, 22, 2875, 349, 61, 383, 1, 2, 3333, 272, 4241, 19, 3348, 26, 38, 1578, 2873, 4666, 3388, 319, 3784, 3155, 4564, 3801, 2010, 351, 3167, 228, 4330, 4216, 3323, 0, 256, 3329, 4356, 6, 262, 3335, 266, 11, 3340, 4239, 528, 3858, 4499, 277, 278, 3222, 4506, 3869, 3232, 294, 40, 3891, 4403, 3381, 314, 2876, 3773, 2881, 4681, 80, 81, 3161, 220, 4576, 4322, 483, 3171, 103, 231, 362, 3179, 3308, 3820, 3311, 370, 4341, 3320, 377, 3327]"
Arkansas,"[161, 1667, 1252, 2202, 1981]","[161, 1667, 1252, 2202, 1981, 256, 463, 210, 1210, 1791]","[161, 1667, 1252, 2202, 1981, 256, 463, 210, 1210, 1791, 1728, 129, 811, 1291, 1037, 1069, 1167, 1900, 307, 1460, 1080, 1721, 251, 925, 1407]","[161, 1667, 1252, 2202, 1981, 256, 463, 210, 1210, 1791, 1728, 129, 811, 1291, 1037, 1069, 1167, 1900, 307, 1460, 1080, 1721, 251, 925, 1407, 2177, 1156, 784, 147, 2195, 1689, 156, 550, 1961, 298, 1976, 185, 321, 706, 1860, 1103, 2010, 604, 740, 1897, 1261, 1518, 1392, 2166, 1275]","[161, 1667, 1252, 2202, 1981, 256, 463, 210, 1210, 1791, 1728, 129, 811, 1291, 1037, 1069, 1167, 1900, 307, 1460, 1080, 1721, 251, 925, 1407, 2177, 1156, 784, 147, 2195, 1689, 156, 550, 1961, 298, 1976, 185, 321, 706, 1860, 1103, 2010, 604, 740, 1897, 1261, 1518, 1392, 2166, 1275, 1153, 130, 1800, 1290, 12, 1550, 911, 2067, 276, 279, 797, 542, 1565, 2079, 2218, 2219, 1838, 435, 1974, 823, 55, 951, 1212, 574, 831, 1086, 1732, 1349, 199, 203, 459, 1227, 1359, 1999, 473, 858, 1373, 1760, 226, 1379, 2019, 1639, 618, 2285, 372, 1396, 1014, 119, 1656, 1275]"
California,"[3010, 2250, 3536, 11088, 3728]","[3010, 2250, 3536, 11088, 3728, 1383, 11080, 3157, 1271, 3708]","[3010, 2250, 3536, 11088, 3728, 1383, 11080, 3157, 1271, 3708, 16648, 11082, 19594, 3180, 23210, 15024, 23315, 23609, 11446, 13847, 3897, 13594, 11485, 3742, 20855]","[3010, 2250, 3536, 11088, 3728, 1383, 11080, 3157, 1271, 3708, 16648, 11082, 19594, 3180, 23210, 15024, 23315, 23609, 11446, 13847, 3897, 13594, 11485, 3742, 20855, 1415, 20872, 23945, 17421, 23310, 10387, 3869, 3003, 1474, 15043, 12356, 11463, 3529, 23254, 13783, 2906, 18399, 23264, 2279, 23271, 1129, 15210, 2795, 12021, 15102]","[3010, 2250, 3536, 11088, 3728, 1383, 11080, 3157, 1271, 3708, 16648, 11082, 19594, 3180, 23210, 15024, 23315, 23609, 11446, 13847, 3897, 13594, 11485, 3742, 20855, 1415, 20872, 23945, 17421, 23310, 10387, 3869, 3003, 1474, 15043, 12356, 11463, 3529, 23254, 13783, 2906, 18399, 23264, 2279, 23271, 1129, 15210, 2795, 12021, 15102, 24833, 3074, 3203, 20995, 20861, 15240, 13833, 19592, 24586, 11025, 24470, 24990, 10143, 10787, 12323, 3877, 13604, 3623, 2472, 15143, 23719, 17966, 14387, 3894, 19257, 3008, 10816, 9666, 11460, 17477, 11207, 23293, 1227, 3788, 24525, 13393, 3922, 23122, 24017, 3669, 24282, 3937, 24810, 14320, 369, 1265, 2803, 2553, 15229, 23422]"
Colorado,"[3776, 1099, 1931, 3801, 2974]","[3776, 1099, 1931, 3801, 2974, 2272, 1699, 1926, 2511, 3219]","[3776, 1099, 1931, 3801, 2974, 2272, 1699, 1926, 2511, 3219, 0, 3265, 870, 774, 2502, 2535, 3527, 3655, 2479, 1073, 3767, 2201, 3706, 3996, 3967]","[3776, 1099, 1931, 3801, 2974, 2272, 1699, 1926, 2511, 3219, 0, 3265, 870, 774, 2502, 2535, 3527, 3655, 2479, 1073, 3767, 2201, 3706, 3996, 3967, 2191, 2455, 2206, 3235, 3002, 2879, 1858, 324, 1095, 972, 3022, 3921, 3670, 2524, 991, 2530, 2277, 3813, 1901, 1134, 2158, 3438, 881, 1910, 119]","[3776, 1099, 1931, 3801, 2974, 2272, 1699, 1926, 2511, 3219, 0, 3265, 870, 774, 2502, 2535, 3527, 3655, 2479, 1073, 3767, 2201, 3706, 3996, 3967, 2191, 2455, 2206, 3235, 3002, 2879, 1858, 324, 1095, 972, 3022, 3921, 3670, 2524, 991, 2530, 2277, 3813, 1901, 1134, 2158, 3438, 881, 1910, 119, 3975, 1934, 2575, 3982, 1043, 3475, 149, 3230, 1951, 3105, 2595, 3747, 2475, 3760, 4019, 1204, 3382, 1086, 1087, 2626, 3396, 1349, 2501, 2119, 1864, 3399, 3275, 3532, 3660, 3789, 3792, 81, 977, 2389, 1110, 3413, 2264, 2137, 3415, 2527, 2146, 739, 2533, 1383, 3177, 2546, 3827, 3573, 3448, 1017]"
Connecticut,"[609, 2435, 2599, 273, 444]","[609, 2435, 2599, 273, 444, 0, 1675, 492, 311, 543]","[609, 2435, 2599, 273, 444, 0, 1675, 492, 311, 543, 2657, 451, 165, 2329, 2373, 40, 1515, 2575, 979, 660, 2101, 534, 1462, 2233, 1658]","[609, 2435, 2599, 273, 444, 0, 1675, 492, 311, 543, 2657, 451, 165, 2329, 2373, 40, 1515, 2575, 979, 660, 2101, 534, 1462, 2233, 1658, 1026, 519, 391, 529, 286, 1951, 928, 549, 811, 315, 1470, 1860, 965, 1223, 1611, 470, 855, 1494, 601, 2141, 996, 1004, 1520, 1013, 2557]","[609, 2435, 2599, 273, 444, 0, 1675, 492, 311, 543, 2657, 451, 165, 2329, 2373, 40, 1515, 2575, 979, 660, 2101, 534, 1462, 2233, 1658, 1026, 519, 391, 529, 286, 1951, 928, 549, 811, 315, 1470, 1860, 965, 1223, 1611, 470, 855, 1494, 601, 2141, 996, 1004, 1520, 1013, 2557, 641, 2692, 2056, 267, 2063, 657, 1302, 153, 2331, 2082, 1189, 2425, 2473, 1451, 1582, 1073, 436, 1590, 2231, 698, 442, 2625, 707, 2376, 76, 1869, 590, 849, 1236, 2644, 2009, 2011, 480, 1120, 1636, 487, 1000, 1257, 1384, 2155, 2283, 239, 2288, 2161, 2543, 885, 2678, 1655, 1401, 2173]"
Delaware,"[70, 392, 431, 343, 638]","[70, 392, 431, 343, 638, 66, 264, 398, 598, 60]","[70, 392, 431, 343, 638, 66, 264, 398, 598, 60, 384, 581, 422, 71, 648, 522, 44, 505, 406, 87, 280, 409, 534, 446, 671]","[70, 392, 431, 343, 638, 66, 264, 398, 598, 60, 384, 581, 422, 71, 648, 522, 44, 505, 406, 87, 280, 409, 534, 446, 671, 256, 514, 11, 269, 656, 401, 30, 287, 418, 679, 42, 562, 690, 180, 310, 186, 572, 454, 73, 468, 596, 485, 105, 490, 622]","[70, 392, 431, 343, 638, 66, 264, 398, 598, 60, 384, 581, 422, 71, 648, 522, 44, 505, 406, 87, 280, 409, 534, 446, 671, 256, 514, 11, 269, 656, 401, 30, 287, 418, 679, 42, 562, 690, 180, 310, 186, 572, 454, 73, 468, 596, 485, 105, 490, 622, 6, 263, 390, 395, 15, 529, 19, 282, 545, 547, 425, 298, 427, 556, 301, 46, 557, 305, 434, 566, 56, 440, 58, 318, 577, 198, 459, 76, 587, 79, 207, 82, 214, 219, 347, 479, 354, 619, 367, 496, 114, 379, 373, 502, 630, 248, 634, 123, 508, 639]"
Florida,"[5122, 8194, 1904, 2353, 6264]","[5122, 8194, 1904, 2353, 6264, 8224, 5257, 531, 3159, 5975]","[5122, 8194, 1904, 2353, 6264, 8224, 5257, 531, 3159, 5975, 5508, 357, 5960, 11470, 3343, 688, 5489, 11346, 275, 12732, 4885, 8282, 11707, 2364, 11679]","[5122, 8194, 1904, 2353, 6264, 8224, 5257, 531, 3159, 5975, 5508, 357, 5960, 11470, 3343, 688, 5489, 11346, 275, 12732, 4885, 8282, 11707, 2364, 11679, 2827, 13203, 1940, 3479, 11428, 5285, 11692, 6064, 3635, 12470, 184, 5310, 5951, 3263, 8257, 12862, 10446, 5458, 11348, 4952, 10204, 3167, 5736, 8431, 11647]","[5122, 8194, 1904, 2353, 6264, 8224, 5257, 531, 3159, 5975, 5508, 357, 5960, 11470, 3343, 688, 5489, 11346, 275, 12732, 4885, 8282, 11707, 2364, 11679, 2827, 13203, 1940, 3479, 11428, 5285, 11692, 6064, 3635, 12470, 184, 5310, 5951, 3263, 8257, 12862, 10446, 5458, 11348, 4952, 10204, 3167, 5736, 8431, 11647, 4741, 5893, 3981, 8465, 2838, 11800, 2841, 8217, 5403, 10394, 36, 12839, 3880, 4521, 9001, 10283, 12584, 1837, 12848, 3506, 569, 5567, 11973, 2762, 4940, 3408, 1873, 3667, 5334, 3671, 5979, 6235, 10077, 5086, 4831, 12127, 12763, 2274, 5218, 5731, 11874, 1382, 6246, 5483, 6129, 6391, 10360, 9978, 2045, 9342]"
Georgia,"[1862, 2700, 1388, 2605, 6651]","[1862, 2700, 1388, 2605, 6651, 4901, 3589, 5653, 3903, 5311]","[1862, 2700, 1388, 2605, 6651, 4901, 3589, 5653, 3903, 5311, 3873, 2792, 2601, 747, 6094, 1295, 4604, 1586, 724, 2901, 6135, 4476, 2074, 6587, 1372]","[1862, 2700, 1388, 2605, 6651, 4901, 3589, 5653, 3903, 5311, 3873, 2792, 2601, 747, 6094, 1295, 4604, 1586, 724, 2901, 6135, 4476, 2074, 6587, 1372, 5248, 7171, 143, 2448, 6290, 6675, 2965, 4378, 4894, 3889, 4785, 1207, 1335, 5699, 7108, 5831, 4808, 3024, 5336, 2526, 5215, 865, 2666, 2925, 4855]","[1862, 2700, 1388, 2605, 6651, 4901, 3589, 5653, 3903, 5311, 3873, 2792, 2601, 747, 6094, 1295, 4604, 1586, 724, 2901, 6135, 4476, 2074, 6587, 1372, 5248, 7171, 143, 2448, 6290, 6675, 2965, 4378, 4894, 3889, 4785, 1207, 1335, 5699, 7108, 5831, 4808, 3024, 5336, 2526, 5215, 865, 2666, 2925, 4855, 2053, 2822, 5765, 6284, 6157, 540, 413, 5247, 7327, 673, 3361, 4003, 1577, 1962, 2612, 2741, 1849, 3259, 3520, 961, 194, 1602, 4928, 4421, 838, 5063, 5446, 588, 7374, 1487, 5072, 849, 3412, 2140, 94, 2911, 6111, 4452, 2667, 6635, 6637, 1518, 3310, 1776, 625, 6001, 1652, 4854, 1150, 1535]"
