,GEOID,Longitude,Latitude
2630,471251013063,-87.40492688671038,36.5904780493608
432,470299206003,-83.1812014677154,35.95947340797851
2481,471179553001,-86.79157367607252,35.461926735724305
2741,471319656002,-89.0503306884944,36.4435010917415
4152,471710804003,-82.41252249739274,36.14712123299472
0,470010201001,-84.26268352985144,36.000690923830554
1196,470539665011,-88.80266854213653,35.923678044769346
492,470359701012,-84.87430807667276,36.01785608997579
1844,470890703003,-83.48649360566763,36.12112350886051
1726,470759303012,-89.26487217318784,35.60012498603539
2754,471339503011,-85.30507208770685,36.43668646604336
4004,471630436003,-82.52176888669267,36.44555347736596
1703,470730505032,-82.68971593239449,36.53413187881663
297,470179621022,-88.42348659767674,36.01527568299802
3742,471570216111,-89.68124394879499,35.06801065268651
44,470010212023,-84.1320634594129,36.105304800581365
1649,470699503002,-89.02797665389744,35.257194034270746
2942,471490401043,-86.56220140082323,36.021185682930835
3891,471611107003,-87.94981236383056,36.39320687250732
2332,471079704024,-84.60712636346587,35.433138120583486
3768,471570217444,-89.82720254012065,35.02924616143572
2206,470970505054,-89.53686936048078,35.736809512611245
1214,470539670013,-88.89503810642752,35.82926994012655
2301,471050605032,-84.28980772531968,35.727339806512575
1694,470730503023,-83.01378910159619,36.38265685957166
907,470370184102,-86.9435215104362,36.0728639211856
4108,471670403032,-89.80914799753015,35.43772367771122
2584,471239254023,-84.34872284946606,35.53412478797647
4249,471790614011,-82.4012863248867,36.39080480124342
2339,471079706022,-84.52369940662605,35.33356340541109
2724,471319650002,-88.8721512013532,36.49566383068965
3876,471599752002,-85.9547749393609,36.24229355571765
1575,470650114132,-85.1350952680754,35.12697040529475
1834,470879604002,-85.57786438717187,36.41903447179941
1452,470650103052,-85.11969687397286,35.255027158147094
2732,471319653002,-89.33222744066683,36.33551653005968
302,470179622022,-88.49965485587987,36.14239971019783
4398,471870505041,-87.12855330976559,35.960762580152874
1204,470539667012,-88.93087008818372,35.97452674542332
2121,470930062021,-83.94426285348368,36.09981358166864
461,470319708011,-86.20579982010904,35.36785194395252
4429,471870509072,-86.83252473697247,35.90643743197262
996,470370191202,-86.6906713775497,36.015060012679925
3814,471570221112,-90.01871618738244,35.02536427276658
1774,470799695021,-88.29886707219825,36.29010313181105
3439,471570105002,-89.93541272151872,35.07150654646345
1908,470930023002,-83.89264267568383,35.936015136329296
4214,471790605032,-82.40687184663268,36.292147147056994
122,470090106002,-83.97938217507652,35.74038650688002
2683,471251020034,-87.34642642337496,36.62263603542626
1026,470399550041,-88.11495237716811,35.63595685797508
1674,470719204022,-88.23273506279128,35.2163698704041
4362,471870502061,-86.76576918456855,35.98597409952574
3852,471570223303,-90.08973658763044,35.028234652102064
525,470359706023,-85.04646109328382,35.88700006293245
270,470139507022,-84.11127778852482,36.374360782772
1806,470831202002,-87.69685416066567,36.34319595355841
2830,471410011001,-85.6395604555844,36.16704629141132
1041,470419202013,-85.84703606579362,35.95672288737665
2960,471490403091,-86.52090585696321,35.939982453661536
3347,471570079004,-89.96561623104739,35.097796887446336
3731,471570215442,-89.7084435828158,35.04260163633332
3989,471630433021,-82.26776257496188,36.463712148244056
1560,470650113251,-85.1396325305333,34.995018549669474
2968,471490403121,-86.57311886708926,35.97718648350669
666,470370132022,-86.87013703924832,36.15358104594038
1818,470851303003,-87.77724445577464,36.09373338035435
2843,471439751001,-84.82694963892786,35.65410355518322
3609,471570209012,-89.67316049039471,35.27056536604885
3999,471630434023,-82.30319190046937,36.55303774342547
1568,470650114022,-85.18441382386624,35.081990191925684
1185,470539661002,-88.98758277559568,36.11951350103038
2851,471439753003,-85.08934782945461,35.45067045210932
4260,471790615003,-82.45477806933226,36.42234041771309
4006,471650201012,-86.26267623811236,36.54378415887962
171,470090115032,-83.99124270368563,35.68459985631467
4271,471790617012,-82.4861568240894,36.298811319409126
2362,471099305023,-88.53491698359267,35.1606981872212
1340,470631006002,-83.23276542447697,36.25951846354092
1856,470890707012,-83.44117839079856,36.012238668634666
2624,471251013042,-87.41716388504345,36.621423423422016
4162,471730402013,-83.8141190543835,36.22233591531759
452,470319705022,-86.07102626273394,35.460847001544245
2500,471190102042,-86.89427373543913,35.74131846941901
331,470190709002,-82.30744496094013,36.30426359316768
3794,471570217581,-89.85026063509314,35.04545108284012
1364,470631012004,-83.4157756289053,36.1912633343136
1113,470470604023,-89.53361720594692,35.23949546788257
730,470370156143,-86.65993705192216,36.083071938218495
609,470370112001,-86.71954382787628,36.21027112984959
1640,470679606004,-83.31268351416567,36.4822212384141
2408,471130009003,-88.80839024203364,35.618363814903056
2792,471399504002,-84.406270716058,35.070675296658735
3179,471550810013,-83.56132213353263,35.805519506294715
3432,471570102202,-89.97987496671051,35.21371718047726
365,470210703002,-87.04840835879139,36.27767191950229
3569,471570206512,-89.88878471633087,35.21803983689433
2806,471410003041,-85.50842883142242,36.18262413606202
4086,471650211072,-86.60752463304432,36.2714450977751
251,470139502002,-84.1544104339786,36.57752808311745
