,GEOID,Longitude,Latitude
10,530019504001,-119.15961451397152,46.82882242514236
190,530079604003,-120.15269313103656,47.877642081790334
295,530090024002,-124.52370877109811,47.94468435316707
5058,530730104052,-122.7841614124115,48.93860614002978
865,530270002014,-124.16505619069568,46.97682331748175
2857,530419719001,-122.11500281759815,46.49431110639371
739,530199400001,-118.59787706457436,48.18592681758407
111,530050110013,-119.1757445024804,46.21421912695122
855,530250114031,-119.871866309731,46.71610667837109
198,530079606001,-120.4651460369784,47.52242291117109
3245,530530712122,-122.28644769794948,47.13832933772589
973,530299715003,-122.4659236169792,48.21992612536479
2997,530499508021,-124.03779174925226,46.50058741085238
169,530050119003,-119.50149429656582,46.27576659499211
4671,530630140012,-117.58159093095831,47.49671153424647
815,530250104012,-119.55871189033904,47.314082914088814
4486,530630102013,-117.25564392999088,48.01894890667918
882,530270005021,-123.4055688567672,47.003813495867966
3552,530530731323,-122.31169180458436,47.074898953570106
796,530210208011,-119.09672883288644,46.59234815919096
186,530079603031,-120.06157134283144,47.85531297361138
531,530110413205,-122.5071922764741,45.61884050758142
2550,530330327042,-121.77140519949378,47.48419818833085
4491,530630103011,-117.4821686402576,47.96488601515296
2886,530459603013,-122.97531718538688,47.400177467453005
3695,530579515013,-122.23955847739067,48.50646477369067
2852,530419717004,-122.43219897492644,46.524389652076216
799,530210208021,-118.85979135595498,46.65215918416928
678,530150015043,-122.75166566967155,45.91167260176468
1880,530330252023,-122.1823170885308,47.50733732701991
5292,530779400071,-120.42864181961474,46.4399153786409
615,530139602004,-117.9333175807535,46.32466653581261
3506,530530731153,-122.34428876356336,47.037555875166
3359,530530720001,-122.53966566238722,47.12411112056181
3152,530530702043,-122.13922562156938,47.137952657268514
3684,530579511023,-121.7766946604028,48.47118375555496
298,530099400002,-124.64168322150012,48.33517259931935
4714,530659507002,-117.72659617084535,48.26867550794266
748,530210201012,-119.0547900483871,46.21314209231471
392,530110407071,-122.54579545389684,45.67995334174195
3906,530610501022,-122.2957138942974,47.852153034959095
3351,530530718083,-122.47820316631358,47.17351238526237
2998,530519701001,-117.4395391643454,48.86231592587367
2343,530330317101,-122.1126936654221,47.35872630168929
2580,530350806003,-122.65176536923026,47.57290845317347
3467,530530728021,-122.64846686878371,47.09541039339379
3665,530579408011,-122.5120966607433,48.373734797060905
2935,530479402002,-119.53525091709638,48.18238523818811
2729,530350928012,-122.61321688514325,47.49445866960118
281,530090020011,-123.12946221287464,48.0797890691612
4503,530630104011,-117.59319302026418,47.62839874051071
237,530090003004,-124.40959686905413,47.93587984558818
2987,530499505012,-124.04455640465004,46.38154490745986
2300,530330313023,-121.99052606705216,47.19535689356488
2807,530419703001,-122.99055802264972,46.74834336214279
3519,530530731201,-122.29853485913408,47.12568834656885
4871,530670123322,-122.74675051263377,47.04468866474732
4174,530610526032,-122.086018410033,48.01818987519693
5291,530779400062,-120.29941454959946,46.3750162551522
4773,530670109203,-122.9447064083904,46.99862978686718
5038,530730101021,-122.14859291429168,48.95031545598103
2720,530350926003,-122.55407352301918,47.54527056682868
3220,530530711002,-122.37805833242864,47.165959307540206
4694,530630145003,-117.35704631516175,47.66509038086982
2699,530350921021,-122.73774154915826,47.51328830914052
2863,530419720004,-121.69783061229596,46.604064988182365
2009,530330282001,-122.2732773237387,47.46768459589834
4249,530610532011,-122.35524010617392,48.18092590154313
4942,530719206003,-118.3413194036548,46.05843302132268
5235,530770021042,-120.18728652634294,46.34455078030253
5218,530770019023,-119.92735050357446,46.25205722214557
3563,530530733013,-122.24206935693394,47.235722520964686
866,530270002015,-124.14847193269355,46.96989231580572
68,530050107054,-119.3531623361432,46.28116689779987
3744,530599502003,-122.02696073969312,45.68381687042872
2789,530399501033,-120.8328558323242,45.82046365670364
856,530250114032,-119.92310819784012,46.72445329324994
3440,530530725061,-122.56564933610233,47.37685697001763
680,530150016012,-122.8482641387638,46.03346116642658
3530,530530731233,-122.24505573031809,47.11077004112855
640,530150007061,-122.99350119425048,46.17208513352536
4296,530610536042,-121.96890873158696,48.09193596027762
2847,530419716002,-123.03113063528704,46.43623293791351
4520,530630105072,-117.38594034544376,47.78618539717354
2606,530350901024,-122.49116077060876,47.77357772026099
4211,530610528033,-122.16450001266338,48.12999203610494
3314,530530716011,-122.41843044023038,47.18529211541226
306,530110402011,-122.67763496778812,45.917549184039615
482,530110411112,-122.61020325820488,45.64461757611674
4124,530610521223,-122.13167197005284,47.84868390573664
3362,530530721051,-122.5645437992024,47.18938613568628
2859,530419719003,-122.27016027830622,46.5822645325368
2132,530330296041,-122.17145041774852,47.35693139805464
4550,530630111043,-117.40491500228978,47.72281632988706
730,530179506002,-120.27092424677444,47.41775416972446
655,530150011001,-122.9019652911964,46.14719762347875
3680,530579511011,-121.22117821249958,48.56851157717755
4860,530670122261,-122.75954792353237,47.07764740762842
4169,530610525054,-122.1322696468244,47.98046291700422
714,530179501023,-119.68164590903116,48.01261253539354
