State,5,10,25,50,100
Alabama,"[1088, 3912, 1071, 2551, 568]","[1088, 3912, 1071, 2551, 568, 1568, 882, 661, 2071, 63]","[1088, 3912, 1071, 2551, 568, 1568, 882, 661, 2071, 63, 1061, 2278, 3238, 779, 3275, 2862, 2895, 2482, 1139, 2389, 2460, 2427, 1788, 3869, 3806]","[1088, 3912, 1071, 2551, 568, 1568, 882, 661, 2071, 63, 1061, 2278, 3238, 779, 3275, 2862, 2895, 2482, 1139, 2389, 2460, 2427, 1788, 3869, 3806, 137, 141, 2191, 1576, 809, 3498, 1708, 433, 50, 1718, 1336, 953, 3258, 3773, 1099, 3149, 3796, 2520, 986, 3550, 353, 2914, 485, 1900, 1275]","[1088, 3912, 1071, 2551, 568, 1568, 882, 661, 2071, 63, 1061, 2278, 3238, 779, 3275, 2862, 2895, 2482, 1139, 2389, 2460, 2427, 1788, 3869, 3806, 137, 141, 2191, 1576, 809, 3498, 1708, 433, 50, 1718, 1336, 953, 3258, 3773, 1099, 3149, 3796, 2520, 986, 3550, 353, 2914, 485, 1900, 1275, 1794, 255, 2692, 646, 1159, 1416, 2060, 2572, 404, 3606, 152, 158, 3876, 1189, 426, 555, 1450, 303, 2224, 1586, 308, 1460, 1592, 2873, 1979, 2493, 2626, 3907, 1476, 3527, 3787, 464, 1361, 3026, 1118, 2270, 224, 1380, 741, 2021, 2535, 1896, 3311, 2928, 3569, 3314, 2675, 3063, 2557, 767]"
Alaska,"[1, 3, 212, 445, 447]","[1, 3, 212, 445, 447, 448, 450, 500, 502, 380]","[1, 3, 212, 445, 447, 448, 450, 500, 502, 380, 0, 289, 449, 292, 325, 454, 456, 378, 495, 474, 497, 467, 376, 218, 319]","[1, 3, 212, 445, 447, 448, 450, 500, 502, 380, 0, 289, 449, 292, 325, 454, 456, 378, 495, 474, 497, 467, 376, 218, 319, 2, 5, 39, 296, 452, 453, 455, 460, 205, 334, 461, 208, 209, 468, 214, 222, 365, 494, 496, 498, 499, 501, 377, 379, 382]","[1, 3, 212, 445, 447, 448, 450, 500, 502, 380, 0, 289, 449, 292, 325, 454, 456, 378, 495, 474, 497, 467, 376, 218, 319, 2, 5, 39, 296, 452, 453, 455, 460, 205, 334, 461, 208, 209, 468, 214, 222, 365, 494, 496, 498, 499, 501, 377, 379, 382, 384, 131, 133, 391, 269, 276, 407, 283, 29, 287, 160, 33, 166, 295, 297, 298, 48, 433, 307, 53, 437, 184, 441, 60, 446, 320, 321, 67, 206, 207, 210, 83, 213, 473, 347, 223, 225, 227, 228, 229, 103, 487, 490, 235, 492, 366, 245, 375, 122, 254]"
Arizona,"[4108, 3790, 337, 4216, 3226]","[4108, 3790, 337, 4216, 3226, 258, 369, 61, 4317, 4223]","[4108, 3790, 337, 4216, 3226, 258, 369, 61, 4317, 4223, 228, 4584, 3869, 269, 4365, 4718, 16, 1552, 4241, 51, 308, 1396, 2131, 349, 543]","[4108, 3790, 337, 4216, 3226, 258, 369, 61, 4317, 4223, 228, 4584, 3869, 269, 4365, 4718, 16, 1552, 4241, 51, 308, 1396, 2131, 349, 543, 257, 3079, 265, 2828, 272, 3347, 24, 2845, 928, 3238, 47, 2873, 828, 4676, 78, 3800, 4440, 3166, 351, 4709, 3942, 108, 380, 3325, 254]","[4108, 3790, 337, 4216, 3226, 258, 369, 61, 4317, 4223, 228, 4584, 3869, 269, 4365, 4718, 16, 1552, 4241, 51, 308, 1396, 2131, 349, 543, 257, 3079, 265, 2828, 272, 3347, 24, 2845, 928, 3238, 47, 2873, 828, 4676, 78, 3800, 4440, 3166, 351, 4709, 3942, 108, 380, 3325, 254, 128, 256, 1667, 5, 2186, 912, 4240, 3859, 3092, 149, 22, 2454, 3353, 4377, 4253, 3872, 1702, 296, 815, 3249, 3765, 312, 3896, 4536, 2875, 4666, 1601, 578, 967, 2247, 4692, 3162, 4343, 3164, 482, 1763, 3300, 359, 871, 1511, 377, 3817, 4329, 4206, 3442, 1910, 3958, 1529, 638, 2943]"
Arkansas,"[1586, 29, 1972, 599, 1213]","[1586, 29, 1972, 599, 1213, 965, 937, 2001, 284, 1245]","[1586, 29, 1972, 599, 1213, 965, 937, 2001, 284, 1245, 577, 290, 1667, 1252, 2179, 1258, 2059, 492, 1069, 2044, 1520, 2109, 857, 1180, 1981]","[1586, 29, 1972, 599, 1213, 965, 937, 2001, 284, 1245, 577, 290, 1667, 1252, 2179, 1258, 2059, 492, 1069, 2044, 1520, 2109, 857, 1180, 1981, 10, 269, 1933, 1569, 420, 2097, 1714, 952, 570, 960, 1345, 202, 842, 1739, 1360, 1636, 1382, 1514, 1003, 1135, 2159, 883, 1019, 894, 1151]","[1586, 29, 1972, 599, 1213, 965, 937, 2001, 284, 1245, 577, 290, 1667, 1252, 2179, 1258, 2059, 492, 1069, 2044, 1520, 2109, 857, 1180, 1981, 10, 269, 1933, 1569, 420, 2097, 1714, 952, 570, 960, 1345, 202, 842, 1739, 1360, 1636, 1382, 1514, 1003, 1135, 2159, 883, 1019, 894, 1151, 1028, 645, 779, 1165, 143, 272, 1300, 534, 410, 283, 1308, 288, 546, 429, 1582, 1584, 1073, 2100, 1334, 311, 2105, 700, 1855, 1217, 1474, 2115, 1223, 968, 1864, 1099, 80, 978, 1618, 1877, 1366, 1751, 2265, 1370, 1122, 746, 108, 364, 1518, 1008, 2034, 1268, 505, 1274, 2043, 765]"
California,"[17536, 3010, 2282, 3536, 11088]","[17536, 3010, 2282, 3536, 11088, 2881, 11238, 10835, 17466, 24668]","[17536, 3010, 2282, 3536, 11088, 2881, 11238, 10835, 17466, 24668, 17314, 23299, 3868, 23271, 25481, 11082, 2763, 3436, 3729, 14804, 2326, 2840, 20858, 3676, 17215]","[17536, 3010, 2282, 3536, 11088, 2881, 11238, 10835, 17466, 24668, 17314, 23299, 3868, 23271, 25481, 11082, 2763, 3436, 3729, 14804, 2326, 2840, 20858, 3676, 17215, 17024, 15496, 24467, 14745, 17434, 24221, 24480, 13609, 15022, 2873, 21575, 3529, 2250, 24526, 14677, 19290, 23264, 2915, 1380, 2280, 24557, 4720, 25458, 3189, 8567]","[17536, 3010, 2282, 3536, 11088, 2881, 11238, 10835, 17466, 24668, 17314, 23299, 3868, 23271, 25481, 11082, 2763, 3436, 3729, 14804, 2326, 2840, 20858, 3676, 17215, 17024, 15496, 24467, 14745, 17434, 24221, 24480, 13609, 15022, 2873, 21575, 3529, 2250, 24526, 14677, 19290, 23264, 2915, 1380, 2280, 24557, 4720, 25458, 3189, 8567, 2948, 4742, 1415, 2439, 17542, 2826, 14602, 16653, 21773, 19601, 1682, 17813, 13853, 3486, 2847, 288, 3872, 24477, 10920, 23210, 14381, 24626, 14900, 2365, 3774, 10557, 10816, 2885, 17992, 5963, 15052, 15309, 11214, 16975, 21584, 23886, 3922, 23897, 13532, 5725, 3294, 229, 2405, 15717, 3050, 24684, 3060, 18805, 15096, 10877]"
Colorado,"[3499, 786, 2520, 3292, 573]","[3499, 786, 2520, 3292, 573, 2530, 3558, 1099, 1647, 3802]","[3499, 786, 2520, 3292, 573, 2530, 3558, 1099, 1647, 3802, 769, 2177, 3511, 3592, 1097, 490, 3373, 3535, 3920, 2482, 2292, 150, 3415, 1627, 989]","[3499, 786, 2520, 3292, 573, 2530, 3558, 1099, 1647, 3802, 769, 2177, 3511, 3592, 1097, 490, 3373, 3535, 3920, 2482, 2292, 150, 3415, 1627, 989, 6, 1926, 3719, 2444, 3340, 2192, 274, 3603, 2328, 281, 2974, 543, 2086, 3622, 3891, 3388, 583, 3786, 3660, 605, 2283, 1901, 1134, 1520, 3570]","[3499, 786, 2520, 3292, 573, 2530, 3558, 1099, 1647, 3802, 769, 2177, 3511, 3592, 1097, 490, 3373, 3535, 3920, 2482, 2292, 150, 3415, 1627, 989, 6, 1926, 3719, 2444, 3340, 2192, 274, 3603, 2328, 281, 2974, 543, 2086, 3622, 3891, 3388, 583, 3786, 3660, 605, 2283, 1901, 1134, 1520, 3570, 2176, 2437, 1030, 2183, 2056, 3859, 2455, 24, 1433, 159, 419, 3110, 168, 296, 816, 562, 1844, 3252, 3254, 57, 571, 3261, 1985, 4036, 1605, 3269, 3527, 2760, 201, 3146, 3657, 1100, 2252, 3277, 3406, 3532, 3665, 1234, 3674, 3935, 2273, 2532, 1381, 1641, 3949, 2031, 2166, 1143, 3446, 2169]"
Connecticut,"[392, 1323, 365, 2517, 215]","[392, 1323, 365, 2517, 215, 128, 360, 2358, 119, 764]","[392, 1323, 365, 2517, 215, 128, 360, 2358, 119, 764, 193, 229, 2215, 1290, 428, 556, 1228, 2031, 2253, 946, 1203, 534, 2391, 2587, 123]","[392, 1323, 365, 2517, 215, 128, 360, 2358, 119, 764, 193, 229, 2215, 1290, 428, 556, 1228, 2031, 2253, 946, 1203, 534, 2391, 2587, 123, 2177, 2694, 391, 395, 780, 1172, 917, 1829, 1320, 1197, 560, 944, 2609, 1214, 1731, 2244, 842, 333, 80, 96, 1763, 230, 1895, 1525, 1273]","[392, 1323, 365, 2517, 215, 128, 360, 2358, 119, 764, 193, 229, 2215, 1290, 428, 556, 1228, 2031, 2253, 946, 1203, 534, 2391, 2587, 123, 2177, 2694, 391, 395, 780, 1172, 917, 1829, 1320, 1197, 560, 944, 2609, 1214, 1731, 2244, 842, 333, 80, 96, 1763, 230, 1895, 1525, 1273, 1027, 1157, 394, 2064, 401, 1681, 1684, 533, 1046, 1175, 920, 2202, 1309, 1695, 419, 2213, 1961, 2298, 173, 557, 1709, 950, 1846, 1209, 1979, 1086, 578, 834, 581, 1222, 1608, 2378, 206, 210, 339, 1239, 2521, 1757, 734, 352, 1893, 489, 109, 2670, 2675, 1141, 2677, 376, 2042, 1279]"
Delaware,"[672, 390, 13, 410, 639]","[672, 390, 13, 410, 639, 577, 420, 113, 146, 596]","[672, 390, 13, 410, 639, 577, 420, 113, 146, 596, 449, 673, 567, 198, 678, 41, 490, 17, 633, 374, 439, 408, 534, 60, 62]","[672, 390, 13, 410, 639, 577, 420, 113, 146, 596, 449, 673, 567, 198, 678, 41, 490, 17, 633, 374, 439, 408, 534, 60, 62, 262, 649, 522, 270, 147, 403, 407, 664, 281, 416, 162, 547, 167, 425, 555, 176, 434, 563, 696, 78, 462, 85, 218, 603, 104]","[672, 390, 13, 410, 639, 577, 420, 113, 146, 596, 449, 673, 567, 198, 678, 41, 490, 17, 633, 374, 439, 408, 534, 60, 62, 262, 649, 522, 270, 147, 403, 407, 664, 281, 416, 162, 547, 167, 425, 555, 176, 434, 563, 696, 78, 462, 85, 218, 603, 104, 2, 8, 9, 392, 524, 397, 142, 15, 145, 532, 150, 662, 24, 28, 542, 31, 33, 550, 169, 42, 554, 45, 430, 443, 444, 572, 573, 194, 580, 71, 456, 589, 464, 465, 469, 346, 93, 94, 349, 96, 359, 250, 107, 367, 114, 245, 505, 122, 253, 383]"
Florida,"[4928, 12455, 5369, 6140, 8217]","[4928, 12455, 5369, 6140, 8217, 8193, 11587, 3371, 5100, 8441]","[4928, 12455, 5369, 6140, 8217, 8193, 11587, 3371, 5100, 8441, 259, 5412, 12777, 5290, 7723, 2029, 10190, 6095, 240, 6384, 11213, 1811, 179, 28, 3359]","[4928, 12455, 5369, 6140, 8217, 8193, 11587, 3371, 5100, 8441, 259, 5412, 12777, 5290, 7723, 2029, 10190, 6095, 240, 6384, 11213, 1811, 179, 28, 3359, 5379, 6147, 12165, 2057, 1290, 4372, 4502, 1950, 9634, 11694, 6842, 12732, 11710, 9800, 7754, 9162, 4045, 4950, 3293, 13278, 5347, 362, 5741, 5367, 4345]","[4928, 12455, 5369, 6140, 8217, 8193, 11587, 3371, 5100, 8441, 259, 5412, 12777, 5290, 7723, 2029, 10190, 6095, 240, 6384, 11213, 1811, 179, 28, 3359, 5379, 6147, 12165, 2057, 1290, 4372, 4502, 1950, 9634, 11694, 6842, 12732, 11710, 9800, 7754, 9162, 4045, 4950, 3293, 13278, 5347, 362, 5741, 5367, 4345, 13185, 8965, 10502, 2183, 3207, 4487, 2698, 655, 7314, 8980, 6037, 1433, 7066, 9241, 11931, 2333, 162, 13223, 6060, 4525, 6956, 1713, 4274, 6836, 61, 11454, 7744, 5570, 5063, 7879, 1739, 1485, 10574, 11983, 10323, 11643, 8284, 4829, 4702, 5471, 2402, 6244, 107, 5228, 4461, 8943, 10228, 4597, 9722, 8571]"
Georgia,"[385, 6312, 6829, 213, 983]","[385, 6312, 6829, 213, 983, 5507, 5414, 3051, 2796, 7404]","[385, 6312, 6829, 213, 983, 5507, 5414, 3051, 2796, 7404, 5827, 614, 6775, 4378, 7213, 6840, 7279, 6866, 4340, 6036, 6581, 2199, 4760, 6645, 58]","[385, 6312, 6829, 213, 983, 5507, 5414, 3051, 2796, 7404, 5827, 614, 6775, 4378, 7213, 6840, 7279, 6866, 4340, 6036, 6581, 2199, 4760, 6645, 58, 1410, 3074, 1284, 6787, 6032, 4628, 5401, 2075, 29, 5813, 573, 705, 454, 1222, 6854, 586, 5066, 1747, 7135, 2913, 5602, 4453, 231, 111, 3191]","[385, 6312, 6829, 213, 983, 5507, 5414, 3051, 2796, 7404, 5827, 614, 6775, 4378, 7213, 6840, 7279, 6866, 4340, 6036, 6581, 2199, 4760, 6645, 58, 1410, 3074, 1284, 6787, 6032, 4628, 5401, 2075, 29, 5813, 573, 705, 454, 1222, 6854, 586, 5066, 1747, 7135, 2913, 5602, 4453, 231, 111, 3191, 6410, 2064, 5781, 6679, 5144, 5529, 155, 2972, 1183, 5920, 7327, 6947, 294, 2856, 2987, 6959, 6448, 4785, 1971, 4403, 6324, 1334, 311, 2486, 6708, 6459, 5567, 5060, 7109, 838, 712, 6217, 4301, 7420, 1366, 6490, 3935, 4473, 875, 4718, 1007, 5998, 6257, 7283, 4853, 6135, 377, 1531, 6652, 7038]"
