State,5,10,25,50,100
Alabama,"[1088, 661, 3912, 568, 1071]","[1088, 661, 3912, 568, 1071, 2482, 63, 1275, 2551, 3810]","[1088, 661, 3912, 568, 1071, 2482, 63, 1275, 2551, 3810, 426, 1568, 882, 1061, 1120, 485, 2389, 2895, 2520, 353, 432, 953, 1068, 646, 1576]","[1088, 661, 3912, 568, 1071, 2482, 63, 1275, 2551, 3810, 426, 1568, 882, 1061, 1120, 485, 2389, 2895, 2520, 353, 432, 953, 1068, 646, 1576, 2491, 779, 563, 2572, 141, 2427, 2071, 1788, 3869, 1139, 745, 3550, 3645, 1900, 137, 1099, 2869, 1708, 3275, 3905, 2384, 3149, 1037, 237, 1336]","[1088, 661, 3912, 568, 1071, 2482, 63, 1275, 2551, 3810, 426, 1568, 882, 1061, 1120, 485, 2389, 2895, 2520, 353, 432, 953, 1068, 646, 1576, 2491, 779, 563, 2572, 141, 2427, 2071, 1788, 3869, 1139, 745, 3550, 3645, 1900, 137, 1099, 2869, 1708, 3275, 3905, 2384, 3149, 1037, 237, 1336, 2278, 3501, 3238, 2498, 2855, 65, 3790, 2428, 3806, 1979, 3258, 1582, 2329, 2460, 2527, 1883, 1956, 809, 298, 1666, 1741, 1718, 3860, 1574, 3118, 1476, 3165, 2351, 988, 3833, 775, 1896, 3063, 2862, 158, 2535, 2928, 224, 3527, 2694, 3311, 166, 308, 2021, 3796, 3773, 2191, 3279, 836, 2225]"
Alaska,"[445, 212, 1, 447, 3]","[445, 212, 1, 447, 3, 499, 0, 450, 218, 448]","[445, 212, 1, 447, 3, 499, 0, 450, 218, 448, 502, 375, 205, 495, 380, 292, 461, 500, 5, 377, 454, 497, 347, 496, 214]","[445, 212, 1, 447, 3, 499, 0, 450, 218, 448, 502, 375, 205, 495, 380, 292, 461, 500, 5, 377, 454, 497, 347, 496, 214, 494, 455, 467, 209, 378, 319, 365, 208, 325, 449, 2, 384, 225, 376, 456, 222, 487, 474, 453, 452, 289, 468, 334, 223, 501]","[445, 212, 1, 447, 3, 499, 0, 450, 218, 448, 502, 375, 205, 495, 380, 292, 461, 500, 5, 377, 454, 497, 347, 496, 214, 494, 455, 467, 209, 378, 319, 365, 208, 325, 449, 2, 384, 225, 376, 456, 222, 487, 474, 453, 452, 289, 468, 334, 223, 501, 382, 39, 492, 451, 296, 498, 297, 227, 353, 216, 303, 471, 379, 224, 254, 283, 206, 295, 276, 201, 465, 321, 426, 184, 441, 488, 298, 287, 366, 133, 207, 217, 269, 490, 294, 460, 29, 346, 433, 391, 226, 437, 103, 60, 33, 53, 245, 307, 320, 394]"
Arizona,"[337, 3790, 4108, 3225, 4317]","[337, 3790, 4108, 3225, 4317, 258, 4216, 369, 61, 269]","[337, 3790, 4108, 3225, 4317, 258, 4216, 369, 61, 269, 2131, 352, 4669, 543, 16, 4223, 47, 1552, 1394, 4440, 308, 4695, 4241, 228, 3079]","[337, 3790, 4108, 3225, 4317, 258, 4216, 369, 61, 269, 2131, 352, 4669, 543, 16, 4223, 47, 1552, 1394, 4440, 308, 4695, 4241, 228, 3079, 50, 1911, 380, 2845, 3800, 4206, 4365, 67, 828, 3325, 411, 3869, 4584, 3204, 3300, 24, 3092, 2873, 4174, 3238, 928, 272, 4329, 0, 3862]","[337, 3790, 4108, 3225, 4317, 258, 4216, 369, 61, 269, 2131, 352, 4669, 543, 16, 4223, 47, 1552, 1394, 4440, 308, 4695, 4241, 228, 3079, 50, 1911, 380, 2845, 3800, 4206, 4365, 67, 828, 3325, 411, 3869, 4584, 3204, 3300, 24, 3092, 2873, 4174, 3238, 928, 272, 4329, 0, 3862, 4709, 4319, 4217, 2829, 2997, 837, 3765, 3166, 2795, 1529, 257, 128, 106, 2489, 3850, 4240, 2875, 3936, 3249, 967, 3388, 4418, 1511, 744, 3353, 612, 359, 349, 2460, 3226, 149, 254, 638, 265, 1396, 3759, 810, 4649, 2186, 13, 4564, 504, 301, 1601, 3119, 3347, 1692, 4189, 312, 882]"
Arkansas,"[1213, 1972, 1586, 937, 29]","[1213, 1972, 1586, 937, 29, 599, 290, 1981, 966, 909]","[1213, 1972, 1586, 937, 29, 599, 290, 1981, 966, 909, 577, 1245, 857, 2001, 284, 883, 1382, 1019, 143, 1667, 1122, 492, 1099, 2059, 1364]","[1213, 1972, 1586, 937, 29, 599, 290, 1981, 966, 909, 577, 1245, 857, 2001, 284, 883, 1382, 1019, 143, 1667, 1122, 492, 1099, 2059, 1364, 1180, 1258, 570, 2109, 505, 2179, 10, 1165, 965, 1520, 949, 894, 1151, 1847, 1953, 2044, 779, 683, 1049, 2159, 1069, 1135, 1933, 148, 1775]","[1213, 1972, 1586, 937, 29, 599, 290, 1981, 966, 909, 577, 1245, 857, 2001, 284, 883, 1382, 1019, 143, 1667, 1122, 492, 1099, 2059, 1364, 1180, 1258, 570, 2109, 505, 2179, 10, 1165, 965, 1520, 949, 894, 1151, 1847, 1953, 2044, 779, 683, 1049, 2159, 1069, 1135, 1933, 148, 1775, 283, 794, 1355, 1854, 661, 546, 1072, 765, 1692, 420, 1569, 1268, 1222, 696, 2265, 315, 1715, 2115, 478, 269, 1836, 1599, 1292, 2056, 598, 952, 1003, 410, 1515, 202, 1751, 1575, 1252, 288, 534, 80, 1739, 1345, 1829, 1370, 256, 2269, 1235, 1990, 2266, 576, 1210, 1308, 2002, 311]"
California,"[2282, 11088, 3536, 2881, 17536]","[2282, 11088, 3536, 2881, 17536, 11231, 10835, 24668, 17434, 3676]","[2282, 11088, 3536, 2881, 17536, 11231, 10835, 24668, 17434, 3676, 3189, 3868, 23264, 3728, 2840, 15100, 23299, 2763, 3010, 3774, 2250, 20858, 11224, 3529, 14677]","[2282, 11088, 3536, 2881, 17536, 11231, 10835, 24668, 17434, 3676, 3189, 3868, 23264, 3728, 2840, 15100, 23299, 2763, 3010, 3774, 2250, 20858, 11224, 3529, 14677, 17215, 2890, 17024, 24526, 23210, 14381, 2326, 2906, 17314, 15022, 13853, 11082, 2949, 1415, 24859, 24477, 11214, 25481, 14804, 17519, 13847, 24231, 3065, 2873, 23897]","[2282, 11088, 3536, 2881, 17536, 11231, 10835, 24668, 17434, 3676, 3189, 3868, 23264, 3728, 2840, 15100, 23299, 2763, 3010, 3774, 2250, 20858, 11224, 3529, 14677, 17215, 2890, 17024, 24526, 23210, 14381, 2326, 2906, 17314, 15022, 13853, 11082, 2949, 1415, 24859, 24477, 11214, 25481, 14804, 17519, 13847, 24231, 3065, 2873, 23897, 15052, 24470, 25458, 24108, 2161, 3486, 14492, 1380, 23953, 23609, 2315, 2826, 20862, 2915, 3100, 15496, 13399, 24684, 3436, 24041, 10557, 3074, 2847, 3922, 17542, 23310, 3788, 23271, 16975, 17466, 21775, 3294, 10816, 3877, 19290, 19594, 24667, 14900, 23644, 23254, 3637, 1377, 13609, 10834, 21575, 24480, 15027, 14387, 3897, 1178]"
Colorado,"[786, 3292, 2520, 3499, 3558]","[786, 3292, 2520, 3499, 3558, 769, 2530, 2482, 1647, 573]","[786, 3292, 2520, 3499, 3558, 769, 2530, 2482, 1647, 573, 3511, 3276, 1099, 3535, 2401, 1645, 1066, 1901, 3549, 1111, 150, 3592, 3940, 3802, 2292]","[786, 3292, 2520, 3499, 3558, 769, 2530, 2482, 1647, 573, 3511, 3276, 1099, 3535, 2401, 1645, 1066, 1901, 3549, 1111, 150, 3592, 3940, 3802, 2292, 2971, 490, 3373, 4004, 3920, 1134, 778, 3967, 3363, 2437, 2183, 989, 2086, 583, 3786, 3710, 2628, 3996, 96, 3220, 1926, 2491, 3087, 2974, 1520]","[786, 3292, 2520, 3499, 3558, 769, 2530, 2482, 1647, 573, 3511, 3276, 1099, 3535, 2401, 1645, 1066, 1901, 3549, 1111, 150, 3592, 3940, 3802, 2292, 2971, 490, 3373, 4004, 3920, 1134, 778, 3967, 3363, 2437, 2183, 989, 2086, 583, 3786, 3710, 2628, 3996, 96, 3220, 1926, 2491, 3087, 2974, 1520, 1624, 3719, 3175, 1844, 3128, 3446, 2093, 1129, 3859, 281, 3415, 4036, 543, 6, 3814, 3891, 2291, 2444, 1097, 3146, 1795, 3257, 3277, 2176, 3603, 3570, 2332, 3235, 274, 1699, 590, 2168, 2192, 2252, 3660, 24, 2760, 2263, 2721, 2532, 3348, 2666, 3829, 3110, 3388, 2879, 3901, 2160, 336, 3265]"
Connecticut,"[2517, 1323, 392, 2358, 2435]","[2517, 1323, 392, 2358, 2435, 128, 2454, 1611, 2577, 215]","[2517, 1323, 392, 2358, 2435, 128, 2454, 1611, 2577, 215, 764, 2169, 946, 2400, 1311, 2519, 1045, 365, 2598, 126, 2043, 1674, 953, 491, 2253]","[2517, 1323, 392, 2358, 2435, 128, 2454, 1611, 2577, 215, 764, 2169, 946, 2400, 1311, 2519, 1045, 365, 2598, 126, 2043, 1674, 953, 491, 2253, 193, 1553, 2587, 2083, 893, 1004, 2557, 1290, 1513, 1228, 2177, 2244, 360, 2031, 841, 2693, 780, 428, 2215, 1321, 216, 141, 1203, 917, 1157]","[2517, 1323, 392, 2358, 2435, 128, 2454, 1611, 2577, 215, 764, 2169, 946, 2400, 1311, 2519, 1045, 365, 2598, 126, 2043, 1674, 953, 491, 2253, 193, 1553, 2587, 2083, 893, 1004, 2557, 1290, 1513, 1228, 2177, 2244, 360, 2031, 841, 2693, 780, 428, 2215, 1321, 216, 141, 1203, 917, 1157, 2138, 80, 466, 2354, 609, 2391, 2521, 268, 2287, 1780, 1951, 2373, 996, 1935, 1012, 1436, 1598, 853, 452, 239, 1248, 1309, 1763, 944, 1525, 1590, 182, 529, 401, 1891, 109, 1608, 789, 556, 1239, 2064, 2566, 119, 352, 734, 2378, 920, 2694, 2262, 1554, 1979, 842, 534, 229, 489]"
Delaware,"[672, 582, 639, 13, 410]","[672, 582, 639, 13, 410, 597, 563, 613, 264, 430]","[672, 582, 639, 13, 410, 597, 563, 613, 264, 430, 534, 390, 647, 620, 577, 64, 664, 397, 17, 85, 403, 547, 490, 673, 449]","[672, 582, 639, 13, 410, 597, 563, 613, 264, 430, 534, 390, 647, 620, 577, 64, 664, 397, 17, 85, 403, 547, 490, 673, 449, 71, 567, 425, 374, 505, 696, 629, 434, 247, 649, 622, 596, 198, 78, 678, 388, 176, 218, 514, 113, 456, 522, 439, 41, 562]","[672, 582, 639, 13, 410, 597, 563, 613, 264, 430, 534, 390, 647, 620, 577, 64, 664, 397, 17, 85, 403, 547, 490, 673, 449, 71, 567, 425, 374, 505, 696, 629, 434, 247, 649, 622, 596, 198, 78, 678, 388, 176, 218, 514, 113, 456, 522, 439, 41, 562, 62, 416, 643, 87, 359, 281, 146, 270, 420, 408, 9, 262, 598, 256, 633, 572, 190, 464, 638, 485, 545, 186, 554, 346, 355, 382, 496, 581, 661, 224, 550, 265, 31, 94, 491, 469, 387, 671, 462, 214, 60, 2, 311, 93, 104, 271, 5, 603, 147, 42]"
Florida,"[5369, 8217, 12455, 4928, 8193]","[5369, 8217, 12455, 4928, 8193, 2031, 12784, 5412, 9751, 8441]","[5369, 8217, 12455, 4928, 8193, 2031, 12784, 5412, 9751, 8441, 6140, 4547, 259, 1811, 2366, 12458, 5100, 5058, 3371, 12766, 12165, 5290, 531, 10159, 199]","[5369, 8217, 12455, 4928, 8193, 2031, 12784, 5412, 9751, 8441, 6140, 4547, 259, 1811, 2366, 12458, 5100, 5058, 3371, 12766, 12165, 5290, 531, 10159, 199, 5408, 11587, 362, 3293, 8224, 11213, 5975, 2180, 162, 57, 3359, 2029, 2057, 6384, 11710, 179, 5379, 12732, 3619, 9800, 1937, 9762, 11694, 8208, 5741]","[5369, 8217, 12455, 4928, 8193, 2031, 12784, 5412, 9751, 8441, 6140, 4547, 259, 1811, 2366, 12458, 5100, 5058, 3371, 12766, 12165, 5290, 531, 10159, 199, 5408, 11587, 362, 3293, 8224, 11213, 5975, 2180, 162, 57, 3359, 2029, 2057, 6384, 11710, 179, 5379, 12732, 3619, 9800, 1937, 9762, 11694, 8208, 5741, 4885, 4372, 3169, 1932, 8366, 5102, 4627, 240, 11931, 6095, 284, 4950, 5, 8320, 655, 13278, 6155, 7723, 3510, 10228, 9788, 1290, 1485, 9162, 11824, 3329, 3159, 5471, 4345, 6342, 9348, 1813, 12777, 5508, 13266, 5347, 5305, 8284, 10069, 9722, 6060, 13223, 5367, 5961, 5489, 10190, 11643, 11679, 4053, 10574]"
Georgia,"[385, 213, 983, 5507, 3051]","[385, 213, 983, 5507, 3051, 4340, 6854, 5414, 6312, 4378]","[385, 213, 983, 5507, 3051, 4340, 6854, 5414, 6312, 4378, 7135, 6829, 6840, 6775, 1410, 58, 7404, 6645, 7279, 2796, 6866, 7213, 6581, 2199, 4760]","[385, 213, 983, 5507, 3051, 4340, 6854, 5414, 6312, 4378, 7135, 6829, 6840, 6775, 1410, 58, 7404, 6645, 7279, 2796, 6866, 7213, 6581, 2199, 4760, 614, 5792, 6708, 29, 5827, 3074, 6036, 586, 5066, 5602, 705, 6402, 7420, 3191, 6324, 2075, 6410, 6032, 155, 1284, 4628, 454, 1747, 2913, 6146]","[385, 213, 983, 5507, 3051, 4340, 6854, 5414, 6312, 4378, 7135, 6829, 6840, 6775, 1410, 58, 7404, 6645, 7279, 2796, 6866, 7213, 6581, 2199, 4760, 614, 5792, 6708, 29, 5827, 3074, 6036, 586, 5066, 5602, 705, 6402, 7420, 3191, 6324, 2075, 6410, 6032, 155, 1284, 4628, 454, 1747, 2913, 6146, 1222, 5813, 111, 231, 7038, 7283, 6217, 0, 5920, 982, 3023, 7327, 7095, 4785, 5564, 5401, 6448, 1366, 3873, 6290, 6679, 1182, 2475, 220, 1971, 2856, 6459, 5437, 4403, 5830, 382, 4718, 3091, 5060, 6787, 311, 1531, 4453, 2987, 4301, 5529, 7109, 1007, 2486, 1396, 4853, 2163, 4992, 838, 624]"
