State,5,10,25,50,100
Alabama,"[3912, 1068, 2482, 661, 568]","[3912, 1068, 2482, 661, 568, 1088, 3810, 426, 2572, 1275]","[3912, 1068, 2482, 661, 568, 1088, 3810, 426, 2572, 1275, 1120, 353, 2498, 644, 485, 1574, 2855, 745, 141, 1037, 432, 2384, 58, 2428, 2527]","[3912, 1068, 2482, 661, 568, 1088, 3810, 426, 2572, 1275, 1120, 353, 2498, 644, 485, 1574, 2855, 745, 141, 1037, 432, 2384, 58, 2428, 2527, 775, 137, 3860, 2071, 1311, 1956, 298, 1706, 45, 1582, 2351, 3118, 3501, 953, 3645, 65, 3905, 1098, 1741, 3790, 465, 1883, 3165, 237, 3833]","[3912, 1068, 2482, 661, 568, 1088, 3810, 426, 2572, 1275, 1120, 353, 2498, 644, 485, 1574, 2855, 745, 141, 1037, 432, 2384, 58, 2428, 2527, 775, 137, 3860, 2071, 1311, 1956, 298, 1706, 45, 1582, 2351, 3118, 3501, 953, 3645, 65, 3905, 1098, 1741, 3790, 465, 1883, 3165, 237, 3833, 1666, 3589, 2694, 1033, 2954, 3343, 2833, 1042, 1171, 1300, 918, 1686, 536, 2329, 666, 3230, 1695, 3234, 166, 1831, 2735, 2099, 3379, 3637, 1080, 315, 1979, 1471, 3136, 2370, 836, 3525, 585, 2510, 3279, 2388, 1237, 3670, 87, 2520, 607, 1895, 873, 1136, 3186, 758, 3064, 2554, 1019, 2301]"
Alaska,"[1, 3, 212, 375, 445]","[1, 3, 212, 375, 445, 205, 495, 499, 502, 447]","[1, 3, 212, 375, 445, 205, 495, 499, 502, 447, 0, 448, 450, 454, 455, 365, 208, 209, 496, 214, 376, 377, 378, 380, 222]","[1, 3, 212, 375, 445, 205, 495, 499, 502, 447, 0, 448, 450, 454, 455, 365, 208, 209, 496, 214, 376, 377, 378, 380, 222, 384, 2, 5, 294, 297, 303, 319, 449, 451, 452, 453, 456, 334, 462, 469, 216, 346, 218, 474, 225, 353, 488, 492, 497, 501]","[1, 3, 212, 375, 445, 205, 495, 499, 502, 447, 0, 448, 450, 454, 455, 365, 208, 209, 496, 214, 376, 377, 378, 380, 222, 384, 2, 5, 294, 297, 303, 319, 449, 451, 452, 453, 456, 334, 462, 469, 216, 346, 218, 474, 225, 353, 488, 492, 497, 501, 382, 387, 134, 394, 272, 17, 275, 276, 283, 287, 289, 295, 40, 296, 298, 426, 177, 435, 186, 62, 321, 324, 69, 197, 325, 327, 201, 331, 206, 465, 466, 467, 343, 471, 217, 220, 223, 224, 226, 227, 356, 486, 487, 360, 489, 490, 491, 494, 367, 254]"
Arizona,"[0, 4108, 3790, 337, 4216]","[0, 4108, 3790, 337, 4216, 352, 3204, 16, 61, 255]","[0, 4108, 3790, 337, 4216, 352, 3204, 16, 61, 255, 4319, 67, 228, 837, 4428, 269, 301, 47, 4671, 369, 1911, 24, 411, 2460, 4223]","[0, 4108, 3790, 337, 4216, 352, 3204, 16, 61, 255, 4319, 67, 228, 837, 4428, 269, 301, 47, 4671, 369, 1911, 24, 411, 2460, 4223, 264, 3850, 267, 4241, 3347, 3353, 2842, 3234, 4649, 49, 2997, 2881, 4418, 3801, 4700, 4189, 3167, 3300, 744, 2795, 366, 1394, 4217, 379, 3325]","[0, 4108, 3790, 337, 4216, 352, 3204, 16, 61, 255, 4319, 67, 228, 837, 4428, 269, 301, 47, 4671, 369, 1911, 24, 411, 2460, 4223, 264, 3850, 267, 4241, 3347, 3353, 2842, 3234, 4649, 49, 2997, 2881, 4418, 3801, 4700, 4189, 3167, 3300, 744, 2795, 366, 1394, 4217, 379, 3325, 257, 2, 131, 769, 3331, 3336, 13, 2829, 3343, 272, 4240, 4372, 3094, 3862, 3865, 26, 3867, 540, 3875, 810, 3119, 3759, 2995, 1845, 1719, 441, 2489, 2875, 828, 3388, 66, 3784, 4681, 3278, 4174, 2130, 3155, 4562, 4564, 4194, 867, 612, 4707, 103, 487, 4330, 2421, 3958, 4087, 3193]"
Arkansas,"[1222, 937, 1586, 1972, 29]","[1222, 937, 1586, 1972, 29, 290, 909, 598, 1019, 284]","[1222, 937, 1586, 1972, 29, 290, 909, 598, 1019, 284, 577, 1122, 1382, 969, 1099, 1836, 1165, 143, 883, 1364, 949, 857, 505, 1245, 573]","[1222, 937, 1586, 1972, 29, 290, 909, 598, 1019, 284, 577, 1122, 1382, 969, 1099, 1836, 1165, 143, 883, 1364, 949, 857, 505, 1245, 573, 2056, 2188, 148, 661, 1049, 794, 1692, 1953, 1187, 1829, 683, 1710, 1072, 1847, 696, 315, 1981, 1854, 1215, 2002, 2269, 478, 1775, 2164, 1149]","[1222, 937, 1586, 1972, 29, 290, 909, 598, 1019, 284, 577, 1122, 1382, 969, 1099, 1836, 1165, 143, 883, 1364, 949, 857, 505, 1245, 573, 2056, 2188, 148, 661, 1049, 794, 1692, 1953, 1187, 1829, 683, 1710, 1072, 1847, 696, 315, 1981, 1854, 1215, 2002, 2269, 478, 1775, 2164, 1149, 256, 769, 130, 1923, 2052, 1286, 1159, 11, 1292, 1167, 1807, 21, 537, 2202, 412, 416, 1443, 1575, 1068, 306, 2101, 1210, 317, 1599, 1728, 69, 1990, 583, 1353, 1359, 464, 211, 1235, 2133, 982, 2260, 1368, 2266, 605, 1506, 741, 2277, 621, 1134, 1266, 1140, 377, 1277, 894, 1407]"
California,"[2282, 3536, 10834, 17434, 3676]","[2282, 3536, 10834, 17434, 3676, 2250, 11086, 17519, 3728, 15100]","[2282, 3536, 10834, 17434, 3676, 2250, 11086, 17519, 3728, 15100, 0, 13853, 24483, 23268, 1415, 1384, 2890, 23210, 11082, 23310, 3187, 14677, 11224, 24667, 23293]","[2282, 3536, 10834, 17434, 3676, 2250, 11086, 17519, 3728, 15100, 0, 13853, 24483, 23268, 1415, 1384, 2890, 23210, 11082, 23310, 3187, 14677, 11224, 24667, 23293, 20995, 19594, 2315, 23953, 24470, 13847, 3869, 24477, 14381, 15027, 3897, 23609, 3774, 3529, 23254, 13399, 2906, 23644, 2919, 3180, 2161, 3189, 20855, 3068, 20862]","[2282, 3536, 10834, 17434, 3676, 2250, 11086, 17519, 3728, 15100, 0, 13853, 24483, 23268, 1415, 1384, 2890, 23210, 11082, 23310, 3187, 14677, 11224, 24667, 23293, 20995, 19594, 2315, 23953, 24470, 13847, 3869, 24477, 14381, 15027, 3897, 23609, 3774, 3529, 23254, 13399, 2906, 23644, 2919, 3180, 2161, 3189, 20855, 3068, 20862, 3074, 23298, 24834, 2949, 13833, 17545, 2832, 14864, 1178, 15898, 3100, 24859, 24989, 3877, 15143, 24232, 10793, 24108, 2222, 1841, 14387, 3637, 1465, 3065, 10558, 17213, 10816, 3010, 15043, 11207, 11463, 14795, 3788, 24525, 2769, 24017, 3923, 3669, 11485, 23264, 1377, 1129, 2537, 2795, 24043, 23917, 24810, 17522, 1273, 20861]"
Colorado,"[769, 3499, 786, 2520, 3292]","[769, 3499, 786, 2520, 3292, 1099, 3276, 1647, 2482, 1111]","[769, 3499, 786, 2520, 3292, 1099, 3276, 1647, 2482, 1111, 2401, 2531, 3363, 3557, 1638, 3940, 4004, 1129, 778, 1066, 3536, 3220, 2971, 3549, 3710]","[769, 3499, 786, 2520, 3292, 1099, 3276, 1647, 2482, 1111, 2401, 2531, 3363, 3557, 1638, 3940, 4004, 1129, 778, 1066, 3536, 3220, 2971, 3549, 3710, 2183, 2439, 3087, 3996, 1699, 2087, 3369, 2093, 3128, 3257, 3514, 2491, 3265, 2628, 3787, 590, 3920, 3800, 96, 3814, 3175, 490, 1901, 2292, 3967]","[769, 3499, 786, 2520, 3292, 1099, 3276, 1647, 2482, 1111, 2401, 2531, 3363, 3557, 1638, 3940, 4004, 1129, 778, 1066, 3536, 3220, 2971, 3549, 3710, 2183, 2439, 3087, 3996, 1699, 2087, 3369, 2093, 3128, 3257, 3514, 2491, 3265, 2628, 3787, 590, 3920, 3800, 96, 3814, 3175, 490, 1901, 2292, 3967, 1795, 1925, 3975, 3592, 3721, 2833, 3348, 917, 150, 2965, 2968, 2201, 3738, 1947, 2721, 2977, 3235, 1318, 3755, 1842, 3901, 1598, 2879, 1088, 583, 72, 1095, 3655, 2511, 336, 2132, 2263, 2647, 1113, 601, 89, 3034, 3160, 991, 736, 2149, 2535, 2666, 3438, 2160, 244, 3829, 3446, 119, 890]"
Connecticut,"[2435, 1611, 1323, 2454, 2519]","[2435, 1611, 1323, 2454, 2519, 2577, 1045, 2169, 953, 1311]","[2435, 1611, 1323, 2454, 2519, 2577, 1045, 2169, 953, 1311, 2400, 2557, 2083, 2598, 841, 394, 491, 1004, 141, 1513, 1674, 1554, 2354, 2043, 893]","[2435, 1611, 1323, 2454, 2519, 2577, 1045, 2169, 953, 1311, 2400, 2557, 2083, 2598, 841, 394, 491, 1004, 141, 1513, 1674, 1554, 2354, 2043, 893, 130, 2693, 2566, 268, 1935, 529, 789, 1436, 1951, 1321, 182, 1590, 1598, 452, 2373, 466, 2262, 2138, 1248, 609, 996, 239, 2287, 1012, 1780]","[2435, 1611, 1323, 2454, 2519, 2577, 1045, 2169, 953, 1311, 2400, 2557, 2083, 2598, 841, 394, 491, 1004, 141, 1513, 1674, 1554, 2354, 2043, 893, 130, 2693, 2566, 268, 1935, 529, 789, 1436, 1951, 1321, 182, 1590, 1598, 452, 2373, 466, 2262, 2138, 1248, 609, 996, 239, 2287, 1012, 1780, 1536, 641, 897, 1295, 19, 1939, 2067, 2453, 2071, 2072, 1049, 2329, 155, 1307, 1566, 801, 1318, 2425, 44, 813, 306, 179, 820, 2482, 2107, 2492, 2237, 1473, 1606, 712, 2633, 1869, 590, 1364, 853, 1621, 87, 2264, 2521, 1499, 612, 487, 2023, 2541, 1520, 2162, 2679, 1401, 507, 2174]"
Delaware,"[613, 582, 13, 563, 597]","[613, 582, 13, 563, 597, 647, 264, 620, 430, 534]","[613, 582, 13, 563, 597, 647, 264, 620, 430, 534, 64, 547, 388, 71, 491, 397, 622, 403, 436, 87, 247, 664, 505, 638, 671]","[613, 582, 13, 563, 597, 647, 264, 620, 430, 534, 64, 547, 388, 71, 491, 397, 622, 403, 436, 87, 247, 664, 505, 638, 671, 514, 387, 643, 5, 649, 271, 661, 545, 418, 562, 567, 186, 190, 578, 581, 456, 76, 214, 598, 224, 355, 485, 360, 496, 382]","[613, 582, 13, 563, 597, 647, 264, 620, 430, 534, 64, 547, 388, 71, 491, 397, 622, 403, 436, 87, 247, 664, 505, 638, 671, 514, 387, 643, 5, 649, 271, 661, 545, 418, 562, 567, 186, 190, 578, 581, 456, 76, 214, 598, 224, 355, 485, 360, 496, 382, 256, 390, 522, 11, 269, 400, 656, 18, 274, 409, 282, 26, 32, 289, 290, 674, 550, 423, 42, 43, 554, 557, 302, 176, 309, 311, 56, 440, 314, 570, 63, 447, 198, 73, 336, 464, 468, 88, 218, 347, 474, 479, 609, 241, 630, 376, 633, 634, 508, 639]"
Florida,"[4547, 12458, 2031, 12784, 9751]","[4547, 12458, 2031, 12784, 9751, 2366, 5058, 8208, 531, 12766]","[4547, 12458, 2031, 12784, 9751, 2366, 5058, 8208, 531, 12766, 5408, 8224, 9762, 3619, 2180, 199, 12168, 1932, 5102, 8366, 1937, 4627, 4885, 5975, 284]","[4547, 12458, 2031, 12784, 9751, 2366, 5058, 8208, 531, 12766, 5408, 8224, 9762, 3619, 2180, 199, 12168, 1932, 5102, 8366, 1937, 4627, 4885, 5975, 284, 3329, 8194, 5508, 9348, 1811, 162, 11824, 3510, 5305, 11707, 9788, 12476, 12733, 11973, 6342, 11464, 5961, 11214, 13266, 3159, 3169, 357, 5097, 5489, 10227]","[4547, 12458, 2031, 12784, 9751, 2366, 5058, 8208, 531, 12766, 5408, 8224, 9762, 3619, 2180, 199, 12168, 1932, 5102, 8366, 1937, 4627, 4885, 5975, 284, 3329, 8194, 5508, 9348, 1811, 162, 11824, 3510, 5305, 11707, 9788, 12476, 12733, 11973, 6342, 11464, 5961, 11214, 13266, 3159, 3169, 357, 5097, 5489, 10227, 8320, 4354, 259, 4614, 653, 12175, 12820, 1813, 5399, 664, 6167, 11931, 542, 8351, 11679, 5668, 12325, 11692, 3635, 6068, 10164, 11571, 4666, 12859, 3388, 60, 12732, 3263, 4805, 8389, 11513, 12748, 12366, 5455, 11348, 10069, 6107, 8285, 5086, 10337, 12388, 2021, 2154, 10220, 3566, 9841, 5876, 3317, 5240, 8441]"
Georgia,"[0, 385, 5507, 4340, 982]","[0, 385, 5507, 4340, 982, 6854, 6775, 6840, 220, 7135]","[0, 385, 5507, 4340, 982, 6854, 6775, 6840, 220, 7135, 5792, 1409, 6402, 646, 5416, 5066, 3051, 4378, 234, 7279, 2804, 6708, 2201, 58, 7420]","[0, 385, 5507, 4340, 982, 6854, 6775, 6840, 220, 7135, 5792, 1409, 6402, 646, 5416, 5066, 3051, 4378, 234, 7279, 2804, 6708, 2201, 58, 7420, 6146, 6410, 3215, 3091, 6036, 155, 29, 3873, 2475, 6829, 6448, 6324, 7095, 5564, 6591, 705, 578, 5830, 3917, 6865, 2901, 5602, 1396, 6646, 382]","[0, 385, 5507, 4340, 982, 6854, 6775, 6840, 220, 7135, 5792, 1409, 6402, 646, 5416, 5066, 3051, 4378, 234, 7279, 2804, 6708, 2201, 58, 7420, 6146, 6410, 3215, 3091, 6036, 155, 29, 3873, 2475, 6829, 6448, 6324, 7095, 5564, 6591, 705, 578, 5830, 3917, 6865, 2901, 5602, 1396, 6646, 382, 4992, 5249, 3074, 6656, 389, 5134, 6290, 6676, 5531, 1182, 926, 2080, 4895, 5024, 5920, 5412, 4901, 7071, 7327, 424, 3882, 6315, 7213, 688, 4273, 4785, 7090, 4404, 5813, 6458, 5437, 454, 6217, 3023, 1747, 3925, 6233, 6107, 1372, 485, 4582, 4710, 106, 6253, 5870, 624, 2163, 7283, 5243, 7038]"
