,GEOID,Longitude,Latitude
769,80079742022,-107.0685172695477,37.26454780484041
2974,80659617012,-106.2967619288998,39.25485065350755
2530,80559606002,-104.78231510775994,37.639141343818295
3257,80690028052,-105.5156597192186,40.3549514238877
786,80119667024,-103.22603277466776,38.06493801364749
3499,80899681003,-103.72621012577208,38.052996776414005
1908,80370003013,-107.07354415702076,39.3884715837343
989,80130137053,-105.59845334477964,39.97813419216136
2086,80410033081,-104.80810667456704,38.77172807040286
3533,80959676001,-102.21869239725127,40.592560553802976
1901,80370002001,-106.91938072122096,39.64665191926823
3802,81170004053,-106.00925887855244,39.47828696545945
3276,80739617001,-103.60654272454605,39.42176682262333
3728,81059767003,-106.1432415997165,37.58053004115608
3767,81139681011,-107.8281056558392,37.939350302585815
1099,80239727001,-105.4350301580049,37.2188418838669
3920,81230015001,-104.7124085060782,40.52933147170291
1627,80310083053,-104.83009450986152,39.79210877693083
3549,80970004041,-106.8436810061173,39.20467813376099
1111,80279701023,-105.373569212842,38.11963472912067
1078,80150004042,-106.16214329540814,38.85378332799869
1699,80330001001,-108.90620654348147,37.76695274840375
490,80050071012,-104.2151511710996,39.70419710802144
4036,81259632005,-102.69409015023454,40.11367163342389
2532,80559609011,-104.82475049936588,37.78466714187142
1143,80310002021,-105.0024157740822,39.77984407399176
870,80130127083,-105.18890014244114,40.06411463633544
1129,80299650021,-107.78960436416487,38.913678960756926
2970,80639624001,-102.50752608872314,39.31208435928546
778,80099646001,-102.27365618039316,37.3911744402688
3622,81010021001,-104.6211233346315,38.24233743336111
2501,80490002031,-105.80589904553167,39.94915322359595
1097,80239726001,-105.29599409628776,37.4291563518821
3710,81010031053,-104.5246185244202,38.23604937206008
1433,80310041011,-104.92707473765478,39.7638005875192
124,80010085592,-104.8050779274433,39.87427151554301
3261,80710001003,-104.50389775676764,37.18577044417265
3719,81039511001,-107.5631449707042,40.03955398407367
3110,80690013042,-105.08515658877324,40.60506042639256
3996,81230021082,-104.90842215850478,40.32864883070791
2467,80459518031,-107.20718855401503,39.39332248000429
1931,80370007021,-106.290804008407,39.63206892783234
3220,80690024012,-105.47373132795268,40.78919842311051
3940,81230019102,-104.81474988729718,40.08585098005649
2491,80459521002,-108.04642951002268,39.427348182267
0,80010078011,-104.87051202305273,39.74199708721429
3725,81039512003,-108.79477150184609,40.08341792530032
3490,80870007003,-103.63434208938058,40.25761013011818
3801,81170004052,-106.03824458132796,39.477882554021775
2990,80679706022,-107.59162224107844,37.22385255088509
833,80130125073,-105.24832414485684,39.98823892079056
2477,80459519021,-107.5298647584428,39.57388232210311
3235,80690025072,-105.00774253263984,40.70767329718394
2422,80439782002,-105.12512828255636,38.39814978856478
1134,80299652011,-107.92727293710108,38.90872494375361
1062,80140314032,-105.03160451878394,39.99311677053309
808,80130122041,-105.28289568757543,40.02376497541853
2192,80410045174,-104.67819208133828,38.670001634049896
1918,80370004051,-106.82668249893328,39.64297084294376
3527,80930003002,-106.06845712825998,39.210079252389946
2879,80590120372,-105.38668540710091,39.48067674352098
3511,80899686002,-103.53246760474492,37.98516481562908
3415,80839411001,-108.7081447857528,37.133379884604594
3363,80770014044,-108.6474635260192,39.05591685755284
2444,80439790021,-105.54984019772544,38.30330365747864
3814,81190101092,-105.2482243359448,38.87328640418637
461,80050067121,-104.91343168978882,39.61682521157854
3254,80690028042,-105.49996862990272,40.36468310663035
3277,80739617002,-103.5922960580712,39.20546640709618
3447,80859663012,-107.8628744546163,38.48438633739942
3029,80690005031,-105.10976371754732,40.57905387784535
6,80010079002,-104.87704639299967,39.75099517642759
3535,80959676003,-102.2858302898117,40.58077305633316
2206,80410046023,-104.22184313326818,38.89680567156781
3308,80770006011,-108.54891153746946,39.08665130594208
1647,80310083891,-104.74796811309112,39.78544407658559
3846,81230005021,-104.69894630292713,40.42809883046877
165,80010088013,-104.91560946561287,39.83243333686299
761,80050873021,-104.89451907352284,39.67161551309423
3388,80770017062,-108.45485876131542,39.06461138632866
3603,81010012001,-104.59426141100523,38.265659768470925
2816,80590117322,-105.14173389545654,39.72194622680456
222,80010093164,-105.01746740883452,39.86727386643305
2511,80490002072,-105.8379520432674,40.20900949466338
3965,81230020141,-104.93269152552234,40.09512067761519
2176,80410045072,-104.70318069649436,38.73128515855781
1380,80310035013,-104.95459679378976,39.77644726421203
2455,80459516001,-107.2423134612016,39.83138062411845
1985,80410008001,-104.80201866093356,38.85730945750492
2186,80410045152,-104.6465840642293,38.72694092319088
689,80050847004,-104.80227540877068,39.640864250059046
3532,80930005003,-105.77571446119624,38.82205645117288
2252,80410051153,-104.68800161764584,38.86079825017649
1858,80350142033,-105.07638336997128,39.47650934252525
1926,80370005043,-106.5434167367065,39.63845488390934
274,80010095532,-104.99538610333413,39.80814421638849
1274,80310018001,-104.99891599121622,39.73726749789589
1692,80310156004,-105.02040143842916,39.66936444086345
1234,80310014011,-105.00127086530294,39.69317042402755
358,80050056232,-105.0119748942691,39.589701866675306
