,GEOID,Longitude,Latitude
1731,90091418001,-72.9219939561147,41.32376053027862
2215,90093515001,-73.03148681976862,41.53582502414463
1323,90035242003,-72.66106912081665,41.64421196270653
365,90010724001,-73.2012364728782,41.208967424663285
119,90010219003,-73.50782194513397,41.04099090367487
230,90010445001,-73.42325771527243,41.089906655104926
1142,90035014003,-72.6900087319521,41.78179109558341
534,90012002003,-73.39821056667192,41.372342969792655
1273,90035146005,-72.55368614143835,41.76966270146787
764,90034163002,-72.76704909730385,41.67655380777706
352,90010719001,-73.20365535346968,41.19610814858659
100,90010215022,-73.54831376835631,41.04895007109549
1222,90035106004,-72.63815502970856,41.74642712621821
554,90012101012,-73.45886980074634,41.40158227317314
2378,90117012005,-72.08573656566055,41.41927545312249
780,90034167005,-72.80198455135248,41.690278801372735
2253,90093527013,-72.97264363967318,41.54475162804158
401,90010736001,-73.1763603038643,41.19338932449078
1684,90091404001,-72.93308577702813,41.2883423442708
917,90034715002,-72.71002293868453,41.85159826003738
1525,90075412001,-72.66889773863343,41.58006502661687
2356,90116968002,-72.07375663883332,41.53009880319355
2486,90118703004,-72.11103185602298,41.37106464003829
2517,90135302002,-72.44612886864053,41.86305794224437
1757,90091425005,-72.89426606932378,41.31451083305919
1665,90091254001,-73.07935331940229,41.3579940662506
1027,90034922004,-72.67234791173021,41.710105329714665
2185,90093502003,-73.03560167685376,41.5664888726394
2064,90091861003,-72.75084892771469,41.3282386885685
920,90034731003,-72.67981176117688,41.82904884441279
2331,90116961001,-72.05481198584248,41.577065545730775
2592,90138815001,-72.25056904941468,41.794094157970974
1829,90091546004,-72.95937271301429,41.27480765242236
2599,90138901004,-72.30596151042313,41.96776087049221
1961,90091709001,-72.80657092678426,41.532297366749056
2609,90158004001,-72.19232794350326,41.7070410213654
1204,90035049002,-72.70316932313565,41.74620151415989
950,90034763001,-72.66414050558443,41.91479278021973
1209,90035103001,-72.61869267996408,41.78829698382882
2621,90158007001,-72.20400651454709,41.72289272702426
2370,90117011002,-71.98110519051517,41.43948896424424
1475,90053601001,-73.12571872310349,41.61086194917417
2244,90093524001,-73.02373643306967,41.60143880988426
333,90010706002,-73.18645038200405,41.17432000315356
215,90010440003,-73.42786952268273,41.097609530989104
615,90012202004,-73.49060010737435,41.48071495341707
123,90010221011,-73.52046529587496,41.05160371441816
1518,90054256021,-73.35214348516283,41.97669359746664
2675,90159045003,-71.87781771241704,41.80644081552754
1275,90035147002,-72.51811098664348,41.7670384536686
2307,90116909004,-72.10490617019909,41.327066879089045
391,90010732002,-73.16353669200483,41.20175498143425
1543,90075416002,-72.65016651443172,41.56586797568021
521,90011105001,-73.14968895885066,41.30832519980737
1290,90035151023,-72.56847709504194,41.774130641854136
1681,90091402001,-72.91911733488433,41.29221419283467
274,90010552003,-73.36476038324027,41.20260713715105
787,90034173001,-72.76441361801194,41.69297104080248
419,90010743004,-73.16724232211892,41.178805734736535
1573,90075703001,-72.64389980295165,41.5961222386989
1190,90035040003,-72.70220789775274,41.78887751656
1835,90091547006,-72.98094332023165,41.239399594957895
428,90010802002,-73.14725285695536,41.18972921085511
2220,90093516012,-73.05128379407836,41.54009121889052
1455,90053201023,-73.04542240286133,41.94703126099453
1201,90035048003,-72.70237219749046,41.7301417670953
2101,90091942023,-72.62217516044056,41.34544294681429
1979,90091715001,-72.78803375300453,41.55143376934752
2491,90118705022,-72.1136007297204,41.44113143379202
2556,90135381001,-72.50007529577444,42.02070537574957
1086,90034967003,-72.72534210565503,41.75557375663008
319,90010616002,-73.25556409088765,41.12672052969067
1599,90075951025,-72.46575548925622,41.4863227139652
1473,90053492002,-73.07549473605023,41.67148814053406
578,90012106003,-73.45723036619903,41.38970731214496
834,90034306042,-72.88814988405049,41.63569694891064
325,90010702001,-73.22468221380247,41.16228640089752
581,90012107012,-73.4687447808222,41.398298756738
1228,90035108002,-72.62948188968028,41.73580826918092
1358,90052535002,-73.42483099725894,41.60512135513631
464,90010902001,-73.2221635003429,41.271385520894384
338,90010711001,-73.21086688238069,41.17819634466896
851,90034621012,-72.88024326850378,41.7961309868196
1239,90035112001,-72.58956308225405,41.77606459236767
2391,90117027002,-72.04959034075198,41.33540191504421
93,90010214021,-73.56153878998654,41.04677344154524
995,90034842003,-72.52654117584717,41.92450478028587
229,90010444002,-73.4121670606178,41.08971323937396
744,90034156002,-72.78087868655554,41.65521368851395
1768,90091427004,-72.89645047560427,41.29604419906071
2152,90093454006,-73.08878352635571,41.504665335748655
2283,90116601011,-72.30275855034725,41.353834084522695
2410,90117052002,-71.89540264421765,41.33505854021881
2541,90135331033,-72.38363952548355,41.86697131296617
878,90034662011,-72.7811364807336,41.90855034583386
1905,90091658022,-72.93698093805855,41.36297401096588
1138,90035013001,-72.67565621791954,41.78868311835864
2298,90116905002,-72.09287403657784,41.353651090723694
1916,90091660024,-72.8919594223408,41.41550679263326
2175,90093481242,-73.218968632489,41.49425285319321
