,GEOID,Longitude,Latitude
1385,201459702003,-99.09717917815875,38.177248424943535
16,200039536004,-95.23375604649272,38.2786540950323
1490,201599672001,-98.20236990935132,38.34695968600832
154,200219583004,-94.83869000130076,37.17121772997827
1567,201679738005,-98.85054497320016,38.892180901054765
1060,200959612002,-98.13319967966429,37.66098259755038
524,200679637003,-101.35882301967403,37.579603278433126
275,200410844002,-97.21668235011532,38.92569548007939
179,200274582004,-97.1152307532958,39.36673097384232
607,200895763001,-98.24097374579615,39.66205376249619
545,200779617001,-98.1341575991626,37.156564357775736
1350,201359563002,-99.946238163379,38.46534537236482
1159,201079552003,-94.74124437927745,38.15960431436677
1223,201154896003,-97.20601739753552,38.34087455136904
1256,201211004002,-94.68681385744893,38.61255704760583
1355,201379517003,-99.89758248006322,39.83225065005219
1138,201030718002,-95.08884832088144,39.10563763793523
1619,201719571004,-100.91131464954728,38.47878558425279
1396,201474753003,-99.30869085100896,39.73387289028287
405,200530867004,-98.23387318975988,38.74731280507893
1365,201390102003,-95.7702291280082,38.76736135160723
539,200739658001,-96.08814096721382,37.72490154740383
1404,201490002002,-96.3092678632981,39.20443290685261
2206,201899652003,-101.34577791708764,37.17595052752085
2239,201959558001,-99.89274104045066,39.00796714170405
1280,201231766004,-98.10464692455793,39.46251424078498
1536,201610010021,-96.81130846674368,39.09289788478706
520,200659523003,-99.88405211933504,39.349370480805256
144,200199646002,-96.08960672017112,37.16510587313496
530,200699627001,-100.39796421014624,37.545621093991535
2196,201834759002,-98.78045656596198,39.67055634956739
1045,200910538013,-94.83251868584418,38.745534813589344
1558,201639747002,-99.29475868610052,39.246874730801096
1560,201659723001,-99.31472553091632,38.52158226373314
1318,201279637002,-96.50656504678092,38.665679386277766
167,200239502001,-101.80749242053174,39.77761000346874
1327,201314802003,-96.07009439441686,39.822643122263486
195,200319663001,-95.7627522735783,38.21288192925218
198,200339676001,-99.32754646925608,37.26644451915191
1095,201030703004,-94.92821592597252,39.31602513975219
1996,201730102013,-97.37797682227747,37.84512459379434
1485,201579783001,-97.6150793450199,39.839262545076565
2255,202019786004,-97.04722154812366,39.8170199349004
2260,202039576002,-101.37259116641847,38.48036559761893
2269,202050974002,-95.68350946184091,37.42461086694997
355,200450012023,-95.08747383362906,38.93774447344205
1381,201430857003,-97.69153059661612,39.10881867193861
360,200450012034,-95.19559556104646,38.7750397436395
239,200379568002,-94.84528284592602,37.50892241903944
368,200479697001,-99.41231728992284,37.92326001627028
257,200379575003,-94.7049729842491,37.39939259561278
1409,201490003003,-96.08274429212692,39.17937374568295
1411,201490004002,-96.17810176795687,39.49414742144498
266,200399513003,-100.5022510667282,39.83113630768566
1163,201099546002,-100.86049950030034,39.12532378142427
1931,201730096042,-97.49622233509302,37.48954475376306
2186,201799528002,-100.44169341931072,39.34996720760889
142,200179606003,-96.54202945304328,38.371865475093664
1423,201539506002,-101.078207215344,39.78510469154168
528,200699626002,-100.38519873071122,37.815668899975606
2064,201770010002,-95.64856165858174,39.06065816928908
534,200719581002,-101.80599132752197,38.48054219596991
1302,201259508002,-95.64822941250848,37.04202611322372
2198,201854706002,-98.60037653923617,37.96209266810751
281,200410846001,-96.93929823929372,38.6791812616912
1054,200939591001,-101.32050934163182,38.00124280755645
286,200430202001,-95.093394744328,39.826240545424895
1183,201110004003,-96.18469575528609,38.410494277240105
1443,201550005005,-97.93623644296608,38.06348237704532
1955,201730099022,-97.24821298038356,37.48001295742056
37,200079681002,-98.5853521480136,37.26808863418351
1066,200979691003,-99.29615227211814,37.60555623118146
171,200259671002,-99.83333454200026,37.107582198007705
1322,201299646003,-101.88109311937032,37.01686786934303
1834,201730080001,-97.31285548867147,37.803174797866525
2219,201919623001,-97.6021117398118,37.13959718666986
1199,201137882001,-97.68088208686297,38.58984752110936
816,200910526083,-94.83675072344732,38.946771725208656
439,200579618011,-100.00872477323834,37.76163552162677
1848,201730083002,-97.36101989474524,37.73420959986643
570,200790305004,-97.43188153151692,38.133656230322565
1086,201019566002,-100.36385151527092,38.37510265944245
1599,201690009001,-97.5879262445681,38.82047434084402
834,200910527014,-94.9681844065788,38.96727907118216
580,200814631004,-100.84029737825324,37.47221015296844
2247,201974832001,-96.1757868445165,38.813730172653614
1226,201154897002,-97.00822455163016,38.35527147446323
2251,201999541002,-101.72603779276862,38.87078257507876
1747,201730055023,-97.35618830752264,37.559762856645385
596,200870201013,-95.52032556852586,39.26854227564537
1371,201390105002,-95.69861742725293,38.607160562298205
1244,201199667001,-100.3630307181408,37.301016586463824
2273,202070967001,-95.7298637056578,37.86475669304418
2018,201730107003,-97.78305474199696,37.62978537759504
228,200354941001,-97.02922196391138,37.05644389550766
491,200610003002,-96.84404469366235,39.03224221500854
372,200499651003,-96.40212474165408,37.45723227312187
1908,201730095083,-97.55866645961932,37.673018729602994
1274,201211007005,-94.96102693128044,38.49652138554209
1148,201050861001,-98.16646188708071,39.08253756502133
