State,5,10,25,50,100
Alabama,"[1728, 1161, 464, 1139, 1302]","[1728, 1161, 464, 1139, 1302, 1788, 661, 2071, 1336, 2460]","[1728, 1161, 464, 1139, 1302, 1788, 661, 2071, 1336, 2460, 2276, 2693, 3238, 1320, 779, 3275, 2928, 178, 882, 308, 1396, 2101, 3323, 3869, 3550]","[1728, 1161, 464, 1139, 1302, 1788, 661, 2071, 1336, 2460, 2276, 2693, 3238, 1320, 779, 3275, 2928, 178, 882, 308, 1396, 2101, 3323, 3869, 3550, 2176, 266, 1816, 537, 27, 3228, 3876, 1071, 307, 3895, 2233, 2626, 1476, 966, 2504, 3912, 3796, 1501, 477, 992, 2913, 866, 3054, 1528, 767]","[1728, 1161, 464, 1139, 1302, 1788, 661, 2071, 1336, 2460, 2276, 2693, 3238, 1320, 779, 3275, 2928, 178, 882, 308, 1396, 2101, 3323, 3869, 3550, 2176, 266, 1816, 537, 27, 3228, 3876, 1071, 307, 3895, 2233, 2626, 1476, 966, 2504, 3912, 3796, 1501, 477, 992, 2913, 866, 3054, 1528, 767, 1416, 137, 393, 2953, 2060, 3213, 398, 2458, 1307, 3226, 669, 158, 1314, 164, 1189, 1956, 3110, 2348, 818, 1586, 3122, 2743, 568, 1592, 2873, 3258, 2748, 959, 834, 2631, 3068, 3149, 463, 2895, 468, 1751, 1369, 2270, 224, 608, 1380, 741, 2029, 1140, 3317, 1145, 2427, 508, 3325, 1791]"
Alaska,"[3, 458, 212, 445, 447]","[3, 458, 212, 445, 447, 1, 450, 500, 215, 377]","[3, 458, 212, 445, 447, 1, 450, 500, 215, 377, 0, 289, 448, 227, 292, 481, 454, 205, 495, 474, 467, 214, 218, 380, 319]","[3, 458, 212, 445, 447, 1, 450, 500, 215, 377, 0, 289, 448, 227, 292, 481, 454, 205, 495, 474, 467, 214, 218, 380, 319, 2, 4, 277, 296, 433, 51, 449, 325, 453, 455, 456, 461, 208, 209, 222, 248, 228, 490, 365, 496, 497, 498, 499, 376, 378]","[3, 458, 212, 445, 447, 1, 450, 500, 215, 377, 0, 289, 448, 227, 292, 481, 454, 205, 495, 474, 467, 214, 218, 380, 319, 2, 4, 277, 296, 433, 51, 449, 325, 453, 455, 456, 461, 208, 209, 222, 248, 228, 490, 365, 496, 497, 498, 499, 376, 378, 384, 382, 133, 391, 12, 269, 151, 408, 283, 32, 167, 295, 297, 42, 298, 307, 437, 55, 441, 316, 446, 65, 321, 195, 451, 452, 331, 460, 206, 207, 334, 468, 471, 216, 348, 223, 224, 225, 487, 360, 106, 234, 492, 109, 366, 494, 501, 375, 379, 254]"
Arizona,"[258, 4108, 16, 369, 3163]","[258, 4108, 16, 369, 3163, 269, 61, 4216, 349, 3358]","[258, 4108, 16, 369, 3163, 269, 61, 4216, 349, 3358, 35, 4, 228, 3353, 265, 106, 3869, 3343, 272, 51, 2873, 24, 377, 3325, 4223]","[258, 4108, 16, 369, 3163, 269, 61, 4216, 349, 3358, 35, 4, 228, 3353, 265, 106, 3869, 3343, 272, 51, 2873, 24, 377, 3325, 4223, 256, 3333, 13, 4365, 3347, 149, 4117, 3369, 4525, 47, 312, 2875, 3388, 320, 849, 3164, 92, 3166, 351, 230, 359, 4584, 4329, 234, 254]","[258, 4108, 16, 369, 3163, 269, 61, 4216, 349, 3358, 35, 4, 228, 3353, 265, 106, 3869, 3343, 272, 51, 2873, 24, 377, 3325, 4223, 256, 3333, 13, 4365, 3347, 149, 4117, 3369, 4525, 47, 312, 2875, 3388, 320, 849, 3164, 92, 3166, 351, 230, 359, 4584, 4329, 234, 254, 0, 1, 257, 1667, 3330, 3079, 266, 11, 3338, 4239, 4498, 19, 3348, 3859, 22, 4377, 4123, 3872, 4515, 38, 3251, 308, 1720, 3896, 4154, 3387, 1597, 3262, 3773, 4673, 4677, 4686, 337, 2259, 3924, 4564, 3800, 4343, 1628, 3424, 3169, 482, 3817, 3179, 3182, 112, 3312, 119, 253, 638]"
Arkansas,"[576, 1667, 966, 245, 284]","[576, 1667, 966, 245, 284, 2179, 1258, 1069, 1327, 1714]","[576, 1667, 966, 245, 284, 2179, 1258, 1069, 1327, 1714, 960, 1057, 1028, 1252, 1864, 10, 1514, 1739, 2044, 2095, 1521, 1268, 951, 1180, 1215]","[576, 1667, 966, 245, 284, 2179, 1258, 1069, 1327, 1714, 960, 1057, 1028, 1252, 1864, 10, 1514, 1739, 2044, 2095, 1521, 1268, 951, 1180, 1215, 258, 1542, 272, 1300, 410, 29, 288, 546, 429, 1333, 700, 1855, 1345, 2115, 202, 842, 1618, 1877, 990, 746, 1003, 492, 2036, 1526, 1274]","[576, 1667, 966, 245, 284, 2179, 1258, 1069, 1327, 1714, 960, 1057, 1028, 1252, 1864, 10, 1514, 1739, 2044, 2095, 1521, 1268, 951, 1180, 1215, 258, 1542, 272, 1300, 410, 29, 288, 546, 429, 1333, 700, 1855, 1345, 2115, 202, 842, 1618, 1877, 990, 746, 1003, 492, 2036, 1526, 1274, 1282, 2057, 524, 1292, 1933, 534, 1308, 1569, 1186, 1827, 420, 1453, 1584, 2097, 306, 1972, 949, 1081, 317, 1981, 1599, 2111, 1474, 1347, 837, 1989, 973, 1491, 1236, 599, 1623, 473, 1370, 1751, 2008, 221, 1245, 2265, 1376, 2266, 1509, 1639, 108, 2286, 1263, 1008, 2159, 1913, 124, 1151]"
California,"[3649, 3010, 3536, 11088, 16310]","[3649, 3010, 3536, 11088, 16310, 3715, 11082, 17466, 10555, 3676]","[3649, 3010, 3536, 11088, 16310, 3715, 11082, 17466, 10555, 3676, 17536, 2881, 23264, 23299, 23271, 5448, 3529, 2511, 3728, 11023, 3187, 20858, 3868, 10845, 11071]","[3649, 3010, 3536, 11088, 16310, 3715, 11082, 17466, 10555, 3676, 17536, 2881, 23264, 23299, 23271, 5448, 3529, 2511, 3728, 11023, 3187, 20858, 3868, 10845, 11071, 20866, 1413, 1415, 25481, 3212, 17813, 17434, 13600, 3618, 13858, 10920, 12462, 11446, 17215, 17226, 24526, 15063, 2910, 1380, 15717, 11238, 24933, 3180, 24684, 3065]","[3649, 3010, 3536, 11088, 16310, 3715, 11082, 17466, 10555, 3676, 17536, 2881, 23264, 23299, 23271, 5448, 3529, 2511, 3728, 11023, 3187, 20858, 3868, 10845, 11071, 20866, 1413, 1415, 25481, 3212, 17813, 17434, 13600, 3618, 13858, 10920, 12462, 11446, 17215, 17226, 24526, 15063, 2910, 1380, 15717, 11238, 24933, 3180, 24684, 3065, 17024, 6019, 17542, 5767, 15496, 2826, 14602, 24460, 17421, 18701, 21775, 19600, 23315, 24467, 2326, 13853, 3872, 24480, 23210, 10801, 5810, 24883, 5304, 3897, 2873, 15035, 14012, 23352, 23609, 3776, 10816, 17730, 17477, 24519, 3922, 3028, 8404, 10582, 5847, 19290, 23644, 17506, 1383, 15081, 2282, 3050, 1271, 15096, 15102, 3199]"
Colorado,"[769, 2530, 1099, 786, 2974]","[769, 2530, 1099, 786, 2974, 3499, 1908, 3254, 3801, 989]","[769, 2530, 1099, 786, 2974, 3499, 1908, 3254, 3801, 989, 2086, 3527, 3622, 1097, 490, 3719, 2444, 1901, 3535, 3728, 3920, 1143, 1627, 3261, 3415]","[769, 2530, 1099, 786, 2974, 3499, 1908, 3254, 3801, 989, 2086, 3527, 3622, 1097, 490, 3719, 2444, 1901, 3535, 3728, 3920, 1143, 1627, 3261, 3415, 6, 2186, 780, 2192, 274, 3603, 2455, 1433, 2468, 165, 3110, 3252, 3511, 3767, 3388, 573, 3532, 3277, 3665, 222, 1380, 3308, 1134, 1647, 124]","[769, 2530, 1099, 786, 2974, 3499, 1908, 3254, 3801, 989, 2086, 3527, 3622, 1097, 490, 3719, 2444, 1901, 3535, 3728, 3920, 1143, 1627, 3261, 3415, 6, 2186, 780, 2192, 274, 3603, 2455, 1433, 2468, 165, 3110, 3252, 3511, 3767, 3388, 573, 3532, 3277, 3665, 222, 1380, 3308, 1134, 1647, 124, 2176, 1926, 3846, 3849, 1931, 12, 3220, 1692, 3489, 1699, 292, 2340, 3363, 177, 2482, 3891, 820, 1078, 1206, 3127, 3641, 1985, 1091, 4036, 2502, 3657, 2252, 3660, 1103, 1234, 3030, 1111, 3706, 476, 861, 605, 3549, 1504, 3935, 2532, 745, 3949, 2287, 2032, 3570, 1524, 2422, 3447, 761, 1274]"
Connecticut,"[1731, 2215, 1323, 365, 119]","[1731, 2215, 1323, 365, 119, 230, 1142, 534, 1273, 764]","[1731, 2215, 1323, 365, 119, 230, 1142, 534, 1273, 764, 352, 100, 1222, 554, 2378, 780, 2253, 401, 1684, 917, 1525, 2356, 2486, 2517, 1757]","[1731, 2215, 1323, 365, 119, 230, 1142, 534, 1273, 764, 352, 100, 1222, 554, 2378, 780, 2253, 401, 1684, 917, 1525, 2356, 2486, 2517, 1757, 1665, 1027, 2185, 2064, 920, 2331, 2592, 1829, 2599, 1961, 2609, 1204, 950, 1209, 2621, 2370, 1475, 2244, 333, 215, 615, 123, 1518, 2675, 1275]","[1731, 2215, 1323, 365, 119, 230, 1142, 534, 1273, 764, 352, 100, 1222, 554, 2378, 780, 2253, 401, 1684, 917, 1525, 2356, 2486, 2517, 1757, 1665, 1027, 2185, 2064, 920, 2331, 2592, 1829, 2599, 1961, 2609, 1204, 950, 1209, 2621, 2370, 1475, 2244, 333, 215, 615, 123, 1518, 2675, 1275, 2307, 391, 1543, 521, 1290, 1681, 274, 787, 419, 1573, 1190, 1835, 428, 2220, 1455, 1201, 2101, 1979, 2491, 2556, 1086, 319, 1599, 1473, 578, 834, 325, 581, 1228, 1358, 464, 338, 851, 1239, 2391, 93, 995, 229, 744, 1768, 2152, 2283, 2410, 2541, 878, 1905, 1138, 2298, 1916, 2175]"
Delaware,"[390, 147, 439, 410, 60]","[390, 147, 439, 410, 60, 678, 522, 114, 596, 639]","[390, 147, 439, 410, 60, 678, 522, 114, 596, 639, 448, 2, 408, 198, 41, 169, 282, 13, 180, 469, 150, 567, 344, 218, 62]","[390, 147, 439, 410, 60, 678, 522, 114, 596, 639, 448, 2, 408, 198, 41, 169, 282, 13, 180, 469, 150, 567, 344, 218, 62, 1, 262, 519, 534, 23, 543, 418, 547, 167, 555, 556, 562, 443, 316, 572, 575, 71, 462, 467, 355, 104, 490, 364, 119, 505]","[390, 147, 439, 410, 60, 678, 522, 114, 596, 639, 448, 2, 408, 198, 41, 169, 282, 13, 180, 469, 150, 567, 344, 218, 62, 1, 262, 519, 534, 23, 543, 418, 547, 167, 555, 556, 562, 443, 316, 572, 575, 71, 462, 467, 355, 104, 490, 364, 119, 505, 515, 643, 391, 647, 9, 12, 269, 142, 397, 144, 17, 146, 19, 524, 407, 154, 31, 673, 162, 291, 550, 679, 42, 554, 429, 175, 692, 54, 445, 319, 322, 330, 203, 460, 589, 336, 337, 466, 470, 598, 93, 349, 359, 622, 112, 113, 633, 380, 253, 383]"
Florida,"[11587, 3402, 11755, 3472, 1811]","[11587, 3402, 11755, 3472, 1811, 5347, 5290, 7723, 2667, 5100]","[11587, 3402, 11755, 3472, 1811, 5347, 5290, 7723, 2667, 5100, 10499, 6244, 4711, 13223, 4557, 11694, 6064, 7314, 179, 10228, 6358, 6743, 12822, 13278, 8511]","[11587, 3402, 11755, 3472, 1811, 5347, 5290, 7723, 2667, 5100, 10499, 6244, 4711, 13223, 4557, 11694, 6064, 7314, 179, 10228, 6358, 6743, 12822, 13278, 8511, 11521, 5379, 6147, 13062, 2699, 275, 1940, 2582, 6574, 2486, 12732, 11983, 3807, 4064, 4704, 9699, 11623, 362, 4594, 3958, 4345, 11643, 6140, 5757, 5118]","[11587, 3402, 11755, 3472, 1811, 5347, 5290, 7723, 2667, 5100, 10499, 6244, 4711, 13223, 4557, 11694, 6064, 7314, 179, 10228, 6358, 6743, 12822, 13278, 8511, 11521, 5379, 6147, 13062, 2699, 275, 1940, 2582, 6574, 2486, 12732, 11983, 3807, 4064, 4704, 9699, 11623, 362, 4594, 3958, 4345, 11643, 6140, 5757, 5118, 3, 3972, 6787, 2056, 1290, 12554, 3725, 8466, 1813, 662, 6549, 2330, 11420, 11679, 5796, 7848, 4525, 7983, 3125, 7734, 12864, 8518, 585, 7754, 10190, 6994, 8915, 213, 2646, 3670, 2776, 5590, 11607, 11609, 8284, 11485, 4702, 8929, 1891, 7401, 107, 1903, 3440, 497, 5746, 6513, 1652, 2038, 10233, 3452]"
Georgia,"[227, 5827, 6829, 6840, 5311]","[227, 5827, 6829, 6840, 5311, 6692, 7118, 6866, 407, 573]","[227, 5827, 6829, 6840, 5311, 6692, 7118, 6866, 407, 573, 705, 1410, 5699, 6787, 6849, 1222, 6851, 5066, 4749, 5870, 3375, 5521, 4403, 6708, 29]","[227, 5827, 6829, 6840, 5311, 6692, 7118, 6866, 407, 573, 705, 1410, 5699, 6787, 6849, 1222, 6851, 5066, 4749, 5870, 3375, 5521, 4403, 6708, 29, 2951, 267, 2064, 2450, 5144, 5529, 155, 2718, 4773, 2093, 7213, 817, 3893, 6595, 454, 6987, 6095, 1893, 6894, 5743, 6257, 7283, 4853, 3452, 7038]","[227, 5827, 6829, 6840, 5311, 6692, 7118, 6866, 407, 573, 705, 1410, 5699, 6787, 6849, 1222, 6851, 5066, 4749, 5870, 3375, 5521, 4403, 6708, 29, 2951, 267, 2064, 2450, 5144, 5529, 155, 2718, 4773, 2093, 7213, 817, 3893, 6595, 454, 6987, 6095, 1893, 6894, 5743, 6257, 7283, 4853, 3452, 7038, 3840, 129, 5889, 2182, 5511, 2443, 7053, 3598, 6159, 5655, 6295, 2972, 3361, 6817, 5539, 6947, 7332, 4391, 1964, 2351, 7345, 2867, 3511, 1337, 188, 4412, 5437, 7228, 6977, 6597, 7110, 6343, 712, 5321, 6476, 6356, 6871, 3163, 732, 223, 7392, 5602, 868, 1129, 5741, 5998, 7286, 5882, 5627, 1278]"
