State,5,10,25,50,100
Alabama,"[464, 1161, 1302, 1139, 652]","[464, 1161, 1302, 1139, 652, 1728, 1788, 3872, 1336, 1041]","[464, 1161, 1302, 1139, 652, 1728, 1788, 3872, 1336, 1041, 1954, 2460, 3893, 2101, 680, 512, 3550, 476, 661, 0, 779, 2276, 2176, 2071, 1320]","[464, 1161, 1302, 1139, 652, 1728, 1788, 3872, 1336, 1041, 1954, 2460, 3893, 2101, 680, 512, 3550, 476, 661, 0, 779, 2276, 2176, 2071, 1320, 2351, 882, 3275, 3238, 315, 537, 3638, 1304, 178, 992, 1396, 3323, 1071, 308, 3228, 3379, 2234, 3118, 3702, 2693, 3841, 2928, 465, 3796, 3830]","[464, 1161, 1302, 1139, 652, 1728, 1788, 3872, 1336, 1041, 1954, 2460, 3893, 2101, 680, 512, 3550, 476, 661, 0, 779, 2276, 2176, 2071, 1320, 2351, 882, 3275, 3238, 315, 537, 3638, 1304, 178, 992, 1396, 3323, 1071, 308, 3228, 3379, 2234, 3118, 3702, 2693, 3841, 2928, 465, 3796, 3830, 836, 1878, 866, 27, 2879, 3876, 2372, 3342, 1528, 2504, 1128, 3225, 2953, 3161, 3054, 2626, 666, 966, 893, 386, 767, 568, 1816, 2067, 45, 1501, 2098, 3317, 2630, 3714, 1145, 1476, 3865, 166, 2743, 818, 2467, 741, 255, 2913, 307, 3213, 224, 3912, 1315, 1751, 266, 1586, 2508, 1171]"
Alaska,"[445, 212, 458, 1, 447]","[445, 212, 458, 1, 447, 481, 3, 0, 450, 501]","[445, 212, 458, 1, 447, 481, 3, 0, 450, 501, 377, 218, 228, 277, 495, 214, 380, 292, 454, 461, 448, 205, 215, 497, 500]","[445, 212, 458, 1, 447, 481, 3, 0, 450, 501, 377, 218, 228, 277, 495, 214, 380, 292, 454, 461, 448, 205, 215, 497, 500, 319, 283, 4, 467, 325, 455, 433, 496, 2, 346, 209, 46, 365, 195, 487, 499, 234, 208, 227, 449, 502, 376, 474, 216, 453]","[445, 212, 458, 1, 447, 481, 3, 0, 450, 501, 377, 218, 228, 277, 495, 214, 380, 292, 454, 461, 448, 205, 215, 497, 500, 319, 283, 4, 467, 325, 455, 433, 496, 2, 346, 209, 46, 365, 195, 487, 499, 234, 208, 227, 449, 502, 376, 474, 216, 453, 408, 127, 222, 384, 378, 494, 498, 490, 456, 289, 452, 379, 296, 330, 254, 223, 226, 468, 492, 316, 307, 451, 382, 297, 471, 224, 206, 295, 441, 360, 65, 375, 225, 248, 109, 106, 269, 366, 207, 201, 294, 321, 352, 465, 6, 55, 435, 478, 334, 413]"
Arizona,"[4108, 16, 369, 258, 3163]","[4108, 16, 369, 258, 3163, 269, 61, 51, 3358, 34]","[4108, 16, 369, 258, 3163, 269, 61, 51, 3358, 34, 4216, 4223, 3353, 3330, 351, 3341, 47, 2873, 3869, 228, 4365, 4, 320, 377, 272]","[4108, 16, 369, 258, 3163, 269, 61, 51, 3358, 34, 4216, 4223, 3353, 3330, 351, 3341, 47, 2873, 3869, 228, 4365, 4, 320, 377, 272, 4329, 24, 3166, 349, 3325, 4117, 2875, 19, 106, 849, 4709, 3389, 4525, 149, 265, 4154, 3369, 1667, 257, 35, 3262, 3875, 13, 3859, 359]","[4108, 16, 369, 258, 3163, 269, 61, 51, 3358, 34, 4216, 4223, 3353, 3330, 351, 3341, 47, 2873, 3869, 228, 4365, 4, 320, 377, 272, 4329, 24, 3166, 349, 3325, 4117, 2875, 19, 106, 849, 4709, 3389, 4525, 149, 265, 4154, 3369, 1667, 257, 35, 3262, 3875, 13, 3859, 359, 3182, 4217, 3800, 312, 3193, 92, 4564, 3336, 308, 263, 4686, 3773, 4584, 254, 1628, 38, 3896, 4493, 4239, 1, 482, 234, 3817, 14, 3251, 1720, 3167, 4677, 3347, 230, 3328, 3356, 3387, 4515, 3316, 3312, 4122, 26, 3179, 4673, 3381, 4123, 4427, 638, 4498, 266, 119, 2259, 3279, 0]"
Arkansas,"[245, 966, 577, 284, 1714]","[245, 966, 577, 284, 1714, 2179, 1327, 1268, 1667, 1258]","[245, 966, 577, 284, 1714, 2179, 1327, 1268, 1667, 1258, 1069, 1180, 1854, 1057, 2044, 10, 960, 1827, 1215, 161, 1028, 969, 2260, 2266, 1252]","[245, 966, 577, 284, 1714, 2179, 1327, 1268, 1667, 1258, 1069, 1180, 1854, 1057, 2044, 10, 960, 1827, 1215, 161, 1028, 969, 2260, 2266, 1252, 1864, 1981, 951, 1235, 258, 2095, 1444, 546, 1186, 1526, 696, 2057, 1348, 1514, 1739, 1067, 964, 429, 1275, 1003, 202, 1715, 492, 1751, 2159]","[245, 966, 577, 284, 1714, 2179, 1327, 1268, 1667, 1258, 1069, 1180, 1854, 1057, 2044, 10, 960, 1827, 1215, 161, 1028, 969, 2260, 2266, 1252, 1864, 1981, 951, 1235, 258, 2095, 1444, 546, 1186, 1526, 696, 2057, 1348, 1514, 1739, 1067, 964, 429, 1275, 1003, 202, 1715, 492, 1751, 2159, 1600, 1991, 272, 1521, 576, 606, 2286, 1357, 1345, 946, 2115, 288, 410, 2202, 1282, 177, 1368, 143, 1943, 29, 256, 415, 1317, 1542, 306, 319, 1141, 1333, 524, 372, 842, 534, 700, 1211, 221, 1300, 1877, 1292, 210, 1618, 2008, 746, 990, 1491, 1528, 2132, 2036, 2234, 2097, 1933]"
California,"[11088, 16310, 3536, 3649, 3715]","[11088, 16310, 3536, 3649, 3715, 3676, 10555, 11071, 3728, 17466]","[11088, 16310, 3536, 3649, 3715, 3676, 10555, 11071, 3728, 17466, 3868, 23264, 20866, 10848, 11446, 13861, 3187, 3010, 23310, 3529, 2511, 20858, 17434, 3618, 1411]","[11088, 16310, 3536, 3649, 3715, 3676, 10555, 11071, 3728, 17466, 3868, 23264, 20866, 10848, 11446, 13861, 3187, 3010, 23310, 3529, 2511, 20858, 17434, 3618, 1411, 15063, 11023, 11238, 24526, 17536, 3065, 24883, 3776, 11082, 17813, 24684, 2906, 17215, 3212, 23299, 2881, 13853, 1415, 10920, 23210, 3189, 17493, 12462, 5448, 24933]","[11088, 16310, 3536, 3649, 3715, 3676, 10555, 11071, 3728, 17466, 3868, 23264, 20866, 10848, 11446, 13861, 3187, 3010, 23310, 3529, 2511, 20858, 17434, 3618, 1411, 15063, 11023, 11238, 24526, 17536, 3065, 24883, 3776, 11082, 17813, 24684, 2906, 17215, 3212, 23299, 2881, 13853, 1415, 10920, 23210, 3189, 17493, 12462, 5448, 24933, 3644, 17226, 5810, 3648, 23609, 1383, 25481, 13858, 13600, 24470, 3603, 23953, 15717, 17024, 3897, 3180, 24834, 15102, 11485, 18701, 24519, 3074, 2915, 24810, 15035, 3028, 15081, 6067, 13847, 17477, 2826, 5304, 16075, 23271, 14012, 2873, 11463, 1380, 10801, 21775, 23315, 3874, 19290, 1261, 2326, 3199, 15496, 15024, 24586, 3922]"
Colorado,"[769, 2974, 2530, 3257, 786]","[769, 2974, 2530, 3257, 786, 3499, 1908, 989, 2086, 3533]","[769, 2974, 2530, 3257, 786, 3499, 1908, 989, 2086, 3533, 1901, 3802, 3276, 3728, 3767, 1099, 3920, 1627, 3549, 1111, 1078, 1699, 490, 4036, 2532]","[769, 2974, 2530, 3257, 786, 3499, 1908, 989, 2086, 3533, 1901, 3802, 3276, 3728, 3767, 1099, 3920, 1627, 3549, 1111, 1078, 1699, 490, 4036, 2532, 1143, 870, 1129, 2970, 778, 3622, 2501, 1097, 3710, 1433, 124, 3261, 3719, 3110, 3996, 2467, 1931, 3220, 3940, 2491, 0, 3725, 3490, 3801, 2990]","[769, 2974, 2530, 3257, 786, 3499, 1908, 989, 2086, 3533, 1901, 3802, 3276, 3728, 3767, 1099, 3920, 1627, 3549, 1111, 1078, 1699, 490, 4036, 2532, 1143, 870, 1129, 2970, 778, 3622, 2501, 1097, 3710, 1433, 124, 3261, 3719, 3110, 3996, 2467, 1931, 3220, 3940, 2491, 0, 3725, 3490, 3801, 2990, 833, 2477, 3235, 2422, 1134, 1062, 808, 2192, 1918, 3527, 2879, 3511, 3415, 3363, 2444, 3814, 461, 3254, 3277, 3447, 3029, 6, 3535, 2206, 3308, 1647, 3846, 165, 761, 3388, 3603, 2816, 222, 2511, 3965, 2176, 1380, 2455, 1985, 2186, 689, 3532, 2252, 1858, 1926, 274, 1274, 1692, 1234, 358]"
Connecticut,"[2598, 609, 1731, 274, 2083]","[2598, 609, 1731, 274, 2083, 2557, 470, 2215, 1478, 764]","[2598, 609, 1731, 274, 2083, 2557, 470, 2215, 1478, 764, 1323, 2101, 1470, 547, 897, 1273, 1142, 119, 230, 534, 365, 1757, 2370, 2619, 780]","[2598, 609, 1731, 274, 2083, 2557, 470, 2215, 1478, 764, 1323, 2101, 1470, 547, 897, 1273, 1142, 119, 230, 534, 365, 1757, 2370, 2619, 780, 2340, 2253, 2517, 2287, 128, 1598, 2378, 1297, 2329, 1590, 239, 2170, 1525, 57, 360, 996, 1027, 497, 2486, 2356, 1803, 7, 1518, 401, 1684]","[2598, 609, 1731, 274, 2083, 2557, 470, 2215, 1478, 764, 1323, 2101, 1470, 547, 897, 1273, 1142, 119, 230, 534, 365, 1757, 2370, 2619, 780, 2340, 2253, 2517, 2287, 128, 1598, 2378, 1297, 2329, 1590, 239, 2170, 1525, 57, 360, 996, 1027, 497, 2486, 2356, 1803, 7, 1518, 401, 1684, 1665, 1281, 788, 1209, 950, 1222, 2675, 917, 2331, 1961, 697, 1345, 2691, 920, 2575, 2651, 1837, 2435, 2268, 1647, 2185, 2541, 1318, 645, 519, 2556, 2404, 554, 276, 2071, 615, 2007, 1443, 100, 1672, 1275, 17, 2592, 1869, 2152, 2609, 2283, 419, 641, 123, 2307, 878, 2220, 216, 1239]"
Delaware,"[390, 439, 410, 581, 596]","[390, 439, 410, 581, 596, 147, 678, 514, 60, 71]","[390, 439, 410, 581, 596, 147, 678, 514, 60, 71, 639, 505, 679, 0, 562, 598, 522, 341, 180, 218, 114, 5, 282, 448, 397]","[390, 439, 410, 581, 596, 147, 678, 514, 60, 71, 639, 505, 679, 0, 562, 598, 522, 341, 180, 218, 114, 5, 282, 448, 397, 543, 468, 622, 198, 266, 41, 150, 534, 547, 13, 169, 56, 567, 332, 286, 418, 62, 263, 556, 408, 104, 359, 203, 2, 673]","[390, 439, 410, 581, 596, 147, 678, 514, 60, 71, 639, 505, 679, 0, 562, 598, 522, 341, 180, 218, 114, 5, 282, 448, 397, 543, 468, 622, 198, 266, 41, 150, 534, 547, 13, 169, 56, 567, 332, 286, 418, 62, 263, 556, 408, 104, 359, 203, 2, 673, 445, 643, 572, 1, 462, 443, 490, 637, 469, 467, 321, 381, 557, 54, 555, 449, 318, 550, 32, 647, 496, 93, 427, 479, 42, 269, 519, 253, 19, 167, 11, 113, 380, 692, 88, 63, 512, 355, 575, 407, 344, 524, 162, 470, 142, 279, 349, 589, 154, 363]"
Florida,"[3472, 1811, 3402, 5347, 11755]","[3472, 1811, 3402, 5347, 11755, 11692, 11587, 2490, 1904, 5122]","[3472, 1811, 3402, 5347, 11755, 11692, 11587, 2490, 1904, 5122, 11679, 2667, 5100, 5290, 10499, 12861, 7723, 10226, 4711, 4557, 275, 6358, 5379, 4594, 6244]","[3472, 1811, 3402, 5347, 11755, 11692, 11587, 2490, 1904, 5122, 11679, 2667, 5100, 5290, 10499, 12861, 7723, 10226, 4711, 4557, 275, 6358, 5379, 4594, 6244, 6743, 5086, 12822, 179, 12450, 11643, 11521, 13223, 8511, 4064, 4345, 1940, 5951, 6064, 542, 531, 6107, 3807, 1813, 4805, 362, 3470, 2776, 12802, 3635]","[3472, 1811, 3402, 5347, 11755, 11692, 11587, 2490, 1904, 5122, 11679, 2667, 5100, 5290, 10499, 12861, 7723, 10226, 4711, 4557, 275, 6358, 5379, 4594, 6244, 6743, 5086, 12822, 179, 12450, 11643, 11521, 13223, 8511, 4064, 4345, 1940, 5951, 6064, 542, 531, 6107, 3807, 1813, 4805, 362, 3470, 2776, 12802, 3635, 11623, 2582, 10204, 13278, 3995, 7314, 13255, 4163, 12732, 12819, 10233, 11513, 10221, 664, 184, 4704, 3958, 7983, 3336, 2395, 11348, 3, 5757, 9699, 586, 1931, 11694, 4702, 2699, 12982, 6575, 7401, 5457, 3479, 9093, 5668, 12156, 6147, 1963, 6069, 2056, 6337, 7734, 10228, 12763, 13062, 2486, 3725, 6994, 13224]"
Georgia,"[227, 6840, 6692, 5311, 5827]","[227, 6840, 6692, 5311, 5827, 6829, 6854, 6866, 3375, 407]","[227, 6840, 6692, 5311, 5827, 6829, 6854, 6866, 3375, 407, 7118, 705, 6708, 573, 5521, 5870, 29, 1409, 6849, 6290, 5830, 4403, 5699, 5066, 2093]","[227, 6840, 6692, 5311, 5827, 6829, 6854, 6866, 3375, 407, 7118, 705, 6708, 573, 5521, 5870, 29, 1409, 6849, 6290, 5830, 4403, 5699, 5066, 2093, 5527, 7038, 1222, 6787, 4749, 6987, 234, 143, 1129, 626, 2951, 3840, 0, 6257, 7213, 389, 3452, 1893, 6894, 3893, 267, 2450, 454, 5487, 7116]","[227, 6840, 6692, 5311, 5827, 6829, 6854, 6866, 3375, 407, 7118, 705, 6708, 573, 5521, 5870, 29, 1409, 6849, 6290, 5830, 4403, 5699, 5066, 2093, 5527, 7038, 1222, 6787, 4749, 6987, 234, 143, 1129, 626, 2951, 3840, 0, 6257, 7213, 389, 3452, 1893, 6894, 3893, 267, 2450, 454, 5487, 7116, 926, 5743, 5515, 1410, 5249, 4992, 868, 155, 3511, 3138, 4439, 6595, 6095, 485, 6356, 7283, 3262, 732, 3361, 4773, 2064, 5144, 1176, 817, 7199, 424, 5714, 6978, 4895, 5655, 7405, 6989, 5889, 4853, 5602, 2463, 5293, 1337, 2717, 7392, 5632, 6603, 5778, 5321, 4789, 2351, 713, 131, 3598, 7228]"
