State,5,10,25,50,100
Alabama,"[1161, 652, 465, 1041, 1304]","[1161, 652, 465, 1041, 1304, 0, 1954, 680, 3893, 476]","[1161, 652, 465, 1041, 1304, 0, 1954, 680, 3893, 476, 512, 1728, 2176, 1315, 45, 3118, 2351, 3342, 2098, 3379, 3638, 537, 2234, 315, 3230]","[1161, 652, 465, 1041, 1304, 0, 1954, 680, 3893, 476, 512, 1728, 2176, 1315, 45, 3118, 2351, 3342, 2098, 3379, 3638, 537, 2234, 315, 3230, 3841, 386, 2694, 2067, 3225, 666, 3865, 3872, 2467, 166, 2102, 570, 2879, 836, 2372, 2508, 1878, 3161, 859, 1128, 1136, 758, 3702, 3830, 893]","[1161, 652, 465, 1041, 1304, 0, 1954, 680, 3893, 476, 512, 1728, 2176, 1315, 45, 3118, 2351, 3342, 2098, 3379, 3638, 537, 2234, 315, 3230, 3841, 386, 2694, 2067, 3225, 666, 3865, 3872, 2467, 166, 2102, 570, 2879, 836, 2372, 2508, 1878, 3161, 859, 1128, 1136, 758, 3702, 3830, 893, 3714, 2308, 2953, 780, 1037, 270, 1807, 401, 1171, 3219, 661, 1943, 1913, 922, 2329, 1564, 1317, 38, 39, 3752, 1964, 814, 2172, 1458, 1587, 692, 309, 1079, 701, 2749, 448, 2635, 844, 2766, 3540, 1494, 87, 215, 1239, 3676, 1886, 2014, 2142, 740, 1769, 490, 2284, 374, 505, 1788]"
Alaska,"[1, 3, 212, 445, 447]","[1, 3, 212, 445, 447, 450, 458, 495, 214, 377]","[1, 3, 212, 445, 447, 450, 458, 495, 214, 377, 0, 448, 227, 454, 455, 205, 365, 496, 209, 497, 499, 277, 501, 380, 478]","[1, 3, 212, 445, 447, 450, 458, 495, 214, 377, 0, 448, 227, 454, 455, 205, 365, 496, 209, 497, 499, 277, 501, 380, 478, 2, 4, 408, 283, 294, 435, 319, 449, 195, 452, 453, 330, 462, 208, 469, 216, 346, 219, 222, 226, 228, 376, 249, 378, 379]","[1, 3, 212, 445, 447, 450, 458, 495, 214, 377, 0, 448, 227, 454, 455, 205, 365, 496, 209, 497, 499, 277, 501, 380, 478, 2, 4, 408, 283, 294, 435, 319, 449, 195, 452, 453, 330, 462, 208, 469, 216, 346, 219, 222, 226, 228, 376, 249, 378, 379, 256, 384, 6, 262, 143, 272, 17, 275, 413, 289, 162, 295, 296, 297, 425, 47, 303, 441, 316, 190, 62, 321, 451, 69, 325, 456, 201, 206, 465, 466, 467, 215, 471, 217, 472, 92, 223, 224, 225, 352, 356, 487, 360, 233, 488, 489, 491, 492, 382, 127]"
Arizona,"[263, 4108, 369, 19, 3163]","[263, 4108, 369, 19, 3163, 34, 3330, 3352, 3353, 4223]","[263, 4108, 369, 19, 3163, 34, 3330, 3352, 3353, 4223, 320, 3328, 258, 4, 38, 264, 3341, 14, 47, 377, 4122, 3356, 349, 3167, 63]","[263, 4108, 369, 19, 3163, 34, 3330, 3352, 3353, 4223, 320, 3328, 258, 4, 38, 264, 3341, 14, 47, 377, 4122, 3356, 349, 3167, 63, 1, 259, 3336, 266, 13, 4493, 143, 4117, 26, 3358, 3872, 3875, 4526, 49, 3381, 2873, 2875, 3389, 4563, 351, 4217, 103, 366, 4216, 3193]","[263, 4108, 369, 19, 3163, 34, 3330, 3352, 3353, 4223, 320, 3328, 258, 4, 38, 264, 3341, 14, 47, 377, 4122, 3356, 349, 3167, 63, 1, 259, 3336, 266, 13, 4493, 143, 4117, 26, 3358, 3872, 3875, 4526, 49, 3381, 2873, 2875, 3389, 4563, 351, 4217, 103, 366, 4216, 3193, 1667, 4357, 3848, 11, 267, 3340, 4365, 272, 3346, 3858, 3348, 277, 278, 4499, 4123, 29, 32, 4515, 420, 295, 425, 305, 3893, 3255, 4538, 2876, 319, 4415, 2881, 66, 3784, 4427, 846, 3279, 3155, 4564, 3801, 227, 483, 4451, 3686, 231, 234, 3179, 4330, 3182, 3312, 3316, 4341, 3323]"
Arkansas,"[969, 1327, 1715, 245, 284]","[969, 1327, 1715, 245, 284, 577, 1057, 1827, 1268, 1854]","[969, 1327, 1715, 245, 284, 577, 1057, 1827, 1268, 1854, 161, 1186, 1348, 1444, 2057, 1067, 2188, 1357, 946, 1235, 2260, 696, 2266, 1275, 1981]","[969, 1327, 1715, 245, 284, 577, 1057, 1827, 1268, 1854, 161, 1186, 1348, 1444, 2057, 1067, 2188, 1357, 946, 1235, 2260, 696, 2266, 1275, 1981, 1026, 1667, 1286, 11, 143, 1943, 2202, 415, 1317, 177, 1211, 1215, 1600, 319, 1991, 210, 2132, 981, 1368, 606, 2149, 372, 1141, 1528, 2045]","[969, 1327, 1715, 245, 284, 577, 1057, 1827, 1268, 1854, 161, 1186, 1348, 1444, 2057, 1067, 2188, 1357, 946, 1235, 2260, 696, 2266, 1275, 1981, 1026, 1667, 1286, 11, 143, 1943, 2202, 415, 1317, 177, 1211, 1215, 1600, 319, 1991, 210, 2132, 981, 1368, 606, 2149, 372, 1141, 1528, 2045, 256, 1408, 1157, 136, 265, 1291, 1038, 18, 1426, 1173, 537, 921, 1690, 412, 669, 796, 925, 1437, 545, 1961, 2220, 688, 306, 562, 1460, 952, 1080, 2234, 1728, 2116, 69, 464, 1622, 343, 1751, 221, 480, 1121, 1377, 2147, 869, 1257, 875, 622, 1518, 240, 1392, 1785, 1402, 763]"
California,"[13861, 3536, 11088, 3728, 3676]","[13861, 3536, 11088, 3728, 3676, 3648, 23310, 11446, 17434, 11071]","[13861, 3536, 11088, 3728, 3676, 3648, 23310, 11446, 17434, 11071, 10848, 3010, 20866, 23268, 1415, 1383, 3529, 23210, 3189, 3897, 3065, 3868, 13853, 15102, 20855]","[13861, 3536, 11088, 3728, 3676, 3648, 23310, 11446, 17434, 11071, 10848, 3010, 20866, 23268, 1415, 1383, 3529, 23210, 3189, 3897, 3065, 3868, 13853, 15102, 20855, 24834, 1412, 19594, 3212, 11025, 23953, 3603, 23315, 24470, 13847, 15024, 24883, 23609, 11463, 11080, 24526, 15058, 17493, 2906, 11485, 23774, 24810, 3180, 1261, 3708]","[13861, 3536, 11088, 3728, 3676, 3648, 23310, 11446, 17434, 11071, 10848, 3010, 20866, 23268, 1415, 1383, 3529, 23210, 3189, 3897, 3065, 3868, 13853, 15102, 20855, 24834, 1412, 19594, 3212, 11025, 23953, 3603, 23315, 24470, 13847, 15024, 24883, 23609, 11463, 11080, 24526, 15058, 17493, 2906, 11485, 23774, 24810, 3180, 1261, 3708, 3074, 12418, 12036, 20995, 23298, 19592, 20872, 24586, 17421, 21137, 1305, 13594, 10910, 3874, 18466, 10660, 11432, 5805, 14893, 10801, 16306, 6067, 13620, 3894, 19257, 10558, 17343, 3008, 3776, 10816, 11460, 17477, 11207, 16075, 24017, 3669, 23254, 13785, 11232, 23264, 11492, 1129, 1387, 2795, 24686, 24942, 13680, 21624, 20861, 15999]"
Colorado,"[0, 769, 3499, 786, 3257]","[0, 769, 3499, 786, 3257, 2532, 3276, 3533, 1111, 2974]","[0, 769, 3499, 786, 3257, 2532, 3276, 3533, 1111, 2974, 1699, 2467, 2501, 870, 2087, 1129, 778, 3710, 1100, 3220, 1078, 3767, 2970, 3549, 1918]","[0, 769, 3499, 786, 3257, 2532, 3276, 3533, 1111, 2974, 1699, 2467, 2501, 870, 2087, 1129, 778, 3710, 1100, 3220, 1078, 3767, 2970, 3549, 1918, 1931, 3725, 3728, 3996, 2206, 3490, 3235, 3363, 1062, 808, 2477, 2990, 2491, 2879, 833, 4036, 461, 2511, 3920, 3029, 3800, 2530, 3814, 1908, 2422]","[0, 769, 3499, 786, 3257, 2532, 3276, 3533, 1111, 2974, 1699, 2467, 2501, 870, 2087, 1129, 778, 3710, 1100, 3220, 1078, 3767, 2970, 3549, 1918, 1931, 3725, 3728, 3996, 2206, 3490, 3235, 3363, 1062, 808, 2477, 2990, 2491, 2879, 833, 4036, 461, 2511, 3920, 3029, 3800, 2530, 3814, 1908, 2422, 2816, 1026, 776, 3721, 1418, 2966, 3353, 3738, 1819, 798, 3244, 689, 4023, 3002, 1084, 2620, 3901, 3775, 3264, 3265, 1858, 2500, 1093, 1221, 2380, 2767, 1747, 1877, 3670, 2263, 1113, 2137, 987, 2524, 3420, 3934, 1637, 358, 2535, 490, 1901, 1390, 2158, 3438, 370, 3829, 3447, 121, 3965, 1150]"
Connecticut,"[609, 2598, 274, 470, 2557]","[609, 2598, 274, 470, 2557, 2083, 547, 1478, 2101, 1470]","[609, 2598, 274, 470, 2557, 2083, 547, 1478, 2101, 1470, 897, 996, 2340, 2329, 7, 1803, 239, 2287, 497, 1297, 788, 1590, 57, 2170, 1598]","[609, 2598, 274, 470, 2557, 2083, 547, 1478, 2101, 1470, 897, 996, 2340, 2329, 7, 1803, 239, 2287, 497, 1297, 788, 1590, 57, 2170, 1598, 1281, 2435, 2691, 645, 519, 1672, 2318, 2575, 17, 276, 2071, 1443, 1318, 1837, 697, 1345, 2370, 1869, 2513, 1364, 2007, 2651, 2268, 2404, 1647]","[609, 2598, 274, 470, 2557, 2083, 547, 1478, 2101, 1470, 897, 996, 2340, 2329, 7, 1803, 239, 2287, 497, 1297, 788, 1590, 57, 2170, 1598, 1281, 2435, 2691, 645, 519, 1672, 2318, 2575, 17, 276, 2071, 1443, 1318, 1837, 697, 1345, 2370, 1869, 2513, 1364, 2007, 2651, 2268, 2404, 1647, 641, 892, 1033, 523, 1292, 2063, 1939, 2331, 1566, 287, 1951, 164, 549, 1967, 305, 2226, 436, 820, 2614, 1464, 953, 2490, 2107, 1855, 64, 706, 2629, 1611, 460, 1739, 2380, 466, 979, 2644, 1621, 855, 2265, 1375, 612, 486, 1000, 2283, 877, 2541, 884, 1013, 118, 1911, 633, 252]"
Delaware,"[0, 514, 581, 679, 598]","[0, 514, 581, 679, 598, 71, 562, 468, 341, 505]","[0, 514, 581, 679, 598, 71, 562, 468, 341, 505, 5, 390, 637, 266, 522, 332, 397, 622, 180, 596, 56, 218, 445, 286, 543]","[0, 514, 581, 679, 598, 71, 562, 468, 341, 505, 5, 390, 637, 266, 522, 332, 397, 622, 180, 596, 56, 218, 445, 286, 543, 263, 11, 534, 279, 158, 32, 418, 547, 42, 427, 557, 440, 443, 59, 318, 63, 321, 578, 457, 203, 88, 479, 359, 496, 381]","[0, 514, 581, 679, 598, 71, 562, 468, 341, 505, 5, 390, 637, 266, 522, 332, 397, 622, 180, 596, 56, 218, 445, 286, 543, 263, 11, 534, 279, 158, 32, 418, 547, 42, 427, 557, 440, 443, 59, 318, 63, 321, 578, 457, 203, 88, 479, 359, 496, 381, 512, 387, 643, 647, 269, 529, 19, 661, 282, 410, 671, 161, 289, 545, 292, 550, 298, 556, 54, 567, 314, 188, 61, 317, 448, 195, 68, 326, 455, 72, 73, 582, 76, 210, 339, 214, 601, 474, 93, 354, 227, 485, 614, 491, 619, 115, 502, 630, 379, 253]"
Florida,"[5122, 3470, 1904, 1811, 2490]","[5122, 3470, 1904, 1811, 2490, 11692, 275, 12861, 5086, 11679]","[5122, 3470, 1904, 1811, 2490, 11692, 275, 12861, 5086, 11679, 12450, 4805, 4711, 13224, 4594, 3635, 531, 6069, 10229, 3479, 12819, 11513, 6107, 542, 5951]","[5122, 3470, 1904, 1811, 2490, 11692, 275, 12861, 5086, 11679, 12450, 4805, 4711, 13224, 4594, 3635, 531, 6069, 10229, 3479, 12819, 11513, 6107, 542, 5951, 12802, 3336, 1931, 1813, 664, 3995, 5668, 1963, 12982, 184, 6337, 4163, 13255, 4553, 586, 5457, 11348, 2776, 5338, 2395, 10204, 12763, 10221, 368, 12156]","[5122, 3470, 1904, 1811, 2490, 11692, 275, 12861, 5086, 11679, 12450, 4805, 4711, 13224, 4594, 3635, 531, 6069, 10229, 3479, 12819, 11513, 6107, 542, 5951, 12802, 3336, 1931, 1813, 664, 3995, 5668, 1963, 12982, 184, 6337, 4163, 13255, 4553, 586, 5457, 11348, 2776, 5338, 2395, 10204, 12763, 10221, 368, 12156, 9093, 11785, 6163, 1940, 6291, 12309, 2455, 5400, 10142, 6050, 11428, 10159, 1844, 2359, 4666, 11580, 3389, 1981, 3263, 2115, 11386, 5703, 4168, 5835, 2764, 10446, 3280, 3408, 8273, 3667, 2516, 10454, 3961, 5979, 2012, 8285, 8414, 3936, 13283, 2662, 6246, 5098, 3309, 5486, 8303, 8431, 6129, 10356, 2297, 6266]"
Georgia,"[6854, 234, 7116, 3375, 6840]","[6854, 234, 7116, 3375, 6840, 0, 1409, 5830, 6708, 5527]","[6854, 234, 7116, 3375, 6840, 0, 1409, 5830, 6708, 5527, 6849, 389, 6693, 1129, 5705, 5515, 5293, 5870, 143, 2095, 6829, 626, 6290, 568, 28]","[6854, 234, 7116, 3375, 6840, 0, 1409, 5830, 6708, 5527, 6849, 389, 6693, 1129, 5705, 5515, 5293, 5870, 143, 2095, 6829, 626, 6290, 568, 28, 4992, 5249, 5520, 5778, 405, 1176, 158, 926, 4895, 7199, 424, 4789, 3894, 3262, 3138, 6978, 6985, 6603, 6989, 5714, 4439, 485, 5487, 6257, 7283]","[6854, 234, 7116, 3375, 6840, 0, 1409, 5830, 6708, 5527, 6849, 389, 6693, 1129, 5705, 5515, 5293, 5870, 143, 2095, 6829, 626, 6290, 568, 28, 4992, 5249, 5520, 5778, 405, 1176, 158, 926, 4895, 7199, 424, 4789, 3894, 3262, 3138, 6978, 6985, 6603, 6989, 5714, 4439, 485, 5487, 6257, 7283, 5632, 6656, 131, 2947, 4355, 266, 6157, 2702, 7314, 2072, 1053, 2463, 5664, 3361, 5538, 3873, 2725, 5159, 7212, 3249, 4404, 5685, 3511, 3001, 7228, 5821, 961, 194, 6594, 4041, 3278, 7038, 6867, 6356, 2901, 5338, 6875, 734, 6367, 2273, 868, 4071, 6252, 7407, 5234, 6901, 1910, 1018, 5374, 7167]"
