,GEOID,Longitude,Latitude
5856,371679312032,-80.18690337705142,35.350469720040735
6149,371819605004,-78.41139888183982,36.32389195107614
5715,371619608002,-81.87958676862038,35.32796256511983
5398,371539707003,-79.7704356725759,34.92034883116232
252,370159601005,-76.83033831172817,36.0804886112748
1651,370570614003,-80.24385855878096,35.8263481191407
1043,370370204024,-79.45953007178468,35.729496880131016
1814,370630010013,-78.88124915370754,35.987151296940645
3227,370939701073,-79.13661016179006,35.02270231186342
6910,371939601013,-80.88977276236511,36.24929864815422
645,370230214002,-81.67814098665237,35.72577339259634
4549,371270104002,-77.80080400438551,35.944716493627176
3720,371119704001,-81.9880204814916,35.68376569095307
3209,370919504011,-76.99790889447306,36.30885584796737
1098,370419301012,-76.60209918030299,36.059577910152974
4105,371190053053,-80.77899610417224,35.2732046128991
5230,371470015002,-77.42713804359256,35.37528342099456
6991,371950007022,-77.90082544304381,35.719820009016466
3793,371179702003,-77.06647876187401,35.844627486468326
6866,371910007001,-78.07180184221882,35.18352661037263
2071,370670005001,-80.23169518166476,36.11997222178017
5532,371570405012,-79.78445700618278,36.501109311909424
1309,370499613023,-76.89549900910207,34.87693706373998
3390,370999504003,-83.23025948544188,35.36897518111758
159,370079205022,-80.08412995487582,34.950083286919
1920,370630018112,-78.82116210911292,35.99245332277011
770,370270301004,-81.53982400030513,35.9114596221354
6789,371879502022,-76.7520854433835,35.83835398018311
2570,370779703001,-78.60256856868467,36.31824541854455
15,370010204003,-79.42861694806807,36.1075350183943
2450,370710318003,-81.2164573313509,35.26600761621453
6932,371939606003,-81.14284937526023,36.16067165975309
281,370179504013,-78.62097426467781,34.62202117523142
2080,370670008022,-80.2301100460716,36.07448271854985
1456,370510032051,-79.0249598338564,35.0252862618863
3253,370959201013,-75.89308739232287,35.13971604979446
1974,370630020261,-78.91161562424676,35.946274166599515
1477,370510033045,-78.97965032616689,35.10333197019316
2759,370810138002,-79.98700968216859,35.96890934650351
4935,371350110022,-79.11123362610844,36.0734750795907
6858,371910006013,-78.01935996148472,35.29202928010443
1740,370610903022,-78.0394723109743,34.995593510382555
3919,371190019271,-80.7410379093449,35.15962775292532
4047,371190038082,-80.88296431501985,35.14352990805651
4439,371219503003,-82.04747651454647,35.91135254395885
729,370250421013,-80.58712200062496,35.3903968592181
5992,371759605022,-82.81644221625031,35.19969917700954
2665,370810114004,-79.79537683451215,36.04719346426055
4461,371239605011,-79.72853428507706,35.29305263168254
2032,370650207001,-77.67704150922167,36.10655295744203
3200,370919501022,-77.11145885593378,36.456971260266165
4354,371190060122,-80.95130883997422,35.250476157086936
5496,371559617004,-79.11919611213492,34.45087500784497
4606,371270115021,-78.16975407610592,35.89642110259238
3851,371190015042,-80.75876682589403,35.24347401539914
1804,370630006001,-78.94854912056228,35.98722912805271
5780,371639709001,-78.4393322258285,34.89433779887275
2329,370690604042,-78.4392819397477,36.086260619742646
5408,371539709004,-79.71024477834727,34.89243437695411
421,370210002002,-82.5593287691247,35.599666349252544
2982,370839307023,-77.90637467484444,36.44160407083524
2985,370839308003,-77.93136826339,36.20679815792641
3242,370939703003,-79.22878973890039,34.98758488565349
2603,370799501013,-77.65027014334463,35.53754685599238
3629,371070107003,-77.58304532380872,35.267097758943
5421,371559601023,-78.96750080992182,34.799718299103674
176,370099705013,-81.41944613851845,36.42493537490265
1072,370399301013,-83.83062914454666,35.19936295666281
1842,370630016014,-78.88252334031638,36.07843609687541
6321,371830528114,-78.55601527304158,35.74558429025316
2102,370670016012,-80.21140311643582,36.13173730963271
2998,370839311021,-77.41205135111481,36.12373796399675
3064,370850714012,-79.0874705748036,35.28635293566363
2235,370670036004,-80.24791820328528,36.03983893214632
955,370350107001,-81.37287019014195,35.72782417539139
1724,370610901012,-77.81805983119662,35.13872971508193
3261,370970602001,-80.88033664145463,35.78004764019096
1727,370610901022,-77.8687862045954,35.10260725386989
3521,371010412051,-78.4112975005244,35.450966157656964
5186,371470007023,-77.38538399780549,35.60472230395951
3912,371190019232,-80.71216232102539,35.213334724550435
4816,371330004041,-77.38085893524372,34.5619636283002
209,370139301012,-76.6173259973282,35.59018770904327
3540,371010415042,-78.56512664571507,35.53880408236409
4054,371190039021,-80.90870974223378,35.21383934980128
4182,371190056122,-80.71872514731861,35.30122042393784
2651,370810111014,-79.7497845516167,36.06880605484161
1756,370610905053,-77.78844032797576,34.90843616995408
6241,371830523052,-78.67292621300987,35.76612174982897
3174,370899314021,-82.42614613065184,35.298492363015
4838,371330011021,-77.45024118806171,34.74697111741138
362,370190204073,-78.30287896270575,33.92922302302832
5999,371779601002,-76.23688741034162,35.92990225902226
2545,370739701003,-76.59325339260333,36.40611045061712
1523,370510035021,-78.97358700409683,35.1790458171143
3443,371010403033,-78.29001336072488,35.54313439197174
4085,371190045002,-80.87596142704984,35.251771913234585
118,370030404001,-81.1424173151166,35.917482733561734
1400,370510024021,-78.92207949247415,35.11241922627637
382,370190205103,-78.47444880067921,33.8940593738618
