,GEOID,Longitude,Latitude
2081,450599205033,-82.00467836602829,34.511682009152004
2498,450750113001,-80.86113219332645,33.48614345558924
868,450230202001,-81.23159950403475,34.706645346304384
2310,450679502004,-79.39229690588,34.188131416456365
980,450299705021,-80.67001603854982,32.89727486084974
3204,450899701003,-79.7508047185446,33.77930474601426
1065,450339704021,-79.36857501045976,34.411352778012365
3179,450870302002,-81.62890160307003,34.709082465719334
1932,450539502033,-80.97105389477352,32.482368616283544
141,450059702013,-81.31402133842388,33.00306008887629
163,450070007013,-82.67071296053483,34.494558005421936
2339,450699602012,-79.68822175499857,34.60995372394641
199,450070104033,-82.47204489717734,34.609600827687736
711,450190034002,-80.00586343961577,32.89887663373188
2375,450719505023,-81.62877220366424,34.28937731975009
15,450019505003,-82.37306019617324,34.16231893522609
48,450030206032,-81.93353990416405,33.52148482869051
848,450219705021,-81.64068496541435,35.07772287094477
1199,450399604013,-81.0895831425023,34.365261723350244
2610,450770112043,-82.81222851155897,34.693871759311506
2934,450830218033,-81.98836942229345,35.0048791793255
919,450259505042,-79.91379040301622,34.69836716122893
1016,450310107001,-80.07313750036131,34.36632043281495
314,450119702003,-81.24135239815602,33.33357144744247
957,450279608014,-80.32901647114566,33.63379322199534
257,450070115014,-82.39215747443312,34.438930974839565
904,450259502003,-80.40056510275767,34.689882421495504
1546,450450029013,-82.34737684093732,34.76351736940313
2573,450770108043,-82.59415196930351,34.81991479349674
1298,450410022041,-79.7683531762681,33.87546901888621
1171,450379702043,-81.92515846316023,33.78141597741151
3222,450899705024,-79.82152752922408,33.67058446404867
2973,450830222021,-81.80668955367211,35.02693179361074
3109,450850003003,-80.46336838817845,33.972190749731524
1319,450439202041,-79.56418507229066,33.46110119299356
3373,450910617083,-81.08844290962374,35.08137490374203
1977,450559708005,-80.59205194167149,34.25591676436318
2234,450630210442,-81.18840291733284,33.94640142066059
1338,450439205072,-79.12725911154689,33.45273254219067
1726,450499202022,-81.06811440065174,32.82201984530292
1087,450350103021,-80.54439316196549,33.27495225716302
2625,450790004001,-81.04508262390114,34.035588438395195
3020,450830228043,-82.04716858588729,35.06792324651797
3277,450910609082,-81.04879168271731,34.94550886123161
336,450130003003,-80.77363765583831,32.470203497555495
1365,450450004001,-82.40310466099234,34.83961417350843
470,450150205063,-80.00529207598669,33.192604266035474
3040,450830231013,-82.11799065719116,34.916657046060955
493,450150207161,-80.10824160864955,33.02635750850557
1530,450450028152,-82.22895625776292,34.79739373774457
2177,450630207082,-81.11772313333628,33.901015214723294
2817,450790114222,-80.89476579390129,34.17799444366305
519,450150208042,-80.01059234912442,32.97242448443543
3082,450830236024,-82.00930571294928,34.73818787042271
2700,450790103051,-81.19245352417411,34.11061359843374
1549,450450029033,-82.30316253003922,34.78536315581221
2319,450679504004,-79.25087956422217,34.20874654305875
2967,450830221012,-81.87820636968257,34.92918850156577
1695,450479705004,-82.15090854461181,34.187352813187275
1824,450510515012,-78.97753393581746,33.69414805290123
2465,450750104004,-80.52796416058294,33.52454662129523
299,450099602021,-80.89770822129611,33.1969053105531
686,450190031101,-80.05507544112862,32.86327591506512
431,450150201011,-80.19406978382277,33.40036742997001
2094,450599208003,-81.88991293319502,34.45536397926475
2225,450630210362,-81.27291033606497,33.89264227392566
50,450030206042,-81.94060218569379,33.55486199110635
1843,450510516091,-79.04089818367595,33.58394925723106
2734,450790104142,-81.11865294850419,34.05068920684299
2739,450790106001,-81.01281698055607,34.06536682150928
2995,450830224064,-81.9726681192719,35.04101292283797
2489,450750109024,-80.91011880224545,33.51971878640036
3003,450830224102,-81.94788929755072,35.07367022180408
318,450119703003,-81.36795307155502,33.24945687630835
191,450070102002,-82.4756888211259,34.6976712249787
2113,450619203024,-80.27011600300008,34.17450782537888
1997,450570102023,-80.59247212611574,34.51479025045803
82,450030211023,-81.81600907802938,33.52136043301037
3155,450850017042,-80.37652849405809,33.8945397267238
1749,450510203013,-78.93962235324376,34.00267433576688
1238,450410008003,-79.7535212694822,34.21024722129416
2007,450570105004,-80.77811012506774,34.69565770925894
3030,450830229023,-82.1042429438797,35.04145529877879
2649,450790021003,-81.00866579197636,34.0002665860629
347,450130006002,-80.67008324541443,32.43949045452221
1500,450450026102,-82.31869716482564,34.93439657923132
1116,450350106073,-80.2135559008924,33.00339665100005
2269,450630212052,-81.37097729090002,34.11183469464561
1381,450450011022,-82.39622714564905,34.870542680768686
232,450070110022,-82.74327587274377,34.53261049247186
617,450190021072,-80.07273182466682,32.717199683351375
2408,450730304042,-83.06966096327703,34.77003013593793
2545,450770104031,-82.71151399106755,34.84894360096646
2802,450790114142,-80.86791361314204,34.111483424717605
1651,450450041012,-82.50558658623933,35.027956403854446
2037,450570112052,-80.86266083137029,34.96094973180993
631,450190025032,-80.26350996121953,32.69057198202564
248,450070114012,-82.509684218082,34.526659345838695
1786,450510504011,-78.82835447763291,33.7462379900544
1535,450450028182,-82.27315471904872,34.86776875053606
