State,5,10,25,50,100
Alabama,"[2914, 805, 968, 404, 3606]","[2914, 805, 968, 404, 3606, 1088, 265, 2191, 178, 882]","[2914, 805, 968, 404, 3606, 1088, 265, 2191, 178, 882, 1728, 1377, 3872, 1161, 3628, 1071, 432, 2960, 3569, 1139, 2707, 661, 1302, 2460, 766]","[2914, 805, 968, 404, 3606, 1088, 265, 2191, 178, 882, 1728, 1377, 3872, 1161, 3628, 1071, 432, 2960, 3569, 1139, 2707, 661, 1302, 2460, 766, 2449, 2071, 1788, 3238, 2602, 3498, 2477, 2862, 952, 63, 1346, 2626, 3527, 3796, 987, 2270, 3295, 2276, 494, 3311, 1396, 247, 2552, 1275, 2940]","[2914, 805, 968, 404, 3606, 1088, 265, 2191, 178, 882, 1728, 1377, 3872, 1161, 3628, 1071, 432, 2960, 3569, 1139, 2707, 661, 1302, 2460, 766, 2449, 2071, 1788, 3238, 2602, 3498, 2477, 2862, 952, 63, 1346, 2626, 3527, 3796, 987, 2270, 3295, 2276, 494, 3311, 1396, 247, 2552, 1275, 2940, 1154, 2692, 1669, 646, 1415, 779, 2060, 3857, 150, 1816, 3363, 3876, 1061, 3110, 1320, 1448, 1576, 3243, 1708, 3880, 3120, 50, 1586, 308, 1971, 2101, 2482, 1336, 2743, 2873, 3258, 1217, 197, 2630, 1099, 3275, 3149, 1361, 213, 2520, 2780, 1501, 1118, 3550, 353, 866, 618, 1899, 2928, 3314]"
Alaska,"[3, 458, 212, 474, 445]","[3, 458, 212, 474, 445, 1, 228, 334, 501, 447]","[3, 458, 212, 474, 445, 1, 228, 334, 501, 447, 0, 289, 448, 450, 292, 325, 481, 497, 467, 502, 376, 218, 379, 380, 319]","[3, 458, 212, 474, 445, 1, 228, 334, 501, 447, 0, 289, 448, 450, 292, 325, 481, 497, 467, 502, 376, 218, 379, 380, 319, 2, 5, 277, 407, 32, 296, 449, 453, 454, 455, 456, 205, 208, 209, 468, 214, 222, 490, 365, 495, 496, 498, 500, 377, 382]","[3, 458, 212, 474, 445, 1, 228, 334, 501, 447, 0, 289, 448, 450, 292, 325, 481, 497, 467, 502, 376, 218, 379, 380, 319, 2, 5, 277, 407, 32, 296, 449, 453, 454, 455, 456, 205, 208, 209, 468, 214, 222, 490, 365, 495, 496, 498, 500, 377, 382, 384, 131, 391, 12, 269, 283, 29, 160, 166, 295, 297, 42, 298, 48, 176, 53, 437, 441, 316, 446, 320, 65, 321, 452, 332, 460, 206, 207, 461, 210, 213, 215, 473, 347, 223, 227, 103, 360, 487, 235, 492, 366, 494, 368, 499, 245, 375, 120, 378, 254]"
Arizona,"[4108, 14, 369, 4375, 92]","[4108, 14, 369, 4375, 92, 297, 3790, 3347, 3163, 3358]","[4108, 14, 369, 4375, 92, 297, 3790, 3347, 3163, 3358, 3362, 3, 259, 37, 3869, 491, 4718, 402, 51, 4216, 377, 349, 61, 889, 4223]","[4108, 14, 369, 4375, 92, 297, 3790, 3347, 3163, 3358, 3362, 3, 259, 37, 3869, 491, 4718, 402, 51, 4216, 377, 349, 61, 889, 4223, 257, 265, 3595, 3341, 4365, 3353, 1305, 1692, 4515, 3369, 3504, 2873, 964, 2247, 2759, 78, 849, 2130, 3166, 4584, 108, 3442, 4469, 380, 3325]","[4108, 14, 369, 4375, 92, 297, 3790, 3347, 3163, 3358, 3362, 3, 259, 37, 3869, 491, 4718, 402, 51, 4216, 377, 349, 61, 889, 4223, 257, 265, 3595, 3341, 4365, 3353, 1305, 1692, 4515, 3369, 3504, 2873, 964, 2247, 2759, 78, 849, 2130, 3166, 4584, 108, 3442, 4469, 380, 3325, 1667, 3334, 3079, 8, 650, 3982, 912, 149, 21, 4246, 2845, 4253, 543, 38, 1574, 3238, 172, 4525, 47, 1075, 308, 4403, 312, 1720, 3896, 2875, 3771, 320, 4673, 3575, 1351, 337, 4692, 3800, 3164, 351, 2660, 4709, 2022, 359, 871, 3817, 1386, 1770, 4329, 3182, 3957, 1910, 254, 638]"
Arkansas,"[587, 2035, 1972, 1335, 1213]","[587, 2035, 1972, 1335, 1213, 1766, 1586, 284, 1308, 29]","[587, 2035, 1972, 1335, 1213, 1766, 1586, 284, 1308, 29, 4, 836, 38, 937, 654, 2001, 1428, 1716, 86, 599, 1877, 985, 2102, 1180, 1245]","[587, 2035, 1972, 1335, 1213, 1766, 1586, 284, 1308, 29, 4, 836, 38, 937, 654, 2001, 1428, 1716, 86, 599, 1877, 985, 2102, 1180, 1245, 1667, 1028, 2179, 1542, 269, 1057, 290, 172, 1069, 1327, 561, 570, 577, 1739, 857, 1252, 1258, 1514, 108, 1520, 884, 245, 1013, 1268, 509]","[587, 2035, 1972, 1335, 1213, 1766, 1586, 284, 1308, 29, 4, 836, 38, 937, 654, 2001, 1428, 1716, 86, 599, 1877, 985, 2102, 1180, 1245, 1667, 1028, 2179, 1542, 269, 1057, 290, 172, 1069, 1327, 561, 570, 577, 1739, 857, 1252, 1258, 1514, 108, 1520, 884, 245, 1013, 1268, 509, 258, 10, 2060, 1933, 143, 1300, 534, 1693, 288, 1569, 546, 420, 1582, 1584, 1073, 2097, 1333, 311, 1466, 1594, 700, 2107, 960, 1345, 1474, 2115, 1864, 2120, 202, 842, 1099, 333, 978, 1746, 1365, 2265, 1370, 99, 1636, 746, 1003, 1773, 1518, 1135, 1646, 1526, 377, 1019, 2044, 1151]"
California,"[10857, 2986, 11088, 24798, 3903]","[10857, 2986, 11088, 24798, 3903, 3010, 3050, 1325, 3644, 3133]","[10857, 2986, 11088, 24798, 3903, 3010, 3050, 1325, 3644, 3133, 17536, 2881, 11393, 3715, 23683, 2250, 2282, 11082, 20121, 2931, 10835, 17813, 14745, 17466, 1501]","[10857, 2986, 11088, 24798, 3903, 3010, 3050, 1325, 3644, 3133, 17536, 2881, 11393, 3715, 23683, 2250, 2282, 11082, 20121, 2931, 10835, 17813, 14745, 17466, 1501, 10882, 25481, 18186, 3084, 3733, 2326, 3868, 288, 2598, 10412, 18605, 3001, 20794, 17215, 2764, 2511, 3676, 1380, 23271, 3436, 4720, 16882, 8567, 761, 20858]","[10857, 2986, 11088, 24798, 3903, 3010, 3050, 1325, 3644, 3133, 17536, 2881, 11393, 3715, 23683, 2250, 2282, 11082, 20121, 2931, 10835, 17813, 14745, 17466, 1501, 10882, 25481, 18186, 3084, 3733, 2326, 3868, 288, 2598, 10412, 18605, 3001, 20794, 17215, 2764, 2511, 3676, 1380, 23271, 3436, 4720, 16882, 8567, 761, 20858, 2948, 15496, 2826, 3467, 19598, 11023, 5522, 21396, 2454, 16793, 3743, 14240, 24480, 15526, 10920, 16174, 11446, 2873, 22843, 6588, 11580, 23486, 5951, 11071, 21575, 3529, 5963, 15820, 23627, 20686, 24526, 3536, 25422, 3923, 15060, 13013, 13532, 3293, 20318, 23264, 18402, 229, 24933, 9063, 2280, 24557, 3187, 20339, 18805, 9341]"
Colorado,"[3402, 3509, 2520, 2458, 3261]","[3402, 3509, 2520, 2458, 3261, 769, 2177, 3432, 786, 3292]","[3402, 3509, 2520, 2458, 3261, 769, 2177, 3432, 786, 3292, 2530, 3621, 3558, 1099, 3499, 1517, 1647, 143, 3920, 2482, 1908, 3481, 3388, 573, 2974]","[3402, 3509, 2520, 2458, 3261, 769, 2177, 3432, 786, 3292, 2530, 3621, 3558, 1099, 3499, 1517, 1647, 143, 3920, 2482, 1908, 3481, 3388, 573, 2974, 2, 1030, 2444, 3340, 3728, 3603, 281, 1433, 153, 543, 419, 2086, 3527, 1097, 3786, 3535, 3415, 3802, 1627, 989, 1118, 490, 1901, 1143, 761]","[3402, 3509, 2520, 2458, 3261, 769, 2177, 3432, 786, 3292, 2530, 3621, 3558, 1099, 3499, 1517, 1647, 143, 3920, 2482, 1908, 3481, 3388, 573, 2974, 2, 1030, 2444, 3340, 3728, 3603, 281, 1433, 153, 543, 419, 2086, 3527, 1097, 3786, 3535, 3415, 3802, 1627, 989, 1118, 490, 1901, 1143, 761, 6, 2439, 3719, 2057, 2186, 523, 3595, 655, 2192, 3859, 3605, 2455, 2328, 1691, 159, 3872, 2469, 3110, 3622, 296, 3750, 42, 3891, 3252, 1207, 57, 3641, 1985, 1605, 3269, 1226, 2252, 3277, 3532, 3660, 2002, 3033, 218, 3674, 605, 222, 2018, 2146, 1380, 3940, 2664, 1641, 2286, 3570, 1274]"
Connecticut,"[556, 365, 2191, 2675, 215]","[556, 365, 2191, 2675, 215, 1829, 1171, 1524, 757, 123]","[556, 365, 2191, 2675, 215, 1829, 1171, 1524, 757, 123, 193, 1731, 1894, 360, 394, 1323, 333, 1197, 1944, 534, 2517, 1144, 2298, 2619, 1663]","[556, 365, 2191, 2675, 215, 1829, 1171, 1524, 757, 123, 193, 1731, 1894, 360, 394, 1323, 333, 1197, 1944, 534, 2517, 1144, 2298, 2619, 1663, 128, 2185, 1682, 2587, 939, 1709, 560, 946, 2358, 1086, 842, 1228, 1613, 1358, 2253, 80, 723, 2391, 1763, 229, 1259, 751, 2031, 119, 1273]","[556, 365, 2191, 2675, 215, 1829, 1171, 1524, 757, 123, 193, 1731, 1894, 360, 394, 1323, 333, 1197, 1944, 534, 2517, 1144, 2298, 2619, 1663, 128, 2185, 1682, 2587, 939, 1709, 560, 946, 2358, 1086, 842, 1228, 1613, 1358, 2253, 80, 723, 2391, 1763, 229, 1259, 751, 2031, 119, 1273, 514, 1027, 1157, 2182, 391, 2694, 265, 650, 395, 1290, 781, 1545, 1172, 917, 22, 1175, 1819, 1187, 1700, 2215, 1448, 1916, 428, 173, 557, 2609, 2098, 1203, 1846, 2486, 320, 834, 580, 1998, 337, 851, 351, 96, 352, 1633, 2659, 230, 742, 2151, 878, 1518, 1525, 1142, 2677, 764]"
Delaware,"[555, 113, 147, 633, 410]","[555, 113, 147, 633, 410, 390, 519, 425, 663, 62]","[555, 113, 147, 633, 410, 390, 519, 425, 663, 62, 672, 449, 419, 567, 678, 169, 490, 13, 208, 17, 596, 439, 60, 254, 639]","[555, 113, 147, 633, 410, 390, 519, 425, 663, 62, 672, 449, 419, 567, 678, 169, 490, 13, 208, 17, 596, 439, 60, 254, 639, 522, 146, 534, 23, 408, 282, 154, 33, 162, 673, 41, 554, 176, 696, 319, 575, 67, 198, 462, 85, 218, 603, 103, 365, 374]","[555, 113, 147, 633, 410, 390, 519, 425, 663, 62, 672, 449, 419, 567, 678, 169, 490, 13, 208, 17, 596, 439, 60, 254, 639, 522, 146, 534, 23, 408, 282, 154, 33, 162, 673, 41, 554, 176, 696, 319, 575, 67, 198, 462, 85, 218, 603, 103, 365, 374, 2, 262, 135, 8, 391, 649, 397, 142, 15, 270, 145, 403, 150, 407, 24, 31, 547, 36, 420, 167, 42, 45, 430, 434, 563, 53, 183, 443, 444, 572, 573, 194, 322, 580, 460, 78, 464, 467, 469, 344, 349, 94, 227, 359, 250, 107, 112, 505, 122, 383]"
Florida,"[10240, 12832, 238, 5367, 348]","[10240, 12832, 238, 5367, 348, 11588, 8337, 3442, 6194, 8474]","[10240, 12832, 238, 5367, 348, 11588, 8337, 3442, 6194, 8474, 384, 3136, 7682, 2403, 8193, 12453, 2471, 2579, 3668, 12794, 10619, 13276, 3805, 3454, 3359]","[10240, 12832, 238, 5367, 348, 11588, 8337, 3442, 6194, 8474, 384, 3136, 7682, 2403, 8193, 12453, 2471, 2579, 3668, 12794, 10619, 13276, 3805, 3454, 3359, 13185, 10501, 3341, 9500, 5290, 8112, 4789, 3639, 2241, 12097, 8515, 1747, 4949, 13016, 11609, 1886, 6757, 5741, 4462, 11502, 2038, 3707, 6140, 1917, 12543]","[10240, 12832, 238, 5367, 348, 11588, 8337, 3442, 6194, 8474, 384, 3136, 7682, 2403, 8193, 12453, 2471, 2579, 3668, 12794, 10619, 13276, 3805, 3454, 3359, 13185, 10501, 3341, 9500, 5290, 8112, 4789, 3639, 2241, 12097, 8515, 1747, 4949, 13016, 11609, 1886, 6757, 5741, 4462, 11502, 2038, 3707, 6140, 1917, 12543, 11653, 2057, 2705, 7314, 1811, 5780, 11538, 1433, 11420, 9759, 162, 6562, 6818, 3496, 4649, 7723, 1588, 10805, 4022, 7351, 9529, 5562, 4541, 7489, 7879, 8264, 3273, 3402, 333, 2643, 10581, 1498, 11485, 5472, 5347, 362, 2667, 5100, 2029, 3566, 5228, 11754, 4723, 5748, 1143, 4217, 7034, 11643, 8444, 9082]"
Georgia,"[6829, 6926, 5653, 58, 1950]","[6829, 6926, 5653, 58, 1950, 385, 6792, 4877, 5805, 6776]","[6829, 6926, 5653, 58, 1950, 385, 6792, 4877, 5805, 6776, 7108, 614, 102, 6312, 6025, 10, 2251, 3051, 5905, 244, 213, 3638, 6135, 3928, 2748]","[6829, 6926, 5653, 58, 1950, 385, 6792, 4877, 5805, 6776, 7108, 614, 102, 6312, 6025, 10, 2251, 3051, 5905, 244, 213, 3638, 6135, 3928, 2748, 1280, 3074, 4995, 4378, 2075, 7196, 1310, 5920, 3490, 6692, 4773, 6959, 6448, 2353, 5827, 2631, 4936, 1747, 5085, 735, 227, 2796, 7404, 495, 885]","[6829, 6926, 5653, 58, 1950, 385, 6792, 4877, 5805, 6776, 7108, 614, 102, 6312, 6025, 10, 2251, 3051, 5905, 244, 213, 3638, 6135, 3928, 2748, 1280, 3074, 4995, 4378, 2075, 7196, 1310, 5920, 3490, 6692, 4773, 6959, 6448, 2353, 5827, 2631, 4936, 1747, 5085, 735, 227, 2796, 7404, 495, 885, 1410, 4738, 5507, 6786, 5382, 7300, 4749, 5521, 2452, 6036, 6676, 407, 4251, 2972, 2717, 6430, 1444, 5416, 3375, 6708, 6581, 6840, 1853, 573, 5310, 705, 3393, 1219, 5699, 5066, 7374, 4176, 850, 5458, 4564, 2901, 3797, 5842, 6866, 2523, 1372, 7135, 3815, 4584, 1131, 2284, 5743, 6511, 5873, 3957]"
