State,5,10,25,50,100
Alabama,"[968, 805, 3606, 178, 404]","[968, 805, 3606, 178, 404, 2914, 1088, 661, 882, 2449]","[968, 805, 3606, 178, 404, 2914, 1088, 661, 882, 2449, 261, 2191, 3569, 432, 2960, 2482, 3872, 3628, 766, 952, 1120, 493, 2707, 1277, 1377]","[968, 805, 3606, 178, 404, 2914, 1088, 661, 882, 2449, 261, 2191, 3569, 432, 2960, 2482, 3872, 3628, 766, 952, 1120, 493, 2707, 1277, 1377, 1302, 2520, 3295, 1070, 2460, 646, 0, 63, 2602, 1139, 2101, 2873, 3374, 353, 818, 1161, 2552, 1728, 247, 112, 2626, 197, 618, 2940, 426]","[968, 805, 3606, 178, 404, 2914, 1088, 661, 882, 2449, 261, 2191, 3569, 432, 2960, 2482, 3872, 3628, 766, 952, 1120, 493, 2707, 1277, 1377, 1302, 2520, 3295, 1070, 2460, 646, 0, 63, 2602, 1139, 2101, 2873, 3374, 353, 818, 1161, 2552, 1728, 247, 112, 2626, 197, 618, 2940, 426, 3527, 3186, 3855, 958, 987, 2477, 3550, 1154, 210, 2190, 1788, 1971, 923, 3345, 3311, 1217, 1346, 3580, 3880, 3700, 485, 1396, 3498, 3241, 1708, 2692, 2859, 1899, 1586, 3796, 2060, 2921, 1336, 779, 265, 904, 1099, 1069, 3120, 308, 1950, 2270, 1061, 1620, 3258, 3314, 2780, 3876, 1384, 1023]"
Alaska,"[445, 472, 458, 212, 1]","[445, 472, 458, 212, 1, 334, 447, 3, 481, 228]","[445, 472, 458, 212, 1, 334, 447, 3, 481, 228, 0, 502, 218, 377, 450, 277, 501, 461, 292, 496, 360, 454, 448, 497, 205]","[445, 472, 458, 212, 1, 334, 447, 3, 481, 228, 0, 502, 218, 377, 450, 277, 501, 461, 292, 496, 360, 454, 448, 497, 205, 325, 380, 215, 495, 490, 467, 5, 214, 319, 455, 2, 346, 209, 487, 494, 365, 208, 452, 453, 449, 376, 283, 223, 316, 222]","[445, 472, 458, 212, 1, 334, 447, 3, 481, 228, 0, 502, 218, 377, 450, 277, 501, 461, 292, 496, 360, 454, 448, 497, 205, 325, 380, 215, 495, 490, 467, 5, 214, 319, 455, 2, 346, 209, 487, 494, 365, 208, 452, 453, 449, 376, 283, 223, 316, 222, 329, 378, 499, 384, 468, 498, 456, 379, 289, 296, 226, 382, 492, 216, 407, 254, 32, 451, 297, 471, 227, 224, 201, 206, 441, 295, 426, 353, 196, 16, 366, 500, 321, 375, 474, 225, 269, 65, 103, 341, 207, 217, 42, 294, 156, 245, 298, 465, 4, 488]"
Arizona,"[92, 14, 4377, 369, 4108]","[92, 14, 4377, 369, 4108, 3790, 3362, 297, 259, 491]","[92, 14, 4377, 369, 4108, 3790, 3362, 297, 259, 491, 37, 4469, 3163, 3358, 3347, 4223, 47, 402, 61, 895, 3869, 4216, 4718, 3341, 351]","[92, 14, 4377, 369, 4108, 3790, 3362, 297, 259, 491, 37, 4469, 3163, 3358, 3347, 4223, 47, 402, 61, 895, 3869, 4216, 4718, 3341, 351, 50, 3325, 4403, 3, 380, 78, 2660, 4375, 377, 1911, 2130, 2762, 4515, 1307, 3369, 3504, 849, 3353, 667, 4365, 1691, 2873, 3632, 307, 3851]","[92, 14, 4377, 369, 4108, 3790, 3362, 297, 259, 491, 37, 4469, 3163, 3358, 3347, 4223, 47, 402, 61, 895, 3869, 4216, 4718, 3341, 351, 50, 3325, 4403, 3, 380, 78, 2660, 4375, 377, 1911, 2130, 2762, 4515, 1307, 3369, 3504, 849, 3353, 667, 4365, 1691, 2873, 3632, 307, 3851, 3166, 4329, 1667, 4008, 3182, 964, 4241, 1770, 24, 2845, 172, 3876, 4117, 4584, 4419, 320, 3771, 1180, 3334, 2247, 2486, 257, 106, 3442, 2620, 2875, 638, 4696, 35, 3862, 4484, 3238, 4525, 3730, 4156, 3098, 21, 265, 349, 258, 4673, 889, 149, 1320, 359, 2022, 545, 4710, 503, 4087]"
Arkansas,"[2035, 587, 1429, 1213, 1766]","[2035, 587, 1429, 1213, 1766, 654, 836, 0, 1308, 1586]","[2035, 587, 1429, 1213, 1766, 654, 836, 0, 1308, 1586, 1335, 29, 937, 4, 592, 1972, 86, 38, 284, 1667, 577, 1716, 509, 1019, 883]","[2035, 587, 1429, 1213, 1766, 654, 836, 0, 1308, 1586, 1335, 29, 937, 4, 592, 1972, 86, 38, 284, 1667, 577, 1716, 509, 1019, 883, 2001, 1180, 290, 166, 1099, 857, 143, 1245, 2102, 1745, 1056, 561, 570, 1776, 1364, 333, 1877, 1268, 1693, 269, 1116, 684, 985, 1598, 1542]","[2035, 587, 1429, 1213, 1766, 654, 836, 0, 1308, 1586, 1335, 29, 937, 4, 592, 1972, 86, 38, 284, 1667, 577, 1716, 509, 1019, 883, 2001, 1180, 290, 166, 1099, 857, 143, 1245, 2102, 1745, 1056, 561, 570, 1776, 1364, 333, 1877, 1268, 1693, 269, 1116, 684, 985, 1598, 1542, 311, 245, 599, 377, 112, 1258, 1485, 2060, 794, 1341, 512, 258, 1135, 2179, 1151, 1028, 1514, 1073, 1252, 99, 2115, 806, 1582, 1049, 1708, 1069, 948, 546, 1847, 1166, 1772, 1953, 1327, 502, 755, 978, 1864, 1793, 2265, 1474, 1854, 1663, 90, 202, 10, 288, 534, 1739, 113, 1301]"
California,"[2986, 10857, 3912, 24793, 11088]","[2986, 10857, 3912, 24793, 11088, 3649, 1317, 3133, 10834, 20794]","[2986, 10857, 3912, 24793, 11088, 3649, 1317, 3133, 10834, 20794, 11393, 3050, 2250, 20121, 1501, 2881, 3084, 3715, 20866, 761, 18605, 2931, 3868, 3889, 20740]","[2986, 10857, 3912, 24793, 11088, 3649, 1317, 3133, 10834, 20794, 11393, 3050, 2250, 20121, 1501, 2881, 3084, 3715, 20866, 761, 18605, 2931, 3868, 3889, 20740, 23660, 15060, 3760, 3189, 3010, 23975, 3676, 16882, 21624, 10882, 22843, 17466, 20858, 25422, 17813, 14745, 3001, 2826, 288, 23620, 2511, 11445, 6588, 2597, 11023]","[2986, 10857, 3912, 24793, 11088, 3649, 1317, 3133, 10834, 20794, 11393, 3050, 2250, 20121, 1501, 2881, 3084, 3715, 20866, 761, 18605, 2931, 3868, 3889, 20740, 23660, 15060, 3760, 3189, 3010, 23975, 3676, 16882, 21624, 10882, 22843, 17466, 20858, 25422, 17813, 14745, 3001, 2826, 288, 23620, 2511, 11445, 6588, 2597, 11023, 10412, 11580, 21396, 1134, 3465, 3979, 20318, 2764, 17536, 24836, 3733, 23486, 20326, 16793, 2948, 23264, 369, 18186, 8563, 16174, 3529, 17147, 1113, 11071, 2277, 3293, 18402, 3618, 24933, 5951, 2890, 17215, 1511, 24039, 854, 13532, 13013, 13850, 1843, 19580, 20686, 15526, 21070, 10848, 11082, 24798, 3772, 2326, 17494, 1325]"
Colorado,"[3509, 2458, 3261, 3402, 3292]","[3509, 2458, 3261, 3402, 3292, 769, 3432, 786, 2520, 2177]","[3509, 2458, 3261, 3402, 3292, 769, 3432, 786, 2520, 2177, 3558, 2977, 2482, 1118, 3481, 143, 2530, 1065, 3498, 3393, 1908, 1647, 3751, 2972, 1517]","[3509, 2458, 3261, 3402, 3292, 769, 3432, 786, 2520, 2177, 3558, 2977, 2482, 1118, 3481, 143, 2530, 1065, 3498, 3393, 1908, 1647, 3751, 2972, 1517, 3603, 3786, 1901, 2, 3675, 3535, 2086, 91, 153, 761, 2585, 989, 3920, 3964, 490, 1536, 573, 1099, 3549, 1433, 1078, 3728, 3935, 1143, 1627]","[3509, 2458, 3261, 3402, 3292, 769, 3432, 786, 2520, 2177, 3558, 2977, 2482, 1118, 3481, 143, 2530, 1065, 3498, 3393, 1908, 1647, 3751, 2972, 1517, 3603, 3786, 1901, 2, 3675, 3535, 2086, 91, 153, 761, 2585, 989, 3920, 3964, 490, 1536, 573, 1099, 3549, 1433, 1078, 3728, 3935, 1143, 1627, 1030, 2942, 996, 2444, 2199, 419, 685, 3033, 3621, 1062, 2439, 281, 1161, 543, 3277, 4004, 778, 336, 3864, 2057, 2252, 2507, 3340, 2002, 3110, 3996, 1207, 144, 2491, 3488, 899, 1699, 218, 2146, 571, 1132, 3220, 2968, 3725, 2990, 1111, 1355, 222, 870, 1554, 366, 628, 57, 3719, 1810]"
Connecticut,"[556, 2675, 1524, 2191, 1652]","[556, 2675, 1524, 2191, 1652, 1611, 168, 1829, 1171, 1350]","[556, 2675, 1524, 2191, 1652, 1611, 168, 1829, 1171, 1350, 1797, 1896, 650, 203, 365, 562, 1944, 757, 723, 2298, 2517, 534, 123, 1144, 2031]","[556, 2675, 1524, 2191, 1652, 1611, 168, 1829, 1171, 1350, 1797, 1896, 650, 203, 365, 562, 1944, 757, 723, 2298, 2517, 534, 123, 1144, 2031, 1929, 392, 71, 2435, 215, 2659, 1526, 1621, 27, 668, 2078, 614, 1731, 1677, 2110, 1197, 1323, 2619, 1518, 946, 2185, 2587, 346, 1408, 2253]","[556, 2675, 1524, 2191, 1652, 1611, 168, 1829, 1171, 1350, 1797, 1896, 650, 203, 365, 562, 1944, 757, 723, 2298, 2517, 534, 123, 1144, 2031, 1929, 392, 71, 2435, 215, 2659, 1526, 1621, 27, 668, 2078, 614, 1731, 1677, 2110, 1197, 1323, 2619, 1518, 946, 2185, 2587, 346, 1408, 2253, 842, 2225, 514, 1086, 879, 1990, 1827, 2456, 274, 153, 1358, 1663, 921, 295, 2599, 1493, 1828, 193, 851, 1290, 80, 1507, 1709, 2674, 1228, 2285, 552, 1791, 128, 1691, 739, 1274, 2356, 2301, 683, 1763, 2519, 1613, 2043, 265, 1548, 2151, 560, 624, 807, 1428, 1914, 2098, 2694, 1027]"
Delaware,"[633, 113, 519, 673, 410]","[633, 113, 519, 673, 410, 491, 161, 567, 425, 222]","[633, 113, 519, 673, 410, 491, 161, 567, 425, 222, 555, 390, 449, 582, 66, 62, 596, 672, 262, 0, 110, 419, 639, 183, 505]","[633, 113, 519, 673, 410, 491, 161, 567, 425, 222, 555, 390, 449, 582, 66, 62, 596, 672, 262, 0, 110, 419, 639, 183, 505, 534, 365, 434, 227, 308, 564, 290, 67, 603, 13, 87, 522, 439, 556, 147, 23, 199, 397, 374, 663, 253, 41, 170, 17, 151]","[633, 113, 519, 673, 410, 491, 161, 567, 425, 222, 555, 390, 449, 582, 66, 62, 596, 672, 262, 0, 110, 419, 639, 183, 505, 534, 365, 434, 227, 308, 564, 290, 67, 603, 13, 87, 522, 439, 556, 147, 23, 199, 397, 374, 663, 253, 41, 170, 17, 151, 649, 430, 411, 678, 490, 696, 671, 319, 31, 344, 404, 598, 198, 186, 220, 60, 622, 664, 446, 282, 514, 469, 322, 103, 383, 572, 45, 264, 132, 462, 176, 19, 299, 202, 583, 464, 512, 554, 562, 69, 359, 85, 432, 391, 620, 638, 252, 162, 547, 218]"
Florida,"[10240, 238, 12832, 357, 5367]","[10240, 238, 12832, 357, 5367, 8341, 12453, 8465, 3641, 339]","[10240, 238, 12832, 357, 5367, 8341, 12453, 8465, 3641, 339, 6196, 11588, 3136, 12794, 4736, 3668, 382, 2471, 3442, 1903, 2579, 13276, 10619, 12097, 3454]","[10240, 238, 12832, 357, 5367, 8341, 12453, 8465, 3641, 339, 6196, 11588, 3136, 12794, 4736, 3668, 382, 2471, 3442, 1903, 2579, 13276, 10619, 12097, 3454, 8193, 1886, 11609, 3341, 13016, 2353, 3546, 8376, 5739, 3753, 9768, 4541, 12823, 13185, 1917, 11502, 4789, 2403, 7681, 2038, 10501, 5304, 9500, 11653, 2241]","[10240, 238, 12832, 357, 5367, 8341, 12453, 8465, 3641, 339, 6196, 11588, 3136, 12794, 4736, 3668, 382, 2471, 3442, 1903, 2579, 13276, 10619, 12097, 3454, 8193, 1886, 11609, 3341, 13016, 2353, 3546, 8376, 5739, 3753, 9768, 4541, 12823, 13185, 1917, 11502, 4789, 2403, 7681, 2038, 10501, 5304, 9500, 11653, 2241, 6757, 162, 12543, 8474, 11431, 8112, 8536, 2030, 4462, 5064, 211, 5478, 6194, 9082, 3359, 5974, 4649, 6140, 3707, 332, 4950, 4723, 4022, 10625, 3095, 5370, 2705, 1749, 6266, 5290, 1498, 2118, 3619, 3494, 5780, 10805, 3176, 1588, 8320, 8444, 7489, 3273, 8264, 4592, 8337, 11807, 10581, 384, 10226, 1811]"
Georgia,"[6926, 58, 5653, 1950, 6776]","[6926, 58, 5653, 1950, 6776, 6792, 385, 6135, 6829, 4877]","[6926, 58, 5653, 1950, 6776, 6792, 385, 6135, 6829, 4877, 5805, 9, 7108, 2748, 2251, 102, 495, 3074, 3928, 614, 213, 244, 3051, 3638, 6025]","[6926, 58, 5653, 1950, 6776, 6792, 385, 6135, 6829, 4877, 5805, 9, 7108, 2748, 2251, 102, 495, 3074, 3928, 614, 213, 244, 3051, 3638, 6025, 735, 6448, 6312, 4378, 4994, 4936, 2601, 1280, 1131, 7196, 227, 53, 6692, 5900, 381, 1310, 5085, 6840, 5507, 3490, 3375, 850, 5873, 2353, 7135]","[6926, 58, 5653, 1950, 6776, 6792, 385, 6135, 6829, 4877, 5805, 9, 7108, 2748, 2251, 102, 495, 3074, 3928, 614, 213, 244, 3051, 3638, 6025, 735, 6448, 6312, 4378, 4994, 4936, 2601, 1280, 1131, 7196, 227, 53, 6692, 5900, 381, 1310, 5085, 6840, 5507, 3490, 3375, 850, 5873, 2353, 7135, 885, 6581, 5920, 1482, 1410, 6325, 916, 1746, 6866, 6708, 4738, 6924, 2796, 4179, 5521, 4875, 3797, 6676, 4773, 1372, 6430, 2901, 2074, 5842, 2663, 7404, 5458, 6036, 6130, 1219, 5310, 407, 1853, 3332, 7300, 2700, 3021, 5827, 2098, 6959, 705, 2523, 6511, 3957, 4908, 1898, 4584, 5699, 2109, 6290]"
