State,5,10,25,50,100
Alabama,"[261, 968, 178, 818, 3606]","[261, 968, 178, 818, 3606, 0, 493, 2190, 2482, 661]","[261, 968, 178, 818, 3606, 0, 493, 2190, 2482, 661, 1120, 2520, 1384, 873, 2921, 1070, 3374, 432, 2960, 2451, 406, 952, 1277, 765, 1087]","[261, 968, 178, 818, 3606, 0, 493, 2190, 2482, 661, 1120, 2520, 1384, 873, 2921, 1070, 3374, 432, 2960, 2451, 406, 952, 1277, 765, 1087, 646, 3855, 3345, 1302, 923, 3241, 426, 3628, 3886, 2102, 2617, 2873, 2491, 59, 2687, 210, 3295, 353, 618, 112, 3186, 3700, 249, 3580, 2943]","[261, 968, 178, 818, 3606, 0, 493, 2190, 2482, 661, 1120, 2520, 1384, 873, 2921, 1070, 3374, 432, 2960, 2451, 406, 952, 1277, 765, 1087, 646, 3855, 3345, 1302, 923, 3241, 426, 3628, 3886, 2102, 2617, 2873, 2491, 59, 2687, 210, 3295, 353, 618, 112, 3186, 3700, 249, 3580, 2943, 2689, 1155, 1796, 3589, 904, 2570, 1037, 2066, 3475, 1172, 537, 3865, 1950, 1826, 1315, 2725, 2598, 680, 3880, 3501, 1970, 314, 2234, 1212, 2811, 1729, 3394, 2627, 836, 197, 3525, 1736, 329, 1098, 2508, 1620, 1878, 88, 2777, 1499, 3550, 1631, 2143, 485, 3311, 500, 1910, 1017, 507, 1023]"
Alaska,"[3, 228, 211, 445, 447]","[3, 228, 211, 445, 447, 1, 458, 502, 472, 377]","[3, 228, 211, 445, 447, 1, 458, 502, 472, 377, 0, 448, 450, 481, 452, 454, 455, 205, 495, 496, 209, 497, 341, 214, 380]","[3, 228, 211, 445, 447, 1, 458, 502, 472, 377, 0, 448, 450, 481, 452, 454, 455, 205, 495, 496, 209, 497, 341, 214, 380, 2, 5, 277, 283, 294, 316, 319, 449, 453, 329, 461, 208, 469, 216, 346, 218, 219, 222, 353, 226, 360, 365, 376, 378, 379]","[3, 228, 211, 445, 447, 1, 458, 502, 472, 377, 0, 448, 450, 481, 452, 454, 455, 205, 495, 496, 209, 497, 341, 214, 380, 2, 5, 277, 283, 294, 316, 319, 449, 453, 329, 461, 208, 469, 216, 346, 218, 219, 222, 353, 226, 360, 365, 376, 378, 379, 256, 384, 6, 262, 394, 16, 17, 272, 275, 400, 157, 289, 295, 296, 297, 426, 47, 303, 441, 321, 451, 196, 325, 71, 456, 201, 206, 334, 465, 466, 467, 215, 471, 217, 223, 224, 225, 354, 227, 356, 487, 488, 105, 489, 490, 491, 492, 366, 251, 382]"
Arizona,"[4108, 14, 369, 4377, 92]","[4108, 14, 369, 4377, 92, 3362, 259, 37, 4216, 4223]","[4108, 14, 369, 4377, 92, 3362, 259, 37, 4216, 4223, 258, 4419, 4, 3353, 3851, 76, 3341, 47, 307, 377, 4122, 3163, 3325, 3358, 351]","[4108, 14, 369, 4377, 92, 3362, 259, 37, 4216, 4223, 258, 4419, 4, 3353, 3851, 76, 3341, 47, 307, 377, 4122, 3163, 3325, 3358, 351, 4484, 3334, 266, 400, 3730, 21, 4117, 24, 667, 3876, 4008, 1835, 49, 4403, 3381, 63, 320, 67, 3167, 503, 491, 1911, 1272, 379, 895]","[4108, 14, 369, 4377, 92, 3362, 259, 37, 4216, 4223, 258, 4419, 4, 3353, 3851, 76, 3341, 47, 307, 377, 4122, 3163, 3325, 3358, 351, 4484, 3334, 266, 400, 3730, 21, 4117, 24, 667, 3876, 4008, 1835, 49, 4403, 3381, 63, 320, 67, 3167, 503, 491, 1911, 1272, 379, 895, 3591, 264, 4241, 4372, 3862, 26, 2459, 1180, 2842, 2078, 3098, 32, 4510, 549, 1190, 3237, 1320, 429, 4526, 3760, 3508, 2230, 2486, 1722, 2875, 2620, 3004, 3389, 4156, 2881, 834, 963, 3265, 2761, 4052, 4564, 1878, 2651, 349, 864, 2018, 614, 103, 4330, 1771, 366, 3182, 3694, 4087, 4217]"
Arkansas,"[0, 592, 2035, 284, 1341]","[0, 592, 2035, 284, 1341, 836, 1586, 1301, 1429, 29]","[0, 592, 2035, 284, 1341, 836, 1586, 1301, 1429, 29, 577, 1761, 35, 4, 292, 166, 933, 1099, 1708, 654, 1745, 883, 90, 1019, 1214]","[0, 592, 2035, 284, 1341, 836, 1586, 1301, 1429, 29, 577, 1761, 35, 4, 292, 166, 933, 1099, 1708, 654, 1745, 883, 90, 1019, 1214, 512, 259, 143, 794, 1693, 1187, 684, 560, 1973, 311, 570, 1598, 2119, 333, 1485, 2001, 1364, 859, 1116, 1248, 112, 1776, 244, 1268, 380]","[0, 592, 2035, 284, 1341, 836, 1586, 1301, 1429, 29, 577, 1761, 35, 4, 292, 166, 933, 1099, 1708, 654, 1745, 883, 90, 1019, 1214, 512, 259, 143, 794, 1693, 1187, 684, 560, 1973, 311, 570, 1598, 2119, 333, 1485, 2001, 1364, 859, 1116, 1248, 112, 1776, 244, 1268, 380, 1793, 130, 1667, 2057, 268, 2188, 1166, 1550, 918, 1049, 2202, 2208, 161, 1826, 547, 1444, 1061, 806, 1953, 1835, 1068, 1710, 1663, 948, 2101, 1079, 1847, 1210, 1854, 1728, 1348, 1094, 583, 1990, 1358, 210, 1235, 596, 982, 1504, 97, 1896, 617, 1774, 1135, 755, 502, 1148, 1277, 1407]"
California,"[24836, 3912, 2986, 2250, 10834]","[24836, 3912, 2986, 2250, 10834, 1317, 3050, 11086, 3121, 3889]","[24836, 3912, 2986, 2250, 10834, 1317, 3050, 11086, 3121, 3889, 20866, 23620, 3654, 1511, 23975, 3084, 23660, 1134, 3760, 3189, 11445, 21624, 20858, 3676, 3005]","[24836, 3912, 2986, 2250, 10834, 1317, 3050, 11086, 3121, 3889, 20866, 23620, 3654, 1511, 23975, 3084, 23660, 1134, 3760, 3189, 11445, 21624, 20858, 3676, 3005, 20740, 2826, 3979, 10891, 11023, 3728, 20117, 13850, 17434, 3868, 1843, 23609, 20795, 3010, 2890, 15061, 13783, 10848, 23268, 2277, 2538, 369, 2933, 17147, 11389]","[24836, 3912, 2986, 2250, 10834, 1317, 3050, 11086, 3121, 3889, 20866, 23620, 3654, 1511, 23975, 3084, 23660, 1134, 3760, 3189, 11445, 21624, 20858, 3676, 3005, 20740, 2826, 3979, 10891, 11023, 3728, 20117, 13850, 17434, 3868, 1843, 23609, 20795, 3010, 2890, 15061, 13783, 10848, 23268, 2277, 2538, 369, 2933, 17147, 11389, 1415, 1549, 13837, 23953, 10387, 3480, 18073, 21400, 23453, 20254, 18208, 3618, 10786, 16931, 17188, 23210, 18605, 9646, 16815, 15027, 24883, 3772, 11068, 11580, 22077, 11463, 3529, 715, 25420, 3277, 2511, 19580, 23760, 18773, 854, 17494, 1113, 11485, 20069, 24039, 22890, 24810, 23916, 24942, 13683, 17782, 21112, 3066, 1148, 15102]"
Colorado,"[3432, 3498, 3402, 2458, 3261]","[3432, 3498, 3402, 2458, 3261, 769, 786, 2199, 2520, 2458]","[3432, 3498, 3402, 2458, 3261, 769, 786, 2199, 2520, 2458, 2977, 2530, 3486, 3557, 3751, 1065, 144, 3603, 1910, 3382, 2489, 3675, 2972, 3294, 1118]","[3432, 3498, 3402, 2458, 3261, 769, 786, 2199, 2520, 2458, 2977, 2530, 3486, 3557, 3751, 1065, 144, 3603, 1910, 3382, 2489, 3675, 2972, 3294, 1118, 1536, 1161, 778, 1936, 3220, 2585, 1699, 2085, 1062, 685, 1918, 1078, 3776, 2507, 336, 3536, 3920, 1111, 91, 3549, 3935, 996, 1647, 3964, 2942]","[3432, 3498, 3402, 2458, 3261, 769, 786, 2199, 2520, 2458, 2977, 2530, 3486, 3557, 3751, 1065, 144, 3603, 1910, 3382, 2489, 3675, 2972, 3294, 1118, 1536, 1161, 778, 1936, 3220, 2585, 1699, 2085, 1062, 685, 1918, 1078, 3776, 2507, 336, 3536, 3920, 1111, 91, 3549, 3935, 996, 1647, 3964, 2942, 899, 2439, 2569, 1931, 3725, 526, 1554, 1810, 2835, 2968, 153, 3353, 1819, 3996, 3488, 3874, 2467, 3235, 2344, 2217, 1578, 2093, 2477, 2990, 1205, 3514, 1467, 2491, 2242, 1735, 3655, 1097, 971, 1355, 3026, 2132, 729, 1115, 988, 737, 2658, 870, 3814, 490, 1132, 366, 881, 1018, 2171, 3710]"
Connecticut,"[168, 1611, 562, 2674, 1652]","[168, 1611, 562, 2674, 1652, 1797, 1350, 650, 1526, 534]","[168, 1611, 562, 2674, 1652, 1797, 1350, 650, 1526, 534, 1827, 2435, 614, 71, 1929, 683, 1677, 2032, 2225, 1621, 2519, 2110, 27, 2301, 2078]","[168, 1611, 562, 2674, 1652, 1797, 1350, 650, 1526, 534, 1827, 2435, 614, 71, 1929, 683, 1677, 2032, 2225, 1621, 2519, 2110, 27, 2301, 2078, 1408, 521, 1548, 274, 1173, 2456, 153, 295, 552, 1704, 2599, 1965, 951, 1990, 199, 2249, 853, 1493, 2657, 739, 1507, 2285, 879, 112, 1791]","[168, 1611, 562, 2674, 1652, 1797, 1350, 650, 1526, 534, 1827, 2435, 614, 71, 1929, 683, 1677, 2032, 2225, 1621, 2519, 2110, 27, 2301, 2078, 1408, 521, 1548, 274, 1173, 2456, 153, 295, 552, 1704, 2599, 1965, 951, 1990, 199, 2249, 853, 1493, 2657, 739, 1507, 2285, 879, 112, 1791, 1281, 1030, 1287, 1803, 783, 1935, 2193, 2575, 1428, 1560, 2329, 1569, 547, 2083, 807, 2043, 937, 2343, 689, 2099, 57, 1470, 575, 1600, 2496, 2557, 707, 1860, 1093, 2625, 2120, 458, 2382, 466, 1235, 986, 1883, 2525, 2398, 355, 869, 2149, 1518, 239, 624, 497, 2040, 2170, 251, 893]"
Delaware,"[0, 673, 519, 110, 633]","[0, 673, 519, 110, 633, 491, 434, 564, 411, 222]","[0, 673, 519, 110, 633, 491, 434, 564, 411, 222, 66, 227, 290, 69, 390, 199, 264, 582, 556, 430, 308, 87, 151, 505, 186]","[0, 673, 519, 110, 633, 491, 434, 564, 411, 222, 66, 227, 290, 69, 390, 199, 264, 582, 556, 430, 308, 87, 151, 505, 186, 514, 132, 648, 522, 397, 15, 402, 22, 534, 418, 299, 46, 432, 180, 443, 464, 599, 221, 363, 620, 622, 377, 123, 252, 638]","[0, 673, 519, 110, 633, 491, 434, 564, 411, 222, 66, 227, 290, 69, 390, 199, 264, 582, 556, 430, 308, 87, 151, 505, 186, 514, 132, 648, 522, 397, 15, 402, 22, 534, 418, 299, 46, 432, 180, 443, 464, 599, 221, 363, 620, 622, 377, 123, 252, 638, 512, 387, 388, 643, 383, 137, 269, 18, 19, 661, 406, 664, 25, 282, 540, 30, 159, 545, 44, 557, 562, 310, 567, 313, 60, 572, 191, 447, 322, 583, 72, 73, 202, 459, 587, 339, 213, 341, 469, 88, 601, 479, 609, 354, 485, 105, 496, 241, 373, 255]"
Florida,"[8465, 339, 8341, 12823, 3641]","[8465, 339, 8341, 12823, 3641, 10240, 1903, 211, 6196, 382]","[8465, 339, 8341, 12823, 3641, 10240, 1903, 211, 6196, 382, 4736, 12455, 9768, 5739, 3340, 8376, 4592, 2353, 12794, 5304, 11609, 3546, 2460, 1886, 1919]","[8465, 339, 8341, 12823, 3641, 10240, 1903, 211, 6196, 382, 4736, 12455, 9768, 5739, 3340, 8376, 4592, 2353, 12794, 5304, 11609, 3546, 2460, 1886, 1919, 10625, 8197, 11657, 2579, 3095, 11932, 162, 3619, 3494, 11431, 3756, 4541, 12097, 2118, 5064, 3668, 5974, 11519, 357, 5478, 3176, 13037, 2030, 6266, 4863]","[8465, 339, 8341, 12823, 3641, 10240, 1903, 211, 6196, 382, 4736, 12455, 9768, 5739, 3340, 8376, 4592, 2353, 12794, 5304, 11609, 3546, 2460, 1886, 1919, 10625, 8197, 11657, 2579, 3095, 11932, 162, 3619, 3494, 11431, 3756, 4541, 12097, 2118, 5064, 3668, 5974, 11519, 357, 5478, 3176, 13037, 2030, 6266, 4863, 8320, 5121, 13184, 6020, 9095, 5257, 11532, 1935, 5775, 6162, 4885, 11034, 11679, 8224, 11807, 678, 3249, 1843, 4020, 11707, 2364, 12733, 12861, 5313, 328, 2122, 4682, 10574, 10835, 3413, 8534, 8409, 4186, 3931, 11486, 223, 98, 2148, 9446, 4718, 2802, 3443, 3570, 10226, 12150, 2039, 12275, 5755, 8444, 3454]"
Georgia,"[9, 6924, 53, 1942, 381]","[9, 6924, 53, 1942, 381, 6795, 495, 6135, 6776, 5660]","[9, 6924, 53, 1942, 381, 6795, 495, 6135, 6776, 5660, 3074, 646, 4870, 2601, 2250, 6313, 3052, 7117, 6448, 3923, 6840, 3642, 2748, 221, 734]","[9, 6924, 53, 1942, 381, 6795, 495, 6135, 6776, 5660, 3074, 646, 4870, 2601, 2250, 6313, 3052, 7117, 6448, 3923, 6840, 3642, 2748, 221, 734, 4994, 1411, 5507, 2700, 6030, 5520, 2065, 916, 5918, 6692, 4908, 6829, 3375, 2098, 5812, 6325, 1482, 3021, 4179, 1366, 2663, 1131, 108, 5873, 244]","[9, 6924, 53, 1942, 381, 6795, 495, 6135, 6776, 5660, 3074, 646, 4870, 2601, 2250, 6313, 3052, 7117, 6448, 3923, 6840, 3642, 2748, 221, 734, 4994, 1411, 5507, 2700, 6030, 5520, 2065, 916, 5918, 6692, 4908, 6829, 3375, 2098, 5812, 6325, 1482, 3021, 4179, 1366, 2663, 1131, 108, 5873, 244, 3332, 7302, 6410, 5900, 7181, 2318, 6673, 1042, 6290, 6036, 7193, 4378, 29, 6431, 674, 419, 4644, 3882, 5298, 1332, 1717, 6581, 6708, 7095, 3515, 2109, 3261, 3903, 7359, 3141, 1863, 5704, 5831, 4427, 5842, 4947, 5460, 3797, 5078, 6866, 856, 2779, 7135, 3687, 1898, 2800, 6130, 5109, 886, 7033]"
Hawaii,"[897, 668, 1005, 110, 732]","[897, 668, 1005, 110, 732, 928, 556, 145, 51, 957]","[897, 668, 1005, 110, 732, 928, 556, 145, 51, 957, 704, 803, 900, 69, 776, 717, 893, 496, 53, 86, 119, 693, 758, 476, 125]","[897, 668, 1005, 110, 732, 928, 556, 145, 51, 957, 704, 803, 900, 69, 776, 717, 893, 496, 53, 86, 119, 693, 758, 476, 125, 770, 1026, 1030, 135, 910, 530, 920, 793, 25, 941, 947, 308, 824, 59, 61, 197, 841, 465, 598, 113, 756, 376, 1017, 638, 639]","[897, 668, 1005, 110, 732, 928, 556, 145, 51, 957, 704, 803, 900, 69, 776, 717, 893, 496, 53, 86, 119, 693, 758, 476, 125, 770, 1026, 1030, 135, 910, 530, 920, 793, 25, 941, 947, 308, 824, 59, 61, 197, 841, 465, 598, 113, 756, 376, 1017, 638, 639, 128, 256, 768, 3, 515, 518, 648, 782, 533, 407, 153, 30, 543, 163, 931, 934, 423, 40, 297, 935, 171, 557, 566, 822, 830, 835, 68, 454, 710, 585, 76, 973, 78, 334, 208, 975, 983, 985, 731, 860, 478, 95, 484, 868, 486, 744, 107, 621, 627, 373]"
Idaho,"[800, 832, 681, 847, 463]","[800, 832, 681, 847, 463, 772, 454, 1137, 884, 1183]","[800, 832, 681, 847, 463, 772, 454, 1137, 884, 1183, 743, 840, 1193, 810, 331, 1034, 1101, 302, 1166, 784, 1263, 629, 407, 860, 1215]","[800, 832, 681, 847, 463, 772, 454, 1137, 884, 1183, 743, 840, 1193, 810, 331, 1034, 1101, 302, 1166, 784, 1263, 629, 407, 860, 1215, 2, 771, 1026, 906, 1040, 1169, 531, 1047, 670, 803, 45, 180, 824, 1095, 205, 469, 1241, 475, 93, 606, 867, 998, 1128, 1135, 116]","[800, 832, 681, 847, 463, 772, 454, 1137, 884, 1183, 743, 840, 1193, 810, 331, 1034, 1101, 302, 1166, 784, 1263, 629, 407, 860, 1215, 2, 771, 1026, 906, 1040, 1169, 531, 1047, 670, 803, 45, 180, 824, 1095, 205, 469, 1241, 475, 93, 606, 867, 998, 1128, 1135, 116, 768, 131, 644, 646, 392, 777, 268, 653, 1037, 783, 400, 274, 786, 1048, 1177, 667, 927, 427, 940, 685, 1068, 1200, 566, 952, 447, 962, 1220, 199, 968, 1097, 1100, 717, 334, 213, 470, 981, 856, 473, 857, 731, 1143, 1246, 863, 865, 750, 117, 502, 1141, 1148, 1022]"
Illinois,"[8487, 6808, 25, 7774, 6943]","[8487, 6808, 25, 7774, 6943, 7657, 5390, 371, 5556, 476]","[8487, 6808, 25, 7774, 6943, 7657, 5390, 371, 5556, 476, 7685, 6886, 6152, 6826, 491, 6765, 5358, 8143, 9071, 8753, 5302, 7703, 7576, 7798, 7487]","[8487, 6808, 25, 7774, 6943, 7657, 5390, 371, 5556, 476, 7685, 6886, 6152, 6826, 491, 6765, 5358, 8143, 9071, 8753, 5302, 7703, 7576, 7798, 7487, 5251, 7046, 6919, 7434, 4497, 8082, 148, 3094, 7069, 415, 8869, 6698, 7598, 304, 8368, 9017, 193, 73, 8905, 6751, 8043, 4593, 8949, 7418, 380]","[8487, 6808, 25, 7774, 6943, 7657, 5390, 371, 5556, 476, 7685, 6886, 6152, 6826, 491, 6765, 5358, 8143, 9071, 8753, 5302, 7703, 7576, 7798, 7487, 5251, 7046, 6919, 7434, 4497, 8082, 148, 3094, 7069, 415, 8869, 6698, 7598, 304, 8368, 9017, 193, 73, 8905, 6751, 8043, 4593, 8949, 7418, 380, 8456, 2442, 8970, 789, 406, 5656, 7833, 9499, 6314, 2349, 7855, 9008, 9265, 7475, 5429, 9525, 7863, 2616, 952, 5050, 8632, 6332, 6724, 8132, 8518, 327, 3784, 5581, 6605, 5713, 6869, 6998, 7638, 4827, 5856, 4579, 5733, 3563, 2796, 3949, 5484, 2927, 9327, 7154, 120, 8057, 5114, 6523, 7549, 4606]"
Indiana,"[5120, 3943, 5231, 2041, 3230]","[5120, 3943, 5231, 2041, 3230, 3751, 5036, 2672, 603, 3230]","[5120, 3943, 5231, 2041, 3230, 3751, 5036, 2672, 603, 3230, 4480, 642, 1443, 3810, 1862, 1191, 777, 2410, 3116, 397, 1230, 4112, 2737, 2961, 4914]","[5120, 3943, 5231, 2041, 3230, 3751, 5036, 2672, 603, 3230, 4480, 642, 1443, 3810, 1862, 1191, 777, 2410, 3116, 397, 1230, 4112, 2737, 2961, 4914, 385, 3458, 10, 2834, 2068, 5017, 3614, 3378, 4530, 2233, 1855, 451, 2381, 975, 1362, 3834, 4956, 3042, 2533, 4581, 2539, 4084, 2938, 251, 1021]","[5120, 3943, 5231, 2041, 3230, 3751, 5036, 2672, 603, 3230, 4480, 642, 1443, 3810, 1862, 1191, 777, 2410, 3116, 397, 1230, 4112, 2737, 2961, 4914, 385, 3458, 10, 2834, 2068, 5017, 3614, 3378, 4530, 2233, 1855, 451, 2381, 975, 1362, 3834, 4956, 3042, 2533, 4581, 2539, 4084, 2938, 251, 1021, 769, 1154, 1283, 1157, 21, 4757, 4377, 30, 1439, 2342, 2347, 1325, 944, 817, 4145, 1334, 698, 3515, 1213, 3773, 2751, 1602, 3012, 1222, 1100, 4429, 590, 3150, 3919, 4304, 4688, 3289, 5081, 1372, 2524, 3548, 2783, 4192, 2019, 100, 3047, 4327, 2026, 371, 2421, 3189, 4213, 1144, 2681, 4861]"
Iowa,"[2436, 553, 460, 2387, 314]","[2436, 553, 460, 2387, 314, 1123, 1564, 1405, 766, 2493]","[2436, 553, 460, 2387, 314, 1123, 1564, 1405, 766, 2493, 2273, 738, 610, 2465, 261, 1384, 2250, 1580, 847, 530, 818, 2551, 1145, 474, 922]","[2436, 553, 460, 2387, 314, 1123, 1564, 1405, 766, 2493, 2273, 738, 610, 2465, 261, 1384, 2250, 1580, 847, 530, 818, 2551, 1145, 474, 922, 512, 386, 276, 2073, 795, 1698, 166, 432, 181, 1593, 68, 836, 1609, 971, 1486, 720, 1366, 858, 867, 1252, 2148, 362, 883, 375, 895]","[2436, 553, 460, 2387, 314, 1123, 1564, 1405, 766, 2493, 2273, 738, 610, 2465, 261, 1384, 2250, 1580, 847, 530, 818, 2551, 1145, 474, 922, 512, 386, 276, 2073, 795, 1698, 166, 432, 181, 1593, 68, 836, 1609, 971, 1486, 720, 1366, 858, 867, 1252, 2148, 362, 883, 375, 895, 1411, 654, 782, 17, 533, 917, 29, 1053, 287, 801, 2085, 1320, 1198, 2096, 2608, 690, 1586, 2354, 1077, 2487, 1337, 828, 1473, 1602, 1347, 1094, 1353, 204, 1489, 2642, 595, 1235, 342, 727, 2262, 1117, 1502, 2272, 2657, 1767, 489, 1513, 1004, 2286, 752, 117, 2038, 247, 890, 2174]"
Kansas,"[377, 1166, 16, 216, 57]","[377, 1166, 16, 216, 57, 1106, 188, 504, 476, 1343]","[377, 1166, 16, 216, 57, 1106, 188, 504, 476, 1343, 226, 553, 1385, 1291, 1418, 590, 1263, 1616, 1393, 118, 502, 1942, 27, 1213, 1567]","[377, 1166, 16, 216, 57, 1106, 188, 504, 476, 1343, 226, 553, 1385, 1291, 1418, 590, 1263, 1616, 1393, 118, 502, 1942, 27, 1213, 1567, 128, 1028, 1803, 524, 2189, 275, 1302, 2070, 154, 1060, 1069, 179, 2227, 1847, 952, 2235, 1724, 1223, 849, 82, 1235, 1490, 2031, 1140, 1278]","[377, 1166, 16, 216, 57, 1106, 188, 504, 476, 1343, 226, 553, 1385, 1291, 1418, 590, 1263, 1616, 1393, 118, 502, 1942, 27, 1213, 1567, 128, 1028, 1803, 524, 2189, 275, 1302, 2070, 154, 1060, 1069, 179, 2227, 1847, 952, 2235, 1724, 1223, 849, 82, 1235, 1490, 2031, 1140, 1278, 1921, 1794, 1159, 8, 520, 1927, 914, 531, 2196, 405, 1045, 539, 1694, 2206, 545, 1441, 164, 1318, 167, 1834, 1835, 2346, 687, 1327, 184, 2239, 195, 1861, 198, 1350, 1355, 1996, 1485, 1742, 2255, 2260, 1365, 2388, 2269, 355, 996, 102, 360, 1256, 239, 368, 2288, 1907, 1274, 1404]"
Kentucky,"[108, 2833, 2610, 3028, 2522]","[108, 2833, 2610, 3028, 2522, 1056, 2165, 1176, 410, 2303]","[108, 2833, 2610, 3028, 2522, 1056, 2165, 1176, 410, 2303, 2816, 2498, 2725, 392, 298, 3467, 3308, 205, 2286, 1135, 2381, 2709, 1148, 2045, 1342]","[108, 2833, 2610, 3028, 2522, 1056, 2165, 1176, 410, 2303, 2816, 2498, 2725, 392, 298, 3467, 3308, 205, 2286, 1135, 2381, 2709, 1148, 2045, 1342, 513, 772, 530, 662, 1047, 2470, 39, 2855, 2744, 316, 3065, 3006, 1867, 3281, 1368, 600, 2394, 349, 2272, 3168, 239, 2675, 121, 2430, 639]","[108, 2833, 2610, 3028, 2522, 1056, 2165, 1176, 410, 2303, 2816, 2498, 2725, 392, 298, 3467, 3308, 205, 2286, 1135, 2381, 2709, 1148, 2045, 1342, 513, 772, 530, 662, 1047, 2470, 39, 2855, 2744, 316, 3065, 3006, 1867, 3281, 1368, 600, 2394, 349, 2272, 3168, 239, 2675, 121, 2430, 639, 2054, 3083, 1656, 2572, 3339, 1935, 2322, 2962, 2069, 1302, 2969, 797, 2462, 3359, 545, 2722, 292, 2341, 3112, 2729, 1326, 2808, 3508, 185, 1211, 2237, 198, 839, 328, 969, 458, 1094, 1479, 3401, 3537, 470, 2776, 1634, 356, 1381, 3046, 2535, 1000, 1898, 3180, 2669, 2543, 757, 1016, 2940]"
Louisiana,"[3116, 2382, 1390, 4114, 87]","[3116, 2382, 1390, 4114, 87, 4165, 1233, 3634, 4059, 2398]","[3116, 2382, 1390, 4114, 87, 4165, 1233, 3634, 4059, 2398, 421, 202, 3339, 237, 270, 3406, 2608, 1809, 2546, 3602, 4205, 3990, 1175, 4183, 1881]","[3116, 2382, 1390, 4114, 87, 4165, 1233, 3634, 4059, 2398, 421, 202, 3339, 237, 270, 3406, 2608, 1809, 2546, 3602, 4205, 3990, 1175, 4183, 1881, 0, 651, 3085, 3215, 400, 541, 2213, 2225, 1842, 949, 56, 3518, 706, 838, 2246, 2898, 3027, 2139, 2011, 3807, 3169, 3300, 111, 3192, 1657]","[3116, 2382, 1390, 4114, 87, 4165, 1233, 3634, 4059, 2398, 421, 202, 3339, 237, 270, 3406, 2608, 1809, 2546, 3602, 4205, 3990, 1175, 4183, 1881, 0, 651, 3085, 3215, 400, 541, 2213, 2225, 1842, 949, 56, 3518, 706, 838, 2246, 2898, 3027, 2139, 2011, 3807, 3169, 3300, 111, 3192, 1657, 516, 1798, 3846, 2696, 1929, 1292, 2828, 3218, 2323, 1816, 281, 3737, 4123, 796, 1181, 3360, 3105, 1314, 1442, 1958, 808, 689, 2097, 1459, 1717, 1084, 3900, 2938, 4030, 3266, 1219, 324, 585, 2509, 3832, 593, 977, 3578, 3927, 729, 351, 3943, 752, 1265, 242, 4082, 3701, 120, 762, 2687]"
Maine,"[993, 629, 149, 442, 831]","[993, 629, 149, 442, 831, 163, 932, 837, 687, 443]","[993, 629, 149, 442, 831, 163, 932, 837, 687, 443, 961, 997, 134, 782, 431, 855, 113, 913, 849, 311, 184, 985, 892, 1016, 415]","[993, 629, 149, 442, 831, 163, 932, 837, 687, 443, 961, 997, 134, 782, 431, 855, 113, 913, 849, 311, 184, 985, 892, 1016, 415, 1157, 1169, 531, 24, 668, 924, 1052, 171, 811, 1078, 63, 454, 77, 589, 850, 1107, 469, 1114, 347, 734, 607, 229, 490, 1009, 247]","[993, 629, 149, 442, 831, 163, 932, 837, 687, 443, 961, 997, 134, 782, 431, 855, 113, 913, 849, 311, 184, 985, 892, 1016, 415, 1157, 1169, 531, 24, 668, 924, 1052, 171, 811, 1078, 63, 454, 77, 589, 850, 1107, 469, 1114, 347, 734, 607, 229, 490, 1009, 247, 641, 902, 393, 10, 652, 908, 271, 280, 153, 410, 792, 156, 285, 412, 543, 799, 673, 928, 1054, 557, 46, 942, 177, 305, 309, 696, 569, 829, 447, 320, 575, 710, 968, 330, 844, 593, 211, 853, 989, 222, 865, 610, 104, 617, 872, 365, 496, 118, 119, 122]"
Maryland,"[0, 9, 2763, 1453, 2257]","[0, 9, 2763, 1453, 2257, 3973, 1863, 1580, 2638, 3417]","[0, 9, 2763, 1453, 2257, 3973, 1863, 1580, 2638, 3417, 225, 257, 1602, 805, 3583, 1165, 1487, 464, 1008, 1490, 2161, 2774, 4026, 1083, 1279]","[0, 9, 2763, 1453, 2257, 3973, 1863, 1580, 2638, 3417, 225, 257, 1602, 805, 3583, 1165, 1487, 464, 1008, 1490, 2161, 2774, 4026, 1083, 1279, 139, 1548, 3228, 925, 302, 1333, 2614, 699, 3132, 3902, 960, 194, 3401, 2257, 3161, 1885, 2528, 2401, 3431, 1513, 1002, 3053, 2677, 2430, 1407]","[0, 9, 2763, 1453, 2257, 3973, 1863, 1580, 2638, 3417, 225, 257, 1602, 805, 3583, 1165, 1487, 464, 1008, 1490, 2161, 2774, 4026, 1083, 1279, 139, 1548, 3228, 925, 302, 1333, 2614, 699, 3132, 3902, 960, 194, 3401, 2257, 3161, 1885, 2528, 2401, 3431, 1513, 1002, 3053, 2677, 2430, 1407, 1154, 2562, 3079, 522, 1680, 1809, 2838, 1047, 3096, 1562, 411, 2077, 1439, 2340, 2213, 2598, 1704, 1832, 2733, 3374, 2480, 2993, 1715, 54, 183, 440, 2875, 2621, 2497, 2371, 2244, 3398, 330, 844, 3279, 2001, 340, 1240, 986, 1121, 98, 2148, 2281, 491, 632, 2413, 1011, 1655, 1400, 511]"
